文件名,编,分编,章,节,内容
上海市价格管理条例,,,第一章 总则,,第一条 为了适应社会主义市场经济体制的价格管理、监督机制规范价格行为维护市场价格秩序保护国家利益以及经营者和消费者的合法权益促进本市经济和社会发展根据国家有关法律、法规结合本市实际情况制定本条例。
上海市价格管理条例,,,第一章 总则,,第二条 本条例所称的价格包括商品价格和服务价格。商品价格是指除工资、利率、汇价、证券及期货价格以外的各种价格。服务价格是指经营性服务收费以及行政事业性收费的标准。本市行政区域内的企业、事业单位、个体工商户以及其他组织和个人从事与价格行为有关的活动必须遵守本条例。
上海市价格管理条例,,,第一章 总则,,第三条 价格管理实行间接管理为主直接管理为辅促进公开、公平、合法、正当的价格竞争建立在政府调控下的主要由市场形成价格的机制。
上海市价格管理条例,,,第一章 总则,,第四条 上海市物价局以下简称市物价局是本市的价格行政主管部门负责本市的价格平衡工作统一组织实施本市的价格管理和监督工作。区、县人民政府价格行政主管部门受市物价局的业务指导负责本行政区域内的价格监督管理工作。市和区、县物价检查所是同级价格主管部门的监督检查机构依法行使价格监督检查和处理价格违法行为的职责。
上海市价格管理条例,,,第一章 总则,,第五条 市和区、县价格主管部门在价格管理方面的主要职责是部门制定的有关价格的行政措施和调控方案制定或者拟定本级政府指导价目录内的定价原则、作价办法、基准价和浮动幅度、最高限价和最低限价商品交易市场的价格工作成本建立价格信息网络询服务、价格鉴证以及价格评估工作。
上海市价格管理条例,,,第一章 总则,,第六条 工商、公安、财政、税务、技术监督以及其他有关行政管理部门和负有行政管理职能的组织根据各自职责协同同级价格主管部门做好价格监督管理工作。
上海市价格管理条例,,,第一章 总则,,第七条 行业协会或者行业价格协调组织接受价格主管部门的指导、监督或者委托配合价格主管部门依法做好本行业的价格协调和监督工作。
上海市价格管理条例,,,第一章 总则,,第八条 建立以政府价格主管部门监督检查为主体的有社会监督、消费者监督、新闻舆论监督、行业监督等共同参与的价格监督体系。
上海市价格管理条例,,,第二章 价格的制定,,第九条 价格的制定形式分别为政府定价、政府指导价以及经营者定价。政府定价由市和区、县人民政府及其价格主管部门按照价格管理权限直接规定商品或者服务的统一价格。政府指导价由市和区、县人民政府及其价格主管部门和负有价格行政管理职能的组织按照价格管理权限规定的基准价及其浮动幅度指导经营者在上述规定的范围内制定的价格。经营者定价由从事商品生产、销售或者提供有偿服务的企业、事业单位以及其他经济组织和个体工商户以下简称经营者对实行政府定价和政府指导价以外的商品或者服务价格依法自主制定和调整。
上海市价格管理条例,,,第二章 价格的制定,,第十条 关系国计民生或者属于资源稀缺、公用事业以及其他不适宜由经营者自主定价的重要商品或者服务项目实行政府定价或者政府指导价。政府定价或者政府指导价应当依据国家或者上级人民政府制定的年度价格总水平控制目标经济和社会发展的需要社会或者行业平均成本参照市场供求状况制定。
上海市价格管理条例,,,第二章 价格的制定,,第十一条 行政事业性收费项目应当以法律、法规及相应的规章为依据由市财政局会同市物价局审定。收费标准由市物价局会同市财政局审定。重要的收费项目和收费标准报市人民政府审定。市人民政府以及市财政局、市物价局应当根据实际情况的变化取消不适宜的收费项目或者调整收费标准。
上海市价格管理条例,,,第二章 价格的制定,,第十二条 实行政府定价和政府指导价的商品或者服务项目应当列入定价目录。定价目录根据国家颁布的价格分工管理目录和本市实际情况由市物价局会同有关部门拟定或者修订经市人民政府审核同意报国务院价格主管部门审定后公布。
上海市价格管理条例,,,第二章 价格的制定,,第十三条 经营者应当依据商品或者服务的质量、成本以及市场供求状况等因素合法、合理、规范地制定价格取得合法利润。经营者改善管理实现技术进步和依法以拍卖、竞价、招标等形式取得的收益是其合法利润。
上海市价格管理条例,,,第三章 价格的管理,,第十四条 根据国家和本市物价控制目标市和区、县人民政府及其价格主管部门、有关行政管理部门以及负有行政管理职能的组织应当依照各自的职责加强对价格的调控、管理和监督确保国家和本市年度价格总水平目标的实现。
上海市价格管理条例,,,第三章 价格的管理,,第十五条 市和区、县人民政府可以根据实际情况对重要农产品及其他对人民生活有重要影响的行业实行阶段性价格保护建立主要食品、农业生产资料等的价格风险和调节基金制度建立主要食品、日用工业品和防灾救灾物资等重要商品的储备制度。
上海市价格管理条例,,,第三章 价格的管理,,第十六条 当重要商品和服务价格显著上涨或者有可能显著上涨市人民政府可以对部分价格采取限定差价率或者利润率、规定限价、实行提价申报制度和调价备案制度等干预措施。以上行政措施的实施和解除应当及时向社会公布。市人民政府采取第一款规定的干预措施应当报国务院备案。
上海市价格管理条例,,,第三章 价格的管理,,第十七条 市和区、县价格主管部门应当建立价格监测制度定期对本行政区域内价格水平的变化作出分析和预测。有关市场价格信息应当公开。价格主管部门和价格管理人员应当严守国家价格秘密和为经营者保守技术秘密、商业秘密。
上海市价格管理条例,,,第三章 价格的管理,,第十八条 行业协会或者行业价格协调组织应当依法开展行业内的价格管理、协调工作向政府及其价格主管部门提出本行业有关实施政府定价或者政府指导价的建议指导本行业经营者的定价行为协调本行业的价格争议引导、鼓励本行业的非会员单位参与行业的价格协商。行业协会或者行业价格协调组织不得利用其所占据的市场优势实行价格垄断。
