文件名,编,分编,章,节,内容
上海市地面沉降防治管理条例,,,第一章 总则,,第一条 为了加强和规范地面沉降防治工作避免和减轻地面沉降造成的损失维护人民生命和财产安全促进经济和社会可持续发展根据《地质灾害防治条例》和其他有关法律、行政法规的规定结合本市实际情况制定本条例。
上海市地面沉降防治管理条例,,,第一章 总则,,第二条 本条例适用于本市行政区域内因抽取地下水和工程建设活动等引起的地面沉降的监测、防治及其相关监督管理活动。
上海市地面沉降防治管理条例,,,第一章 总则,,第三条 市和区、县人民政府应当加强对地面沉降防治工作的领导组织有关部门采取措施做好地面沉降防治工作。
上海市地面沉降防治管理条例,,,第一章 总则,,第四条 市规划国土资源行政管理部门是本市地面沉降防治工作的综合监督管理部门并具体负责区域性地面沉降防治的监督管理。市水务行政管理部门负责本市地面沉降防治工作中的地下水开采与回灌的监督管理。市和区、县建设交通行政管理部门按照职责分工负责建设工程涉及的周边地面沉降防治的监督管理。市发展改革、财政、交通港口、民防、房屋等行政管理部门在各自职责范围内协同实施本条例。
上海市地面沉降防治管理条例,,,第一章 总则,,第五条 市和区、县人民政府及其有关部门应当鼓励和支持地面沉降防治的科学技术研究开展宣传教育普及地面沉降防治的科学知识和防灾减灾等常识。
上海市地面沉降防治管理条例,,,第一章 总则,,第六条 市和区、县人民政府及其有关部门应当按照有关防灾应急预案的要求及时处置因地面沉降引发的地质灾害事故采取工程治理或者搬迁避让措施保证受灾居民的生命和财产安全。
上海市地面沉降防治管理条例,,,第二章 地面沉降防治规划,,第七条 市规划国土资源行政管理部门应当结合本市地质环境状况组织开展地面沉降调查并通过政府网站等渠道发布本市年度区域性地面沉降的相关数据。
上海市地面沉降防治管理条例,,,第二章 地面沉降防治规划,,第八条 市规划国土资源行政管理部门编制城乡规划应当充分考虑地面沉降防治要求合理控制开发强度避免和减轻地面沉降造成的损失。
上海市地面沉降防治管理条例,,,第二章 地面沉降防治规划,,第九条 市规划国土资源行政管理部门应当会同市水务、建设交通行政管理部门编制地面沉降防治规划经市人民政府批准后公布并报国土资源部备案。地面沉降防治规划在报批前应当组织专家论证。市规划国土资源行政管理部门会同市水务、建设交通行政管理部门编制地面沉降防治规划时应当根据地面沉降调查与监测成果划定地面沉降易发区并根据地面沉降的发育和危害程度、城市建设现状和发展等因素在地面沉降易发区中划定重点防治区。
上海市地面沉降防治管理条例,,,第二章 地面沉降防治规划,,第十条 市规划国土资源行政管理部门应当会同市水务、建设交通行政管理部门根据地面沉降防治规划编制地面沉降防治年度工作计划。地面沉降防治年度工作计划主要包括以下内容
上海市地面沉降防治管理条例,,,第二章 地面沉降防治规划,,第十一条 市规划国土资源行政管理部门应当根据城市总体规划、地面沉降防治规划组织编制监测设施的布设方案。市规划国土资源行政管理部门应当会同市水务行政管理部门根据城市总体规划、地面沉降防治规划和供水专业规划组织编制防治设施的布设方案。建设地面沉降监测设施和防治设施应当遵循节约用地原则合理高效利用资源。布设方案确定的设施用地应当在控制性详细规划中予以落实并依法办理审批手续。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十二条 市规划国土资源行政管理部门应当会同市水务、建设交通行政管理部门建立地面沉降监测网络对土层形变以及地下水水位、水质等实施动态监测。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十三条 地面沉降监测设施和防治设施的新建、改建、扩建应当符合有关布设方案的要求。建设地面沉降监测设施和防治设施可以依法征收土地和房屋。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十四条 地面沉降监测设施由政府投资由市规划国土资源行政管理部门负责组织建设和维护。回灌井由政府投资由市水务行政管理部门负责组织建设和维护。采灌井由地下水的开采者投资建设和维护。新建、改建、扩建地面沉降监测设施和防治设施应当委托具有相应资质的单位进行。市规划国土资源、水务行政管理部门应当根据各自职责建立并完善地面沉降监测设施和防治设施的维护和运行管理制度。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十五条 市规划国土资源、水务行政管理部门应当在地面沉降监测设施和防治设施周围设置警示标志。任何单位和个人不得侵占、损毁或者损坏地面沉降监测设施和防治设施。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十六条 已经建成的地面沉降监测设施和防治设施不得擅自拆除因工程建设确需拆除的应当就近迁建。就近迁建方案应当由建设单位报市规划国土资源行政管理部门或者市水务行政管理部门同意。迁建的相关费用由建设单位承担。迁建的用地由市规划国土资源行政管理部门落实。
上海市地面沉降防治管理条例,,,第三章 地面沉降监测设施和防治设施的建设与管理,,第十七条 地面沉降监测设施和回灌井因损坏无法使用确需报废的由市规划国土资源行政管理部门和市水务行政管理部门按照各自职责办理报废手续。采灌井因损坏无法使用确需报废的使用者应当事先向市水务行政管理部门备案并委托具有相应资质的单位实施封井作业。
上海市地面沉降防治管理条例,,,第四章 地面沉降防治措施,,第十八条 本市对地下水开采实行总量控制。具体年度地下水开采总量应当在地面沉降防治年度计划的地下水开采方案中明确。除战备、应急备用等特殊情形外禁止在自来水管网到达区域开采地下水。自来水管网到达区域的具体范围由市水务行政管理部门公布。
