文件名,编,分编,章,节,内容
上海市城市道路管理条例,,,第一章 总则,,第一条 为了加强本市城市道路管理保障城市道路完好充分发挥其使用功能促进城市经济和社会发展根据国务院《城市道路管理条例》和其他有关法律、行政法规结合本市实际情况制定本条例。
上海市城市道路管理条例,,,第一章 总则,,第二条 本条例所称城市道路包括市区和城镇范围内供车辆、行人通行的具备一定技术条件的道路、桥梁、隧道及其附属设施。城市道路分为快速路、主干路、次干路和支路。
上海市城市道路管理条例,,,第一章 总则,,第三条 本条例适用于本市行政区域内城市道路的规划、建设、养护、维修和路政管理。
上海市城市道路管理条例,,,第一章 总则,,第四条 市建设行政管理部门主管本市城市道路管理工作负责实施本条例。市建设行政管理部门所属的上海市市政工程管理处以下简称市市管处负责本市城市道路的具体管理工作并依照本条例的授权实施行政许可和行政处罚。区、县人民政府市政工程行政管理部门以下简称区、县市政工程管理部门负责其职责范围内城市道路的行政管理工作业务上受市建设行政管理部门指导。本市其他有关行政管理部门按照各自的职责协同实施本条例。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第五条 市建设行政管理部门负责组织编制城市综合交通规划中的城市道路规划以下简称城市道路规划。城市综合交通规划经市规划管理部门综合平衡报市人民政府批准后纳入城市总体规划。编制控制性详细规划应当与城市道路规划相衔接。审批部门在审批控制性详细规划时应当征求市建设行政管理部门的意见。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第六条 市建设行政管理部门和区、县市政工程管理部门应当按照职责分工根据城市道路规划制定城市道路年度建设计划经发展和改革、建设和交通等有关行政管理部门综合平衡并按照规定的程序报经批准后实施。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第七条 市和区、县人民政府应当保证城市道路建设资金的投入。本市鼓励国内外企业、其他组织和个人按照城市道路规划和年度建设计划投资建设城市道路。投资者的合法权益受法律保护。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第八条 城市道路的设计、施工应当符合国家和本市有关技术规范和规程与城市景观相协调并且按照规划预留绿化用地、建设无障碍设施。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第九条 新建、改建、扩建快速路、主干路、次干路时建设单位应当按照有关规定同步建设监控城市道路运行和安全状况的信息管理设施以下简称城市道路信息管理设施。市建设行政管理部门和区、县市政工程管理部门应当运用城市道路信息管理设施监控城市道路运行状况和技术状态及时发布适应交通需求的信息。
上海市城市道路管理条例,,,第二章 规划和建设管理,,第十条 新建快速路、主干路、次干路时建设单位应当在城市道路交叉口设置管线过路预埋管道。地下管线穿越城市道路施工时应当通过管线过路预埋管道铺设因技术等原因无法实施的除外。
