文件名,编,分编,章,节,内容
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第一条 为了保护归侨、侨眷的合法权益根据《中华人民共和国归侨侨眷权益保护法》、《中华人民共和国归侨侨眷权益保护法实施办法》结合本市实际制定本办法。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第二条 归侨是指回国定居的华侨。华侨是指定居在国外的中国公民。侨眷是指华侨、归侨在国内的眷属包括华侨、归侨的配偶父母子女及其配偶兄弟姐妹祖父母、外祖父母孙子女、外孙子女以及同华侨、归侨有五年以上扶养关系的其他亲属。华侨、归侨去世或者华侨身份改变后其国内眷属原依法认定的侨眷身份不变。依法与华侨、归侨及其子女解除婚姻关系或者与华侨、归侨解除扶养关系的其原依法认定的侨眷身份丧失。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第三条 归侨身份由市人民政府侨务部门以下简称市政府侨务部门确认并发给《上海市归侨证》。侨眷身份由户籍所在地的区、县人民政府侨务部门以下简称区、县政府侨务部门确认。同华侨、归侨有五年以上扶养关系的其他亲属其侨眷身份由区、县政府侨务部门根据公证机关出具的扶养公证审核认定。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第四条 市和区、县人民政府应当重视和加强归侨、侨眷合法权益保护工作。市和区、县政府侨务部门是本行政区域内侨务工作的行政主管部门应当组织、指导、协调有关部门做好保护归侨、侨眷合法权益的工作并组织开展本行政区域内归侨、侨眷权益保护的法律、法规执行情况的监督、检查。市和区、县人民政府有关部门应当在各自职责范围内做好归侨、侨眷合法权益的保护工作。乡、镇人民政府和街道办事处应当做好本辖区内的归侨、侨眷权益保护工作并明确相应的专职或者兼职工作人员。各级人民政府和街道办事处应当根据归侨、侨眷的特点依托社区服务网络综合利用各种社会资源为归侨、侨眷做好服务工作。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第五条 各级人民政府应当将侨务工作专项经费列入本级财政预算并予以保障。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第六条 归侨、侨眷享有宪法和法律规定的公民的权利并履行宪法和法律规定的公民的义务任何单位或者个人对归侨、侨眷不得歧视。国家和本市根据归侨、侨眷的特点对归侨、侨眷所作的适当照顾的规定有关部门和单位应当切实贯彻执行。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第七条 对经批准回本市定居的华侨本市有关部门应当按照国家和本市有关规定办理相应的手续属本市紧缺人才的有关部门应当优先办理。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第八条 户籍在本市的归侨、归侨子女或者华侨子女其户籍在其他省市的配偶要求来本市落户的公安机关应当依据有关规定优先办理户籍。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第九条 各级归国华侨联合会以下简称侨联代表归侨、侨眷的利益按照其章程开展活动反映归侨、侨眷的合理诉求提出意见和建议依法维护他们的合法权益发挥社会监督作用。归侨、侨眷有权依法申请成立其他社会团体按照各自的章程进行适合归侨、侨眷需要的合法的社会活动。归侨、侨眷依法成立的社会团体的合法权益和财产受法律保护。
上海市实施《中华人民共和国归侨侨眷权益保护法》办法,,,,,第十条 市人民代表大会以及归侨人数较多的区、县和乡、镇人民代表大会应当有适当名额的归侨代表。各级侨联可以依法推荐归侨代表候选人。区、县或者乡、镇人民代表大会代表选举期间在本市的华侨可以在本市原籍地或者出国前居住地依法参加选举。
