文件名,编,分编,章,节,内容
上海市无障碍环境建设条例,,,第一章 总 则,,第一条 为了践行人民城市重要理念加快无障碍环境建设增进民生福祉提高人民生活品质促进全体社会成员平等、充分、便捷地参与和融入社会生活共享经济社会发展成果不断开创人民城市建设的新局面根据相关法律、行政法规结合本市实际制定本条例。
上海市无障碍环境建设条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内的无障碍设施建设与维护、信息交流、社会服务以及相关社会共治、监督管理等无障碍环境建设活动。本条例所称无障碍环境建设是指为有无障碍需求的社会成员自主安全地出入建筑物以及使用其附属设施、通行道路、搭乘公共交通运输工具获取、使用和交流信息获得社会服务等提供便利和条件所进行的相关活动。本条例所称有无障碍需求的社会成员是指因残疾、年老、年幼、生育、疾病、意外伤害、负重等原因致使身体功能永久或者短暂地丧失或者缺乏面临行动、感知或者表达障碍的人员及其同行的陪护人员。
上海市无障碍环境建设条例,,,第一章 总 则,,第三条 无障碍环境建设应当坚持中国共产党的领导发挥政府主导作用调动市场主体积极性引导社会组织和公众广泛参与推动全社会共建共治共享。无障碍环境建设是全社会的共同责任应当与经济社会发展水平相适应遵循系统协同、通用易行、安全便利、广泛受益的原则体现人文关怀与社会支持。
上海市无障碍环境建设条例,,,第一章 总 则,,第四条 市人民政府应当加强对本市无障碍环境建设工作的领导建立市无障碍环境建设协调机制研究、决定相关重大事项统筹部署、协调推进无障碍环境建设工作。区人民政府应当落实推进本辖区无障碍环境建设的主体责任建立区无障碍环境建设协调机制负责组织、协调和管理辖区内无障碍环境建设工作。市、区无障碍环境建设协调机制办公室设在市、区住房城乡建设管理部门。乡镇人民政府、街道办事处应当按照有关规定并结合阳光助残工程、老年友好社区、儿童友好社区和文明城区创建等推进辖区无障碍环境建设督促无障碍设施管理责任人加强对无障碍设施的日常巡查和履行维护管理责任保障无障碍设施正常使用。各级人民政府应当将推进无障碍环境建设工作所需经费纳入本级财政预算。
上海市无障碍环境建设条例,,,第一章 总 则,,第五条 住房城乡建设管理部门负责无障碍环境建设协同推进工作具体负责公共建筑、居住建筑无障碍设施工程建设活动的监督管理工作并会同有关部门对公共建筑和居住建筑无障碍建设项目的使用状况进行监督管理。交通部门负责道路、交通运输设施无障碍设施工程建设活动和使用状况的监督管理工作。经济信息化部门负责信息无障碍建设的指导、推进和监督管理工作推动无障碍信息传播与交流。民政部门负责养老服务机构、儿童福利机构、残疾人养护机构等无障碍环境建设的指导、推进和监督管理工作组织推动老年人家庭适老化改造。卫生健康部门负责组织拟订、协调落实应对人口老龄化的政策措施推动无障碍环境建设相关工作负责医疗卫生机构等无障碍环境建设的指导、推进和监督管理工作。教育、体育部门负责学校、体育健身场所等无障碍环境建设的指导、推进和监督管理工作。商务、文化旅游、绿化市容部门负责商业、文化、旅游、公园绿地等无障碍环境建设的指导、推进和监督管理工作。发展改革、财政、规划资源、房屋管理、农业农村、科技、市场监督管理、公安、民族宗教、司法行政、金融管理、机关事务管理、城管执法等部门在各自职责范围内负责无障碍环境建设相关工作。
上海市无障碍环境建设条例,,,第一章 总 则,,第六条 工会、共产主义青年团、妇女联合会、残疾人联合会、依法设立的老年人组织等组织按照法律、法规和各自章程协助各级人民政府及其有关部门开展无障碍环境建设工作。相关行业组织应当发挥行业自律作用协助本行业开展无障碍环境建设相关工作。
上海市无障碍环境建设条例,,,第一章 总 则,,第七条 从事无障碍环境建设的相关单位应当根据法律、法规、标准和合同约定履行各自责任加强对工作人员的培训提升为有无障碍需求的社会成员服务的能力。
上海市无障碍环境建设条例,,,第一章 总 则,,第八条 市、区人民政府负责组织编制本行政区域无障碍环境建设发展规划将其纳入国民经济和社会发展规划以及国土空间规划并组织实施。住房城乡建设管理、交通运输、城市数字化转型、残疾人事业、老龄事业、养老服务等领域的相关专项规划应当包含无障碍环境建设的相关内容。编制无障碍环境建设发展规划和相关领域专项规划应当征求残疾人联合会、依法设立的老年人组织等社会各方的意见并通过人民建议征集等方式听取市民群众的意见。
上海市无障碍环境建设条例,,,第一章 总 则,,第九条 本市推广通用设计理念建立健全无障碍设施、信息交流和社会服务等标准体系加强标准之间的衔接配合有关部门和单位应当依法实施无障碍环境建设标准。市市场监督管理部门会同住房城乡建设管理、交通、经济信息化等部门组织制定无障碍环境建设相关地方标准。有关部门根据需要制定规范和指南。鼓励社会团体和企业制定、完善具有引领性的无障碍环境建设团体标准和企业标准。本市建立无障碍信息的评测制度推动评测结果采信应用鼓励在市场采购、行业管理、社会治理等领域推广使用。
上海市无障碍环境建设条例,,,第一章 总 则,,第十条 本市支持和鼓励高等学校、科研机构、企业事业单位、社会组织和个人研发无障碍环境建设的技术、产品加强专利权、著作权、商标权等知识产权的保护加快成果转化和推广应用。本市依托政务服务一网通办、城市运行一网统管平台推进无障碍环境建设数据互联互通拓展无障碍数字化应用场景和服务。
上海市无障碍环境建设条例,,,第一章 总 则,,第十一条 本市鼓励在无障碍环境建设中推广运用绿色低碳技术、产品和服务促进无障碍环境建设绿色发展。
上海市无障碍环境建设条例,,,第一章 总 则,,第十二条 本市有关重点单位、重点区域应当在无障碍环境建设中发挥引领示范作用。国家机关和法律、法规授权的具有管理公共事务职能的组织应当率先推进其公共服务场所的无障碍环境建设加快无障碍设施建设和改造提升无障碍服务精细化水平。黄浦江和苏州河滨水公共空间、五个新城、临港新片区、虹桥国际中央商务区等重点区域应当加强系统规划采用通用设计按照高标准建设、高水平管理的要求通过创建无障碍环境示范项目等多种方式构建开放、创新、包容的无障碍环境。
上海市无障碍环境建设条例,,,第一章 总 则,,第十三条 本市结合乡村特点和实际情况统筹推进乡村无障碍设施建设和改造发展乡村无障碍基本公共服务提高乡村无障碍环境建设水平。农业农村、住房城乡建设管理、交通、经济信息化等相关部门按照各自职责开展相关工作。
上海市无障碍环境建设条例,,,第一章 总 则,,第十四条 本市设立由无障碍环境建设相关领域专业人士组成的无障碍环境建设专家委员会为推进无障碍环境建设提供专业支撑。
上海市无障碍环境建设条例,,,第一章 总 则,,第十五条 本市建立无障碍环境建设信息统计和发布制度。住房城乡建设管理部门会同交通、经济信息化、民政等部门以及残疾人联合会等开展强制性标准实施等无障碍环境建设情况的统计分析定期发布本市无障碍环境建设白皮书。
上海市无障碍环境建设条例,,,第一章 总 则,,第十六条 本市将无障碍环境建设纳入文明城区、文明社区、文明村镇、文明单位、文明校园和文明行业等的创建、评定活动。
上海市无障碍环境建设条例,,,第一章 总 则,,第十七条 市、区人民政府应当建立和完善本市无障碍环境建设目标责任制和考核评价制度将无障碍环境建设目标完成情况纳入对所属部门、下一级人民政府和街道办事处的考核评价内容。具体考核办法由市、区人民政府另行制定。对在无障碍环境建设工作中作出显著成绩的单位和个人按照国家和本市有关规定给予表彰和奖励。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第十八条 新建、改建、扩建的居住建筑、居住区、公共建筑、公共场所、交通运输设施、道路等应当符合无障碍设施工程建设标准。无障碍设施应当与主体工程同步设计、同步施工、同步验收、同步交付使用。新建、改建、扩建的无障碍设施应当与周边的无障碍设施相衔接。无障碍设施应当设置符合标准的无障碍标识并纳入周边环境或者建筑物内部的引导标识系统。无障碍标识应当位置醒目内容清晰、规范指明无障碍设施的走向和位置。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第十九条 工程建设单位应当将无障碍设施建设经费纳入工程建设项目概预算在组织建设工程竣工验收时应当同时对无障碍设施进行验收在工程竣工验收报告中说明无障碍设施验收情况并依法办理竣工验收备案手续。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十条 工程设计单位应当按照无障碍设施工程建设标准设计无障碍设施。无障碍设施设计内容应当在建设工程设计总说明中进行专项说明。依法应当进行施工图设计文件审查的工程施工单位应当按照审查合格的施工图设计文件和相关技术标准建设无障碍设施并对施工质量负责。委托监理的工程监理单位应当根据相关规定和合同约定按照审查合格的施工图设计文件和相关技术标准对无障碍设施施工进行监理。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十一条 规划资源部门在审核建设工程设计方案时应当就配套的无障碍设施建设要求征询住房城乡建设管理、交通等相关部门的意见。施工图审查机构审核建设工程施工图设计文件时应当按照法律、法规和无障碍设施工程建设标准对无障碍设施设计内容进行审查不符合有关强制性标准相关技术要求的不予审查通过。受住房城乡建设管理、交通等相关部门委托的建设工程质量监督机构提交的建设工程质量监督报告中应当包含无障碍设施建设的内容。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十二条 无障碍设施管理责任人应当加强对无障碍设施的日常巡查履行下列维护管理职责保障无障碍设施正常、安全使用前款所称管理责任人是指居住建筑、居住区、公共建筑、公共场所、交通运输设施、道路等的所有权人。所有权人、管理人和使用人对维护管理责任有约定的按照约定执行法律、法规另有规定的从其规定。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十三条 对既有的不符合无障碍设施工程建设标准的居住建筑、居住区、公共建筑、公共场所、交通运输设施、道路等市住房城乡建设管理、交通、房屋管理等相关部门以及区人民政府应当在各自职责范围内推进无障碍设施改造工作制定计划并组织实施。市、区人民政府有关部门应当按照放管服改革的要求对无障碍设施建设、改造项目简化审批材料、缩减审批时限、优化审批环节提高审批效能。无障碍设施改造由管理责任人负责。不具备无障碍设施改造条件的管理责任人应当采取必要的替代性措施为有无障碍需求的社会成员提供帮助或者服务。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十四条 本市在开展城市更新活动过程中应当将无障碍环境建设要求纳入更新方案持续改善和提升无障碍环境建设水平。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十五条 新建、改建、扩建的城市道路、商业区、居住区的人行天桥和人行地下通道应当按照无障碍设施工程建设强制性标准的相关技术要求建设或者改造无障碍设施。既有道路人行天桥应当在规定期限内完成无障碍改造。城市道路、商业区各种路口、出入口和人行横道处有高差时应当设置缘石坡道。主要商业街、步行街和视力障碍者集中区域周边道路的人行横道的交通信号设施应当按照标准加装行人过街提示装置并保持正常使用。盲道应当按照无障碍设施工程建设标准设置并与周边的人行天桥、人行地下通道和公共建筑、交通运输设施的无障碍设施相衔接。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十六条 客运船舶、公共汽电车、轨道交通车辆等公共交通运输工具应当符合无障碍技术标准。交通枢纽、公共交通车站、客运码头在地面至站厅、换乘站之间应当实现无障碍设施衔接。公共汽电车、轨道交通车辆应当配备语音和字幕报站系统并保持正常使用。公共交通运输工具运营单位应当加快配置无障碍公共汽电车。轨道交通车辆应当逐步配备无障碍车厢。出租汽车运营企业应当配置一定比例的无障碍出租汽车供有无障碍需求的社会成员乘坐并提供预约服务。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十七条 城市公共停车场、大型居住区停车场应当按照无障碍设施工程建设标准设置并标明无障碍停车位。无障碍停车位供肢体残疾人驾驶或者乘坐的机动车使用。使用无障碍停车位的机动车应当在车辆显著位置放置残疾人车辆专用标志或者提供肢体残疾人凭证。法律另有规定的从其规定。停车场管理者对于违规占用无障碍停车位的应当予以劝阻对拒不驶离或者强行停车扰乱停车场公共秩序的应当及时报告公安机关。对无障碍停车费用给予优惠的按照本市有关规定执行。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十八条 旅馆、酒店等应当按照无障碍设施工程建设标准逐步配置一定比例的无障碍客房。新建和具备改造条件的公共建筑、公共场所、交通运输设施等应当按照无障碍设施工程建设标准建设或者改造无障碍卫生间。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第二十九条 本市鼓励和支持用人单位开展就业场所无障碍设施建设和改造为有无障碍需求的员工提供必要的劳动条件和便利。残疾人集中就业单位应当按照有关标准和需求建设和改造无障碍设施提供相关无障碍服务并做好员工培训。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第三十条 居住区新建公共服务设施应当按照无障碍设施工程建设标准配套建设无障碍设施既有公共服务设施未达到无障碍设施工程建设强制性标准相关技术要求的应当进行必要、合理的改造。本市推进既有多层住宅加装电梯加装的电梯优先使用无障碍设施设计标准。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第三十一条 本市支持推进残疾人家庭无障碍改造、老年人家庭适老化改造工作对符合条件的按照本市有关规定给予适当补贴。居民委员会、村民委员会、居住区物业服务企业以及业主委员会应当支持并配合残疾人家庭无障碍改造、老年人家庭适老化改造。本市加强居住区、居住建筑无障碍改造工作与残疾人家庭无障碍改造、老年人家庭适老化改造工作的衔接。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第三十二条 禁止下列影响无障碍设施正常使用的行为
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第三十三条 因特殊情况设置临时无障碍设施的应当符合无障碍设施工程建设强制性标准的相关技术要求。因特殊情况临时占用无障碍设施的应当符合本市有关规定并设置护栏、警示标志或者信号设施采取必要的替代性措施。临时占用期满应当及时恢复原状。
上海市无障碍环境建设条例,,,第二章 无障碍设施建设与维护,,第三十四条 本市将符合条件的无障碍环境建设项目按照有关规定纳入民心工程和为民办实事项目。商业、办公类建设项目提供符合实际需要、经相关主管部门认定的残疾人康复医疗设施、残疾人特殊教育设施等无障碍环境建设公共要素的可以按照有关规定适用规划鼓励措施。其中新建项目提供的相关公共要素的建筑面积可以不计入地块容积率城市更新项目可以按照相关规定增加经营性建筑量。鼓励企业、社会组织自筹资金完成大中型商场和餐饮、旅馆、旅游等商业服务场所的无障碍设施维修、更新和改造。符合财政补贴政策的给予补贴。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第三十五条 市、区人民政府应当将无障碍信息交流作为数字政府建设的重要内容拓展应用场景纳入城市数字化转型专项规划并组织实施。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第三十六条 各级人民政府及其有关部门应当采取措施为残疾人、老年人等获取政务信息提供便利。本市与残疾人、老年人等密切相关的地方性法规、政府规章、规范性文件发布时应当及时提供有声、大字等无障碍阅读文本。市、区人民政府通过召开新闻发布会等方式发布政务信息的应当配备同步速录字幕或者手语翻译。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第三十七条 各级人民政府及其有关部门发布涉及自然灾害、事故灾难、公共卫生事件、社会安全事件等突发事件信息时应当同步采取语音、文字、手语等无障碍方式。本市完善12345市民服务热线以及报警求助、消防应急、交通事故、医疗急救等紧急呼叫系统健全文字、语音等无障碍功能保障有无障碍需求的社会成员及时获取咨询、建议、求助、报警等服务。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第三十八条 市级电视台应当在播出电视节目时配备同步字幕每天播放至少一次配播手语的新闻节目并逐步扩大配播手语的节目范围。公开出版发行的影视制品应当具备可供选择的字幕等无障碍功能。鼓励网络视频节目加配字幕、手语或者口述音轨。鼓励有条件的影剧院、社区文化活动中心等单位开设无障碍电影专场举办无障碍电影日等活动。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第三十九条 本市鼓励公开出版发行的图书、报刊配备有声、电子、大字、盲文等版本方便有无障碍需求的社会成员阅读。市、区人民政府设立的公共图书馆应当设置无障碍阅览室或者区域通过提供有声读物、盲文读物、大字读物、信息检索设备等方式满足社会成员的无障碍阅读需求。本市鼓励食品、药品以及其他商品生产经营者在商品外部包装配置盲文、大字、语音说明书等方便有无障碍需求的社会成员使用。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第四十条 本市国家机关的互联网门户网站、公共服务平台和法律、法规授权的具有管理公共事务职能的组织的互联网网站、服务平台应当符合无障碍网站设计标准。本市鼓励新闻资讯、社交通讯、生活购物、医疗健康、金融服务、学习教育、交通出行等领域的互联网网站、移动互联网应用程序以及智能设备操作系统符合国家信息无障碍标准提供无障碍信息和服务。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第四十一条 本市持续推进数字化服务无障碍支持为残疾人、老年人等提供相关硬件和软件安装等服务。鼓励开发满足残疾人、老年人等需求的即时通讯、远程医疗、学习教育、地图导航、金融支付、网络购物和预约服务等无障碍应用程序。支持各类教育机构以及其他社会主体通过多种形式开展培训、提供课程帮助残疾人、老年人等提高运用智能技术的能力。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第四十二条 本市鼓励音视频以及多媒体设备、智能移动终端设备、电信终端设备制造者开展相关设备研发和改造推动技术和产品具备语音、大字等无障碍功能。银行、医院、铁路客运站、轨道交通车站、民用运输机场航站区等应当确保一定比例的自助公共服务终端设备具备语音、大字、盲文等无障碍功能。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第四十三条 基础电信业务经营者提供电信服务时应当创造条件为有无障碍需求的社会成员提供必要的文字和语音信息服务鼓励其为有无障碍需求的社会成员提供优惠服务。
上海市无障碍环境建设条例,,,第三章 无障碍信息交流,,第四十四条 本市推广和使用国家通用手语、国家通用盲文支持相关培训、服务机构建设。提供基本公共服务使用手语、盲文以及学校开展手语、盲文教育教学的应当使用国家通用手语、国家通用盲文。
上海市无障碍环境建设条例,,,第四章 无障碍社会服务,,第四十五条 国家机关和法律、法规授权的具有管理公共事务职能的组织应当在其公共服务场所配备必要的无障碍设备和辅助器具公示无障碍设施信息提供无障碍服务。区、乡镇人民政府和街道办事处应当根据本辖区的实际情况组织编制无障碍环境信息指南。行政服务、社区服务以及供水、供电、供气等公共服务机构应当设置低位服务台或者无障碍服务窗口建立无障碍服务预约制度为有无障碍需求的社会成员提供服务。
上海市无障碍环境建设条例,,,第四章 无障碍社会服务,,第四十六条 组织选举的部门和单位应当为有无障碍需求的选民参加选举提供便利和必要协助为视力障碍选民提供盲文、大字或者电子选票。
上海市无障碍环境建设条例,,,第四章 无障碍社会服务,,第四十七条 司法机关、法律援助机构应当为有无障碍需求的社会成员参加诉讼活动、获得法律援助提供无障碍服务并按照国家有关规定提供手语翻译、盲文翻译等服务。本市鼓励仲裁机构、律师事务所、公证处、司法鉴定机构、基层法律服务所等法律服务机构结合所提供的服务内容提供无障碍服务。
上海市无障碍环境建设条例,,,第四章 无障碍社会服务,,第四十八条 教育部门和各类教育机构应当采取措施加强教育场所的无障碍设施建设、改造和设备配备为有无障碍需求的师生提供服务。有关部门和考试组织单位应当根据国家规定为有无障碍需求的社会成员参加教育考试、职业资格考试、技术技能考试、招录招聘考试等提供便利。公安机关、交通部门应当为符合条件的肢体残疾人、听力障碍者、老年人参加机动车驾驶资格考试提供便利。
