文件名,编,分编,章,节,内容
上海市民用机场地区管理条例,,,第一章 总则,,第一条 为了加强本市民用机场地区的管理促进民用机场地区的建设和发展保障民用机场的安全运营维护驻场单位、旅客和货主的合法权益根据《中华人民共和国民用航空法》、《民用机场管理条例》和其他有关法律、行政法规结合本市实际情况制定本条例。
上海市民用机场地区管理条例,,,第一章 总则,,第二条 本条例适用于本市管辖的民用机场地区以下简称机场地区及其相关的机场规划控制、净空保护、电磁环境保护、噪声影响等管理活动。民用航空的行业管理按照法律、行政法规和国家有关规定执行。
上海市民用机场地区管理条例,,,第一章 总则,,第三条 本条例所称的机场地区包括浦东国际机场地区和虹桥国际机场地区。机场地区的范围包括根据依法批准的城市规划确定的在机场围场河、围墙、围栏等机场围界设施以内的区域以及机场围界设施以外的城市航站楼区域和市人民政府确定的虹桥国际机场交通配套区域。本条例所称的驻场单位是指机场地区内的机关、团体、企业事业单位以及其他组织。本条例所称的机场控制区是指根据航空安全需要划定的进出受到限制的区域包括候机隔离区、行李分检装卸区、航空器活动区、航空器维修区和货物存放区等。
上海市民用机场地区管理条例,,,第一章 总则,,第四条 市交通港口行政管理部门负责机场地区的有关行政管理工作并组织实施本条例。上海机场集团有限公司以下称机场管理机构负责机场的建设、安全和运营并依照本条例的授权实施行政处罚。本市发展改革、建设交通、规划国土、房屋、公安、工商行政、绿化市容、环境保护、气象、卫生、口岸、无线电等行政管理部门以及口岸查验机构包括海关、边防检查机构、出入境检验检疫机构按照各自职责协同实施本条例。
上海市民用机场地区管理条例,,,第一章 总则,,第五条 机场地区的管理应当遵循统一、安全、高效、规范的原则。
上海市民用机场地区管理条例,,,第二章 规划和建设管理,,第六条 机场管理机构负责组织有关驻场单位编制、修订机场总体规划。在编制、修订机场总体规划时机场管理机构应当征求市建设交通、交通港口行政管理部门的意见。机场总体规划经市规划国土行政管理部门综合平衡按照国家和本市规定的程序报经批准后纳入本市相应的城乡规划。控制性详细规划涉及机场地区的部分由机场管理机构组织有关驻场单位配合市规划国土行政管理部门编制、修订并由市规划国土行政管理部门按照国家和本市规定的程序报经批准后实施。机场总体规划应当依据本市综合交通体系规划编制并与其他交通专项规划相衔接。机场总体规划应当符合国家有关机场净空保护、电磁环境保护和飞行安全的技术规范要求。机场地区的土地使用和各项建设必须符合机场总体规划和本市城乡规划。
上海市民用机场地区管理条例,,,第二章 规划和建设管理,,第七条 机场地区土地应当根据国家和本市的有关规定实行有偿使用。需改变机场地区内土地用途的应当向规划国土行政管理部门提出书面申请由规划国土行政管理部门征求市交通港口行政管理部门和机场管理机构意见后依法作出审批。需改变机场地区内建筑物使用性质的按照国家和本市物业管理法律、法规的规定执行房屋行政管理部门在作出审批时应当征求地区民用航空管理机构、市交通港口行政管理部门和机场管理机构的意见。
上海市民用机场地区管理条例,,,第二章 规划和建设管理,,第八条 在机场地区新建、改建、扩建工程项目的建设单位应当向规划国土行政管理部门提出书面申请。规划国土行政管理部门在审核建设工程设计方案时应当征求市交通港口行政管理部门和机场管理机构的意见。
上海市民用机场地区管理条例,,,第二章 规划和建设管理,,第九条 机场管理机构应当组织有关驻场单位配合相关区绿化市容行政管理部门编制机场地区户外广告设施设置实施方案。机场地区户外广告设施设置实施方案报市绿化市容行政管理部门依法批准后实施。在机场地区设置户外广告设施的应当向相关区绿化市容行政管理部门提出书面申请由相关区绿化市容行政管理部门征求市交通港口行政管理部门和机场管理机构意见后依法作出审批。
上海市民用机场地区管理条例,,,第二章 规划和建设管理,,第十条 机场地区的各土地使用权人应当按照规定负责其所使用土地范围内道路、环境保护、环境卫生、绿化等公共设施的建设、养护与维修。机场的围界设施由机场管理机构负责设置和维修。
