文件名,编,分编,章,节,内容
上海市药品和医疗器械管理条例,,,第一章 总 则,,第一条 为了加强药品和医疗器械管理保证药品和医疗器械质量促进药品和医疗器械创新发展保障公众健康和生命安全根据《中华人民共和国药品管理法》《中华人民共和国中医药法》《医疗器械监督管理条例》等法律、行政法规结合本市实际制定本条例。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第二条 本市行政区域内药品和医疗器械的研制、生产、经营、使用及其监督管理活动适用本条例。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第三条 本市药品和医疗器械管理应当以人民健康为中心坚持风险管理、全程管控、科学监管、社会共治、鼓励创新、服务发展的原则保障药品和医疗器械的安全、有效、可及。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第四条 市、区人民政府对本行政区域内药品和医疗器械管理工作负责统一领导、组织、协调本行政区域内的药品和医疗器械管理工作以及突发事件应对建立健全管理工作机制和信息共享机制将药品和医疗器械管理工作纳入国民经济和社会发展规划加强监管能力建设为药品和医疗器械安全工作提供保障。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第五条 市、区人民政府设立的食品药品安全委员会具体承担研究部署、统筹指导药品和医疗器械安全工作督促落实安全管理责任协调指导重大药品和医疗器械安全事件、重大违法案件处置以及市、区人民政府授予的其他职责。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第六条 市药品监管部门、区人民政府承担药品监管职责的部门以下统称药品监管部门负责本行政区域内的药品和医疗器械监督管理工作。卫生健康、医疗保障、科技、商务、市场监管、知识产权、生态环境、农业农村等部门根据各自职责共同做好相关管理工作。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第七条 从事药品和医疗器械研制、生产、经营、使用活动的应当遵守相关法律、行政法规的规定符合非临床研究、临床试验、临床评价、注册备案、生产管理、经营使用管理以及生物安全等要求。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第八条 药品上市许可持有人、医疗器械注册人或者备案人应当建立质量管理、风险防控和安全事件处置制度依法对药品和医疗器械的安全性、有效性和质量可控性负责。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第九条 药品和医疗器械相关行业组织应当为会员提供信息、培训、技术等服务建立健全行业规范加强行业自律和行业诚信建设引导会员依法开展药品和医疗器械相关活动促进行业健康发展。
上海市药品和医疗器械管理条例,,,第一章 总 则,,第十条 本市与长江三角洲区域相关省、市建立药品和医疗器械管理工作沟通协作机制加强审评审批、监管执法、信用管理、风险防控、应急处置等方面合作推动构建长江三角洲区域药品和医疗器械标准统一、数据互通、结果互认、联勤联动的监管体系。本市支持与国内其他地区在药品和医疗器械领域的交流合作与协同发展。本市加强药品和医疗器械国际交流合作促进研发创新和产业国际化发展。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十一条 本市鼓励药品和医疗器械研究与创新支持开展基础研究和应用研究促进原始创新。鼓励企业、科研机构、医疗卫生机构、高等学校等开展以临床价值为导向的创新研发整合和共享资源促进新技术的转化、推广和运用。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十二条 临床试验申办者、临床试验机构开展药物、医疗器械临床试验应当符合国家规定的程序和要求保证数据和结果科学、真实、可靠保护受试者的权益和安全。市药品监管部门应当开展临床试验质量监测发现可能存在安全性问题或者其他风险的予以预警开展风险评估并依法处理。鼓励临床试验申办者在不同国家或者地区开展药物、医疗器械多中心临床试验鼓励临床试验机构参与药物、医疗器械国际多中心临床试验。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十三条 本市按照国家规定支持符合条件的企业、科研机构、医疗机构、高等学校合作开展细胞和基因治疗药物的临床试验推动真实世界数据的有效积累提升数据的质量和适用性为产品注册提供支持。鼓励保险公司开发覆盖细胞和基因治疗药物临床试验的保险产品支持投保与细胞和基因治疗药物临床试验相适应的保险产品。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十四条 市科技部门会同市卫生健康等部门建立协同研究创新平台推动医疗卫生机构与企业对接临床试验需求提升产医融合质量和效率加快药品和医疗器械研发。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十五条 本市推动建立医疗卫生机构伦理协作审查机制开展多中心临床试验伦理协作审查推动伦理审查结果互认。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十六条 药品和医疗器械应当按照法律、行政法规规定的程序和要求进行注册、备案。市药品监管部门在审评审批、检验检测等环节优化技术指导、沟通交流等服务。市药品监管部门加强对具有明显临床价值、创新性强的药品和医疗器械注册的前置指导并配合做好生物医药重大产业项目的协调和指导。市药品监管部门会同市科技部门指导产业聚集区域通过设立服务站、线上服务等方式为企业提供咨询指导。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十七条 本市支持国家药品监督管理局药品审评检查长三角分中心、医疗器械技术审评检查长三角分中心建设为注册、备案申请人提供指导服务加快产品注册上市。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十八条 本市加强药品和医疗器械的知识产权保护健全创新药品和医疗器械的专利快速审查服务机制激励药品和医疗器械创新研发。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第十九条 具有明显临床价值、创新性强的第二类医疗器械可以向市药品监管部门申请适用创新产品注册程序。具有以下情形之一的第二类医疗器械可以向市药品监管部门申请适用优先注册程序者治疗手段的或者专用于儿童且具有明显临床优势的或者境内同品种获批注册较少且无法满足临床需求的科技专项、科技创新行动计划的突发公共卫生事件发生时市药品监管部门对应急所需且在境内尚无同类产品上市或者境内有同类产品上市但产品供应无法满足突发公共卫生事件应急处理需要的第二类医疗器械纳入应急注册程序。第二类医疗器械创新产品注册程序、优先注册程序、应急注册程序由市药品监管部门另行制定并按照国家有关规定进行备案。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第二十条 本市建立临床研究体系加强医疗卫生机构与高等学校、科研机构和企业的合作推进药品和医疗器械领域前沿技术研究促进成果转化与应用。鼓励建设研究型医院、研究型病房配备与临床研究相适应的科研队伍完善临床研究管理制度和评价激励机制提升研究能力和水平。鼓励临床研究按照药物、医疗器械临床试验质量管理规范开展推动临床研究与临床试验数据衔接为产品注册提供支持。国家对临床研究的质量管理要求另有规定的从其规定。市卫生健康部门应当加强对临床研究的监测、评估、分析实施监督管理。
上海市药品和医疗器械管理条例,,,第二章 研发创新,,第二十一条 市商务部门会同市药品监管、生态环境、农业农村、科技等部门建立生物医药研发和检测用物品进口联合推进机制对生物医药研发单位、药品和医疗器械企业进口在国内外未按照药品批准上市的原辅料、化合物等生物医药研发用物品以及检测监测机构进口的微量检测用标准品优化通关流程促进通关便利化。市科技部门会同相关部门按照国家和本市有关规定对进出境的相关生物医药特殊物品实施联合监管开展综合评估并根据评估意见优化通关流程促进通关便利化。
上海市药品和医疗器械管理条例,,,第三章 生产管理,,第二十二条 市药品监管部门指导符合条件的药品注册申请人完成支持药品上市注册的药学、药理毒理学等研究确定质量标准完成商业规模生产工艺验证且确证性临床试验数据表明具备安全性、有效性的提出核发药品生产许可的申请或者增加生产范围的申请。
上海市药品和医疗器械管理条例,,,第三章 生产管理,,第二十三条 医疗器械注册申请人申报已取得进口或者境内医疗器械产品注册证的医疗器械转入本市生产的应当按照规定办理产品注册、生产许可。市药品监管部门依据法定职责优化注册生产资料申报、生产现场核查程序提高审查效率。
