文件名,编,分编,章,节,内容
东莞市制定地方性法规条例,,,第一章 总 则,,第一条 为了规范地方立法活动健全本市立法制度提高立法质量发挥立法的引领和推动作用根据宪法和《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国立法法》等有关法律法规结合本市实际制定本条例。
东莞市制定地方性法规条例,,,第一章 总 则,,第二条 本市地方性法规的制定、修改、废止、解释及相关活动适用本条例。
东莞市制定地方性法规条例,,,第一章 总 则,,第三条 制定地方性法规应当坚持中国共产党的领导坚持以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导坚持以经济建设为中心坚持改革开放贯彻新发展理念保障在法治轨道上推进本市高质量发展。
东莞市制定地方性法规条例,,,第一章 总 则,,第四条 制定地方性法规应当符合宪法的规定、原则和精神依照法定的权限和程序从国家整体利益出发维护社会主义法制的统一、尊严、权威。地方性法规不得与宪法、法律、行政法规和本省的地方性法规相抵触。
东莞市制定地方性法规条例,,,第一章 总 则,,第五条 制定地方性法规应当坚持和发展全过程人民民主尊重和保障人权保障和促进社会公平正义。制定地方性法规应当体现人民的意志发扬社会主义民主坚持立法公开保障人民通过多种途径有序参与立法活动。
东莞市制定地方性法规条例,,,第一章 总 则,,第六条 制定地方性法规应当从实际出发适应经济社会发展和全面深化改革的要求科学合理地规定公民、法人和其他组织的权利与义务、地方国家机关的权力与责任。制定地方性法规应当丰富立法形式并根据内容选择适当的立法体例增强立法的针对性、适用性、可操作性。地方性法规的规定应当明确、具体突出地方特色立足解决东莞问题对上位法已经明确规定的内容一般不作重复性规定。
东莞市制定地方性法规条例,,,第一章 总 则,,第七条 制定地方性法规应当倡导和弘扬社会主义核心价值观坚持依法治国和以德治国相结合铸牢中华民族共同体意识推动社会主义精神文明建设。
东莞市制定地方性法规条例,,,第一章 总 则,,第八条 制定地方性法规应当适应改革需要坚持在法治下推进改革和在改革中完善法治相统一引导、推动、规范、保障相关改革发挥法治在治理体系和治理能力现代化中的重要作用。
东莞市制定地方性法规条例,,,第一章 总 则,,第九条 市人民代表大会及其常务委员会加强对地方立法工作的组织协调发挥在地方立法工作中的主导作用。
东莞市制定地方性法规条例,,,第一章 总 则,,第十条 市人民代表大会及其常务委员会坚持科学立法、民主立法、依法立法通过制定、修改、废止、解释地方性法规等多种形式增强立法的系统性、整体性、协同性、时效性。
