文件名,编,分编,章,节,内容
东营市海上交通安全条例,,,第一章 总 则,,第一条 为了加强海上交通安全管理维护海上交通秩序保障生命财产安全服务黄河流域生态保护和高质量发展国家战略促进经济社会可持续发展根据《中华人民共和国海上交通安全法》《中华人民共和国安全生产法》《中华人民共和国港口法》等法律、法规结合本市实际制定本条例。
东营市海上交通安全条例,,,第一章 总 则,,第二条 在东营海域内从事航行、停泊、作业、搜救以及其他与海上交通安全相关的活动适用本条例。
东营市海上交通安全条例,,,第一章 总 则,,第三条 海上交通安全工作坚持中国共产党的领导遵循安全第一、预防为主、便利通行、综合治理、绿色发展的原则保障海上交通安全、有序、畅通。
东营市海上交通安全条例,,,第一章 总 则,,第四条 市、县区人民政府应当加强对海上交通安全工作的领导建立健全海上交通安全管理工作协调机制组织各相关部门推进信息共享、情况通报、线索移送、案件会商等工作。沿海乡镇人民政府、街道办事处应当按照职责做好海上交通安全管理相关工作。
东营市海上交通安全条例,,,第一章 总 则,,第五条 市、县区人民政府应当将海上交通安全管理和搜救应急工作纳入国民经济和社会发展规划所需经费列入本级财政预算。
东营市海上交通安全条例,,,第一章 总 则,,第六条 海事管理机构按照职责负责海上交通安全监督管理工作。交通运输主管部门负责职责范围内海上交通运输行业的安全管理工作。渔业渔政主管部门负责渔业船舶、海洋牧场平台等海上渔业设施的安全生产监督管理负责管辖的渔业船舶之间交通事故的调查处理负责渔港水域内的海上交通安全管理。体育主管部门负责训练、比赛期间的体育运动船舶的海上交通安全监督管理工作。文化和旅游主管部门负责职责范围内海上旅游行业的安全监督管理工作。应急管理、自然资源和规划、生态环境、气象、公安、海警等有关部门和机构根据各自职责做好海上交通安全管理的相关工作。
东营市海上交通安全条例,,,第一章 总 则,,第七条 海洋综合开发利用应当保障海上交通安全。有关部门在编制海洋功能区划、养殖水域滩涂规划、海上能源发展规划、海上休闲旅游发展规划以及审核海洋牧场、海上风电、海上光伏等项目的海域使用申请时应当统筹考虑海上交通安全、污染防治和黄河三角洲生态保护的需要并征求同级交通运输主管部门、海事管理机构的意见。
东营市海上交通安全条例,,,第一章 总 则,,第八条 从事船舶、海上设施航行、停泊、作业以及其他与海上交通相关活动的单位、个人应当遵守海上交通安全法律、法规、规章以及强制性标准和技术规范落实海上交通安全主体责任依法享有获得航海保障和海上救助的权利承担维护海上交通安全和保护海洋生态环境的义务。
东营市海上交通安全条例,,,第一章 总 则,,第九条 市、县区人民政府及其有关部门应当加强海上交通安全的宣传教育提高全社会的海上交通安全意识。相关行业协会应当强化行业自律和诚信建设加强行业海上交通安全制度建设。
东营市海上交通安全条例,,,第一章 总 则,,第十条 市、县区人民政府应当加强科技信息技术在海上交通安全工作中的应用增强海域动态管控能力提升海上交通安全管理智慧化水平。
东营市海上交通安全条例,,,第二章 一般规定,,第十一条 交通运输主管部门应当依法组织制定港口章程并向社会公布。对已经制定的港口章程应当定期评估经评估认为章程规定的相关情况发生变化的应当及时修订并向社会公布。
东营市海上交通安全条例,,,第二章 一般规定,,第十二条 航道、锚地、码头泊位、港池等港口设施的管理维护单位应当保持上述港口设施处于良好通航技术状态发现其技术参数发生变化影响海上交通安全的应当及时报告海事管理机构和交通运输主管部门并采取措施恢复正常状态。
东营市海上交通安全条例,,,第二章 一般规定,,第十三条 从事危险货物港口作业的经营人应当建立健全危险货物船岸安全作业制度保障船舶运输、作业安全。
东营市海上交通安全条例,,,第二章 一般规定,,第十四条 禁止在沿海、通海河流的岸滩非法设立靠泊点、装卸作业点。禁止船舶在非法靠泊点、装卸作业点上下乘客、装卸作业。
东营市海上交通安全条例,,,第二章 一般规定,,第十五条 从事海洋开发作业活动以及建设港口、海洋牧场的应当依法布设航标。在运营期间海洋开发建设单位和港口、海洋牧场的经营人应当对航标进行巡查和维护保养保持其正常工作效能。
东营市海上交通安全条例,,,第二章 一般规定,,第十六条 有下列情形之一对海上交通安全有较大影响的海事管理机构应当根据具体情况采取停航、限速或者划定交通管制区等相应交通管制措施并向社会公告前款第一项采取交通管制措施的标准由海事管理机构制定并发布。
东营市海上交通安全条例,,,第二章 一般规定,,第十七条 禁止在航道、锚地、安全作业区、港池内从事养殖、种植、捕捞等有碍航行安全的作业或者活动。
东营市海上交通安全条例,,,第二章 一般规定,,第十八条 禁止船舶在航道、警戒区、桥梁水域等区域停泊。遇有紧急情况需要在上述水域停泊的不得危及其他船舶、海上设施的安全并向海事管理机构报告。渔业船舶不得在商港停泊防避台风等紧急情形除外。
东营市海上交通安全条例,,,第二章 一般规定,,第十九条 船舶应当按照规定配备通信设备、自动识别系统保证其正常使用。承担无线电通信任务的船员应当保持海上交通安全通信频道的值守和畅通。任何单位或者个人不得干扰海上无线电通信秩序。除紧急情况外不得占用海上遇险应急通信频道。
东营市海上交通安全条例,,,第二章 一般规定,,第二十条 禁止无船名船号、无船籍港、无船舶证书的船舶和内河船舶以及依法应当强制报废的船舶在海上航行、作业。有关部门和机构发现疑似无船名船号、无船籍港、无船舶证书船舶的应当向发现地县区人民政府申请开展认定工作。县区人民政府负责待认定船舶的统一保管并按照规定处置已认定的船舶。
东营市海上交通安全条例,,,第二章 一般规定,,第二十一条 任何单位和个人应当按照船舶证书、文书规定的种类、用途使用船舶。船舶改变用途应当满足相应的安全技术标准并取得相应的证书、文书。
东营市海上交通安全条例,,,第二章 一般规定,,第二十二条 驾驶机动船舶的人员应当持有船员适任证书或者其他有效驾驶证件。禁止招用、派遣无证人员驾驶机动船舶。
东营市海上交通安全条例,,,第二章 一般规定,,第二十三条 停航船舶应当与所停靠码头泊位的管理人签订安全管理协议并向海事管理机构报告。在停泊期间一百总吨或者二百二十千瓦以上的应当至少由一名驾驶员和一名轮机员值班未满一百总吨以及二百二十千瓦的应当至少由一名持有适任证书的船员值班。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十四条 市人民政府应当组织文化和旅游、自然资源和规划、交通运输、渔业渔政、海事等主管部门和机构制定全市海上休闲旅游发展规划划定海上休闲活动区域并向社会公布。海上休闲旅游发展规划应当与国民经济和社会发展规划、国土空间规划、黄河三角洲生态保护规划、旅游发展总体规划相衔接引导促进海上休闲相关产业高质量发展。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十五条 市行政审批部门负责为符合条件的休闲船舶经营人核发国内水路运输经营许可证为投入运营的船舶核发船舶营业运输证并将相关情况通报交通运输主管部门。交通运输主管部门负责根据休闲船舶运力供求情况对新增运力申请予以审查对从事旅游、观光活动的休闲船舶实施运输经营安全监督管理依法查处非法运输经营行为。渔业渔政主管部门负责对休闲船舶从事海上垂钓活动实施监督管理。县区人民政府负责辖区内休闲船舶的属地安全管理按照市海上休闲旅游发展规划建设休闲船舶停泊点建立健全休闲船舶安全管理部门联动机制定期开展联合执法。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十六条 使用休闲船舶从事海上休闲活动的经营人应当具备企业法人资格依法取得水路运输经营许可。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十七条 休闲船舶应当取得船舶检验机构核发的检验证书并向海事管理机构申请船舶登记取得船舶国籍证书。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十八条 在休闲船舶上工作的船员应当经过专业技术培训、考试和评估取得海事管理机构签发的船员适任证书并取得健康证明。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第二十九条 休闲船舶经营人是安全责任主体应当遵守下列安全规定等设备业渔政主管部门报告从事旅游、观光活动的应当向交通运输主管部门和海事管理机构报告船舶营运情况记录
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第三十条 休闲船舶航行、停泊和作业应当遵守下列安全规定上下乘客集中于船舶一舷规范要求穿着救生衣、乘坐船舶与岸基值班人员通信联络畅通驾驶船舶
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第三十一条 在下列时段或者有下列情形之一的休闲船舶不得出海航行机构核准的抗风浪等级况。
东营市海上交通安全条例,,,第三章 海上休闲活动交通安全,,第三十二条 休闲渔业船舶、从事非经营性休闲活动船舶的登记、监督管理等按照有关法律、法规执行。
