文件名,编,分编,章,节,内容
中华人民共和国公证法,,,第一章 总则,,第一条 为规范公证活动保障公证机构和公证员依法履行职责预防纠纷保障自然人、法人或者其他组织的合法权益制定本法。
中华人民共和国公证法,,,第一章 总则,,第二条 公证是公证机构根据自然人、法人或者其他组织的申请依照法定程序对民事法律行为、有法律意义的事实和文书的真实性、合法性予以证明的活动。
中华人民共和国公证法,,,第一章 总则,,第三条 公证机构办理公证应当遵守法律坚持客观、公正的原则。
中华人民共和国公证法,,,第一章 总则,,第四条 全国设立中国公证协会省、自治区、直辖市设立地方公证协会。中国公证协会和地方公证协会是社会团体法人。中国公证协会章程由会员代表大会制定报国务院司法行政部门备案。公证协会是公证业的自律性组织依据章程开展活动对公证机构、公证员的执业活动进行监督。
中华人民共和国公证法,,,第一章 总则,,第五条 司法行政部门依照本法规定对公证机构、公证员和公证协会进行监督、指导。
中华人民共和国公证法,,,第二章 公证机构,,第六条 公证机构是依法设立不以营利为目的依法独立行使公证职能、承担民事责任的证明机构。
中华人民共和国公证法,,,第二章 公证机构,,第七条 公证机构按照统筹规划、合理布局的原则可以在县、不设区的市、设区的市、直辖市或者市辖区设立在设区的市、直辖市可以设立一个或者若干个公证机构。公证机构不按行政区划层层设立。
中华人民共和国公证法,,,第二章 公证机构,,第八条 设立公证机构应当具备下列条件
中华人民共和国公证法,,,第二章 公证机构,,第九条 设立公证机构由所在地的司法行政部门报省、自治区、直辖市人民政府司法行政部门按照规定程序批准后颁发公证机构执业证书。
中华人民共和国公证法,,,第二章 公证机构,,第十条 公证机构的负责人应当在有三年以上执业经历的公证员中推选产生由所在地的司法行政部门核准报省、自治区、直辖市人民政府司法行政部门备案。
中华人民共和国公证法,,,第二章 公证机构,,第十一条 根据自然人、法人或者其他组织的申请公证机构办理下列公证事项职称、有无违法犯罪记录原本相符证事项。法律、行政法规规定应当公证的事项有关自然人、法人或者其他组织应当向公证机构申请办理公证。
中华人民共和国公证法,,,第二章 公证机构,,第十二条 根据自然人、法人或者其他组织的申请公证机构可以办理下列事务品、文书
中华人民共和国公证法,,,第二章 公证机构,,第十三条 公证机构不得有下列行为不正当手段争揽公证业务人隐私为。
中华人民共和国公证法,,,第二章 公证机构,,第十四条 公证机构应当建立业务、财务、资产等管理制度对公证员的执业行为进行监督建立执业过错责任追究制度。
中华人民共和国公证法,,,第二章 公证机构,,第十五条 公证机构应当参加公证执业责任保险。
中华人民共和国公证法,,,第三章 公证员,,第十六条 公证员是符合本法规定的条件在公证机构从事公证业务的执业人员。
中华人民共和国公证法,,,第三章 公证员,,第十七条 公证员的数量根据公证业务需要确定。省、自治区、直辖市人民政府司法行政部门应当根据公证机构的设置情况和公证业务的需要核定公证员配备方案报国务院司法行政部门备案。
中华人民共和国公证法,,,第三章 公证员,,第十八条 担任公证员应当具备下列条件职业经历并在公证机构实习一年以上经考核合格。
中华人民共和国公证法,,,第三章 公证员,,第十九条 从事法学教学、研究工作具有高级职称的人员或者具有本科以上学历从事审判、检察、法制工作、法律服务满十年的公务员、律师已经离开原工作岗位经考核合格的可以担任公证员。
中华人民共和国公证法,,,第三章 公证员,,第二十条 有下列情形之一的不得担任公证员
中华人民共和国公证法,,,第三章 公证员,,第二十一条 担任公证员应当由符合公证员条件的人员提出申请经公证机构推荐由所在地的司法行政部门报省、自治区、直辖市人民政府司法行政部门审核同意后报请国务院司法行政部门任命并由省、自治区、直辖市人民政府司法行政部门颁发公证员执业证书。
