文件名,编,分编,章,节,内容
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第一条 为了有利于发展国际经济贸易交往管理外国公司、企业和其它经济组织以下简称外国企业常驻中国的代表机构特制订本规定。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第二条 外国企业确有需要在中国设立常驻代表机构的必须提出申请经过批准办理登记手续。未经批准、登记的不得开展常驻业务活动。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第三条 外国企业申请在中国设立常驻代表机构时应当提交以下证件和材料一、由该企业董事长或者总经理签署的申请书内容包括常驻代表机构名称、负责人员、业务范围、驻在期限、驻在地点等二、由该企业所在国或者所在地区的有关当局出具的开业合法证书三、由同该企业有业务往来的金融机构出具的资本信用证明书四、该企业委任常驻代表机构人员的授权书和各该人员的简历。金融业、保险业申请设立常驻代表机构除应当按照前款第一、二、四项规定提交证件和材料外还应当同时提交该总公司的资负和损益年报、组织章程、董事会董事名单。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第四条 外国企业设立常驻代表机构的申请分别由下列机关批准一、贸易商、制造厂商、货运代理商报请中华人民共和国对外贸易部批准二、金融业、保险业报请中国人民银行批准三、海运业、海运代理商报请中华人民共和国交通部批准四、航空运输业报请中国民用航空总局批准五、其它行业按照业务性质报请中华人民共和国政府的主管委、部、局批准。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第五条 外国企业设立常驻代表机构的申请获得批准后应当在批准之日起的三十天内持批准证件向中华人民共和国工商行政管理总局办理登记手续填写登记表缴纳登记费领取登记证。逾期没有办理登记手续的应当缴回原批准证件。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第六条 常驻代表机构按照第四条规定获得批准后其人员和家属应当持批准证件向当地公安机关申请办理居留手续领取居留证件。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第七条 常驻代表机构要求变更机构名称、负责人员、业务范围、驻在期限、驻在地点时应当向原批准机关提出申请获得批准后持批准证件向中华人民共和国工商行政管理总局办理变更登记手续缴纳变更登记费并向当地公安机关申请办理居留证件的变更手续。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第八条 常驻代表机构应当持登记证按照中国银行的有关规定在中国银行或者中国银行指定的银行开立帐户。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第九条 常驻代表机构及其人员应当遵照中国税法规定向当地税务机关办理纳税登记手续照章纳税。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十条 常驻代表机构及其人员进口所需要的办公、生活用品和交通工具应当向中国海关申报并照章缴纳关税和工商统一税。进口的交通车辆船舶应当向当地公安机关登记领取牌照、执照并向当地税务机关缴纳车辆、船舶使用牌照税。上述进口物品不得私自转让、出售。需要转让、出售的应当事先向海关提出申请获取批准。出售进口物品只准售予指定商店。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十一条 常驻代表机构租用房屋、聘请工作人员应当委托当地外事服务单位或者中国政府指定的其它单位办理。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十二条 中华人民共和国政府依法保护常驻代表机构及其人员的合法权益并对其正常业务活动提供方便。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十三条 常驻代表机构不得在中国境内架设电台。对于业务需要的商业性电信线路、通信设备等应当向当地电信局申请租用。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十四条 常驻代表机构的人员及其家属在中国的一切活动和进出中国国境都应当遵守中国的法律、法令和有关规定。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十五条 常驻代表机构及其人员违反本规定或者有其它违法活动中国有关主管机关有权进行检查和依法处理。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十六条 常驻代表机构驻在期限届满或者提前终止业务活动应当在终止业务活动的三十天前以书面通知原批准机关并于债务、税务和其它有关事宜清理完毕后向原发登记证机关办理注销登记缴销登记证。原外国企业对其常驻代表机构的未了事宜应当继续承担责任。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十七条 已经批准设立的常驻代表机构应当在本规定公布之日起的三十天内持批准证件向中华人民共和国工商行政管理总局补办登记手续。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十八条 本规定未尽事宜应当根据中国有关法律、法令和规定办理。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第十九条 外国企业在中国设立常驻代表都比照设立常驻代表机构适用本规定。
中华人民共和国国务院关于管理外国企业常驻代表机构的暂行规定,,,,,第二十条 本规定自公布之日起施行。
