文件名,编,分编,章,节,内容
中华人民共和国抗旱条例,,,第一章 总则,,第一条 为了预防和减轻干旱灾害及其造成的损失保障生活用水协调生产、生态用水促进经济社会全面、协调、可持续发展根据《中华人民共和国水法》制定本条例。
中华人民共和国抗旱条例,,,第一章 总则,,第二条 在中华人民共和国境内从事预防和减轻干旱灾害的活动应当遵守本条例。本条例所称干旱灾害是指由于降水减少、水工程供水不足引起的用水短缺并对生活、生产和生态造成危害的事件。
中华人民共和国抗旱条例,,,第一章 总则,,第三条 抗旱工作坚持以人为本、预防为主、防抗结合和因地制宜、统筹兼顾、局部利益服从全局利益的原则。
中华人民共和国抗旱条例,,,第一章 总则,,第四条 县级以上人民政府应当将抗旱工作纳入本级国民经济和社会发展规划所需经费纳入本级财政预算保障抗旱工作的正常开展。
中华人民共和国抗旱条例,,,第一章 总则,,第五条 抗旱工作实行各级人民政府行政首长负责制统一指挥、部门协作、分级负责。
中华人民共和国抗旱条例,,,第一章 总则,,第六条 国家防汛抗旱总指挥部负责组织、领导全国的抗旱工作。国务院水行政主管部门负责全国抗旱的指导、监督、管理工作承担国家防汛抗旱总指挥部的具体工作。国家防汛抗旱总指挥部的其他成员单位按照各自职责负责有关抗旱工作。
中华人民共和国抗旱条例,,,第一章 总则,,第七条 国家确定的重要江河、湖泊的防汛抗旱指挥机构由有关省、自治区、直辖市人民政府和该江河、湖泊的流域管理机构组成负责协调所辖范围内的抗旱工作流域管理机构承担流域防汛抗旱指挥机构的具体工作。
中华人民共和国抗旱条例,,,第一章 总则,,第八条 县级以上地方人民政府防汛抗旱指挥机构在上级防汛抗旱指挥机构和本级人民政府的领导下负责组织、指挥本行政区域内的抗旱工作。县级以上地方人民政府水行政主管部门负责本行政区域内抗旱的指导、监督、管理工作承担本级人民政府防汛抗旱指挥机构的具体工作。县级以上地方人民政府防汛抗旱指挥机构的其他成员单位按照各自职责负责有关抗旱工作。
中华人民共和国抗旱条例,,,第一章 总则,,第九条 县级以上人民政府应当加强水利基础设施建设完善抗旱工程体系提高抗旱减灾能力。
中华人民共和国抗旱条例,,,第一章 总则,,第十条 各级人民政府、有关部门应当开展抗旱宣传教育活动增强全社会抗旱减灾意识鼓励和支持各种抗旱科学技术研究及其成果的推广应用。
中华人民共和国抗旱条例,,,第一章 总则,,第十一条 任何单位和个人都有保护抗旱设施和依法参加抗旱的义务。
中华人民共和国抗旱条例,,,第一章 总则,,第十二条 对在抗旱工作中做出突出贡献的单位和个人按照国家有关规定给予表彰和奖励。
中华人民共和国抗旱条例,,,第二章 旱灾预防,,第十三条 县级以上地方人民政府水行政主管部门会同同级有关部门编制本行政区域的抗旱规划报本级人民政府批准后实施并抄送上一级人民政府水行政主管部门。
中华人民共和国抗旱条例,,,第二章 旱灾预防,,第十四条 编制抗旱规划应当充分考虑本行政区域的国民经济和社会发展水平、水资源综合开发利用情况、干旱规律和特点、可供水资源量和抗旱能力以及城乡居民生活用水、工农业生产和生态用水的需求。抗旱规划应当与水资源开发利用等规划相衔接。下级抗旱规划应当与上一级的抗旱规划相协调。
中华人民共和国抗旱条例,,,第二章 旱灾预防,,第十五条 抗旱规划应当主要包括抗旱组织体系建设、抗旱应急水源建设、抗旱应急设施建设、抗旱物资储备、抗旱服务组织建设、旱情监测网络建设以及保障措施等。
