文件名,编,分编,章,节,内容
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第一条 为了及时有效地搜寻援救遇到紧急情况的民用航空器避免或者减少人员伤亡和财产损失制定本规定。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第二条 本规定适用于中华人民共和国领域内以及中华人民共和国缔结或者参加的国际条约规定由中国承担搜寻援救工作的公海区域内搜寻援救民用航空器的活动。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第三条 海上搜寻援救民用航空器除适用本规定外并应当遵守国务院有关海上搜寻援救的规定。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第四条 搜寻援救民用航空器按照下列规定分工负责国范围的搜寻援救民用航空器的工作地搜寻援救民用航空器的工作民用航空地区管理局以下简称地区管理局予以协助器工作有关部门予以配合。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第五条 民航局搜寻援救协调中心和地区管理局搜寻援救协调中心承担陆上搜寻援救民用航空器的协调工作。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第六条 中华人民共和国领域内以及中华人民共和国缔结或者参加的国际条约规定由中国承担搜寻援救工作的公海区域内为中华人民共和国民用航空搜寻援救区该区域内划分若干地区民用航空搜寻援救区具体地区划分范围由民航局公布。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第七条 使用航空器执行搜寻援救任务以民用航空力量为主民用航空搜寻援救力量不足的由军队派出航空器给予支援。
中华人民共和国搜寻援救民用航空器规定,,,第一章 总则,,第八条 为执行搜寻援救民用航空器的紧急任务有关地方、部门、单位和人员必须积极行动互相配合努力完成任务对执行搜寻援救任务成绩突出的单位和个人由其上级机关给予奖励。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第九条 各地区管理局应当拟定在陆上使用航空器搜寻援救民用航空器的方案经民航局批准后报有关省、自治区、直辖市人民政府备案。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十条 沿海省、自治区、直辖市海上搜寻援救组织应当拟定在海上使用船舶、航空器搜寻援救民用航空器的方案经国家海上搜寻援救组织批准后报省、自治区、直辖市人民政府和民航局备案同时抄送有关地区管理局。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十一条 搜寻援救民用航空器方案应当包括下列内容器、船舶的类型以及日常准备工作的规定救的区域和有关保障工作方面的规定面的规定航空器、舰艇支援的规定。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十二条 地区管理局和沿海省、自治区、直辖市海上搜寻援救组织应当按照批准的方案定期组织演习。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十三条 搜寻援救民用航空器的通信联络应当符合下列规定航空器应当配备 1215 兆赫航空紧急频率的通信设备并逐步配备 243 兆赫航空紧急频率的通信设备千赫海上遇险频率的通信设备遇险民用航空器所发出的航空器紧急示位信标归航设备以及在 1568 兆赫调频频率上同搜寻援救船舶联络的通信设备。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十四条 地区管理局搜寻援救协调中心应当同有关省、自治区、直辖市海上搜寻援救组织建立直接的通信联络。
中华人民共和国搜寻援救民用航空器规定,,,第二章 搜寻援救的准备,,第十五条 向遇险待救人员空投救生物品由执行搜寻援救任务的单位按照下列规定负责准备色。每一容器或者包装内应当装有用汉语、英语和另选一种语言的救生物品使用说明。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第十六条 发现或者收听到民用航空器遇到紧急情况的单位或者个人应当立即通知有关地区管理局搜寻援救协调中心发现失事的民用航空器其位置在陆地的并应当同时通知当地政府其位置在海上的并应当同时通知当地海上搜寻援救组织。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第十七条 地区管理局搜寻援救协调中心收到民用航空器紧急情况的信息后必须立即做出判断分别按照本规定第十九条、第二十条、第二十一条的规定采取搜寻援救措施并及时向民航局搜寻援救协调中心以及有关单位报告或者通报。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第十八条 本规定所指民用航空器的紧急情况分为以下三个阶段疑虑的情况1空中交通管制部门在规定的时间内同民用航空器没有取得联络2民用航空器在规定的时间内没有降落并且没有其他信息。的情况1对情况不明阶段的民用航空器仍然不能同其沟通联络2民用航空器的飞行能力受到损害但是尚未达到迫降的程度3与已经允许降落的民用航空器失去通信联络并且该民用航空器在预计降落时间后 5 分钟内没有降落。危险需要立即进行援救的情况1根据油量计算告警阶段的民用航空器难以继续飞行2民用航空器的飞行能力受到严重损害达到迫降程度3民用航空器已经迫降或者坠毁。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第十九条 对情况不明阶段的民用航空器地区管理局搜寻援救协调中心应当等设施搜寻掌握该民用航空器的空中位置置。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十条 对告警阶段的民用航空器地区管理局搜寻援救协调中心应当命执行任务状态继续进行联络和搜寻组织引导其在就近机场降落分钟内还没有降落的民用航空器的情况并进行处理。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十一条 对遇险阶段的民用航空器地区管理局搜寻援救协调中心应当可能遇险的区域并通知搜寻援救单位派人或者派航空器、船舶立即进行搜寻援救空器通知搜寻援救单位派航空器进行护航或者根据预定迫降地点派人或者派航空器、船舶前往援救的立即报告省、自治区、直辖市人民政府其位置在海上的立即通报沿海有关省、自治区、直辖市的海上搜寻援救组织。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十二条 省、自治区、直辖市人民政府或者沿海省、自治区、直辖市海上搜寻援救组织收到关于民用航空器迫降或者失事的报告或者通报后应当立即组织有关方面和当地驻军进行搜寻援救并指派现场负责人。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十三条 现场负责人的主要职责是必须变动现场时应当进行拍照或者录相
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十四条 指派的现场负责人未到达现场的由第一个到达现场的援救单位的有关人员担任现场临时负责人行使本规定第二十三条规定的职责并负责向到达后的现场负责人移交工作。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十五条 对处于紧急情况下的民用航空器地区管理局搜寻援救协调中心应当设法将已经采取的援救措施通报该民用航空器机组。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十六条 执行搜寻援救任务的航空器与船舶、遇险待救人员、搜寻援救工作组之间应当使用无线电进行联络。条件不具备或者无线电联络失效的应当依照本规定附录规定的国际通用的《搜寻援救的信号》进行联络。
中华人民共和国搜寻援救民用航空器规定,,,第三章 搜寻援救的实施,,第二十七条 民用航空器的紧急情况已经不存在或者可以结束搜寻援救工作的地区管理局搜寻援救协调中心应当按照规定程序及时向有关单位发出解除紧急情况的通知。
中华人民共和国搜寻援救民用航空器规定,,,第四章 罚则,,第二十八条 对违反本规定有下列行为之一的人员由其所在单位或者上级机关给予行政处分构成犯罪的依法追究刑事责任的贻误时机造成损失的。
中华人民共和国搜寻援救民用航空器规定,,,第五章 附则,,第二十九条 航空器执行搜寻援救任务所需经费国家可以给予一定补贴。具体补贴办法由有关部门会同财政部门协商解决。
中华人民共和国搜寻援救民用航空器规定,,,第五章 附则,,第三十条 本规定由民航局负责解释。
中华人民共和国搜寻援救民用航空器规定,,,第五章 附则,,第三十一条 本规定自发布之日起施行。
