文件名,编,分编,章,节,内容
中华人民共和国文物保护法,,,第一章 总 则,,第一条 为了加强对文物的保护传承中华民族优秀历史文化遗产促进科学研究工作进行爱国主义和革命传统教育增强历史自觉、坚定文化自信建设社会主义精神文明和物质文明根据宪法制定本法。
中华人民共和国文物保护法,,,第一章 总 则,,第二条 文物受国家保护。本法所称文物是指人类创造的或者与人类活动有关的具有历史、艺术、科学价值的下列物质遗存壁画具有重要纪念意义、教育意义或者史料价值的近代现代重要史迹、实物、代表性建筑会生活的代表性实物。文物认定的主体、标准和程序由国务院规定并公布。具有科学价值的古脊椎动物化石和古人类化石同文物一样受国家保护。
中华人民共和国文物保护法,,,第一章 总 则,,第三条 文物分为不可移动文物和可移动文物。古文化遗址、古墓葬、古建筑、石窟寺、古石刻、古壁画、近代现代重要史迹和代表性建筑等不可移动文物分为文物保护单位和未核定公布为文物保护单位的不可移动文物以下称未定级不可移动文物文物保护单位分为全国重点文物保护单位省级文物保护单位设区的市级、县级文物保护单位。历史上各时代重要实物、艺术品、工艺美术品、文献资料、手稿、图书资料、代表性实物等可移动文物分为珍贵文物和一般文物珍贵文物分为一级文物、二级文物、三级文物。
中华人民共和国文物保护法,,,第一章 总 则,,第四条 文物工作坚持中国共产党的领导坚持以社会主义核心价值观为引领贯彻保护为主、抢救第一、合理利用、加强管理的方针。
中华人民共和国文物保护法,,,第一章 总 则,,第五条 中华人民共和国境内地下、内水和领海中遗存的一切文物以及中国管辖的其他海域内遗存的起源于中国的和起源国不明的文物属于国家所有。古文化遗址、古墓葬、石窟寺属于国家所有。国家指定保护的纪念建筑物、古建筑、古石刻、古壁画、近代现代代表性建筑等不可移动文物除国家另有规定的以外属于国家所有。国有不可移动文物的所有权不因其所依附的土地的所有权或者使用权的改变而改变。
中华人民共和国文物保护法,,,第一章 总 则,,第六条 下列可移动文物属于国家所有内出土、出水的文物国家另有规定的除外业、事业单位等收藏、保管的文物国有可移动文物的所有权不因其收藏、保管单位的终止或者变更而改变。
中华人民共和国文物保护法,,,第一章 总 则,,第七条 国有文物所有权受法律保护不容侵犯。属于集体所有和私人所有的纪念建筑物、古建筑和祖传文物以及依法取得的其他文物其所有权受法律保护。文物的所有者必须遵守国家有关文物保护的法律、法规的规定。
中华人民共和国文物保护法,,,第一章 总 则,,第八条 一切机关、组织和个人都有依法保护文物的义务。
中华人民共和国文物保护法,,,第一章 总 则,,第九条 国务院文物行政部门主管全国文物保护工作。地方各级人民政府负责本行政区域内的文物保护工作。县级以上地方人民政府文物行政部门对本行政区域内的文物保护实施监督管理。县级以上人民政府有关部门在各自的职责范围内负责有关的文物保护工作。
中华人民共和国文物保护法,,,第一章 总 则,,第十条 国家发展文物保护事业贯彻落实保护第一、加强管理、挖掘价值、有效利用、让文物活起来的工作要求。
