文件名,编,分编,章,节,内容
中华人民共和国法官法,,,第一章 总 则,,第一条 为了全面推进高素质法官队伍建设加强对法官的管理和监督维护法官合法权益保障人民法院依法独立行使审判权保障法官依法履行职责保障司法公正根据宪法制定本法。
中华人民共和国法官法,,,第一章 总 则,,第二条 法官是依法行使国家审判权的审判人员包括最高人民法院、地方各级人民法院和军事法院等专门人民法院的院长、副院长、审判委员会委员、庭长、副庭长和审判员。
中华人民共和国法官法,,,第一章 总 则,,第三条 法官必须忠实执行宪法和法律维护社会公平正义全心全意为人民服务。
中华人民共和国法官法,,,第一章 总 则,,第四条 法官应当公正对待当事人和其他诉讼参与人对一切个人和组织在适用法律上一律平等。
中华人民共和国法官法,,,第一章 总 则,,第五条 法官应当勤勉尽责清正廉明恪守职业道德。
中华人民共和国法官法,,,第一章 总 则,,第六条 法官审判案件应当以事实为根据以法律为准绳秉持客观公正的立场。
中华人民共和国法官法,,,第一章 总 则,,第七条 法官依法履行职责受法律保护不受行政机关、社会团体和个人的干涉。
中华人民共和国法官法,,,第二章 法官的职责、义务和权利,,第八条 法官的职责诉讼以及国家赔偿等案件法官在职权范围内对所办理的案件负责。
中华人民共和国法官法,,,第二章 法官的职责、义务和权利,,第九条 人民法院院长、副院长、审判委员会委员、庭长、副庭长除履行审判职责外还应当履行与其职务相适应的职责。
中华人民共和国法官法,,,第二章 法官的职责、义务和权利,,第十条 法官应当履行下列义务法权益商业秘密和个人隐私予以保密进法治社会建设
中华人民共和国法官法,,,第二章 法官的职责、义务和权利,,第十一条 法官享有下列权利职、辞退或者处分
中华人民共和国法官法,,,第三章 法官的条件和遴选,,第十二条 担任法官必须具备下列条件会主义制度学位或者普通高等学校非法学类本科及以上学历并获得法律硕士、法学硕士及以上学位或者普通高等学校非法学类本科及以上学历获得其他相应学位并具有法律专业知识学位或者获得法学博士学位的从事法律工作的年限可以分别放宽至四年、三年律职业资格。适用前款第五项规定的学历条件确有困难的地方经最高人民法院审核确定在一定期限内可以将担任法官的学历条件放宽为高等学校本科毕业。
中华人民共和国法官法,,,第三章 法官的条件和遴选,,第十三条 下列人员不得担任法官的
中华人民共和国法官法,,,第三章 法官的条件和遴选,,第十四条 初任法官采用考试、考核的办法按照德才兼备的标准从具备法官条件的人员中择优提出人选。人民法院的院长应当具有法学专业知识和法律职业经历。副院长、审判委员会委员应当从法官、检察官或者其他具备法官条件的人员中产生。
中华人民共和国法官法,,,第三章 法官的条件和遴选,,第十五条 人民法院可以根据审判工作需要从律师或者法学教学、研究人员等从事法律职业的人员中公开选拔法官。除应当具备法官任职条件外参加公开选拔的律师应当实际执业不少于五年执业经验丰富从业声誉良好参加公开选拔的法学教学、研究人员应当具有中级以上职称从事教学、研究工作五年以上有突出研究能力和相应研究成果。
中华人民共和国法官法,,,第三章 法官的条件和遴选,,第十六条 省、自治区、直辖市设立法官遴选委员会负责初任法官人选专业能力的审核。省级法官遴选委员会的组成人员应当包括地方各级人民法院法官代表、其他从事法律职业的人员和有关方面代表其中法官代表不少于三分之一。省级法官遴选委员会的日常工作由高级人民法院的内设职能部门承担。遴选最高人民法院法官应当设立最高人民法院法官遴选委员会负责法官人选专业能力的审核。
