文件名,编,分编,章,节,内容
中华人民共和国特种设备安全法,,,第一章 总则,,第一条 为了加强特种设备安全工作预防特种设备事故保障人身和财产安全促进经济社会发展制定本法。
中华人民共和国特种设备安全法,,,第一章 总则,,第二条 特种设备的生产包括设计、制造、安装、改造、修理、经营、使用、检验、检测和特种设备安全的监督管理适用本法。本法所称特种设备是指对人身和财产安全有较大危险性的锅炉、压力容器含气瓶、压力管道、电梯、起重机械、客运索道、大型游乐设施、场厂内专用机动车辆以及法律、行政法规规定适用本法的其他特种设备。国家对特种设备实行目录管理。特种设备目录由国务院负责特种设备安全监督管理的部门制定报国务院批准后执行。
中华人民共和国特种设备安全法,,,第一章 总则,,第三条 特种设备安全工作应当坚持安全第一、预防为主、节能环保、综合治理的原则。
中华人民共和国特种设备安全法,,,第一章 总则,,第四条 国家对特种设备的生产、经营、使用实施分类的、全过程的安全监督管理。
中华人民共和国特种设备安全法,,,第一章 总则,,第五条 国务院负责特种设备安全监督管理的部门对全国特种设备安全实施监督管理。县级以上地方各级人民政府负责特种设备安全监督管理的部门对本行政区域内特种设备安全实施监督管理。
中华人民共和国特种设备安全法,,,第一章 总则,,第六条 国务院和地方各级人民政府应当加强对特种设备安全工作的领导督促各有关部门依法履行监督管理职责。县级以上地方各级人民政府应当建立协调机制及时协调、解决特种设备安全监督管理中存在的问题。
中华人民共和国特种设备安全法,,,第一章 总则,,第七条 特种设备生产、经营、使用单位应当遵守本法和其他有关法律、法规建立、健全特种设备安全和节能责任制度加强特种设备安全和节能管理确保特种设备生产、经营、使用安全符合节能要求。
中华人民共和国特种设备安全法,,,第一章 总则,,第八条 特种设备生产、经营、使用、检验、检测应当遵守有关特种设备安全技术规范及相关标准。特种设备安全技术规范由国务院负责特种设备安全监督管理的部门制定。
中华人民共和国特种设备安全法,,,第一章 总则,,第九条 特种设备行业协会应当加强行业自律推进行业诚信体系建设提高特种设备安全管理水平。
中华人民共和国特种设备安全法,,,第一章 总则,,第十条 国家支持有关特种设备安全的科学技术研究鼓励先进技术和先进管理方法的推广应用对做出突出贡献的单位和个人给予奖励。
中华人民共和国特种设备安全法,,,第一章 总则,,第十一条 负责特种设备安全监督管理的部门应当加强特种设备安全宣传教育普及特种设备安全知识增强社会公众的特种设备安全意识。
中华人民共和国特种设备安全法,,,第一章 总则,,第十二条 任何单位和个人有权向负责特种设备安全监督管理的部门和有关部门举报涉及特种设备安全的违法行为接到举报的部门应当及时处理。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第一节 一般规定,第十三条 特种设备生产、经营、使用单位及其主要负责人对其生产、经营、使用的特种设备安全负责。特种设备生产、经营、使用单位应当按照国家有关规定配备特种设备安全管理人员、检测人员和作业人员并对其进行必要的安全教育和技能培训。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第一节 一般规定,第十四条 特种设备安全管理人员、检测人员和作业人员应当按照国家有关规定取得相应资格方可从事相关工作。特种设备安全管理人员、检测人员和作业人员应当严格执行安全技术规范和管理制度保证特种设备安全。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第一节 一般规定,第十五条 特种设备生产、经营、使用单位对其生产、经营、使用的特种设备应当进行自行检测和维护保养对国家规定实行检验的特种设备应当及时申报并接受检验。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第一节 一般规定,第十六条 特种设备采用新材料、新技术、新工艺与安全技术规范的要求不一致或者安全技术规范未作要求、可能对安全性能有重大影响的应当向国务院负责特种设备安全监督管理的部门申报由国务院负责特种设备安全监督管理的部门及时委托安全技术咨询机构或者相关专业机构进行技术评审评审结果经国务院负责特种设备安全监督管理的部门批准方可投入生产、使用。国务院负责特种设备安全监督管理的部门应当将允许使用的新材料、新技术、新工艺的有关技术要求及时纳入安全技术规范。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第一节 一般规定,第十七条 国家鼓励投保特种设备安全责任保险。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第十八条 国家按照分类监督管理的原则对特种设备生产实行许可制度。特种设备生产单位应当具备下列条件并经负责特种设备安全监督管理的部门许可方可从事生产活动
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第十九条 特种设备生产单位应当保证特种设备生产符合安全技术规范及相关标准的要求对其生产的特种设备的安全性能负责。不得生产不符合安全性能要求和能效指标以及国家明令淘汰的特种设备。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十条 锅炉、气瓶、氧舱、客运索道、大型游乐设施的设计文件应当经负责特种设备安全监督管理的部门核准的检验机构鉴定方可用于制造。特种设备产品、部件或者试制的特种设备新产品、新部件以及特种设备采用的新材料按照安全技术规范的要求需要通过型式试验进行安全性验证的应当经负责特种设备安全监督管理的部门核准的检验机构进行型式试验。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十一条 特种设备出厂时应当随附安全技术规范要求的设计文件、产品质量合格证明、安装及使用维护保养说明、监督检验证明等相关技术资料和文件并在特种设备显著位置设置产品铭牌、安全警示标志及其说明。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十二条 电梯的安装、改造、修理必须由电梯制造单位或者其委托的依照本法取得相应许可的单位进行。电梯制造单位委托其他单位进行电梯安装、改造、修理的应当对其安装、改造、修理进行安全指导和监控并按照安全技术规范的要求进行校验和调试。电梯制造单位对电梯安全性能负责。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十三条 特种设备安装、改造、修理的施工单位应当在施工前将拟进行的特种设备安装、改造、修理情况书面告知直辖市或者设区的市级人民政府负责特种设备安全监督管理的部门。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十四条 特种设备安装、改造、修理竣工后安装、改造、修理的施工单位应当在验收后三十日内将相关技术资料和文件移交特种设备使用单位。特种设备使用单位应当将其存入该特种设备的安全技术档案。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十五条 锅炉、压力容器、压力管道元件等特种设备的制造过程和锅炉、压力容器、压力管道、电梯、起重机械、客运索道、大型游乐设施的安装、改造、重大修理过程应当经特种设备检验机构按照安全技术规范的要求进行监督检验未经监督检验或者监督检验不合格的不得出厂或者交付使用。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第二节 生产,第二十六条 国家建立缺陷特种设备召回制度。因生产原因造成特种设备存在危及安全的同一性缺陷的特种设备生产单位应当立即停止生产主动召回。国务院负责特种设备安全监督管理的部门发现特种设备存在应当召回而未召回的情形时应当责令特种设备生产单位召回。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第三节 经营,第二十七条 特种设备销售单位销售的特种设备应当符合安全技术规范及相关标准的要求其设计文件、产品质量合格证明、安装及使用维护保养说明、监督检验证明等相关技术资料和文件应当齐全。特种设备销售单位应当建立特种设备检查验收和销售记录制度。禁止销售未取得许可生产的特种设备未经检验和检验不合格的特种设备或者国家明令淘汰和已经报废的特种设备。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第三节 经营,第二十八条 特种设备出租单位不得出租未取得许可生产的特种设备或者国家明令淘汰和已经报废的特种设备以及未按照安全技术规范的要求进行维护保养和未经检验或者检验不合格的特种设备。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第三节 经营,第二十九条 特种设备在出租期间的使用管理和维护保养义务由特种设备出租单位承担法律另有规定或者当事人另有约定的除外。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第三节 经营,第三十条 进口的特种设备应当符合我国安全技术规范的要求并经检验合格需要取得我国特种设备生产许可的应当取得许可。进口特种设备随附的技术资料和文件应当符合本法第二十一条的规定其安装及使用维护保养说明、产品铭牌、安全警示标志及其说明应当采用中文。特种设备的进出口检验应当遵守有关进出口商品检验的法律、行政法规。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第三节 经营,第三十一条 进口特种设备应当向进口地负责特种设备安全监督管理的部门履行提前告知义务。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第四节 使用,第三十二条 特种设备使用单位应当使用取得许可生产并经检验合格的特种设备。禁止使用国家明令淘汰和已经报废的特种设备。
中华人民共和国特种设备安全法,,,第二章 生产、经营、使用,第四节 使用,第三十三条 特种设备使用单位应当在特种设备投入使用前或者投入使用后三十日内向负责特种设备安全监督管理的部门办理使用登记取得使用登记证书。登记标志应当置于该特种设备的显著位置。
