文件名,编,分编,章,节,内容
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第一条 为了实施知识产权海关保护促进对外经济贸易和科技文化交往维护公共利益根据《中华人民共和国海关法》制定本条例。
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第二条 本条例所称知识产权海关保护是指海关对与进出口货物有关并受中华人民共和国法律、行政法规保护的商标专用权、著作权和与著作权有关的权利、专利权以下统称知识产权实施的保护。
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第三条 国家禁止侵犯知识产权的货物进出口。海关依照有关法律和本条例的规定实施知识产权保护行使《中华人民共和国海关法》规定的有关权力。
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第四条 知识产权权利人请求海关实施知识产权保护的应当向海关提出采取保护措施的申请。
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第五条 进口货物的收货人或者其代理人、出口货物的发货人或者其代理人应当按照国家规定向海关如实申报与进出口货物有关的知识产权状况并提交有关证明文件。
中华人民共和国知识产权海关保护条例,,,第一章 总则,,第六条 海关实施知识产权保护时应当保守有关当事人的商业秘密。
中华人民共和国知识产权海关保护条例,,,第二章 知识产权的备案,,第七条 知识产权权利人可以依照本条例的规定将其知识产权向海关总署申请备案申请备案的应当提交申请书。申请书应当包括下列内容地、进出境地海关、进出口商、主要特征、价格等地海关、主要特征、价格等。前款规定的申请书内容有证明文件的知识产权权利人应当附送证明文件。
中华人民共和国知识产权海关保护条例,,,第二章 知识产权的备案,,第八条 海关总署应当自收到全部申请文件之日起 30 个工作日内作出是否准予备案的决定并书面通知申请人不予备案的应当说明理由。有下列情形之一的海关总署不予备案
中华人民共和国知识产权海关保护条例,,,第二章 知识产权的备案,,第九条 海关发现知识产权权利人申请知识产权备案未如实提供有关情况或者文件的海关总署可以撤销其备案。
中华人民共和国知识产权海关保护条例,,,第二章 知识产权的备案,,第十条 知识产权海关保护备案自海关总署准予备案之日起生效有效期为 10 年。知识产权有效的知识产权权利人可以在知识产权海关保护备案有效期届满前 6 个月内向海关总署申请续展备案。每次续展备案的有效期为 10 年。知识产权海关保护备案有效期届满而不申请续展或者知识产权不再受法律、行政法规保护的知识产权海关保护备案随即失效。
中华人民共和国知识产权海关保护条例,,,第二章 知识产权的备案,,第十一条 知识产权备案情况发生改变的知识产权权利人应当自发生改变之日起 30 个工作日内向海关总署办理备案变更或者注销手续。知识产权权利人未依照前款规定办理变更或者注销手续给他人合法进出口或者海关依法履行监管职责造成严重影响的海关总署可以根据有关利害关系人的申请撤销有关备案也可以主动撤销有关备案。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十二条 知识产权权利人发现侵权嫌疑货物即将进出口的可以向货物进出境地海关提出扣留侵权嫌疑货物的申请。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十三条 知识产权权利人请求海关扣留侵权嫌疑货物的应当提交申请书及相关证明文件并提供足以证明侵权事实明显存在的证据。申请书应当包括下列主要内容侵权嫌疑货物涉嫌侵犯备案知识产权的申请书还应当包括海关备案号。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十四条 知识产权权利人请求海关扣留侵权嫌疑货物的应当向海关提供不超过货物等值的担保用于赔偿可能因申请不当给收货人、发货人造成的损失以及支付货物由海关扣留后的仓储、保管和处置等费用知识产权权利人直接向仓储商支付仓储、保管费用的从担保中扣除。具体办法由海关总署制定。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十五条 知识产权权利人申请扣留侵权嫌疑货物符合本条例第十三条的规定并依照本条例第十四条的规定提供担保的海关应当扣留侵权嫌疑货物书面通知知识产权权利人并将海关扣留凭单送达收货人或者发货人。知识产权权利人申请扣留侵权嫌疑货物不符合本条例第十三条的规定或者未依照本条例第十四条的规定提供担保的海关应当驳回申请并书面通知知识产权权利人。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十六条 海关发现进出口货物有侵犯备案知识产权嫌疑的应当立即书面通知知识产权权利人。知识产权权利人自通知送达之日起 3 个工作日内依照本条例第十三条的规定提出申请并依照本条例第十四条的规定提供担保的海关应当扣留侵权嫌疑货物书面通知知识产权权利人并将海关扣留凭单送达收货人或者发货人。知识产权权利人逾期未提出申请或者未提供担保的海关不得扣留货物。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十七条 经海关同意知识产权权利人和收货人或者发货人可以查看有关货物。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十八条 收货人或者发货人认为其货物未侵犯知识产权权利人的知识产权的应当向海关提出书面说明并附送相关证据。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第十九条 涉嫌侵犯专利权货物的收货人或者发货人认为其进出口货物未侵犯专利权的可以在向海关提供货物等值的担保金后请求海关放行其货物。知识产权权利人未能在合理期限内向人民法院起诉的海关应当退还担保金。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第二十条 海关发现进出口货物有侵犯备案知识产权嫌疑并通知知识产权权利人后知识产权权利人请求海关扣留侵权嫌疑货物的海关应当自扣留之日起 30 个工作日内对被扣留的侵权嫌疑货物是否侵犯知识产权进行调查、认定不能认定的应当立即书面通知知识产权权利人。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第二十一条 海关对被扣留的侵权嫌疑货物进行调查请求知识产权主管部门提供协助的有关知识产权主管部门应当予以协助。知识产权主管部门处理涉及进出口货物的侵权案件请求海关提供协助的海关应当予以协助。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第二十二条 海关对被扣留的侵权嫌疑货物及有关情况进行调查时知识产权权利人和收货人或者发货人应当予以配合。
中华人民共和国知识产权海关保护条例,,,第三章 扣留侵权嫌疑货物的申请及其处理,,第二十三条 知识产权权利人在向海关提出采取保护措施的申请后可以依照《中华人民共和国商标法》、《中华人民共和国著作权法》、《中华人民共和国专利法》或者其他有关法律的规定就被扣留的侵权嫌疑货物向人民法院申请采取责令停止侵权行为或者财产保全的措施。海关收到人民法院有关责令停止侵权行为或者财产保全的协助执行通知的应当予以协助。
