文件名,编,分编,章,节,内容
中华人民共和国红十字会法,,,第一章 总则,,第一条 为了保护人的生命和健康维护人的尊严发扬人道主义精神促进和平进步事业保障和规范红十字会依法履行职责制定本法。
中华人民共和国红十字会法,,,第一章 总则,,第二条 中国红十字会是中华人民共和国统一的红十字组织是从事人道主义工作的社会救助团体。
中华人民共和国红十字会法,,,第一章 总则,,第三条 中华人民共和国公民不分民族、种族、性别、职业、宗教信仰、教育程度承认中国红十字会章程并缴纳会费的可以自愿参加中国红十字会。企业、事业单位及有关团体通过申请可以成为红十字会的团体会员。国家鼓励自然人、法人以及其他组织参与红十字志愿服务。国家支持在学校开展红十字青少年工作。
中华人民共和国红十字会法,,,第一章 总则,,第四条 中国红十字会应当遵守宪法和法律遵循国际红十字和红新月运动确立的基本原则依照中国批准或者加入的日内瓦公约及其附加议定书和中国红十字会章程独立自主地开展工作。中国红十字会全国会员代表大会依法制定或者修改中国红十字会章程章程不得与宪法和法律相抵触。
中华人民共和国红十字会法,,,第一章 总则,,第五条 各级人民政府对红十字会给予支持和资助保障红十字会依法履行职责并对其活动进行监督。
中华人民共和国红十字会法,,,第一章 总则,,第六条 中国红十字会根据独立、平等、互相尊重的原则发展同各国红十字会和红新月会的友好合作关系。
中华人民共和国红十字会法,,,第二章 组织,,第七条 全国建立中国红十字会总会。中国红十字会总会对外代表中国红十字会。县级以上地方按行政区域建立地方各级红十字会根据实际工作需要配备专职工作人员。全国性行业根据需要可以建立行业红十字会。上级红十字会指导下级红十字会工作。
中华人民共和国红十字会法,,,第二章 组织,,第八条 各级红十字会设立理事会、监事会。理事会、监事会由会员代表大会选举产生向会员代表大会负责并报告工作接受其监督。理事会民主选举产生会长和副会长。理事会执行会员代表大会的决议。执行委员会是理事会的常设执行机构其人员组成由理事会决定向理事会负责并报告工作。监事会民主推选产生监事长和副监事长。理事会、执行委员会工作受监事会监督。
中华人民共和国红十字会法,,,第二章 组织,,第九条 中国红十字会总会可以设名誉会长和名誉副会长。名誉会长和名誉副会长由中国红十字会总会理事会聘请。
中华人民共和国红十字会法,,,第二章 组织,,第十条 中国红十字会总会具有社会团体法人资格地方各级红十字会、行业红十字会依法取得社会团体法人资格。
中华人民共和国红十字会法,,,第三章 职责,,第十一条 红十字会履行下列职责系。在战争、武装冲突和自然灾害、事故灾难、公共卫生事件等突发事件中对伤病人员和其他受害者提供紧急救援和人道救助健康知识组织志愿者参与现场救护与开展造血干细胞捐献的相关工作约及其附加议定书政府委托事宜活动。
中华人民共和国红十字会法,,,第三章 职责,,第十二条 在战争、武装冲突和自然灾害、事故灾难、公共卫生事件等突发事件中执行救援、救助任务并标有红十字标志的人员、物资和交通工具有优先通行的权利。
中华人民共和国红十字会法,,,第三章 职责,,第十三条 任何组织和个人不得阻碍红十字会工作人员依法履行救援、救助、救护职责。
中华人民共和国红十字会法,,,第四章 标志与名称,,第十四条 中国红十字会使用白底红十字标志。红十字标志具有保护作用和标明作用。红十字标志的保护使用是标示在战争、武装冲突中必须受到尊重和保护的人员和设备、设施。其使用办法依照日内瓦公约及其附加议定书的有关规定执行。红十字标志的标明使用是标示与红十字活动有关的人或者物。其使用办法由国务院和中央军事委员会依据本法规定。
中华人民共和国红十字会法,,,第四章 标志与名称,,第十五条 国家武装力量的医疗卫生机构使用红十字标志应当符合日内瓦公约及其附加议定书的有关规定。
中华人民共和国红十字会法,,,第四章 标志与名称,,第十六条 红十字标志和名称受法律保护。禁止利用红十字标志和名称牟利禁止以任何形式冒用、滥用、篡改红十字标志和名称。
中华人民共和国红十字会法,,,第五章 财产与监管,,第十七条 红十字会财产的主要来源
中华人民共和国红十字会法,,,第五章 财产与监管,,第十八条 国家对红十字会兴办的与其宗旨相符的公益事业给予扶持。
中华人民共和国红十字会法,,,第五章 财产与监管,,第十九条 红十字会可以依法进行募捐活动。募捐活动应当符合《中华人民共和国慈善法》的有关规定。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十条 红十字会依法接受自然人、法人以及其他组织捐赠的款物应当向捐赠人开具由财政部门统一监印制的公益事业捐赠票据。捐赠人匿名或者放弃接受捐赠票据的红十字会应当做好相关记录。捐赠人依法享受税收优惠。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十一条 红十字会应当按照募捐方案、捐赠人意愿或者捐赠协议处分其接受的捐赠款物。捐赠人有权查询、复制其捐赠财产管理使用的有关资料红十字会应当及时主动向捐赠人反馈有关情况。红十字会违反募捐方案、捐赠人意愿或者捐赠协议约定的用途滥用捐赠财产的捐赠人有权要求其改正拒不改正的捐赠人可以向人民政府民政部门投诉、举报或者向人民法院提起诉讼。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十二条 红十字会应当建立财务管理、内部控制、审计公开和监督检查制度。红十字会的财产使用应当与其宗旨相一致。红十字会对接受的境外捐赠款物应当建立专项审查监督制度。红十字会应当及时聘请依法设立的独立第三方机构对捐赠款物的收入和使用情况进行审计将审计结果向红十字会理事会和监事会报告并向社会公布。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十三条 红十字会应当建立健全信息公开制度规范信息发布在统一的信息平台及时向社会公布捐赠款物的收入和使用情况接受社会监督。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十四条 红十字会财产的收入和使用情况依法接受人民政府审计等部门的监督。红十字会接受社会捐赠及其使用情况依法接受人民政府民政部门的监督。
中华人民共和国红十字会法,,,第五章 财产与监管,,第二十五条 任何组织和个人不得私分、挪用、截留或者侵占红十字会的财产。
中华人民共和国红十字会法,,,第六章 法律责任,,第二十六条 红十字会及其工作人员有下列情形之一的由同级人民政府审计、民政等部门责令改正情节严重的对直接负责的主管人员和其他直接责任人员依法给予处分造成损害的依法承担民事责任构成犯罪的依法追究刑事责任其接受的捐赠款物的
中华人民共和国红十字会法,,,第六章 法律责任,,第二十七条 自然人、法人或者其他组织有下列情形之一造成损害的依法承担民事责任构成违反治安管理行为的依法给予治安管理处罚构成犯罪的依法追究刑事责任责的红十字会及其工作人员有前款第一项、第二项所列行为的按照前款规定处罚。
中华人民共和国红十字会法,,,第六章 法律责任,,第二十八条 各级人民政府有关部门及其工作人员在实施监督管理中滥用职权、玩忽职守、徇私舞弊的对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任。
中华人民共和国红十字会法,,,第七章 附则,,第二十九条 本法所称国际红十字和红新月运动确立的基本原则是指一九八六年十月日内瓦国际红十字大会第二十五次会议通过的国际红十字和红新月运动章程中确立的人道、公正、中立、独立、志愿服务、统一和普遍七项基本原则。本法所称日内瓦公约是指中国批准的于一九四九年八月十二日订立的日内瓦四公约即《改善战地武装部队伤者病者境遇之日内瓦公约》、《改善海上武装部队伤者病者及遇船难者境遇之日内瓦公约》、《关于战俘待遇之日内瓦公约》和《关于战时保护平民之日内瓦公约》。本法所称日内瓦公约附加议定书是指中国加入的于一九七七年六月八日订立的《一九四九年八月十二日日内瓦四公约关于保护国际性武装冲突受难者的附加议定书》和《一九四九年八月十二日日内瓦四公约关于保护非国际性武装冲突受难者的附加议定书》。
中华人民共和国红十字会法,,,第七章 附则,,第三十条 本法自 2017 年 5 月 8 日起施行。
