文件名,编,分编,章,节,内容
中华人民共和国著作权法,,,第一章 总 则,,第一条 为保护文学、艺术和科学作品作者的著作权以及与著作权有关的权益鼓励有益于社会主义精神文明、物质文明建设的作品的创作和传播促进社会主义文化和科学事业的发展与繁荣根据宪法制定本法。
中华人民共和国著作权法,,,第一章 总 则,,第二条 中国公民、法人或者非法人组织的作品不论是否发表依照本法享有著作权。外国人、无国籍人的作品根据其作者所属国或者经常居住地国同中国签订的协议或者共同参加的国际条约享有的著作权受本法保护。外国人、无国籍人的作品首先在中国境内出版的依照本法享有著作权。未与中国签订协议或者共同参加国际条约的国家的作者以及无国籍人的作品首次在中国参加的国际条约的成员国出版的或者在成员国和非成员国同时出版的受本法保护。
中华人民共和国著作权法,,,第一章 总 则,,第三条 本法所称的作品是指文学、艺术和科学领域内具有独创性并能以一定形式表现的智力成果包括和模型作品
中华人民共和国著作权法,,,第一章 总 则,,第四条 著作权人和与著作权有关的权利人行使权利不得违反宪法和法律不得损害公共利益。国家对作品的出版、传播依法进行监督管理。
中华人民共和国著作权法,,,第一章 总 则,,第五条 本法不适用于有立法、行政、司法性质的文件及其官方正式译文
中华人民共和国著作权法,,,第一章 总 则,,第六条 民间文学艺术作品的著作权保护办法由国务院另行规定。
中华人民共和国著作权法,,,第一章 总 则,,第七条 国家著作权主管部门负责全国的著作权管理工作县级以上地方主管著作权的部门负责本行政区域的著作权管理工作。
中华人民共和国著作权法,,,第一章 总 则,,第八条 著作权人和与著作权有关的权利人可以授权著作权集体管理组织行使著作权或者与著作权有关的权利。依法设立的著作权集体管理组织是非营利法人被授权后可以以自己的名义为著作权人和与著作权有关的权利人主张权利并可以作为当事人进行涉及著作权或者与著作权有关的权利的诉讼、仲裁、调解活动。著作权集体管理组织根据授权向使用者收取使用费。使用费的收取标准由著作权集体管理组织和使用者代表协商确定协商不成的可以向国家著作权主管部门申请裁决对裁决不服的可以向人民法院提起诉讼当事人也可以直接向人民法院提起诉讼。著作权集体管理组织应当将使用费的收取和转付、管理费的提取和使用、使用费的未分配部分等总体情况定期向社会公布并应当建立权利信息查询系统供权利人和使用者查询。国家著作权主管部门应当依法对著作权集体管理组织进行监督、管理。著作权集体管理组织的设立方式、权利义务、使用费的收取和分配以及对其监督和管理等由国务院另行规定。
中华人民共和国著作权法,,,第二章 著作权,第一节 著作权人及其权利,第九条 著作权人包括组织。
中华人民共和国著作权法,,,第二章 著作权,第一节 著作权人及其权利,第十条 著作权包括下列人身权和财产权翻拍、数字化等方式将作品制作一份或者多份的权利件或者复制件的权利软件的原件或者复制件的权利计算机软件不是出租的主要标的的除外复制件的权利作品的表演的权利美术、摄影、视听作品等的权利作品以及通过扩音器或者其他传送符号、声音、图像的类似工具向公众传播广播的作品的权利但不包括本款第十二项规定的权利供使公众可以在其选定的时间和地点获得作品的权利体上的权利的权利言文字的权利排汇集成新作品的权利著作权人可以许可他人行使前款第五项至第十七项规定的权利并依照约定或者本法有关规定获得报酬。著作权人可以全部或者部分转让本条第一款第五项至第十七项规定的权利并依照约定或者本法有关规定获得报酬。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十一条 著作权属于作者本法另有规定的除外。创作作品的自然人是作者。由法人或者非法人组织主持代表法人或者非法人组织意志创作并由法人或者非法人组织承担责任的作品法人或者非法人组织视为作者。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十二条 在作品上署名的自然人、法人或者非法人组织为作者且该作品上存在相应权利但有相反证明的除外。作者等著作权人可以向国家著作权主管部门认定的登记机构办理作品登记。与著作权有关的权利参照适用前两款规定。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十三条 改编、翻译、注释、整理已有作品而产生的作品其著作权由改编、翻译、注释、整理人享有但行使著作权时不得侵犯原作品的著作权。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十四条 两人以上合作创作的作品著作权由合作作者共同享有。没有参加创作的人不能成为合作作者。合作作品的著作权由合作作者通过协商一致行使不能协商一致又无正当理由的任何一方不得阻止他方行使除转让、许可他人专有使用、出质以外的其他权利但是所得收益应当合理分配给所有合作作者。合作作品可以分割使用的作者对各自创作的部分可以单独享有著作权但行使著作权时不得侵犯合作作品整体的著作权。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十五条 汇编若干作品、作品的片段或者不构成作品的数据或者其他材料对其内容的选择或者编排体现独创性的作品为汇编作品其著作权由汇编人享有但行使著作权时不得侵犯原作品的著作权。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十六条 使用改编、翻译、注释、整理、汇编已有作品而产生的作品进行出版、演出和制作录音录像制品应当取得该作品的著作权人和原作品的著作权人许可并支付报酬。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十七条 视听作品中的电影作品、电视剧作品的著作权由制作者享有但编剧、导演、摄影、作词、作曲等作者享有署名权并有权按照与制作者签订的合同获得报酬。前款规定以外的视听作品的著作权归属由当事人约定没有约定或者约定不明确的由制作者享有但作者享有署名权和获得报酬的权利。视听作品中的剧本、音乐等可以单独使用的作品的作者有权单独行使其著作权。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十八条 自然人为完成法人或者非法人组织工作任务所创作的作品是职务作品除本条第二款的规定以外著作权由作者享有但法人或者非法人组织有权在其业务范围内优先使用。作品完成两年内未经单位同意作者不得许可第三人以与单位使用的相同方式使用该作品。有下列情形之一的职务作品作者享有署名权著作权的其他权利由法人或者非法人组织享有法人或者非法人组织可以给予作者奖励作并由法人或者非法人组织承担责任的工程设计图、产品设计图、地图、示意图、计算机软件等职务作品员创作的职务作品非法人组织享有的职务作品。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第十九条 受委托创作的作品著作权的归属由委托人和受托人通过合同约定。合同未作明确约定或者没有订立合同的著作权属于受托人。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第二十条 作品原件所有权的转移不改变作品著作权的归属但美术、摄影作品原件的展览权由原件所有人享有。作者将未发表的美术、摄影作品的原件所有权转让给他人受让人展览该原件不构成对作者发表权的侵犯。
中华人民共和国著作权法,,,第二章 著作权,第二节 著作权归属,第二十一条 著作权属于自然人的自然人死亡后其本法第十条第一款第五项至第十七项规定的权利在本法规定的保护期内依法转移。著作权属于法人或者非法人组织的法人或者非法人组织变更、终止后其本法第十条第一款第五项至第十七项规定的权利在本法规定的保护期内由承受其权利义务的法人或者非法人组织享有没有承受其权利义务的法人或者非法人组织的由国家享有。
中华人民共和国著作权法,,,第二章 著作权,第三节 权利的保护期,第二十二条 作者的署名权、修改权、保护作品完整权的保护期不受限制。
中华人民共和国著作权法,,,第二章 著作权,第三节 权利的保护期,第二十三条 自然人的作品其发表权、本法第十条第一款第五项至第十七项规定的权利的保护期为作者终生及其死亡后五十年截止于作者死亡后第五十年的 12 月 31 日如果是合作作品截止于最后死亡的作者死亡后第五十年的 12 月 31 日。法人或者非法人组织的作品、著作权署名权除外由法人或者非法人组织享有的职务作品其发表权的保护期为五十年截止于作品创作完成后第五十年的 12 月 31 日本法第十条第一款第五项至第十七项规定的权利的保护期为五十年截止于作品首次发表后第五十年的 12 月 31 日但作品自创作完成后五十年内未发表的本法不再保护。视听作品其发表权的保护期为五十年截止于作品创作完成后第五十年的 12 月 31 日本法第十条第一款第五项至第十七项规定的权利的保护期为五十年截止于作品首次发表后第五十年的 12 月 31 日但作品自创作完成后五十年内未发表的本法不再保护。
中华人民共和国著作权法,,,第二章 著作权,第四节 权利的限制,第二十四条 在下列情况下使用作品可以不经著作权人许可不向其支付报酬但应当指明作者姓名或者名称、作品名称并且不得影响该作品的正常使用也不得不合理地损害著作权人的合法权益品适当引用他人已经发表的作品体中不可避免地再现或者引用已经发表的作品其他报纸、期刊、广播电台、电视台等媒体已经发表的关于政治、经济、宗教问题的时事性文章但著作权人声明不许刊登、播放的除外在公众集会上发表的讲话但作者声明不许刊登、播放的除外播放或者少量复制已经发表的作品供教学或者科研人员使用但不得出版发行品等为陈列或者保存版本的需要复制本馆收藏的作品也未向表演者支付报酬且不以营利为目的画、摄影、录像家通用语言文字创作的作品翻译成少数民族语言文字作品在国内出版发行发表的作品前款规定适用于对与著作权有关的权利的限制。
中华人民共和国著作权法,,,第二章 著作权,第四节 权利的限制,第二十五条 为实施义务教育和国家教育规划而编写出版教科书可以不经著作权人许可在教科书中汇编已经发表的作品片段或者短小的文字作品、音乐作品或者单幅的美术作品、摄影作品、图形作品但应当按照规定向著作权人支付报酬指明作者姓名或者名称、作品名称并且不得侵犯著作权人依照本法享有的其他权利。前款规定适用于对与著作权有关的权利的限制。
中华人民共和国著作权法,,,第三章 著作权许可使用和转让合同,,第二十六条 使用他人作品应当同著作权人订立许可使用合同本法规定可以不经许可的除外。许可使用合同包括下列主要内容
中华人民共和国著作权法,,,第三章 著作权许可使用和转让合同,,第二十七条 转让本法第十条第一款第五项至第十七项规定的权利应当订立书面合同。权利转让合同包括下列主要内容
中华人民共和国著作权法,,,第三章 著作权许可使用和转让合同,,第二十八条 以著作权中的财产权出质的由出质人和质权人依法办理出质登记。
中华人民共和国著作权法,,,第三章 著作权许可使用和转让合同,,第二十九条 许可使用合同和转让合同中著作权人未明确许可、转让的权利未经著作权人同意另一方当事人不得行使。
中华人民共和国著作权法,,,第三章 著作权许可使用和转让合同,,第三十条 使用作品的付酬标准可以由当事人约定也可以按照国家著作权主管部门会同有关部门制定的付酬标准支付报酬。当事人约定不明确的按照国家著作权主管部门会同有关部门制定的付酬标准支付报酬。
