文件名,编,分编,章,节,内容
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第一条 为了保障城乡居民饮用水安全根据《中华人民共和国水法》、《中华人民共和国水污染防治法》、《城市供水条例》等法律、法规的规定结合本市实际制定本条例。
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内城乡居民饮用水水源、供水设施、水质保护及其监督管理活动。
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第三条 城乡居民饮用水安全保护应当坚持保障公众健康、城乡统筹、高质量发展的原则。推进城乡供水一体化实现城乡居民饮水同源同质同网同服务。
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第四条 饮用水水源应当根据实际情况建立保护区实行级别保护。
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第五条 市、县区人民政府是本辖区内城乡居民饮用水安全的责任主体负责辖区内饮用水安全。市、县区人民政府应当将城乡居民饮用水事业纳入国民经济和社会发展规划编制饮用水安全突发事件应急预案明确城乡饮用水供水运营管理责任单位加强城乡饮用水安全管理。乡镇人民政府应当协助有关部门、单位做好饮用水水源的保护、供水设施维护等工作并指导村居民委员会做好相关工作。
中卫市城乡居民饮用水安全保护条例,,,第一章 总 则,,第六条 生态环境行政主管部门负责辖区内饮用水水源保护区环保设施的管护和污染防治监督管理开展饮用水水源水质监测、评估及污染源的监控并定期公布监测结果。卫生健康行政主管部门负责辖区内城乡居民生活饮用水卫生的监测工作。定期监测辖区内水质情况并向社会公开水质监测报告对水化学处理剂的开发和使用情况依法进行监督、检查。水行政主管部门负责乡镇村饮用水供水、用水设施建设及监督管理。制定、实施辖区内饮用水水源涵养计划建立健全水质监测、检测网络确保水质达标划定饮用水水源涵养范围保障供水安全。住房和城乡建设行政主管部门负责城市饮用水供水、用水设施建设及其监督管理。对城市公共供水、设施建设、水压、水质等进行监督、检查对供水设备、供水管材的使用依法进行监督、检查。发展改革、公安、财政、自然资源、交通、农业农村、市场监督管理等行政主管部门按照各自职责做好城乡居民饮用水的相关行政管理工作。
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第七条 市、县区人民政府依法设立城乡居民饮用水水源保护区。水源保护区一般划分为一级保护区和二级保护区必要时可增设准保护区。水源保护区的划定由市、县区人民政府提出划定方案报自治区人民政府批准。市、县区人民政府应当规划、建设备用和应急饮用水水源并加强管理与保护。
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第八条 市、县区人民政府应当在自治区人民政府批准后一个月内公布饮用水水源保护区的名称及四址范围接受社会监督。市、县区人民政府应当在饮用水水源保护区边界设置明确的地理界标和明显的警示标志督促相关部门加强对各类防护设施的管护。
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第九条 禁止在饮用水水源保护区内设置排污口。
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第十条 在饮用水水源准保护区内禁止下列行为含病原体的污水或者其他放射性固体废物存含有毒污染物的废水
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第十一条 在饮用水水源二级保护区内除第十条规定的禁止行为外禁止下列行为未采取防止污染措施的射性物质的废水黄磷等可溶性剧毒废渣排放、倾倒或者直接埋入地下物质的废水、热废水或者含病原体的污水
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第十二条 在饮用水水源一级保护区内除第十条、第十一条规定的禁止行为外禁止下列行为项目饮用水水源的活动
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第十三条 禁止在饮用水水源保护区周边及上游水区域批准建设垃圾填埋场、医疗废弃物处理厂以及有排污水设施的化工项目等。在饮用水水源保护区周边及上游水区域开发建设其他项目应当在立项时进行环境影响评价听取水行政主管部门、供水单位意见。生态环境行政主管部门不得批准可能影响饮用水安全的开发项目。
中卫市城乡居民饮用水安全保护条例,,,第二章 饮用水水源保护,,第十四条 公共供水管网不能满足用水需要确需使用自备水源或者建设自备水源工程取水的应当经市、县区水行政主管部门批准批准前应当征求供水单位的意见。自备水源工程供水应当符合技术规范要求。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第十五条 城乡供水工程建设项目应当符合城乡供水发展规划并按照国家和自治区有关规定办理审批手续。供水设施建设应当满足城乡居民饮用水需求完善城乡供水体系。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第十六条 市、县区人民政府应当建设应急供水工程。鼓励社会投资建设城乡供水设施。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第十七条 城乡饮用水工程竣工后应当按照国家和自治区有关规定验收供水工程未经验收或者验收不合格的不得投入使用。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第十八条 对超过国家规定的水压标准的高层建筑物开发建设单位应当设计建设蓄水池、加压站等二次供水设施及其消毒、防护设施。二次供水设施的设计、施工应当执行国家和自治区的相关标准。二次供水设施设计方案审查、竣工验收时住房和城乡建设、水、卫生健康行政主管部门、供水单位应当参加。未经验收或者验收不合格的不得投入使用。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第十九条 城乡供水单位应当建立健全管网档案制度制定供水调度应急预案和维护供水管网及供水设施安全运行制度。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第二十条 城乡供水单位应当建立供水设施巡查制度。对专用水库、引水渠道、取水口、泵站、井群、输配水管网、阀门、消防栓、进户计量水表、净配水厂、公共用水站、水源保护区地理界标、警示标志应当定期检查维护确保安全供水。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第二十一条 涉及城乡公共供水设施的建设工程开工前建设单位或者施工单位应当向供水单位查明地下供水管网情况。施工影响城乡公共供水设施安全的建设单位或者施工单位应当与供水单位商定相应的保护措施由施工单位负责实施。工程建设项目在施工中造成公共供水设施损坏的由供水单位组织抢修所需费用由造成损失的责任单位承担。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第二十二条 未经供水单位同意任何单位和个人不得在城乡公共供水管道上连接取水设施不得在供水管道及其附属设施安全保护范围内开挖取土修建建筑物、构筑物等。禁止生产或者使用有毒有害物质的单位将生产设施与城乡公共供水管道连接。自建供水设施确需与城乡公共供水管道连接的自建供水设施单位应当征求供水单位意见经供水单位同意并对自建供水设施检验合格后方可连接。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第二十三条 任何单位和个人不得擅自改装、迁移、拆除城乡公共供水设施。确需改装、迁移、拆除供水设施或者终止供水的应当与供水单位协商一致并报市、县区自然资源、住房和城乡建设、水行政主管部门批准所需费用由申请的单位或者个人承担。改装、迁移、拆除供水设施或者终止供水不得影响其他单位和居民的用水。
中卫市城乡居民饮用水安全保护条例,,,第三章 设施建设与保护,,第二十四条 县区人民政府应当设立农村居民饮用水运营维护专项资金。
中卫市城乡居民饮用水安全保护条例,,,第四章 水质安全保护,,第二十五条 城乡供水水质应当符合国家生活饮用水卫生标准。供水单位应当按照国家规定的检测项目、频次等要求对水源水、出厂水、管网水和末梢水进行水质检测建立检测档案依据监管职责每月向县区人民政府住房和城乡建设、水、卫生健康、生态环境行政主管部门报备水质检测数据并通过媒体向社会公布。
中卫市城乡居民饮用水安全保护条例,,,第四章 水质安全保护,,第二十六条 卫生健康行政主管部门按照规定定期对出厂水、管网水和末梢水的水质进行监测。卫生健康行政主管部门应当加强对二次供水水质的卫生安全监督发现二次供水水质可能危及人体健康确需停止用水的应当通知供水单位立即停止供水消除危害。
中卫市城乡居民饮用水安全保护条例,,,第四章 水质安全保护,,第二十七条 二次供水单位应当履行以下职责生管理人员委托具有资质的水质检验机构进行水质检测并向用户公示水质检测结果前向用户公告清洗、消毒的具体时间清洗、消毒后由具备资质的水质检验机构进行检测检测合格后方可恢复供水时报告卫生健康、住房和城乡建设行政主管部门并协助进行调查处理案档案信息至少保存两年。业主发现二次供水水质疑似受到污染的可以向业主委员会报告。业主委员会要求二次供水单位进行水质检测的二次供水单位应当及时检查核实进行水质检测并将检测结果在二十四小时内予以公示。
中卫市城乡居民饮用水安全保护条例,,,第四章 水质安全保护,,第二十八条 卫生健康行政主管部门应当通过政府网站、微信公众号等网络媒体向社会公布水质监测结果。卫生健康行政主管部门、供水单位应当建立监测、检测档案用户有权向卫生健康行政主管部门查询供水水质情况向供水单位查询供水水质、水压情况卫生健康行政主管部门、供水单位应当如实提供水质、水压监测、检测数据。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第二十九条 供水单位应当承担下列义务抢修电话并向社会公布保证居民正常用水日答复、及时处理乡镇村集中供水为村民集体兴办自用的参照前款执行。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十条 施工造成供水设施渗漏可能污染水质的施工单位应当立即向住房和城乡建设、水、卫生健康行政主管部门、供水单位报告。供水单位应当立即停止供水、进行抢修对供水设施进行清洗、消毒经卫生健康行政主管部门检验合格后方可恢复供水。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十一条 物业服务企业、村居民委员会应当协助供水单位做好服务区域内供水设施的安全工作发现供水设施有异常的应当及时通知供水单位。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十二条 供水单位应当制定饮用水安全突发事件应急方案报所在市、县区人民政府备案并定期进行演练。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十三条 因抢修供水设施确需开挖道路的在不影响其他公共设施安全的情况下可以先抢修后报批。集中连片区域性停水可能对生产、生活造成重大影响的应当在停水前报经住房和城乡建设、水行政主管部门批准并向社会公告。因工程施工、设备维修等原因确需停止供水的应当提前24 小时通知用水户。因发生灾害或者紧急事故不能提前通知的应当在抢修的同时通知用水单位和个人尽快恢复正常供水并报告住房和城乡建设、水行政主管部门。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十四条 二次供水单位应当按照国家有关规定设置水压测试点做好水压检测工作保证供水水压不低于规定的供水水压标准每月向住房和城乡建设、水行政主管部门报送水压检测数据。住房和城乡建设、水行政主管部门应当对二次供水水压进行抽查并向社会公布。
中卫市城乡居民饮用水安全保护条例,,,第五章 供水保障与管理,,第三十五条 供水价格低于合理成本的可以由政府给予补贴。调整水价的应当按照法定程序调整并举行听证。村民集体兴办自用的集中供水价格由村民自治组织确定。
中卫市城乡居民饮用水安全保护条例,,,第六章 法律责任,,第三十六条 违反本条例规定的行为法律、法规已有处罚规定的从其规定。
中卫市城乡居民饮用水安全保护条例,,,第六章 法律责任,,第三十七条 违反本条例规定供水单位供水水质不符合国家规定标准的由住房和城乡建设、水行政主管部门依据职权责令改正处二万元以上二十万元以下的罚款情节严重的报经有批准权的人民政府批准可以责令停业整顿对直接负责的主管人员和其他责任人员依法给予处分。
中卫市城乡居民饮用水安全保护条例,,,第六章 法律责任,,第三十八条 二次供水设施管理单位未按规定对其供水设施清洗消毒的由卫生健康、住房和城乡建设、水行政主管部门依据职责责令限期改正逾期未改正的处以五千元以上二万元以下罚款情节严重的处以二万元以上三万元以下罚款。
中卫市城乡居民饮用水安全保护条例,,,第六章 法律责任,,第三十九条 负有监督管理保护饮用水安全职责的市、县私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
中卫市城乡居民饮用水安全保护条例,,,第七章 附 则,,第四十条 本条例所称城乡饮用水是指供水单位以公共供水管道及其附属设施向城乡居民和单位提供的饮用水集中供水。本条例所称自建设施供水是指用水单位和个人建设的供水水源、管道及其附属设施向本单位和个人提供的饮用水。本条例所称城乡居民二次供水是指将集中式供水的管道水另行加压贮存再送至用户的供水方式。
中卫市城乡居民饮用水安全保护条例,,,第七章 附 则,,第四十一条 本条例自 2018 年 1 月 1 日起施行。
