文件名,编,分编,章,节,内容
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第一条 为了推进和保障中国安徽自由贸易试验区高标准高质量建设加快打造具有重要影响力的改革开放新高地根据有关法律、行政法规和《中国安徽自由贸易试验区总体方案》结合本省实际制定本条例。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第二条 本条例适用于经国务院批准设立的中国安徽自由贸易试验区以下简称自贸试验区包括合肥片区、芜湖片区和蚌埠片区以下简称片区。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第三条 自贸试验区建设应当坚持党的全面领导坚持解放思想、改革创新先行先试、示范引领系统集成、协同配套优化布局、高效联动的基本原则。自贸试验区建设应当以制度创新为核心以可复制可推广为基本要求对标国际先进规则加大开放力度开展差别化探索建设辐射带动作用突出的高标准高质量自由贸易园区。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第四条 合肥片区、芜湖片区和蚌埠片区应当根据国家规定的功能划分结合区位特点和产业特色加强联动合作实现优势互补协同发展。合肥片区重点建设具有全球影响力的综合性国家科学中心和产业创新中心引领区。芜湖片区重点建设战略性新兴产业先导区、江海联运国际物流枢纽区。蚌埠片区重点建设世界级硅基和生物基制造业中心、皖北地区科技创新和开放发展引领区。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第五条 对法律、法规未明确禁止或者限制的事项鼓励自然人、法人和非法人组织在自贸试验区开展创新活动充分激发市场主体活力。建立鼓励改革创新的激励机制对自贸试验区建设作出重大成绩和突出贡献的单位和个人按照规定给予表彰、奖励。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第六条 建立鼓励改革创新的容错纠错免责机制。在自贸试验区进行的创新出现失误或者未能实现预期目标但是符合国家和省确定的改革方向决策和实施程序符合法律、法规规定未牟取私利没有造成重大损失和严重不良影响或者主动挽回损失、消除不良影响的对有关单位和个人不作负面评价免予追究相关责任。经确定予以容错的单位和个人在绩效考核、评先评优、职务晋升、职称评聘和表彰奖励等方面不受影响。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第七条 在自贸试验区内优先试点重大改革举措优先适用开放发展政策优先布局符合自贸试验区产业发展方向的重大项目、研发平台、基础设施。省、片区所在地的市对同类事项的支持政策力度优于自贸试验区的普遍适用于自贸试验区对特定区域的政策措施有利于自贸试验区发展的自贸试验区可以直接适用。
中国（安徽）自由贸易试验区条例,,,第一章 总 则,,第八条 自贸试验区建设应当符合国土空间规划节约集约用地保护生态环境。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第九条 自贸试验区按照统筹管理、分级负责的原则建立精简高效、权责明晰的行政管理体制推进治理体系和治理能力现代化。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十条 中国安徽自由贸易试验区建设工作领导小组负责组织领导和统筹协调自贸试验区工作研究决定自贸试验区建设发展的重大事项。领导小组办公室设在省商务主管部门主要职责是贯彻落实关于自贸试验区工作的决策部署和工作安排指导督促、协调推进自贸试验区改革试点任务开展总结、评估、考核以及经验复制推广发布相关信息承担日常工作。中国安徽自由贸易试验区片区建设工作领导小组负责研究本片区建设发展的重大事项统筹推进本片区改革试点具体工作。领导小组办公室设在片区管理机构。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十一条 片区所在地的市人民政府对片区建设负主体责任应当为片区建设发展工作提供资金、用地、组织、人才等保障对国家和省有关部门下放片区的经济社会管理权限出台配套管理措施推进片区改革创新。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十二条 片区管理机构负责推进片区改革试点工作和承担片区的建设、管理与服务等具体事务履行下列职责片区的社会管理、公共服务等事务实行属地管理。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十三条 省、片区所在地的市应当推动自贸试验区片区与海关特殊监管区域统筹发展推进两类区域管理机构整合理顺管理体制逐步实现由同一管理机构统一负责两类区域的产业发展、制度创新、招商引资以及人才引进等事项。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十四条 省人民政府建立自贸试验区特别清单。片区所在地的市人民政府应当根据自贸试验区特别清单授权或者委托片区管理机构行使市级经济社会管理权限做好相关改革和管理工作。片区管理机构根据发展需要可以提出行使省级、市级管理权限的事项所提事项按照规定程序报有权机关批准纳入特别清单后实施。各片区应当根据授权或者委托事项向社会公开包括权力事项、公共服务事项和行政权力中介服务便利化事项清单。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十五条 自贸试验区应当建立健全与海关、边检、海事、税务、金融管理等中央和国家机关驻皖单位的沟通协调机制争取国家有关部门在自贸试验区开展改革试点、提供政策支持。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十六条 省人民政府及其有关部门应当支持自贸试验区的改革创新工作在政策、资金、规划、土地等方面优先提供支持向国家争取改革试点任务并推动落实。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十七条 建立以正向激励为主导的评价体系。除国家及省规定以外不得设置对片区管理机构的考核、检查和评比项目。对依照省规定开展的考核、检查和评比应当简化程序、减少频次。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十八条 自贸试验区建立决策咨询机制加强与智库、高校、科研机构的交流合作组织开展前瞻性研究和重大创新举措论证为自贸试验区建设提供智力支持和决策参考。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第十九条 建立自贸试验区统计监测制度监测和分析经济运行情况。省有关单位、各片区管理机构应当真实、准确、完整、及时报送有关统计资料。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第二十条 自贸试验区应当建立评估、推广机制对改革创新工作进行综合评估或者专项评估及时总结、复制、推广改革创新成果可以根据工作需要委托第三方开展评估工作。
中国（安徽）自由贸易试验区条例,,,第二章 体制机制,,第二十一条 规划建设自贸试验区联动创新区开展改革试点经验叠加复制和集成创新强化政策联动、产业对接形成优势互补、各具特色、共建共享的协同发展格局。经中国安徽自由贸易试验区建设工作领导小组确定的联动创新区参照适用本条例的有关规定。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十二条 自贸试验区应当依法放宽外商投资领域实行高水平投资自由化便利化政策营造稳定、透明、可预期和公平竞争的市场环境。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十三条 自贸试验区应当对外商投资实行准入前国民待遇加负面清单管理制度执行国家发布的自贸试验区外商投资准入特别管理措施。负面清单以内符合自贸试验区发展实际的特殊投资项目自贸试验区可以在省人民政府支持下争取国家的特别授权或者审批豁免。在负面清单以外的领域按照内外资一致的原则实施管理。在科研和技术服务、电信、教育等领域加大对外开放力度放宽注册资本、投资方式等限制。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十四条 自贸试验区应当完善外商投资服务体系提供覆盖产业准入、设立、运营到退出的外商投资全流程服务健全外商投诉处理工作机制依法保护外商投资合法权益。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十五条 自贸试验区应当对标高标准国际经贸规则推进建立与国际投资、贸易通行规则相衔接的制度体系鼓励企业统筹开展国际和国内贸易实行内外贸一体化发展。支持培育进口贸易促进创新示范区推动贸易转型升级。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十六条 自贸试验区应当促进发展贸易新业态新模式推动完善海关监管、税收征管、跨境支付、信息物流等支撑系统建设适应新型贸易发展。自贸试验区可以审慎探索开展易货贸易试点创新易货贸易形式。法律、行政法规明确禁止或者限制的除外。自贸试验区应当创新跨境电商新型监管服务模式构建跨境电商公共服务、金融服务、智能物流、电商信用、统计监测和风险防控机制建立健全跨境电商产业链和生态圈。支持自贸试验区内企业按照综合保税区维修产品目录开展加值、符合环保要求的自产出口产品保税维修。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十七条 自贸试验区应当创新服务贸易管理按照国家有关规定实行跨境服务贸易负面清单管理模式放宽服务贸易准入扩大优质服务进出口。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十八条 省、片区所在地的市人民政府应当根据片区地理位置、区位优势加强陆海空联运通道建设加快港口航道、专用铁路、航空货运等重大综合交通设施建设提升交通枢纽能级支持合肥江淮联运中心和国际航空货运集散中心、芜湖江海联运枢纽和航空货运枢纽港、蚌埠淮河航运枢纽建设构建内畅外联的现代化综合运输体系。自贸试验区应当加快建设多式联运基地高标准对接国际多式联运规则推进多式联运一单制支持多式联运经营企业布局境外服务网络。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第二十九条 片区所在地的市人民政府应当配合海关等部门加快自贸试验区通关一体化改革推进自贸试验区口岸和海关特殊监管区建设拓展口岸功能促进通关便利。自贸试验区内海关特殊监管区域与境外之间为一线管理区内海关特殊监管区域与境内区外之间为二线管理。按照一线放开、二线安全高效管住的原则优化海关监管模式在海关特殊监管区域实施差异化监管。自贸试验区内应当积极探索企业集群保税管理允许对符合条件的集团公司实施集团保税监管。在进出口环节推进第三方检验检测结果采信。
中国（安徽）自由贸易试验区条例,,,第三章 投资开放与贸易便利,,第三十条 自贸试验区实行国际贸易单一窗口服务模式促进口岸信息安全共享研究推广贸易融资、信用保险、出口退税等地方特色应用。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十一条 实施创新驱动发展战略支持在自贸试验区率先开展创新体制改革试点加快建设科技创新攻坚力量体系建设具有重要影响力的科技创新策源地。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十二条 省、片区所在地的市应当完善科技管理体制和科研组织机制支持自贸试验区扩大研发机构在人员聘用、职称评定、绩效激励等方面的创新自主权。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十三条 省、片区所在地的市应当支持自贸试验区开展前瞻性基础研究和多学科交叉前沿研究支持自贸试验区开展关键核心技术攻坚强化关键核心技术攻坚平台建设提升创新链整体效能。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十四条 自贸试验区应当积极参与并支持建设国家实验室、合肥综合性国家科学中心、合肥滨湖科学城、合芜蚌国家自主创新示范区、全面创新改革试验省等创新平台探索科技创新、制度创新和开放创新相互促进、融通发展的新路径、新模式。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十五条 鼓励支持境内外科研机构、高校院所和企业在自贸试验区设立或共建研发机构支持企业、事业单位、科技类民办非企业单位社会服务机构牵头组建新型研发机构支持行业领军企业牵头组建体系化、任务型的创新联合体。
中国（安徽）自由贸易试验区条例,,,第四章 创新驱动发展,,第三十六条 鼓励在自贸试验区内探索科技创新和实体经济发展深度融合加快研发产业化重点培育产业创新能力强化创新链产业链精准对接。省、片区所在地的市应当采取措施支持自贸试验区打造
