文件名,编,分编,章,节,内容
临沧市南汀河保护管理条例,,,第一章 总 则,,第一条 为了加强南汀河的保护和管理改善流域生态环境规范开发、利用、治理等活动推进生态文明建设促进经济社会可持续发展根据《中华人民共和国环境保护法》《中华人民共和国水法》《中华人民共和国水污染防治法》等有关法律法规结合本市实际制定本条例。
临沧市南汀河保护管理条例,,,第一章 总 则,,第二条 南汀河保护管理范围内的规划建设、开发利用以及生产、生活等活动适用本条例。国际界河河段保护和管理依据有关规定执行。本条例所称的南汀河是指发源于临翔区博尚镇至耿马自治县孟定镇清水河口岸出境的南汀河干流以及直接汇入南汀河的一级支流。南汀河干流保护管理范围为南汀河干流水域及两岸外延2000 米的区域区域范围超过一级山脊线的按照一级山脊线划定具体保护管理范围由市人民政府划定并向社会公布南汀河一级支流保护管理范围为支流水域及两岸外延 1000 米的区域区域范围超过一级山脊线的按照一级山脊线划定具体保护管理范围由南汀河流域县区人民政府划定并向社会公布。
临沧市南汀河保护管理条例,,,第一章 总 则,,第三条 南汀河保护管理应当遵循绿色发展、统一规划、综合管理、政府主导、社会参与、保护优先、合理利用的原则。
临沧市南汀河保护管理条例,,,第一章 总 则,,第四条 市人民政府、南汀河流域县区人民政府以下简称市、县区人民政府应当将南汀河流域的保护管理纳入本级国民经济和社会发展规划采取措施加强生态建设和环境保护加强文化遗产和自然遗产保护促进和保障流域经济社会发展与生态环境容量相适应提升流域生态环境质量。
临沧市南汀河保护管理条例,,,第一章 总 则,,第五条 市人民政府全面统筹南汀河流域保护管理工作协调处理南汀河保护管理的重大问题。主要职责是的实施情况
临沧市南汀河保护管理条例,,,第一章 总 则,,第六条 南汀河流域保护管理工作实行属地管理县区人民政府负责本行政区域内南汀河流域保护管理工作。主要职责是治、水资源保护、防洪、产业发展等专项规划案情况护湿地、林地、草地改善生态环境级有关部门做好南汀河流域保护管理工作
临沧市南汀河保护管理条例,,,第一章 总 则,,第七条 市、南汀河流域县区水行政部门负责南汀河流域水资源保护、水土保持、河道管理、防洪等监督管理工作生态环境行政部门负责南汀河流域水污染防治的统一监督管理工作林业和草原行政部门负责南汀河流域森林资源和草原的保护管理工作。发展改革、工业和信息化、公安、财政、自然资源规划、住房城乡建设、交通运输、农业农村、文化旅游、卫生健康、市场监管、外事、扶贫等部门按照各自职责做好南汀河流域保护管理工作。
临沧市南汀河保护管理条例,,,第一章 总 则,,第八条 南汀河流域乡镇人民政府、街道办事处履行下列保护管理职责南汀河流域村居民委员会应当协助各级人民政府及有关部门做好辖区内南汀河保护管理工作。
临沧市南汀河保护管理条例,,,第一章 总 则,,第九条 南汀河流域保护管理实行目标责任制和市、县区、乡镇、街道、村社区四级河湖长制各级河湖长负责协调相应的保护管理工作。
临沧市南汀河保护管理条例,,,第一章 总 则,,第十条 市、县区人民政府应当将南汀河保护管理经费列入本级财政预算建立健全生态补偿机制多渠道筹集资金用于扶持并改善南汀河流域内居民的生产、生活条件。鼓励自然人、法人和非法人组织对南汀河流域保护管理进行投资和捐赠。
