文件名,编,分编,章,节,内容
丽水市文明行为促进条例,,,第一章 总 则,,第一条 为了培育和践行社会主义核心价值观推进绿水青山就是金山银山理念在丽水的实践促进文明行为提1升公民文明素质和社会文明水平根据有关法律、法规结合本市实际制定本条例。
丽水市文明行为促进条例,,,第一章 总 则,,第二条 本市行政区域内的文明行为促进工作适用本条例。本条例所称文明行为是指以社会主义核心价值观为引领继承和发扬中华民族传统美德弘扬践行浙西南革命精神遵守社会公德、恪守职业道德、弘扬家庭美德、提升个人品德维护公序良俗树立新风正气推动新时代社会文明进步的行为。
丽水市文明行为促进条例,,,第一章 总 则,,第三条 文明行为促进工作应当以引导、鼓励、教育与处罚相结合坚持党的领导、政府主导、社会协同、全民参与的工作原则。
丽水市文明行为促进条例,,,第一章 总 则,,第四条 市、县市、区人民政府应当将文明行为促进工作纳入国民经济和社会发展规划所需经费列入财政预算。市、县市、区精神文明建设委员会统一领导本行政区域的文明行为促进工作。市、县市、区精神文明建设指导机构负责本行政区域内文明行为促进工作的指导、协调、督促、检查和评估等。市、县市、区人民政府有关部门、乡镇人民政府、街道办事处应当按照各自职责做好文明行为促进工作。社区村组织应当加强对文明行为的宣传和引导配合乡
丽水市文明行为促进条例,,,第一章 总 则,,第五条 文明行为促进工作是全社会的共同责任。国家机关、企业事业单位、社会组织、公民应当支持和积极参与文明行为促进工作。国家公职人员、社会公众人物、教育工作者、文化工作者等应当在文明行为促进工作中发挥表率作用。
丽水市文明行为促进条例,,,第二章 倡导与鼓励的文明行为,,第六条 倡导下列文明行为其中法律法规规定应当遵守的从其规定生活方式教风、校风护公共秩序在公共场所咳嗽、打喷嚏时遮掩口鼻患有流行性感冒等传染性呼吸道疾病时佩戴口罩施、参加公共活动时有序排队主动礼让老弱病残孕幼3区景点引导、管理尊重当地风俗习惯、文化传统和宗教信仰不乱刻乱画息以及侵害他人名誉、隐私等合法权益的信息和违背公序良俗的信息定堆放装修垃圾合法合理使用共有空间不妨碍他人生活理性处理医疗纠纷共同建立和谐、有序的医患关系止犬只伤害他人、干扰他人生产生活、影响市容环境卫生尊重服务对象提高服务水平价实、明码标价不得欺诈、诱骗、误导或者强迫消费俭仁孝文明处理矛盾纠纷制封建迷信、非法宗教和赌博活动雄烈士纪念设施、爱国主义教育基地等场所内瞻仰、参观时应当遵守管理规定和礼仪规范
丽水市文明行为促进条例,,,第二章 倡导与鼓励的文明行为,,第七条 鼓励下列行为善公益活动织
丽水市文明行为促进条例,,,第二章 倡导与鼓励的文明行为,,第八条 鼓励设置民间奖项对各类文明行为先进人物进行奖励。鼓励企业和社会组织在同等条件下优先录用道德模范、身边好人、最美志愿者等文明行为先进人物荣誉称号获得者。
丽水市文明行为促进条例,,,第二章 倡导与鼓励的文明行为,,第九条 鼓励基层群众性自治组织、业主委员会、行业协会在组织制定社区公约、村规民约、管理规约、行业协会章程5时对文明行为相关内容进行约定引导成员共同遵守。
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十条 本市重点治理与全国文明城市形象不相符、人民群众反映突出的不文明行为。
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十一条 重点治理以下影响公共秩序的不文明行为道、残疾人专用停车位等无障碍设施或者在疏散通道、安全出口、楼梯间等公共区域违规停放妨碍其他车辆和行人通行干扰他人正常工作、学习和生活
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十二条 重点治理以下影响社区生活的不文明行为车辆等充电人生活。
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十三条 重点治理以下影响交通出行的不文明行为区域内机动车不按停车位的指示方向停放行或者致使积水飞溅行人者经过人行横道时不礼让行人自行车驾驶人及搭载人未按规定佩戴安全头盔道路隔离设施。
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十四条 重点治理以下影响公共卫生的不文明行为人集中活动场所在医疗和卫生保健机构及其他法律、法规、规章规定的禁止吸烟区域吸烟生。
丽水市文明行为促进条例,,,第三章 重点治理的不文明行为,,第十五条 重点治理以下影响生态环境的不文明行为7染物涵下空间等倾倒垃圾水产品在市、县市、区人民政府公告确定的禁止垂钓区域内钓鱼。
