文件名,编,分编,章,节,内容
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第一条 为进一步加强青田稻鱼共生系统的保护利用深入挖掘其经济、社会、文化、生态、科技等价值推进农业文化遗产保护传承和农业产业高质量发展促进乡村全面振兴根据有关法律、法规结合本市实际制定本条例。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第二条 在本市行政区域内开展青田稻鱼共生系统的保护、传承、利用、发展以及相关监督管理活动适用本条例。文物保护、非物质文化遗产保护、土地管理、湿地保护等有关法律、法规另有规定的从其规定。本条例所称青田稻鱼共生系统是指长期形成的人与自然环境相适应的种稻养鱼、以稻护鱼、以鱼促稻、互利共生传统农业生态种养模式以及由此衍生出的农业生态景观和传统稻鱼文化并经联合国粮食及农业组织和农业农村部认定的遗产地位于青田县域内的重要农业文化遗产。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第三条 青田稻鱼共生系统保护利用应当遵循在发掘中保护、在利用中传承的方针坚持动态保护、协调发展、多方参与、利益共享的原则。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第四条 市人民政府应当加强青田稻鱼共生系统保护利用工作的领导和统筹协调。青田县人民政府应当履行青田稻鱼共生系统的保护责任将青田稻鱼共生系统保护纳入本级国民经济和社会发展规划建立健全协调机制编制实施专项规划协调解决重大事项并将保护利用经费纳入财政预算。县市、区人民政府应当结合当地农业和农村发展实际合理利用稻鱼共生种养模式完善政策支持体系推动农业产业高质量发展。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第五条 农业农村主管部门负责本行政区域内青田稻鱼共生系统保护利用和稻鱼共生种养模式推广应用的协调推进并做好下列具体工作传承与利用、日常监测与维护等工作技术的科学应用、技术创新淡水养殖业的综合发展开展产业发展分析研究
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第六条 文化旅游主管部门负责青田稻鱼共生系统相关的文物保护和非物质文化遗产保护工作统筹文化和旅游资源指导稻鱼种养产业与文化旅游业态融合发展。教育主管部门负责青田稻鱼共生系统保护纳入中小学地方教育内容支持开展与稻鱼共生种养相关的教学、研学活动。生态环境主管部门负责监督指导稻鱼共生种养相关的生态环境保护工作组织协调生物多样性保护指导协调和监督生态保护修复工作。市场监督管理部门负责稻鱼共生种养相关衍生产品生产经营的市场监督管理规范维护市场秩序。发展和改革、财政、自然资源和规划、科技、水利、林业、交通运输等部门按照各自职责做好青田稻鱼共生系统保护利用和稻鱼共生种养模式推广应用的相关工作。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第七条 遗产所在地乡镇人民政府应当建立日常巡护制度做好青田稻鱼共生系统保护相关工作。遗产所在地村民委员会应当协助做好保护工作鼓励将保护事项依法纳入村规民约。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第八条 青田县人民政府应当建立青田稻鱼共生系统专家咨询工作制度。编制青田稻鱼共生系统保护利用专项规划或者作出有关重大决定的应当听取专家意见或者邀请专家进行评估论证。
丽水市青田稻鱼共生系统保护发展条例,,,第一章 总 则,,第九条 鼓励高等院校、研究机构、企业、农民专业合作社、行业协会等单位和个人以科研、捐赠、公益活动等形式参与青田稻鱼共生系统保护利用和稻鱼共生种养模式推广应用。对青田稻鱼共生系统保护利用和稻鱼共生种养模式推广应用作出突出贡献的单位和个人由当地人民政府按照有关规定给予褒扬激励。
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十条 青田县农业农村主管部门负责编制青田稻鱼共生系统保护利用专项规划征求市农业农村主管部门意见经青田县自然资源主管部门规划一致性审查通过后报青田县人民政府批准并公布实施。青田稻鱼共生系统保护利用专项规划应当包括以下内容青田县人民政府应当在核心保护区的醒目位置设立相应的标志、界桩和保护范围示意图以及遗产标志等内容。联合国粮食及农业组织认定的青田县方山乡龙现村应当纳入核心保护区。青田稻鱼共生系统保护利用专项规划应当符合联合国粮食及农业组织和农业农村部关于重要农业文化遗产的保护要求与生态环境保护、文物保护、水利、交通等专项规划相衔接。
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十一条 青田稻鱼共生系统的保护重点包括水源涵养、灌溉系统、生物多样性等
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十二条 核心保护区应当整体保护保持空间格局、生态系统的完整性和协调性尊重村民的生活习惯、生产方式维护遗产形态、内涵的延续传承。青田县人民政府应当组织相关部门在核心保护区落实下列保护和利用措施专项规划与青田稻鱼共生系统的景观和生态相协调并采取最有利于保护的建设方案和施工工艺设优化水源水系维护自然灌溉系统、灌溉方式环境养在一定范围内对传统的种养模式开展活态保护
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十三条 核心保护区内禁止下列行为坏种植条件
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十四条 青田县人民政府应当建立遗产动态监测信息系统监测遗产所在地的农业资源、稻鱼文化、农耕知识、传统技艺、生态环境等现状及变化情况并制作、保存档案按规定报告遗产保护情况。
丽水市青田稻鱼共生系统保护发展条例,,,第二章 保护管理,,第十五条 对遗产的保护利用应当尊重遗产地农民的主体地位充分听取农民意见广泛吸纳农民参与构建以农民为核心的多方参与和利益共享机制。青田县人民政府应当建立健全青田稻鱼共生系统保护补偿机制保障核心保护区的村民及其他利益相关方因从事遗产保护而获得合理的补偿。因重点保护野生动物造成稻鱼或者其他损失经调查核实确需补偿的依法予以补偿。推动开展野生动物致害赔偿保险业务。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第十六条 青田县人民政府应当组织收集、挖掘、整理与稻鱼文化有关的历史材料保护青田稻鱼共生系统有关的文物、传统建筑等物质文化遗产和青田鱼灯舞等非物质文化遗产。支持设立展示厅、博物馆、主题公园等宣传、展示稻鱼共生系统概念内涵、重要价值、传统技术、保护理念、名特产品、景观资源、历史文化和民俗风情等。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第十七条 鼓励各类组织和个人依法开展下列稻鱼文化传承和交流活动动
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第十八条 农业农村主管部门应当结合实际组织调查整理稻鱼共生种养技术相关的农业资源、农业文化、传统知识和技术体系并建立档案保护传统的稻鱼共生种养技术鼓励与现代农业技术相结合推动技术传承与社会共享。青田县农业农村主管部门负责青田稻鱼共生系统代表性传承人的组织认定工作明确传承人的权利和义务。鼓励和支持掌握稻鱼共生传统耕作、养殖技艺的农村实用人才开展传统农耕知识和技艺的展示、传播活动。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第十九条 鼓励和支持高等院校、研究机构、生产经营主体等开展跨学科交叉协作联合建立科技创新与成果转化机制开展良种选育、耕作栽培、水产养殖、产品加工等创新技术的研发和推广。鼓励开展野生动物侵害绿色防控技术研究防止和减少野生动物对稻鱼共生生态系统的负面影响。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第二十条 农业农村主管部门应当组织行业协会、相关研究机构开展田鱼传统孵化技术研究和田鱼传统品种种质资源调查、原种保护、良种选育引进推广适宜稻鱼种养的水稻新品种。支持和鼓励优质水稻与田鱼等种质资源库建设开展种质资源的收集保存保护地方特色的土著田鱼品种。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第二十一条 青田县人民政府应当组织开展青田稻鱼共生系统资源的整理、研究工作采取下列方式挖掘其深层价值济价值价值挖掘文化价值价值实现为重点挖掘生态价值点挖掘科技价值。其他县市、区人民政府可以依照前款规定挖掘利用具有本土特色的稻鱼文化、种养技艺及其多元价值。
丽水市青田稻鱼共生系统保护发展条例,,,第三章 传承利用,,第二十二条 市、青田县人民政府及相关部门应当充分发挥侨乡资源优势利用广播、电视、报刊、互联网等媒体组织开展经济、文化、科技等国内外交流合作、传播推广工作扩大青田稻鱼共生系统的知名度和美誉度。鼓励和支持公民、法人和其他组织开发具有稻鱼文化特色的旅游产品在经济、文化、科技等活动中使用和推广稻鱼文化旅游品牌。
丽水市青田稻鱼共生系统保护发展条例,,,第四章 产业发展,,第二十三条 市、县市、区人民政府应当结合农业和农村发展实际因地制宜推广应用稻鱼共生种养模式拓展稻螺、稻虾、稻鳖、稻蛙等稻渔综合种养模式深化稻渔综合种养产业的品牌建设和深度开发重点支持农业生产基础设施建设、技术推广、人才培养、市场培育推动水稻种植和水产养殖产业高质量发展。县市、区人民政府应当完善配套支持政策加大对稻渔综合种养的支持力度将稻渔综合种养纳入农业用水、用电、用地等优惠政策支持范围。统筹利用农业生产发展、农田建设、渔业发展等资金支持稻渔综合种养基础设施建设、良种配套和研发推广等。
丽水市青田稻鱼共生系统保护发展条例,,,第四章 产业发展,,第二十四条 县市、区人民政府应当根据当地资源条件结合水稻种植和水产养殖等产业实际科学规划稻渔综合种养发展区域统筹资金、人才、科技、土地等资源要素支持稻渔综合种养生产经营主体建设规模化开发、标准化生产、产业化经营、品牌化运作的稻渔综合种养基地。稻渔综合种养发展区域应当具备基本的农业基础设施具备一定的种养规模或者深度开发的稻渔综合种养产业条件。稻渔综合种养发展区域的设置条件和扶持政策由各县市、区人民政府具体制定相关政策制定应当征求市农业农村主管部门意见。
丽水市青田稻鱼共生系统保护发展条例,,,第四章 产业发展,,第二十五条 鼓励和支持种植大户、龙头企业、农民专业合作社依法通过租赁、承包、股份合作等方式发展适度规模经营。支持利用稻渔综合种养模式及相关农业资源延伸农业产业链发展休闲农业、健康养生、乡村旅游、研学科普、文化创意等农文旅融合业态。
丽水市青田稻鱼共生系统保护发展条例,,,第四章 产业发展,,第二十六条 市、县市、区人民政府可以运用产业基金等政策措施促进稻渔综合种养相关产业发展。鼓励和支持金融机构开展稻渔综合种养产业相关金融服务创新金融产品和服务模式。鼓励和支持保险机构开发适用稻渔综合种养需求的地方特色政策性农业保险品种。
丽水市青田稻鱼共生系统保护发展条例,,,第四章 产业发展,,第二十七条 加强稻渔综合种养人才队伍建设积极培养水稻种植、水产养殖、三产融合、品牌打造的复合型人才。通过技术培训、科技下乡、入户指导等形式推广实用稻渔综合种养技术培育优秀农村实用人才。鼓励和支持从事稻渔综合种养的优秀农村实用人才申报丽水农作师、农商师、农匠师。
