文件名,编,分编,章,节,内容
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第一条 为了加强城市生活垃圾分类管理改善城市人居环境打造世界文化旅游名城推进生态文明建设促进经济社会可持续发展根据《中华人民共和国固体废物污染环境防治法》、《城市市容和环境卫生管理条例》等法律、法规结合本市实际制定本条例。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第二条 本市城市生活垃圾处理设施的规划建设源头减量分类投放、收集、运输、处置以及监督管理等活动适用本条例。本市城市生活垃圾分类管理的具体区域由市、县区人民政府确定并向社会公布。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第三条 本条例所称生活垃圾是指在日常生活中或者为日常生活提供服务的活动中产生的固体废物以及法律、行政法规规定视为生活垃圾的固体废物。工业固体废物、建筑垃圾、农业固体废物、危险废物等固体废物的管理按照相关法律、法规和规定执行。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第四条 生活垃圾分类管理应当遵循政府推动、全民参与、统筹规划、因地制宜、简便易行、有序推进的原则实现生活垃圾减量化、资源化、无害化。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第五条 本市生活垃圾以可回收物、有害垃圾、厨余垃圾、其他垃圾为基本分类标准。生活垃圾的具体分类标准可以根据经济社会发展水平、生活垃圾特性和处置利用需要予以调整。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第六条 市、县区人民政府应当加强对本辖区内生活垃圾分类管理工作的领导确定生活垃圾分类管理具体目标建立健全生活垃圾分类管理协调联动机制制定配套政策措施保障资金投入和土地供给。乡镇人民政府、街道办事处负责本辖区内生活垃圾分类的监督管理将生活垃圾分类管理工作纳入基层社会治理体系实行网格化管理。村居民委员会应当协助做好本辖区内的生活垃圾分类管理工作鼓励将生活垃圾分类管理要求纳入村规民约和居民公约。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第七条 市容环境卫生行政主管部门是城市生活垃圾分类管理工作的主管部门负责生活垃圾分类管理工作的组织、协调、指导、考核和监督。发展改革部门负责生活垃圾分类处理设施项目的立项工作会同市容环境卫生等相关部门制定生活垃圾处理的具体收费办法和标准。自然资源和规划部门负责将生活垃圾处理设施建设内容纳入相关规划严格依规管控。生态环境部门负责指导和监督有害垃圾的收集、运输、处置等环节的污染防治工作对生活垃圾处置企业污染环境防治工作进行监督管理。商务部门负责制定和实施再生资源回收产业政策、回收标准和回收行业发展规划会同相关部门制定再生资源回收网点规划推进再生资源回收体系建设并对可回收物的回收进行监督管理。教育体育部门负责将生活垃圾分类相关知识纳入学校教育和学生社会实践内容。文化和旅游部门负责加强文旅活动中的生活垃圾分类宣传组织行业协会对文旅从业人员进行生活垃圾分类知识培训督促文旅企业、景区引导游客分类投放生活垃圾并纳入相关企业考核内容。工业和信息化、农业农村、交通运输、卫生健康、市场监管、水务、公安、财政、应急、邮政、广电、机关事务管理等部门按照各自职责做好生活垃圾分类管理的相关工作。
丽江市城市生活垃圾分类管理条例,,,第一章 总 则,,第八条 单位、家庭和个人应当践行绿色低碳生活方式减少生活垃圾产生依法履行生活垃圾分类投放义务按照垃圾分类的有关规定和要求主动开展生活垃圾分类活动养成生活垃圾分类习惯。
丽江市城市生活垃圾分类管理条例,,,第二章 规划与建设,,第九条 市、县区人民政府应当将生活垃圾分类管理工作纳入国民经济和社会发展规划并将推进生活垃圾源头减量、全程分类、资源化利用、无害化处置作为重要内容。
丽江市城市生活垃圾分类管理条例,,,第二章 规划与建设,,第十条 自然资源和规划部门组织编制国土空间规划应当统筹考虑城市生活垃圾分类处置设施的用地需要。国土空间规划确定的生活垃圾收集、转运、处理设施用地要依法依规进行管控未经法定程序不得改变用途。
丽江市城市生活垃圾分类管理条例,,,第二章 规划与建设,,第十一条 市市容环境卫生行政主管部门应当会同有关部门依据国民经济和社会发展规划、国土空间规划编制生活垃圾分类管理专项规划报市人民政府批准后公布实施。生活垃圾分类管理专项规划应当明确生活垃圾处理体系确定生活垃圾分类投放、分类收集、分类运输、分类处理、回收利用设施的布局、规模、标准以及规划实施的保障措施等内容。
丽江市城市生活垃圾分类管理条例,,,第二章 规划与建设,,第十二条 县区人民政府应当根据生活垃圾分类管理专项规划制定生活垃圾分类投放、分类收集、分类运输、分类处置设施建设计划并组织实施。
