文件名,编,分编,章,节,内容
乌鲁木齐市户外广告设施设置管理条例,,,,,第一条 为了加强户外广告设施设置管理规范户外广告设施设置行为根据《中华人民共和国广告法》和国务院《城市市容和环境卫生管理条例》等法律法规结合本市实际制定本条例。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二条 本条例适用于本市行政区域内户外广告设施设置的管理。
乌鲁木齐市户外广告设施设置管理条例,,,,,第三条 本条例所称户外广告设施包括及公共交通工具设置的电子显示屏、电子翻板装置、展示牌、霓虹灯、灯箱、模型等户外商业、公益广告设施相符的标牌、匾额、指示牌等户外招牌广告设施。
乌鲁木齐市户外广告设施设置管理条例,,,,,第四条 市城市管理行政主管部门负责本市户外广告设施设置的统一管理工作。区县城市管理行政主管部门负责权限内的户外广告设施设置管理工作。工商行政主管部门负责户外广告发布的经营资格审核、内容登记和监督管理。市城乡规划行政主管部门负责户外广告设施设置的规划管理工作。国土资源、建设、公安、林业园林、语言文字等部门在各自职责范围内做好户外广告设施设置的相关管理工作。
乌鲁木齐市户外广告设施设置管理条例,,,,,第五条 户外广告设施应当根据城市风貌、格局、城市规划确定的区域功能、道路特点等统一规划整体设计分区控制合理布局保证城市容貌的整体美观。户外广告设施的设计风格、造型、色调、体量、形式、位置、朝向、高度、材质应当与周围环境相协调。
乌鲁木齐市户外广告设施设置管理条例,,,,,第六条 市城市管理行政主管部门应当会同市城乡规划行政主管部门组织编制户外广告设置规划报市人民政府批准施行后公布。户外广告设置规划应当符合土地利用总体规划、城市总体规划以及城市容貌标准的要求并与有关行业专项规划相衔接。户外广告设置规划应当明确户外广告设施的禁设区、展示区、控制区。
乌鲁木齐市户外广告设施设置管理条例,,,,,第七条 市城市管理行政主管部门应当会同相关部门根据户外广告设置规划和城市容貌标准制定户外广告设施设置技术规范报市人民政府批准施行后公布。
乌鲁木齐市户外广告设施设置管理条例,,,,,第八条 利用公共场地及其空间设置户外商业、公益广告设施的应当通过公开招标、拍卖的方式取得设置权。公开招标、拍卖的具体办法由市城市管理行政主管部门组织制定报市人民政府批准施行后公布。利用非公共场地及其空间、建构筑物以及公共交通工具设置户外商业、公益广告设施的其业主或者管理者可以通过协议委托的方式进行设置权的统一拍卖。利用公共场地及其空间设置户外商业广告设施设置权出让所得全部上缴财政利用非公共场地及其空间、建构筑物以及公共交通工具设置户外商业广告设施设置权出让所得按照百分之二十的比例缴纳户外商业广告设施空间资源占用费。
乌鲁木齐市户外广告设施设置管理条例,,,,,第九条 设置户外广告设施的城市管理行政主管部门审核时应当征求城乡规划行政主管部门的意见。经城市管理行政主管部门审核同意并依法办理相关手续后方可设置。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十条 申请设置户外商业、公益广告设施的应当提供下列材料出具的技术和安全保证资料。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十一条 申请设置户外招牌广告设施的应当提供下列材料具的技术和安全保证资料。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十二条 有下列情形之一的不得设置户外广告设施交通标志正常使用或者妨碍车辆和行人通行的建构筑物和设施的控制地带
乌鲁木齐市户外广告设施设置管理条例,,,,,第十三条 经批准的户外商业、公益广告设施的设置权期限不得超过五年。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十四条 设置户外商业、公益广告设施应当按照批准及登记的地点、期限、规格、设计图、效果图实施不得擅自变更。确需变更的应按原审批程序办理变更手续。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十五条 设置户外广告设施应当选用节约能源、符合环境保护、消防安全要求的材料避免对居民生活造成噪声污染、光污染以及遮挡日照等不利影响。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十六条 设置发布的户外商业、公益广告应按规定标明户外广告设置审批字号。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十七条 户外商业广告版面闲置时间不得超过三十日逾期闲置的应当临时以公益广告内容代替。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十八条 户外广告设施设置者应当加强对户外广告设施的日常维护保养保证户外广告设施的整洁、美观、安全。户外广告设施和户外广告内容中的图案、文字出现灯光显示不全或者破损、污迹、褪色、变形等情况时户外广告设施设置者应当及时予以维修、更新。
乌鲁木齐市户外广告设施设置管理条例,,,,,第十九条 户外广告设施设置者应当定期和不定期对户外广告设施进行安全检查。遇有大风、暴雨和其他恶劣天气预警预报时户外广告设施设置者应当及时采取加固、断电等安全防范措施排除安全隐患。户外广告设施达到设计使用年限时户外广告设施设置者应当及时予以更新。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二十条 利用公共场地及其空间设置的户外商业、公益广告设施设置权期满后仍符合设置规范的设置权应当重新招标、拍卖。非公共场地及其空间、建构筑物以及公共交通工具设置的户外商业、公益广告设施设置权期满后仍符合设置规范的设置权应当重新申请。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二十一条 大型建筑物的不同朝向有其他出入口的可以在每个出入口设置一处户外招牌广告设施。多个单位共用一个场所或者一个建筑物内有多个单位的设置户外招牌广告设施应当先由建筑物的所有人或者管理人整体规划并按规划设计制作。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二十二条 根据城市规划和建设要求需要拆除依法设置的户外广告设施的应提前十五日书面通知设置人由此给户外广告设施设置者造成的直接经济损失应依法给予补偿。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二十三条 城市管理行政主管部门应当建立巡查机制及时查处户外广告设施设置违法行为。
乌鲁木齐市户外广告设施设置管理条例,,,,,第二十四条 违反本条例规定擅自设置户外商业、公益广告设施的由城市管理行政主管部门责令限期拆除有违法所得的没收违法所得并处以每平方米二千元的罚款逾期不拆除的依法申请人民法院强制拆除所需费用由责任人承担。
