文件名,编,分编,章,节,内容
九华山风景名胜区管理条例,,,第一章 总 则,,第一条 为了加强对九华山风景名胜区的管理保护、利用和开发以佛教文化和自然景观为特色的风景名胜资源根据有关法律、行政法规结合实际制定本条例。
九华山风景名胜区管理条例,,,第一章 总 则,,第二条 九华山风景名胜区以下简称风景区的范围东起九子岩山麓西至九子岭西边大岗山麓北起莲花峰麓南至南阳湾面积一百二十平方公里按此范围标明区界设立界碑。按照国家标准风景区划分为特级保护区、一级保护区、二级保护区和三级保护区。风景区外围保护地带以下简称保护带的范围东起朱备店包括龙口、走竹凹、牛狼峰、西山排西至大岗山麓包括土地岭、八都岗、牛背垄山麓、滴水岩、低岭脚等一线北起庙前莲花峰山麓南至南阳湾面积 5385 平方公里。
九华山风景名胜区管理条例,,,第一章 总 则,,第三条 风景区内的寺庙、园林、古民居、石雕、石刻等文物古迹、人文景物及其所处的环境和地形、地貌、山体、岩石、溶洞、瀑布、泉流、河溪及其他水体、林木植被、野生动植物、地质景观等自然景物均属风景名胜资源应当依法加强保护。
九华山风景名胜区管理条例,,,第一章 总 则,,第四条 风景区管理应当坚持严格保护、统一规划、统一管理、合理开发、永续利用的原则。
九华山风景名胜区管理条例,,,第一章 总 则,,第五条 池州市人民政府设立九华山风景区管理委员会以下简称管委会。管委会主任由市长兼任。管委会在池州市人民政府领导下负责风景区的管理工作其主要职责是资源林木病虫害和防止水土流失等工作罚工作设在风景区内的单位除各自业务受上级主管部门领导外应当服从管委会对风景区的统一规划和管理。
九华山风景名胜区管理条例,,,第一章 总 则,,第六条 设立九华风景名胜资源保护资金。保护资金可以通过国家补助、社会资助、国外援助、资源有偿使用等渠道筹集具体筹集办法和使用范围由池州市人民政府制定报省人民政府批准。
九华山风景名胜区管理条例,,,第一章 总 则,,第七条 风景区内的单位、居民、僧尼和游客都应当遵守风景区的管理规定爱护风景区内的景物、林木植被和各项设施。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第八条 禁止在风景区内从事下列活动被和地形地貌的活动擅自挖沙、取土物品的设施畜
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第九条 风景区内的地形、地貌应当严格保护。因保护风景区内道路、维护设施确需在三级保护区内挖砂、取土的应当经管委会审查同意后在指定地点挖取。风景区内的居民因生活需要必须在三级保护区内挖砂、取土自用的由管委会指定挖取地点。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十条 管委会和县级以上人民政府有关行政主管部门应当依法做好风景区及其保护带内的护林、绿化、防火、防治病虫害以及泥石流、山体滑坡等地质灾害的防治工作保护动、植物及其生存的自然环境。风景区内的林木不分权属均应当按照规划进行抚育管理。因景区景点的开发或者工程建设确需砍伐少量非珍贵林木的以及集体或者个人所有的林木确需进行更新、抚育性采伐的应当经管委会审查同意后依法报县级以上人民政府林业行政主管部门批准。保护带内的非珍贵林木确需进行更新、抚育性采伐的应当符合风景区总体规划的要求并依法报县级以上人民政府林业行政主管部门批准。因教学、科研等需要在风景区内采集物种标本、野生药材和其他林副产品的应当经管委会审查同意后报县级以上人民政府林业行政主管部门批准并在指定地点限量采集。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十一条 风景区内的寺庙和古民居、园林、石刻、奇峰、异石、名树、名泉、名瀑等应当建立档案设置标牌严格保护。前款所列景物周围除建设必要保护设施外不得建设其他设施。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十二条 风景区内的河床、溪流、泉水、瀑布、深潭等除按照风景区规划进行整修、利用外应当保护原貌不得截流、改向或者进行其他人为改变。禁止向风景区内的水体排放、倾倒未经处理或者处理后未达标的污水和其他污染物。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十三条 风景区及其保护带内应当建立、健全防火组织完善防火设施。在室外吸烟、烧香、燃烛或者燃放烟花爆竹的应当按照管委会的相关规定进行。森林防火期内未经管委会批准禁止野外用火森林高火险期内禁止携带火种进入风景区禁止一切野外用火。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十四条 未经检疫部门检查的竹木及其制品、盆景、苗木、花卉、种子和动物等不得运入风景区。
九华山风景名胜区管理条例,,,第二章 资源与环境保护,,第十五条 保护带范围内风景名胜资源的开发、利用应当依据风景区总体规划经管委会审查同意报池州市人民政府批准并做好保护、管理工作。风景区所有开发、建设项目必须进行环境影响评价。需要建设防治污染设施的必须与主体工程同时设计、同时施工、同时投产使用。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第十六条 省人民政府建设行政主管部门应当根据九华山风景区总体规划组织编制风景区的详细规划其具体工作由管委会承担。风景区的详细规划批准前应当经市人民代表大会常务委员会审议。对保护带应提出规划与建设的具体要求维护生态环境。经批准的风景区规划是九华山风景名胜资源保护、开发和利用的依据任何单位和个人不得擅自改变。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第十七条 因保护、开发和利用风景名胜资源的需要确需对风景区详细规划进行修改的应当报请原审批机关批准。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第十八条 禁止在风景区内建设工矿企业及其他破坏景观的工程设施。建筑物应当定期进行维修凡污染环境或者破坏景观的应当限期拆除。禁止在保护带内建设污染环境或者破坏生态、景观的工矿企业和工程设施。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第十九条 风景区内因保护、开发或者管理确需建设的工程由管委会根据风景区规划进行审核经池州市人民政府审查后依法报省人民政府建设行政主管部门审批。风景区内的建筑物的布局、高度、体量、造型、风格和色调应当与周围景观和环境相协调。建设单位在工程施工时应当在施工方案中制定具体措施严格保护施工现场周围的景物、植被、水体和地貌环境。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第二十条 风景区内寺庙的新建、重建、改建、扩建等应当经省人民政府宗教事务管理部门审查同意由管委会组织编制规划设计经池州市人民政府审查后依法报省人民政府建设行政主管部门批准。列为文物保护单位的寺庙及其他文物古迹的维修和合理利用应当遵循不改变文物原状和确保文物安全的原则。
九华山风景名胜区管理条例,,,第三章 规划与建设,,第二十一条 风景区内的民居应当在统一规划的居民点、村庄内建设对其建设规模、用地面积实行严格控制并按照城乡规划法律、法规规定办理相关审批手续。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十二条 风景区内一切宗教活动应当遵守法律、法规。宗教团体、宗教教职人员、信仰宗教的公民和依法登记的宗教活动场所其合法权益及正常的宗教活动受法律保护。管委会应当执行有关宗教的法律、法规依法保护正常的宗教活动。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十三条 管委会应当加强风景区内的治安、安全管理建立健全安全管理制度完善安全管理设施保护游客安全和景物完好维护风景区内的公共秩序。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十四条 进入风景区的游客和其他人员应当爱护风景区资源和各项公共设施维护环境卫生遵守风景区的游览秩序、安全制度等有关管理规定。禁止擅自进入未开发区域进行游览活动禁止擅自进行探险、攀岩等影响景区资源安全和人身安全的活动。游客在风景区内搭建帐篷等野营设施应当服从管委会统一管理。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十五条 管委会应当采取措施依法做好风景区内的环境保护和环境卫生工作。管委会根据风景区内的安全和环境卫生的需要可以规定风景区内禁止经营的商品、服务项目以及禁止使用的燃料、包装物品。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十六条 管委会应当科学合理地确定各景区、景点的游客容量和游览路线制定突发事件的应急预案和游客流量控制的具体方案。管委会应当根据保护环境和恢复生态的需要对重要景区、景点实行定期封闭轮休。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十七条 管委会应当根据风景区规划统一组织建设风景区内的服务网点和公共设施改善游览服务条件。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十八条 在风景区内依法从事经营活动的单位和个人应当在指定的地点、区域和按照核定的营业范围依法经营、文明经营不得擅自摆摊设点、扩面经营、店外经营不得强行向游客兜售商品或者强行提供服务不得以虚假宣传等方式误导游客消费不得组织游客逃票。经营场所的指示标牌应当按照管委会规定的式样、规格制作并在指定的地点安置。禁止在游览景区内设立、张贴广告。
九华山风景名胜区管理条例,,,第四章 管理与服务,,第二十九条 限制车辆进入风景区确需进入的应当经管委会批准按照指定的路线行驶并在规定的地点停放。风景区内居民自用车辆应当服从管委会的统一管理。
