文件名,编,分编,章,节,内容
云南省乡村振兴促进条例,,,第一章 总 则,,第一条 为了全面实施乡村振兴战略促进农业全面升级、农村全面进步、农民全面发展加快农业农村现代化根据《中华人民共和国乡村振兴促进法》等法律、行政法规结合本省实际制定本条例。
云南省乡村振兴促进条例,,,第一章 总 则,,第二条 本省行政区域内全面实施乡村振兴战略开展促进乡村产业振兴、人才振兴、文化振兴、生态振兴、组织振兴推进城乡融合发展等活动适用本条例。本条例所称乡村是指城市建成区以外具有自然、社会、经济特征和生产、生活、生态、文化等多重功能的地域综合体包括乡镇和村庄等。
云南省乡村振兴促进条例,,,第一章 总 则,,第三条 全面实施乡村振兴战略应当按照产业兴旺、生态宜居、乡风文明、治理有效、生活富裕的总要求学习运用千村示范、万村整治工程经验统筹推进农村经济建设、政治建设、文化建设、社会建设、生态文明建设和党的建设不断缩小地区差距、城乡差距、收入差距促进共同富裕。
云南省乡村振兴促进条例,,,第一章 总 则,,第四条 全面实施乡村振兴战略应当坚持中国共产党的领导贯彻创新、协调、绿色、开放、共享的新发展理念坚持农业农村优先发展坚持农民主体地位、保障农民民主权利和其他合法权益坚持人与自然和谐共生坚持改革创新、因地制宜、规划先行、循序渐进的原则。
云南省乡村振兴促进条例,,,第一章 总 则,,第五条 乡村振兴促进工作实行省负总责、市县乡抓落实的工作机制构建职责清晰、各负其责、合力推进的乡村振兴责任体系。各级人民政府应当将乡村振兴促进工作纳入国民经济和社会发展规划并建立乡村振兴考核评价制度、工作年度报告制度和监督检查制度。各级人民政府应当建立健全激励机制鼓励支持社会各方面参与乡村振兴促进相关活动。
云南省乡村振兴促进条例,,,第一章 总 则,,第六条 县级以上人民政府农业农村主管部门负责本行政区域内乡村振兴促进工作的统筹协调、指导和监督检查其他有关部门在各自职责范围内负责有关的乡村振兴促进工作。乡镇人民政府应当按照有关法律、法规的规定和上级人民政府的要求结合本行政区域实际组织开展乡村振兴促进工作。
云南省乡村振兴促进条例,,,第一章 总 则,,第七条 各级人民政府应当全面落实耕地保护和粮食安全责任制严格执行耕地和永久基本农田保护制度、加强高标准农田建设保质保量完成粮食和重要农产品生产目标任务。
云南省乡村振兴促进条例,,,第一章 总 则,,第八条 各级人民政府应当做好巩固拓展脱贫攻坚成果同乡村振兴有效衔接完善覆盖农村人口的常态化防止返贫致贫机制稳步提高兜底保障水平增强脱贫地区和脱贫群众内生发展能力确保不发生规模性返贫。
云南省乡村振兴促进条例,,,第一章 总 则,,第九条 各级人民政府应当建立健全促进农民增收长效机制支持乡村特色产业发展稳定农村劳动力转移就业提升就业质量培育壮大农村集体经济盘活利用农村资源资产落实各项惠农政策促进农民增收。
云南省乡村振兴促进条例,,,第一章 总 则,,第十条 县级以上人民政府应当主动服务和融入新发展格局坚持引进来和走出去并重推动实施开放型农业加强边境沿线集镇、口岸建设提高云南特色农产品出口竞争优势打造叶、花卉、蔬菜含食用菌、水果、坚果、咖啡、中药材等高原特色农产品出口规模推动农业技术对外合作开创全方位农业对外合作新局面加快建设面向南亚东南亚特色农业创新发展辐射中心促进农业在高水平对外开放中实现高质量发展。
云南省乡村振兴促进条例,,,第二章 产业发展,,第十一条 县级以上人民政府应当承担保障本行政区域内粮食安全的具体责任建立和完善粮食生产支持保护体系健全种粮农民收益保障机制突出口粮生产稳定粮食播种面积提高粮食单产水平保障粮食有效供给提高防范和抵御粮食安全风险能力。
云南省乡村振兴促进条例,,,第二章 产业发展,,第十二条 各级人民政府应当实施种业振兴行动做好农业种质资源收集保护、开发利用加快建设云南国家级种质资源保护基地、种质资源库、遗传资源基因库和保种场加强制种基地建设组织开展种业良种培育攻关建立以企业为主体、基础公益研究为支撑、产学研用融合的种业创新体系支持种业企业发展优势特色种业提升良种供应能力加强种业市场监管保护种业知识产权确保农业用种安全。
云南省乡村振兴促进条例,,,第二章 产业发展,,第十三条 各级人民政府应当因地制宜发展特色农业立足资源禀赋、区位优势、产业基础等聚焦粮食、茶叶、花卉、蔬菜含食用菌、水果、坚果、咖啡、中药材、牛羊、生猪、烟草、蔗糖、天然橡胶等重点产业科学发展林下经济提升产业规模化、品牌化、绿色化水平促进产业转型升级、提质增效。
云南省乡村振兴促进条例,,,第二章 产业发展,,第十四条 各级人民政府应当协调推进农产品初加工、精深加工、综合利用加工推动农产品加工业从数量增长向质量提升、要素驱动向创新驱动、分散布局向集群发展转变。
