文件名,编,分编,章,节,内容
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第一条 为加强城镇规划、建设和管理促进经济社会协调发展根据《中华人民共和国民族区域自治法》、《中华人民共和国城市规划法》等相关法律法规结合自治州实际制定本条例。
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第二条 自治州内的城镇规划、建设、绿化和市容卫生的管理必须遵守本条例。
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第三条 本条例所称的城镇是指自治州内州、县市、镇人民政府所在地。城镇规划区是指经审查批准的城镇规划控制区域。
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第四条 城镇的规划和建设坚持以人为本科学预测突出特色合理布局完善功能和谐发展的方针。
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第五条 城镇的规划、建设用地和工程项目的审批以及城镇管理工作应当坚持公开、公平、公正和便民的原则提高办事效率和服务质量。
云南省大理白族自治州城镇管理条例,,,第一章 总则,,第六条 自治州、县市人民政府应当将城镇规划、建设纳入国民经济和社会发展规划加大对城市基础设施和公用事业的投入提高城镇综合承载能力和管理水平。自治州、县市城镇规划、建设和管理行政主管部门依法履行职权。发展与改革、国土资源、环保、卫生、工商、交通、公安等有关部门按照各自的职责做好城镇建设管理工作。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第七条 自治州、县市城镇规划委员会负责城镇规划和重大市政基础设施建设项目、临街重要建筑项目选址和设计方案的审查。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第八条 城镇规范的编制、调整和变更方案必须实行听证征求公众意见。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第九条 城镇规划的编制、调整和变更由规划行政主管部门提出方案经上级规划委员会审查按法定程序报批。大理市城市总体规划的调整和变更须经自治州人民代表大会常务委员会审查。城镇规划的编制、调整和变更经批准后同级人民政府应当在 30 日内向社会公布。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第十条 城镇规划的编制、调整和变更应当在具备相应资质的规划设计单位中招标投标。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第十一条 自治州、县市人民政府应当在民族聚居地划定民族特色建筑风格保护区。白族建筑风格保护区的建设标准包括青瓦、白墙、坡顶、建筑高度、容积率、绿地率、建筑立面等具体规范由自治州人民政府制定。其他民族特色建筑风格保护区的具体规范由县市人民政府制定。
云南省大理白族自治州城镇管理条例,,,第二章 规划管理,,第十二条 历史文化名城、名镇、名村和街区由县市人民政府编制保护规划按有关法律法规的规定报批后实施保护。城镇规划区内未列级的具有保护价值的民宅及建筑物、构筑物等经县市人民政府确认后挂牌保护其修缮应当按照规划、文化行政主管部门批准的方案进行。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十三条 城镇规划区内的建设用地和工程项目建设应当符合城镇规划适应紧急预警和防灾减灾的需要。在城镇规划区内批准的土地上扩建、改建原有建筑的向规划行政主管部门申请办理建设工程规划许可证后方可开工。城镇规划区内投资额在 50 万元以下或者建筑面积在 500 平方米以下的建筑工程可以不办理施工许可证。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十四条 工程设计单位应当按照批准的规划设计建设项目。建设项目手续完备后工程施工单位和监理单位方可承担项目施工和工程监理。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十五条 城镇规划区内的公益用地任何单位和个人不得擅自占用或者改变用途。因重大建设确需占用或者改变用途的须经规划行政主管部门批准。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十六条 城镇住宅区、商贸区的道路、绿化、亮化和地下管网等市政基础设施应当按照规划同步配套建设。人行道应当设置盲道、残疾人无障碍通道。新建、改建城镇道路应当铺设供排水、电力、通信等地下管网。县市城区和历史文化名镇的主要街道不得架设空中管线。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十七条 自治州、县市人民政府应加强城镇灯光亮化工程的规划、建设和管理。灯光亮化工程投资纳入主体工程预算。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十八条 城镇规划区内需要临时建设用地的应当向规划行政主管部门申请办理许可手续用地期限不得超过两年。禁止在临时建设用地上建盖永久性建筑物和构筑物。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第十九条 工程建设单位应当严格执行国家安全生产的有关规定设置安全防护设施和标志。在道路两侧设置的防护设施高度不得低于 2 米。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第二十条 城镇道路不得擅自开挖。确需开挖的道路红线宽 20 米以上的报州建设行政主管部门批准道路红线宽 20米以下的报县市建设行政主管部门批准。工程竣工后道路修复不合格的由建设行政主管部门统一修复费用由建设单位承担。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第二十一条 自治州鼓励各种经济组织和个人参与下列城镇基础设施和市政公用事业的建设或者经营以上项目的出让由国有资产管理部门会同相关行政主管部门提出方案经县市以上人民政府批准后依法招标投标所得收益用于市政公益设施建设。
云南省大理白族自治州城镇管理条例,,,第三章 建设管理,,第二十二条 城镇规划区内具有街道功能的国道、省道公路的建设、改造由交通和城镇建设行政主管部门共同建设和管理。
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十三条 城镇绿化以种植乔灌树木和地方树种为主做到绿化、美化与城镇建设相协调。
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十四条 城镇绿化行政主管部门负责城镇公共绿地、道路绿化和风景林地的建设和管理。单位的庭院绿化由单位负责。新区和旧城改造区的绿化由开发单位负责建设交业主或者物业管理单位管护。鼓励居民绿化庭院提倡单位、个人认建认养公共绿地。
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十五条 大理市城市的绿化覆盖率不低于 40建成区绿地率不低于 35人均公共绿地不低于 10 平方米。县城的绿化覆盖率不低于 30绿地率不低于 25人均公共绿地不低于 8 平方米。建制镇的绿化覆盖率不低于 20绿地率不低于 15人均公共绿地不低于 5 平方米。
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十六条 城镇规划区内下列建设项目的公共绿地占总用地的比例应当符合以下标准筑区不低于 35
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十七条 城镇建设项目必须按照规划进行绿化配套设计经城镇绿化行政主管部门审查绿化费用纳入工程预算。建设项目的绿化配套工程应当在主体工程竣工后两个月内完成经城镇绿化行政主管部门验收合格后方可进行工程验收。
云南省大理白族自治州城镇管理条例,,,第四章 城镇绿化,,第二十八条 城镇规划区内不得擅自砍伐、迁移树木。因建设需要砍伐、移栽的由建设单位报城镇绿化行政主管部门批准。古树名木由当地城镇绿化行政主管部门建立档案设置标志和保护设施严禁砍伐和迁移。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第二十九条 县市、镇人民政府应当加强社区管理完善各类服务设施实行市容环境卫生责任区管理制度。责任区的划分由城镇管理行政主管部门确定。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十条 城镇管理行政主管部门应当规划和建设垃圾处理设施。垃圾处理应当日产日清进行无害化处理和综合利用。临街商铺和餐饮门市应当配备垃圾收集容器。禁止向街道、河道或者非指定场所倾倒污水和垃圾。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十一条 城镇管理行政主管部门应当规范废旧物资收购、车辆修理清洗和临时餐饮经营点等场所。禁止占道经营、随地摆摊设点。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十二条 城镇规划区内饲养犬类等宠物的应当向城镇管理行政主管部门办理登记牌照宠物应当定期接受检疫。大理市建成区禁止户外放养犬类等宠物。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十三条 在城镇规划区内从事下列活动应当向城镇管理行政主管部门办理相关手续构筑物或者其他设施
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十四条 城镇管理行政主管部门应当合理设置公共张贴栏。在规定的时间和范围内悬挂标语或者宣传品的期满后应当及时清除。禁止在张贴栏外或者指定范围外粘贴悬挂广告、标语和各种印刷品。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十五条 城镇管理行政主管部门应当合理划定泊车地点。出租车实行总量控制严格管理。货车、客车、拖拉机、三轮车、畜力车、板车等在县市主要街道通行的应当持城区通行证按指定的时间、路线通行。
云南省大理白族自治州城镇管理条例,,,第五章 市容卫生,,第三十六条 城镇建成区内禁止下列行为品等公共设施。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第三十七条 违反本条例第十五条、第十八条规定的由规划行政主管部门责令限期改正并处 1000 元以上 10000 元以下的罚款。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第三十八条 违反本条例第十九条、第二十条规定的由建设行政主管部门责令限期改正并处 500 元以上 5000 元以下的罚款。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第三十九条 有下列行为之一的由城镇绿化行政主管部门给予处罚元以上 500 元以下的罚款违反第二款规定的处评估价 3 倍至 5 倍的罚款止违法行为可以并处 20 元以上 200 元以下的罚款。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第四十条 有下列行为之一由城镇管理行政主管部门给予处罚第三十六条第六项规定的责令其改正并处 50 元以上 500元以下的罚款改正的处 50 元以上 100 元以下的罚款责令其改正并处 500 元以上 2000 元以下的罚款并处 10 元以上 100 元以下的罚款项规定的责令其改正并处 5 元以上 50 元以下的罚款元以上 1000 元以下的罚款情节严重的处 1000 元以上 5000元以下的罚款。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第四十一条 当事人违反本条例规定造成损失的应当依法承担赔偿责任构成犯罪的依法追究刑事责任。当事人对行政处罚决定不服的可以依法申请行政复议或者提起诉讼。
云南省大理白族自治州城镇管理条例,,,第六章 法律责任,,第四十二条 城镇规划、建设和管理行政主管部门和相关部门的工作人员违反本条例规定有下列行为之一的由本人所在单位或者上级行政主管部门给予行政处分构成犯罪的依法追究刑事责任和不实行听证、不按规定时间公布的刁难的
云南省大理白族自治州城镇管理条例,,,第七章 附则,,第四十三条 本条例经自治州人民代表大会审议通过报云南省人民代表大会常务委员会批准后生效。
