文件名,编,分编,章,节,内容
云南省大理白族自治州旅游条例,,,第一章 总则,,第一条 为保护和合理开发旅游资源规范旅游市场秩序维护旅游者、旅游经营者和旅游从业人员的合法权益促进旅游业发展根据有关法律、法规结合自治州实际制定本条例。
云南省大理白族自治州旅游条例,,,第一章 总则,,第二条 自治州内旅游规划、旅游资源开发、旅游经营、旅游者的旅游活动和旅游监督管理等适用本条例。
云南省大理白族自治州旅游条例,,,第一章 总则,,第三条 自治州的旅游业坚持政府引导、社会参与、市场运作、行业自律的方针实行旅游资源保护与开发相结合的原则促进旅游业与经济社会的持续协调发展。
云南省大理白族自治州旅游条例,,,第一章 总则,,第四条 自治州、县市人民政府应当把旅游业发展纳入国民经济和社会发展规划加大资金投入推进区域旅游经济合作建立健全旅游管理协调和联合执法的工作机制。
云南省大理白族自治州旅游条例,,,第一章 总则,,第五条 自治州、县市人民政府旅游行政管理部门负责本行政区域内旅游业的管理、监督和服务工作。其主要职责是
云南省大理白族自治州旅游条例,,,第一章 总则,,第六条 自治州、县市的发展和改革、财政、规划、住房和城乡建设、工商、交通运输、卫生、文化、环保、公安等行政管理部门应当按照各自职责做好相关的旅游管理服务工作。
云南省大理白族自治州旅游条例,,,第一章 总则,,第七条 旅游行业协会应当依照章程开展活动协助旅游行政管理部门制定行业标准发挥指导和服务功能严格行业失信惩戒依法维护成员单位和旅游者的合法权益。
云南省大理白族自治州旅游条例,,,第一章 总则,,第八条 自治州、县市人民政府对促进旅游业发展作出显著成绩的单位和个人给予表彰奖励。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第九条 自治州、县市人民政府在年度财政预算中设立旅游发展专项资金主要用于旅游规划编制、项目建设补助、宣传促销和表彰奖励。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十条 自治州旅游规划的编制应当突出白族风情、苍洱风光、南诏历史、故都大理等自然景观和民族文化特色发展休闲度假、康体养身、会展观光等特色旅游并与有关规划相协调。自治州旅游行政管理部门编制的旅游发展规划经省旅游行政管理部门评审后由自治州人民政府批准实施。县市旅游行政管理部门编制的旅游发展规划经自治州旅游行政管理部门评审后由县市人民政府批准实施。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十一条 自治州人民政府制定优惠政策鼓励旅游经营者投资开发特色旅游项目、产品和旅游新线路开辟旅游新航线开展包机业务。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十二条 自治州、县市人民政府应当加强旅游宣传采取旅游推介会等各种形式推荐自治州的旅游项目并利用专业会展、博览会、文艺演出、体育赛事等开展旅游促销活动。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十三条 新建、改建、扩建旅游项目的规划、城乡建设等相关部门审批时应当征求同级旅游行政管理部门的意见。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十四条 自治州人民政府应当对旅游车船的数量实行总量控制。从事旅游客运的自治州交通行政管理部门审批时应当征求同级旅游行政管理部门的意见。
云南省大理白族自治州旅游条例,,,第二章 旅游促进与发展,,第十五条 旅游景区景点对持有有效证件的现役军人、残疾人、老年人及自治州内的全日制在校学生和荣誉州民免收门票费。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第十六条 自治州实行《大理白族自治州旅游从业人员服务证》以下简称《旅游服务证》和《旅游服务证》年度审验制度。旅游行政管理部门应当定期举办旅游从业人员培训班旅游从业人员经考试合格后发给《旅游服务证》。未取得《旅游服务证》和未经年度审验或者审验不合格的不得在自治州内从事旅游服务工作。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第十七条 导游人员从事导游活动时须佩戴《导游证》和《旅游服务证》着当地少数民族服装举止文明用语规范引导旅游者文明旅游。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第十八条 自治州、县市旅游行政管理部门应当组织本行政区域内的旅行社或者导游服务机构为旅游团队安排持有《旅游服务证》的导游人员。在自治州旅游景区景点观光的旅游团队应当由持有《旅游服务证》的导游人员进行讲解。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第十九条 旅游经营者或者旅游从业人员在旅游服务活动中不得有下列行为索取额外费用低服务标准减少旅游项目、变更约定接待合同患的旅游设备、设施
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十条 旅游经营者应当与旅游从业人员签订劳动合同支付不低于当地最低工资标准的工资并为其缴纳社会保险费。旅游经营者聘用旅游从业人员时在同等条件下应当优先聘用当地少数民族人员。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十一条 自治州、县市旅游行政管理部门会同有关部门在机场、车站、码头等游客集散地和交通要道设置旅游标识。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十二条 旅游区管理机构应当在景区景点设置规范的中外文游览导向、安全警示和旅游咨询、投诉、救助电话等服务标识。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十三条 旅游者有权知悉旅游经营者所提供的产品、服务内容和费用标准等方面的情况有权自主选择旅游经营者及其所提供的旅游产品、服务内容、服务方式并获得质价相符的服务有权按照旅游合同的约定获得服务并享有旅游合同约定的其他权利。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十四条 旅游者在旅游活动中应当遵守社会公德和旅游景区景点的管理规定爱护旅游资源、环境和设施。
云南省大理白族自治州旅游条例,,,第三章 旅游经营规范,,第二十五条 以接待旅游团队为主的旅游商店根据经营规模向自治州旅游行政管理部门缴纳 10 万元至 30 万元的旅游质量保证金。质量保证金实行专户管理其本息属于缴纳者所有。旅游商店侵害旅游者合法权益经旅游行政管理等部门查证属实旅游商店拒不承担或者暂不能承担赔偿责任的自治州旅游行政管理部门可以根据旅游者的实际损失用质量保证金先行赔偿并责令旅游商店在 15 日内补足质量保证金。
云南省大理白族自治州旅游条例,,,第四章 旅游管理与服务,,第二十六条 自治州旅游行政管理部门执行国家和省的旅游设施和旅游服务标准化等级管理并会同有关部门制定地方标准报自治州人民政府批准后实施。
