文件名,编,分编,章,节,内容
云南省散装水泥促进条例,,,第一章 总 则,,第一条 为了促进散装水泥的发展和应用提高建设工程质量节约能源资源保护生态环境根据《中华人民共和国循环经济促进法》、《中华人民共和国建筑法》等法律、法规结合本省实际制定本条例。
云南省散装水泥促进条例,,,第一章 总 则,,第二条 本省行政区域内水泥、预拌混凝土和预拌砂浆的生产、销售、运输、使用及其监督管理适用本条例。
云南省散装水泥促进条例,,,第一章 总 则,,第三条 水泥生产和使用应当坚持发展散装、限制袋装的原则并通过预拌混凝土和预拌砂浆的推广促进散装水泥的发展和应用。
云南省散装水泥促进条例,,,第一章 总 则,,第四条 县级以上人民政府应当加强对散装水泥发展和应用工作的领导将其纳入国民经济和社会发展规划制定工作目标和政策措施并组织实施。
云南省散装水泥促进条例,,,第一章 总 则,,第五条 县级以上人民政府散装水泥行政主管部门负责本行政区域内散装水泥发展和应用的监督管理工作其他有关部门按照各自职责做好相关工作。县级以上人民政府散装水泥行政主管部门所属的散装水泥管理机构负责本行政区域内散装水泥发展和应用监督管理的具体工作所需工作经费由同级财政予以保障。乡镇人民政府应当协助有关部门做好散装水泥的发展和应用工作。
云南省散装水泥促进条例,,,第二章 发展和扶持,,第六条 省人民政府散装水泥行政主管部门应当会同有关部门按照合理布局、有利环保、安全生产、促进发展的要求编制全省散装水泥发展和应用专项规划依法报请批准后实施。州市、县市、区人民政府散装水泥行政主管部门根据全省散装水泥发展和应用专项规划制定散装水泥发展和应用实施方案并负责组织实施。
云南省散装水泥促进条例,,,第二章 发展和扶持,,第七条 新建、扩建和改建的水泥生产项目应当按照散装水泥发放能力不低于总生产能力 70的标准进行设计和建设。现有水泥生产企业散装水泥发放能力未达到总生产能力70的应当采取措施逐步达到。
云南省散装水泥促进条例,,,第二章 发展和扶持,,第八条 预拌混凝土、预拌砂浆和水泥制品构件生产企业应当全部使用散装水泥。
云南省散装水泥促进条例,,,第二章 发展和扶持,,第九条 州市政府所在地和有条件的县市、区、乡程禁止现场搅拌混凝土并分期分批禁止现场搅拌砂浆。有下列情形之一的可以现场搅拌混凝土、砂浆辆无法到达施工现场的砂浆生产企业无法供应的供应的用总量 100 立方米以下的。禁止现场搅拌混凝土、砂浆的具体实施办法由州市、县市、区人民政府制定并向社会公布。
云南省散装水泥促进条例,,,第二章 发展和扶持,,第十条 禁止现场搅拌混凝土、砂浆范围外的基础设施建设工程以及政府投资的其他建设工程应当使用散装水泥。有下列情形之一的可以使用袋装水泥
