文件名,编,分编,章,节,内容
云南省文山壮族苗族自治州水资源条例,,,,,第一条 为合理开发、利用、节约、保护和管理水资源防治水害发挥水资源的综合效益。根据《中华人民共和国水法》等有关法律法规结合自治州实际制定本条例。
云南省文山壮族苗族自治州水资源条例,,,,,第二条 自治州行政区域内的单位和个人都必须遵守和执行本条例。
云南省文山壮族苗族自治州水资源条例,,,,,第三条 水资源的开发利用按照地表水与地下水统筹规划优先开发地表水鼓励开发岩溶水开发与保护并重的方针建设节水型社会实现水资源的可持续利用。
云南省文山壮族苗族自治州水资源条例,,,,,第四条 自治州、县人民政府应当将水资源开发、利用、节约、保护、管理和防治水害纳入国民经济和社会发展规划建立水资源开发利用补偿机制。
云南省文山壮族苗族自治州水资源条例,,,,,第五条 自治州、县人民政府水行政主管部门负责本行政区域内水资源的统一管理与监督主要职责是中长期供求计划案
云南省文山壮族苗族自治州水资源条例,,,,,第六条 自治州、县水行政主管部门的水政监察执法机构应当完善管理制度改善执法条件做好水行政综合执法工作。乡镇水务管理机构受县水行政主管部门委托负责本乡镇水资源的管理与服务工作。
云南省文山壮族苗族自治州水资源条例,,,,,第七条 自治州、县人民政府发展和改革、环境保护、建设、国土资源、林业、农业、交通等行政主管部门按照各自职责做好水资源的开发、利用、节约和保护工作。
云南省文山壮族苗族自治州水资源条例,,,,,第八条 自治州、县人民政府对在水资源开发、利用、节约、保护、管理和防治水害工作中做出显著成绩的单位和个人给予表彰奖励。
云南省文山壮族苗族自治州水资源条例,,,,,第九条 自治州、县人民政府制定优惠政策鼓励州内外单位和个人依法开发利用水资源投资建设水库、电站等水利工程建设水窖、坝塘、蓄水池、水沟、机电井、抽水站等农村小型水利工程谁投资谁受益保护其合法权益。
云南省文山壮族苗族自治州水资源条例,,,,,第十条 自治州、县人民政府妥善安置水工程建设移民保障移民的生产和生活保护移民的合法权益。
云南省文山壮族苗族自治州水资源条例,,,,,第十一条 需要办理取水许可的新建、改建、扩建项目有关行政主管部门在审批立项之前应当征求水行政主管部门的意见。
云南省文山壮族苗族自治州水资源条例,,,,,第十二条 自治州、县水行政主管部门审批的水资源开发利用项目应当在批准之日起 30 日内向社会公告。经批准的取水建设项目 1 年内不开工的其取水申请批准文件自行失效由原审批机关予以公告。
云南省文山壮族苗族自治州水资源条例,,,,,第十三条 直接从江河、湖泊、地下取用水资源的单位和个人应当向水行政主管部门申请办理取水许可证并依法缴纳水资源费。取水许可证有效期限一般为 5 年最长不超过 10 年实行定期审验制度。
云南省文山壮族苗族自治州水资源条例,,,,,第十四条 取水单位和个人符合下列条件之一的免予办理取水许可证水塘、水库、水池、水窖取水的急取排水的
云南省文山壮族苗族自治州水资源条例,,,,,第十五条 禁止伪造、涂改、出租或者转让取水申请批准文件及取水许可证。
云南省文山壮族苗族自治州水资源条例,,,,,第十六条 取用水单位或者个人应当在取水口安装符合国家技术标准的计量设施并维护其正常运行。
云南省文山壮族苗族自治州水资源条例,,,,,第十七条 自治州、县留成的水资源费全额纳入同级财政专户管理。水行政主管部门提出年度水资源费使用计划报同级人民政府批准实施。
云南省文山壮族苗族自治州水资源条例,,,,,第十八条 在城镇自来水供水管网覆盖范围内禁止新建、改建、扩建取用地下水设施。对已建成的水行政主管部门应当进行普查严格管理逐步减少取用水量并按城镇供水综合水价计征水资源费。
云南省文山壮族苗族自治州水资源条例,,,,,第十九条 各级人民政府应当划定河道、湖泊和饮用水源区、风景名胜区及水工程的管理范围和保护范围并设立标志。
云南省文山壮族苗族自治州水资源条例,,,,,第二十条 各级人民政府应当采取措施加大退耕还林、植树造林的力度加快水源涵养林和水土保持林建设保护自然植被涵养水源。
云南省文山壮族苗族自治州水资源条例,,,,,第二十一条 在河道、湖泊、水工程及其管理范围内开发建设项目和从事养殖、旅游、体育、餐饮等活动的有关部门在办理审批手续前应当征求水行政主管部门的意见。项目竣工组织验收时应当有水行政主管部门参加。
