文件名,编,分编,章,节,内容
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第一条 根据《中华人民共和国宪法》和《中华人民共和国民族区域自治法》及《云南省实施〈中华人民共和国民族区域自治法〉办法》结合景谷傣族彝族自治县以下简称自治县政治、经济、文化的特点制定本条例。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第二条 自治县是傣族、彝族实行区域自治的地方属云南省普洱市管辖。自治县内还居住着汉族、拉祜族、哈尼族、回族、布朗族、瑶族等民族。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第三条 自治县的自治机关是自治县人民代表大会和人民政府。自治县的自治机关行使县级地方国家机关的职权同时依法行使自治权。自治县的自治机关驻威远镇。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第四条 自治县的自治机关维护国家的统一保证宪法和法律在自治地方的遵守和执行。自治县的自治机关在不违背宪法和法律的原则下根据自治县的实际采取特殊政策和灵活措施加快自治县经济和社会事业的发展。对上级国家机关的决议、决定、命令和指示如有不适合自治县实际情况的自治机关可以报经该上级国家机关批准变通执行或者停止执行。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第五条 自治县的自治机关在中国共产党的领导下带领全县各族人民以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指引坚定道路自信、理论自信、制度自信、文化自信践行社会主义核心价值观增进各民族对伟大祖国、中华民族、中国文化、中国共产党、中国特色社会主义的认同加强各民族交往交流交融贯彻新发展理念自力更生艰苦奋斗推动社会主义物质文明、政治文明、精神文明、社会文明、生态文明协调发展逐步把自治县建设成为民族团结、经济发展、文化繁荣、人民富裕的民族自治地方。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第六条 自治县的自治机关坚持全面、协调、可持续的科学发展观以农业为基础工业为重点大力发展非公有制经济充分发挥丰富的森林、矿藏、水能和热区等自然资源优势依靠教育和科学技术进步加快经济和社会事业的发展逐步提高各族人民的物质文化生活水平。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第七条 自治县的自治机关加强具有民族特色的社会主义精神文明建设发展教育、科学、文化、卫生等事业。对各族人民进行社会主义、爱国主义、集体主义和自力更生、艰苦奋斗的思想教育和革命传统教育以及民族政策教育。发扬各民族的优良传统自觉地改革妨害民族兴旺和人民致富的陈规陋习培育有理想、有道德、有文化、有纪律的社会主义公民不断提高各族人民的思想道德素质和科学文化素质。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第八条 自治县的自治机关发展社会主义民主健全社会主义法制坚持依法治县。加强基层政权、村民委员会和社区组织建设充分发挥他们的作用。加强民主法制教育保护各民族公民的合法权益依法惩治犯罪。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第九条 自治县的自治机关保障各民族公民享有宪法和法律规定的权利同时必须履行宪法和法律规定的义务。自治县的自治机关保障各民族公民一律平等维护和发展平等、团结、互助、和谐的社会主义民族关系促进各民族共同团结奋斗、共同繁荣发展铸牢中华民族共同体意识。禁止对任何民族的歧视和压迫禁止破坏民族团结和制造民族分裂的行为。各民族都有使用和发展自己语言文字的自由都有保持或者改革自己风俗习惯的自由。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第十条 自治县的自治机关保障各民族公民有宗教信仰自由。任何国家机关、社会团体和个人不得强制公民信仰宗教或者不信仰宗教不得歧视信仰宗教的公民和不信仰宗教的公民。信仰宗教的公民和不信仰宗教的公民要加强团结互相尊重共同为社会主义建设事业作出贡献。自治县的自治机关保护正常的宗教活动。任何人不得利用宗教进行破坏社会秩序损害公民身体健康妨碍国家行政、司法和教育制度的活动。自治县内的宗教团体和宗教事务不受外国势力的支配。禁止邪教活动。
云南省景谷傣族彝族自治县自治条例,,,第一章 总 则,,第十一条 自治县的自治机关保护归侨、侨眷、海外侨胞和台湾同胞在自治县的合法权益。
