文件名,编,分编,章,节,内容
云南省清洁生产促进条例,,,,,第一条 为了推行清洁生产提高资源利用效率减少和避免污染物的产生保护和改善环境保障人体健康促进经济与社会可持续发展根据《中华人民共和国清洁生产促进法》等法律、法规结合本省实际制定本条例。
云南省清洁生产促进条例,,,,,第二条 本条例所称清洁生产是指不断采取改进设计、使用清洁的能源和原料、采用先进的工艺技术与设备、改善管理、综合利用等措施从源头削减污染提高资源利用效率减少或者避免生产、服务和产品使用过程中污染物的产生和排放以减轻或者消除对人类健康和环境的危害。
云南省清洁生产促进条例,,,,,第三条 本省行政区域内从事生产和服务活动的单位以及从事相关管理活动的部门依照本条例规定组织、实施清洁生产。
云南省清洁生产促进条例,,,,,第四条 推行清洁生产应当坚持政府引导、企业实施、政策扶持、市场运作、公众参与、持续开展、依法监督的原则应当与发展循环经济、调整经济结构、促进企业技术进步和强化环境监督管理相结合。
云南省清洁生产促进条例,,,,,第五条 县级以上人民政府应当加强对清洁生产工作的领导将清洁生产纳入国民经济和社会发展规划以及环境保护、资源利用、产业发展和区域开发等专项规划根据国家和省的产业政策、技术开发和推广政策制定有利于实施清洁生产的政策措施引导从事生产和服务活动的单位按照清洁生产的要求实施清洁生产。县级以上人民政府和有关部门应当建立和完善清洁生产激励机制对在清洁生产工作中做出显著成绩的单位和个人给予表彰奖励。
云南省清洁生产促进条例,,,,,第六条 县级以上工业经济行政主管部门负责组织、协调本行政区域内的清洁生产促进工作。县级以上环境保护、发展和改革、财政、科学技术、建设、税务、教育、商务、农业、国土资源、水利、旅游、卫生、质量技术监督、食品药品监督等行政主管部门按照各自职责负责有关清洁生产的指导、监督等工作。
云南省清洁生产促进条例,,,,,第七条 省工业经济行政主管部门会同环境保护等有关行政主管部门编制地方清洁生产指南和技术指标体系建立清洁生产合格单位验收制度对验收合格的颁发清洁生产合格单位证书并向社会公布。
云南省清洁生产促进条例,,,,,第八条 县级以上人民政府有关行政主管部门应当加强清洁生产的宣传工作对企业管理人员和技术人员进行清洁生产知识及技能的培训。有关高等院校、职业技术学校等应当根据教育行政主管部门关于清洁生产技术、管理的有关课程设置规定和教学计划安排教育、教学工作。
云南省清洁生产促进条例,,,,,第九条 各级人民政府应当采取措施引导、鼓励公众购买和使用节能、节水、废物再生利用等有利于环境与资源保护的产品。政府采购机构应当优先采购该类产品。
云南省清洁生产促进条例,,,,,第十条 各级财政应当加大对清洁生产的支持力度。对从事清洁生产研究、示范和培训实施清洁生产的重点技术改造项目和削减污染物排放协议中载明的技术改造项目财政部门应当在有关专项资金中予以扶持。在中小企业发展基金中应当根据需要安排适当数额用于支持中小企业实施清洁生产。申报中央补助地方清洁生产专项资金的项目经省工业经济行政主管部门会同省发展和改革行政主管部门提出意见后由省财政部门按照国家有关规定上报。鼓励和吸引社会资金及银行贷款投入清洁生产。
云南省清洁生产促进条例,,,,,第十一条 县级以上工业经济等行政主管部门应当加强对清洁生产中介服务机构的指导监督督促其规范执业、诚信服务。政府有关行政主管部门应当鼓励和支持建立清洁生产信息系统和中介服务机构。
云南省清洁生产促进条例,,,,,第十二条 县级以上农业、建设、旅游等有关行政主管部门和行业协会应当会同工业经济行政主管部门制定行业清洁生产推行规划及相关政策指导和推动行业清洁生产。
云南省清洁生产促进条例,,,,,第十三条 县级以上科学技术及有关行政主管部门应当指导、支持清洁生产技术和有利于环境与资源保护的产品研究、开发及清洁生产技术的示范和推广工作对具有推广价值的清洁生产科技项目应当优先列入重点科技发展计划给予支持。
云南省清洁生产促进条例,,,,,第十四条 县级以上财政、环境保护行政主管部门根据排污费征收使用的有关管理办法应当将征收的排污费用于支持企业的清洁生产。
云南省清洁生产促进条例,,,,,第十五条 县级以上财政、税务等行政主管部门应当按照国家有关规定对实施清洁生产的企业落实相关产品的优惠政策。
云南省清洁生产促进条例,,,,,第十六条 从事生产和服务活动的单位应当将清洁生产纳入单位发展规划和日常管理制定清洁生产实施计划明确清洁生产目标增加投入调整产品结构加强管理减少资源消耗减少或者避免污染物的产生和排放持续开展清洁生产。
