文件名,编,分编,章,节,内容
云南省电力设施保护条例,,,第一章 总 则,,第一条 为了保护电力设施保障电力建设、生产和交易的顺利进行维护公共安全根据《中华人民共和国电力法》和国务院《电力设施保护条例》等法律、法规结合本省实际制定本条例。
云南省电力设施保护条例,,,第一章 总 则,,第二条 本省行政区域内电力设施的保护适用本条例。
云南省电力设施保护条例,,,第一章 总 则,,第三条 本条例所称的电力设施包括已建和在建的发电、变电、电力线路、电力调度、电力市场交易设施以及其他有关辅助设施。
云南省电力设施保护条例,,,第一章 总 则,,第四条 各级人民政府应当加强对电力设施保护工作的领导并将电力设施保护工作纳入社会治安综合治理目标责任制。
云南省电力设施保护条例,,,第一章 总 则,,第五条 县级以上人民政府应当制定电力设施突发事件应急预案。电网经营企业、供电企业、装机容量在 20 万千瓦以上的发电企业以下统称电力企业用电容量在 315 千伏安以上以及医疗卫生等涉及人身和公共安全的用电户以下统称用电户应当制定电力设施突发事件应急预案。
云南省电力设施保护条例,,,第一章 总 则,,第六条 禁止危害电力设施的行为。对危害电力设施的行为任何单位和个人都有权制止并向公安机关、电力行政主管部门或者电力设施产权人举报。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第七条 县级以上人民政府健全电力设施保护工作机制推进解决电力设施保护工作重大问题。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第八条 电力行政主管部门在电力设施保护工作中的主要职责是产权人设立电力设施保护标志依法公告电力设施保护区全保卫工作作。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第九条 县级以上自然资源主管部门在编制国土空间规划时应当听取电力行政主管部门的意见。有关部门对可能危及电力设施安全的建设项目在审批时应当听取当地电力行政主管部门和电力企业的意见。意见不一致的由县级以上人民政府组织协调解决。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第十条 公安机关负责收购废旧电力设施的行政许可查处盗窃、破坏电力设施等涉电违法犯罪案件。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第十一条 市场监管部门负责废旧电力设施器材收购单位和个人的登记注册依法查处无照或者超越经营范围收购废旧电力设施器材的经营活动。
云南省电力设施保护条例,,,第二章 保护主体及职责,,第十二条 电力设施产权人履行下列电力设施保护的职责员做好电力设施保护工作中取得显著成绩的单位和个人。电力设施产权人在生产、经营活动中不得危害其他单位和个人的合法权益。
云南省电力设施保护条例,,,第三章 保护范围和保护区,,第十三条 发电设施、变电设施的保护范围施专用的管道沟、储灰场、水井、泵站、冷却水塔、油库、堤坝、铁路、道路、地热田、桥梁、码头、燃料装卸设施、避雷装置、消防设施及其他有关辅助设施水隧洞含支洞口、引水渠道、调压井塔、露天高压管道、厂房、尾水渠、泄洪道及其闸门、防洪堤坝、厂房与大坝间的通信设施大坝及水工建设物的安全监测设施水库水位、水情测报设施及其他有关辅助设施。
云南省电力设施保护条例,,,第三章 保护范围和保护区,,第十四条 电力线路设施的保护范围避雷线、金具、绝缘子、登杆塔的爬梯和脚钉导线跨越航道的保护设施巡保线站巡视检修专用道路、船舶和桥梁、电气化铁路高压接触网、标志牌及其他有关辅助设施结装置电缆管道隧道、沟、电缆桥、电缆井、盖板、人孔、标石、水线标志牌及其他有关辅助设施离开关、避雷器、互感器、熔断器、计量仪表装置、配电室、电缆分支箱、箱式变电站及其他有关辅助设施。
云南省电力设施保护条例,,,第三章 保护范围和保护区,,第十五条 电力调度设施的保护范围包括电力调度场所、电力调度通信设施、电网调度自动化设施、电网运行控制设施及其他有关辅助设施。电力市场交易设施的保护范围包括计量、报价、交易、结算、监视、复核、预警、信息发布等设施及其他有关辅助设施。铁路电力设施的保护范围包括牵引变电所、变配电所及其电源线路、贯通供电线路、自闭供电线路等设施及其他有关辅助设施。
云南省电力设施保护条例,,,第三章 保护范围和保护区,,第十六条 电力线路保护区投影于地面所形成的两平行线内的区域各电压等级电力线路的边导线在居民区、非居民区、交通困难地区与地面、建筑物、树木的安全距离应当符合国家电力线路设计规范和技术规程。基础外缘向周围延伸所形成的区域。各级电压架空电力线路杆塔、拉线基础外缘向周围延伸距离如下电压等级 杆塔基础 拉线基础35 千伏以下 5 米 2 米110 千伏以上 10 米 3 米两侧各 075 米所形成的平行线内的区域江河、湖泊电缆一般为线路两侧各 100 米中、小河流不小于各 50 米所形成的两平行线内的水域。
云南省电力设施保护条例,,,第三章 保护范围和保护区,,第十七条 其他电力设施保护区厂、站围墙外延伸 3 米所形成的区域送管道沟、专用道路保护区输送管道沟、专用道路两侧各 15 米所形成的两平行线内的区域区域段两侧各 10 米、坝区段两侧各 3 米所形成的两平行线内的区域。
云南省电力设施保护条例,,,第四章 保护措施,,第十八条 任何单位和个人在距电力设施外围水平距离 500米范围内进行爆破作业的应当征得电力设施产权人的同意提出安全防护方案报经县级以上电力行政主管部门批准后方可作业未经批准任何单位和个人不得爆破作业。电力行政主管部门对报批的安全防护方案应当在 7 日内作出是否批准的答复。
云南省电力设施保护条例,,,第四章 保护措施,,第十九条 禁止任何单位和个人从事下列危害发电设施、变电设施的行为或者电力调度交易场所调度信息系统或者电力交易信息系统专用道路的安全运行
云南省电力设施保护条例,,,第四章 保护措施,,第二十条 禁止任何单位和个人从事下列危害电力线路设施的行为者放其他空中飘动物体播线安装广播喇叭、悬挂广告牌及其他标志物擅自张贴广告标语等或者标志牌拉线之间修筑道路
云南省电力设施保护条例,,,第四章 保护措施,,第二十一条 禁止任何单位和个人在架空电力线路保护区内从事下列可能危及电力线路及人员安全的行为
云南省电力设施保护条例,,,第四章 保护措施,,第二十二条 任何单位和个人在架空电力线路保护区内进行下列作业或者活动的应当与电力设施产权人共同制定防护方案并经县级以上电力行政主管部门会同有关部门批准及打桩、钻探、开挖等作业工线路保护区电力行政主管部门对报批的防护方案应当在 15 日内作出是否批准的答复。
云南省电力设施保护条例,,,第四章 保护措施,,第二十三条 禁止任何单位和个人在地下电缆保护区内堆放矿渣和易燃易爆物倾倒腐蚀性化学物品、兴建建筑物、构筑物、垃圾场或者种植树木、竹子。禁止在江河、湖泊、水库电缆保护区内抛锚、拖锚、炸鱼、挖沙。
云南省电力设施保护条例,,,第四章 保护措施,,第二十四条 禁止任何单位和个人在架空电力线路杆塔、拉线基础保护区内取土、挖沙、采石、打桩、钻探、开挖或者倾倒腐蚀性化学物品。在电力设施保护区以外进行可能危及架空电力线路杆塔、拉线基础安全的作业时应当遵守下列规定检修和事故抢修修筑符合技术标准或者安全要求的加固护坡
云南省电力设施保护条例,,,第四章 保护措施,,第二十五条 在发电厂、变电站、换流站、开关站等厂、站保护区内任何单位和个人不得进行下列活动
云南省电力设施保护条例,,,第四章 保护措施,,第二十六条 在发电厂、变电站专用的水、油、气、灰、渣、煤等输送管道沟、专用道路保护区内任何单位和个人不得进行下列活动
云南省电力设施保护条例,,,第四章 保护措施,,第二十七条 禁止任何单位和个人从事下列危害电力设施建设的行为得的通道和走廊标记
云南省电力设施保护条例,,,第四章 保护措施,,第二十八条 任何单位和个人不得阻扰、妨碍电力设施产权人依法对电力设施进行维护、检修和事故抢修。
云南省电力设施保护条例,,,第四章 保护措施,,第二十九条 收购废旧电力设施应当经所在地县级公安机关许可。公安机关应当自收到申请之日起 3 日内作出受理或者不受理的决定不受理的应当说明理由。受理的应当自收到申请之日起 20 日内作出予以许可或者不予许可的决定。经审查予以许可的颁发废旧电力设施收购许可证不予许可的应当书面通知申请人并说明理由。单位或者个人申请收购废旧电力设施应当具备下列条件并提供相关证明材料证并有固定场所周边距离大于 500 米。因违法收购废旧生产性金属受过刑事处罚的在刑罚执行完毕之日起 3 年内不得申请收购废旧电力设施。
云南省电力设施保护条例,,,第四章 保护措施,,第三十条 废旧电力设施器材收购单位或者个人应当建立收购台账台账的保存期限应当不少于 2 年。单位或者个人在收购废旧电力设施器材时应当查验出售人出具的证明和清单并如实登记。登记内容包括出售人的名称或者姓名、身份证号码、住址及电力设施器材的名称、数量、规格等情况。单位或者个人不再经营收购废旧电力设施器材业务时应当到原许可机关办理注销许可证手续。在本条例施行前已经营收购废旧电力设施器材业务的应当自本条例实施之日起 60 日内办理许可手续。
云南省电力设施保护条例,,,第四章 保护措施,,第三十一条 电力设施产权人在检查电力设施安全时应当向当事人出示证件必要时可以采取制作调查笔录、录像等措施收集证据。对危害或者可能危害电力设施安全的行为电力设施产权人应当及时制止、限期整改拒不整改的可以报请相关部门处理。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十二条 电力线路的设计、建设单位在现有技术和自然条件允许的情况下应当采取增加杆塔高度、缩短档距等措施保障居住人的安全和正常生活的空间保障被跨越物体的安全减少森林的砍伐。新建架空电力线路经过坝区农田设计、建设单位应当使用不带拉线的杆塔。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十三条 新建架空电力线路不得跨越航空保护区以及储存易燃、易爆物品仓库等法律、法规规定不得跨越的区域。新建架空电力线路一般不得跨越房屋确需跨越的设计、建设单位应当与房屋所有者协商。协商不成的任何一方可以申请有关部门协调处理也可以向人民法院起诉。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十四条 在电力设施保护区内非法搭建建筑物、构筑物及其他设施危及电力设施安全的由当地人民政府予以公告限期当事人自行拆除当事人在法定期限内不申请行政复议或者提起行政诉讼又不拆除的当地人民政府可以依法强制拆除。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十五条 电力设施与其他设施相互妨碍的按照下列规定处理产权人应当自行拆除拒不拆除的由有关部门依法拆除。拆除其他设施可能给社会公共利益造成严重损害的应当由电力设施产权人拆除电力设施其他设施的产权人应当补偿电力设施产权人因此受到的直接损失电力设施建设需要拆除的电力设施产权人应当按照国家有关规定给予补偿。执行前款规定需要协商的双方应当在确定拆除之日起 30日内达成协议不能达成协议的任何一方可以申请有关部门协调处理也可以向人民法院起诉。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十六条 相互妨碍的电力设施与其他设施的建设经过有关部门审批或者核准的按照以下规定处理定的由违法审批或者核准的部门负责排除妨碍有关规定的审批或者核准的部门应当共同协商采取措施排除妨碍。设施产权人应当配合审批或者核准部门排除妨碍。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十七条 新建、改建或者扩建电力设施需要损害农作物砍伐树木、竹子或者拆迁建筑物及其他设施的电力建设企业应当依法办理相关手续并按照国家有关规定给予一次性补偿。在依法划定的电力设施保护区内种植的或者自然生长的可能危及电力设施安全的树木、竹子电力企业应当依法予以修剪或者砍伐。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十八条 电力建设企业新建、改建或者扩建电力设施需要占用耕地、林地的应当按照有关法律、法规的规定给予补偿。架空电力线路走廊包括杆塔、拉线基础和地下电缆通道范围内土地的权属和使用性质不变可以不实行土地征收不实行土地征收的电力建设单位应当给予补偿并依法依规办理相关手续。具体补偿办法和标准参照云南省征收土地补偿标准执行。
云南省电力设施保护条例,,,第五章 电力设施和其他设施相互妨碍的处理,,第三十九条 电力设施保护区内的城镇绿化树、公路行道树的管理单位应当对树木进行定期修剪保证树木的自然生长高度与架空电力线路之间的安全距离符合本条例和其他法律、法规的规定未及时修剪造成电力线路损坏或者他人人身、财产损失的应当承担相应的责任。电力设施产权人发现城镇绿化树、公路行道树的自然生长高度不符合本条例和其他法律、法规规定的安全距离的应当向有关部门提出修剪申请。自申请之日起 7 日内不修剪的电力设施产权人可以自行修剪修剪前电力设施产权人应当告知有关部门修剪费用由城镇绿化树、公路行道树的管理单位承担。因不可抗力或者生产、交通事故致使树木倾斜、倒伏可能危及电力线路及人身安全时电力设施产权人可以先行修剪、砍伐树木或者采取其他必要的处理措施并自采取措施之日起 3 日内到有关部门补办手续。
云南省电力设施保护条例,,,第六章 电力设施突发事件的处置,,第四十条 县级以上人民政府应当建立电力设施突发事件应急救援物质储备制度设立专项资金保障处置电力突发事件的物质供应。各级人民政府和电力行政主管等有关部门应当做好电力设施突发事件的应急工作。
云南省电力设施保护条例,,,第六章 电力设施突发事件的处置,,第四十一条 电力企业、用电户应当制定电力设施突发事件应急预案报电力行政主管部门备案并按照应急预案的要求保证应急设施、设备、物资的储备和完好保障应对突发事件的经费。
云南省电力设施保护条例,,,第六章 电力设施突发事件的处置,,第四十二条 电力设施突发事件发生后发生地人民政府应当立即组织有关部门、单位和人员采取下列措施开展救援工作
云南省电力设施保护条例,,,第六章 电力设施突发事件的处置,,第四十三条 电力设施突发事件发生后电力企业应当立即采取下列措施组织开展救援工作
云南省电力设施保护条例,,,第六章 电力设施突发事件的处置,,第四十四条 电力设施突发事件处置过程中征用集体或者个人所有的交通工具、房屋、设施、设备的使用后应当予以返还并支付征用费不能返还或者造成损坏的征用者应当按照国家有关规定给予补偿。
云南省电力设施保护条例,,,第七章 法律责任,,第四十五条 国家机关及其工作人员有下列情形之一的由有关主管部门对直接负责的主管人员和其他直接责任人员予以行政处分筑物的安全距离造成人身伤亡或者重大财产损失的案件的力设施遭受严重破坏或者重大社会影响的
云南省电力设施保护条例,,,第七章 法律责任,,第四十六条 违反本条例第十八条第一款规定未经批准爆破作业的由县级以上电力行政主管部门责令停止作业造成损失的由责任人依法承担赔偿责任。
云南省电力设施保护条例,,,第七章 法律责任,,第四十七条 违反本条例第十九条、第二十条、第二十一条、第二十三条、第二十四条第一款规定的电力设施产权人有权制止并由县级以上电力行政主管部门责令改正可以对单位处2000 元以上 1 万元以下罚款对个人处 100 元以上 1000 元以下罚款造成损失的由责任人依法承担赔偿责任。
云南省电力设施保护条例,,,第七章 法律责任,,第四十八条 违反本条例第二十二条第一款、第二十四条第二款、第二十五条、第二十六条、第二十七条、第二十八条规定的由县级以上电力行政主管部门责令停止违法行为可以处 1万元以下罚款造成损失的依法承担赔偿责任。
云南省电力设施保护条例,,,第七章 法律责任,,第四十九条 违反本条例第二十九条第一款规定未经许可收购废旧电力设施的由县级以上公安机关责令限期改正没收违法所得并处违法所得 1 倍以上 5 倍以下罚款没有违法所得的可以处 1000 元以上 5000 元以下罚款。
云南省电力设施保护条例,,,第七章 法律责任,,第五十条 违反本条例第三十条第一款、第二款规定的由县级以上市场监管部门予以警告可以并处 100 元以上 1000 元以下罚款。
云南省电力设施保护条例,,,第七章 法律责任,,第五十一条 电力设施产权人有下列行为之一的由县级以上电力行政主管部门责令限期改正可以并处 1 万元以上 5 万元以下罚款造成人身伤亡、重大财产损失的依法承担赔偿责任重大财产损失的。
云南省电力设施保护条例,,,第八章 附 则,,第五十二条 电力设施损失的计算范围包括电量损失金额、设备材料购置费以及更换、修复的人工和运输费用等。电量损失金额计算公式为电量损失金额停电前抄见电力负荷停电时间价格行政管理部门核定的电价。
云南省电力设施保护条例,,,第八章 附 则,,第五十三条 本条例自 2008 年 1 月 1 日起施行。
