文件名,编,分编,章,节,内容
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第一条 为促进个体私营经济的发展根据《中华人民共和国宪法》、《中华人民共和国民族区域自治法》和有关法律、法规的规定结合自治州实际制定本条例。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二条 个体工商户和私营企业的合法权益受法律保护。个体工商户和私营企业应当履行法律、法规所规定的义务依法纳税守法经营公平竞争保护环境。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第三条 各级人民政府及有关职能部门依照本条例做好个体私营经济的服务、管理和发展工作。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第四条 行政管理部门应当简化个体工商户和私营企业的证、照办理手续。除法律、法规规定的前置审批条件外不得设置其他审批条件。不得超过规定的审批时限。到自治州从事个体、私营企业经营的人员不受户籍限制凭居民身份证、暂住证向行政管理部门申请办理证照并享受自治州制定的各项优惠政策。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第五条 个体工商户和私营企业使用土地的城建和土地管理部门应按规定及时办理有关手续。经批准使用的生产经营场地任何组织和个人不得随意收回、拆除或者侵占。因建设需要拆迁的有关部门应给予补偿并妥善安排。水、电部门在通水、通电上对个体工商户和私营企业应与国有、集体企业同等对待。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第六条 金融部门应合理安排对个体工商户和私营企业的贷款贷款条件与国有、集体企业平等对待。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第七条 私营企业吸纳国有企业下岗人员和城镇待业人员占职工总数 50以上的可以登记为劳动服务就业型企业享受国家和省的有关优惠政策。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第八条 安置残疾人员达到员工总数 30以上并经市县民政、税务部门核准领取《社会福利企业证书》的私营企业可以享受民政福利企业的优惠政策。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第九条 经市县人民政府认可的贫困户从事个体经营的除享受国家和省的有关税收优惠政策外3 年内免收管理费。在边远贫困乡镇从事个体和私营企业经营的除享受国家和省的有关税收优惠政策外3 年内减免管理费。拉祜族等边境一线的特困少数民族从事个体经营的除享受国家和省的有关税收优惠政策外免收一切管理费。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十条 下岗职工申请从事个体经营的除享受国家和省的有关税收优惠政策外免收 1 年管理费工商行政管理部门可以核发临时营业执照。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十一条 个体工商户和私营企业投资建市场3 年内减半征收土地收益金。个体工商户和私营企业利用废气、废水、废渣等废弃物为主要生产原料的除享受国家和省有关优惠政策外减免五年管理费。个体工商户和私营企业可以进入政府规划的经济园区投资开发建设享受各项优惠政策。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十二条 个体工商户和私营企业收购停产、倒闭、破产的国有、集体企业除享受国家和省的有关税收优惠政策外3年内减免管理费。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十三条 私营企业可以承包、租赁、购买、兼并国有、集体企业和组建企业集团个体工商户和私营企业可以参与各种经济类型的企业投资、入股。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十四条 有关部门应积极帮助符合条件的私营企业办理自营进出口经营权。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十五条 科技人员和大中专毕业生从事个体和私营企业经营或者到私营企业就业的市县以上人民政府人事部门应接收、保管其档案办理职称评聘等手续公安部门负责为其办理城镇落户手续。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十六条 个体工商户和私营企业应依法建立健全用工、财务、安全、卫生等各项制度不得克扣、拖欠员工劳动报酬不得虐待或变相虐待员工保障员工享受国家规定的福利待遇对女工实行特殊劳动保护。禁止雇用童工。私营企业应依法为员工办理失业、养老医疗和伤残等保险。私营企业具备条件的应建立工会组织切实保障员工的合法权益。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十七条 个体工商户和私营企业可以经营除法律、法规禁止经营以外的行业和商品任何组织和个人不得封锁、限制、干预、垄断。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十八条 个体工商户和私营企业有权拒绝法律、法规规定以及《交费卡》核定的交费项目以外的收费。收费部门必须持物价部门核发的收费许可证和财政部门印制的行政事业收费票据进行收费。不准超越收费许可证核定的收费范围和收费标准。有关行政部门不得代无收费权的单位和组织向个体工商户和私营企业收费、罚款、摊派。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第十九条 个体工商户和私营企业的营业执照除工商行政管理部门依法扣缴和吊销外其他部门和个人不得以任何理由扣缴和吊销。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二十条 有关行政管理部门及其工作人员有下列情形之一的由其所在单位或上级机关责令改正并视情节对直接责任人员和单位主要负责人给予行政处分或者由行政监察机关进行处理造成经济损失的依法赔偿构成犯罪的依法追究刑事责任合格证、资质证而不予办理或拖延办理的
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二十一条 向个体工商户和私营企业乱收费、乱摊派、乱罚款的由物价管理部门责令其退还已收取的款项并按《云南省个体工商户和私营企业合法权益保护条例》的规定处罚。对非法接受委托向个体工商户和私营企业收费、罚款、摊派的部门负责人或者直接责任人除比照前款处罚外由监察部门追究委托、被委托双方主要负责人的行政责任。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二十二条 当事人对行政处罚决定不服的依照《中华人民共和国行政复议法》和《中华人民共和国行政诉讼法》的规定办理。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二十三条 本条例具体应用中的问题由自治州人民政府解释。
云南省红河哈尼族彝族自治州发展个体工商户和私营企业条例,,,,,第二十四条 本条例报云南省人民代表大会常务委员会批准后公布施行。
