文件名,编,分编,章,节,内容
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第一章 总 则,,第一条 为了加强城乡规划建设管理调整城乡空间布局改善人居环境促进城乡经济社会可持续发展。根据《中华人民共和国城乡规划法》《云南省城乡规划条例》等法律法规结合西双版纳傣族自治州以下简称自治州实际制定本条例。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第一章 总 则,,第二条 在自治州行政区域内制定、实施城乡规划进行城乡建设及其监督管理等活动应当遵守本条例。本条例所称城乡规划包括城镇体系规划、城市规划、镇规划、乡规划、村庄规划。城镇体系规划分为州域城镇体系规划、县市域村镇体系规划城市规划、镇规划、乡规划分为总体规划和详细规划。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第一章 总 则,,第三条 自治州的城乡规划建设管理应当遵循生态优先、以人为本的理念坚持城乡统筹、科学规划、合理布局、节约土地、集约发展、先规划后建设和建管并重的原则改善生态环境保护坝区农田和湿地保持传统风貌和突出民族文化、地域特色。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第一章 总 则,,第四条 自治州、县市、乡镇人民政府应当加强对城乡规划建设和管理工作的领导并将其纳入本级国民经济和社会发展规划所需经费纳入本级财政预算。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第一章 总 则,,第五条 自治州、县市人民政府住房和城乡建设行政主管部门负责本行政区域内的城乡规划建设管理工作其在开发区工作。乡镇城乡规划建设管理机构依法做好城乡规划建设管理工作。街道办事处配合住房和城乡建设行政主管部门做好城乡规划建设管理的有关工作。村居民委员会可以配备城乡规划建设管理协管员协助做好城乡规划建设管理的相关工作。发展和改革、财政、国土资源、环境保护、林业等有关部门应当按照各自的职责做好城乡规划建设管理的相关工作。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第六条 州域城镇体系规划、县市域村镇体系规划、城市总体规划、控制性详细规划、乡镇规划、村庄规划的编制和审批按照城乡规划法律法规的规定执行。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第七条 城乡规划的各类专项规划应当符合城乡总体规划各类专项规划之间应当相互衔接。城乡规划的专项规划由自治州、县市人民政府住房和城乡建设行政主管部门会同相关行业主管部门组织编制报同级人民政府审批。法律法规对专项规划的编制和审批另有规定的从其规定。相关行业主管部门组织编制行业规划涉及城乡规划的应当征求同级住房和城乡建设行政主管部门的意见。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第八条 县市、乡镇人民政府应当根据近期建设规划制定年度实施计划。年度实施计划应当与年度投资计划和年度土地供应计划相衔接明确规划年度实施的主要内容统筹安排城乡重点基础设施、公共服务设施、公共安全设施和保障住房建设。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第九条 自治州、县市人民政府住房和城乡建设行政主管部门应当组织编制下列区域的城市设计经本级人民政府批准后作为控制性详细规划相关内容的补充枢纽区
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第十条 开发区园区总体规划由各开发区园区管理机构组织编制经所在地县市人民政府审查后按照法定权限报批。开发区园区的基础设施和重大建设项目应当符合城市总体规划并与相关行业规划相衔接。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第十一条 城乡规划批准前审批机关可以委托承担规划编制任务以外的具有相应城乡规划编制资质的机构对规划草案进行技术审查。经批准的城乡规划应当向社会公布。村庄规划应当由乡法律法规规定不得公开的内容除外。未经公布的城乡规划不得作为规划管理和城乡建设的依据。城乡规划组织编制机关应当将依法批准的城乡规划报送同级城镇建设档案机构存档。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第十二条 经批准的城乡规划不得擅自修改确需修改的应当按照法定程序报批。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第二章 城乡规划的制定和修改,,第十三条 修改城乡规划组织编制机关应当对城乡规划实施情况进行评估并采取听证会、论证会、座谈会等方式或者通过政府网站、媒体征求相关部门、专家和公众的意见。城乡规划修改方案报送审批前组织编制机关应当依法将城乡规划修改草案予以公告公告的时间不得少于 30 日。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第三章 用地规划条件,,第十四条 自治州、县市住房和城乡建设行政主管部门应当依据控制性详细规划和相关规定提出出让地块的规划条件并书面提供给国土资源主管部门作为国有土地使用权出让合同的组成部分。规划条件主要包括以下内容积和可兼容内容。项目用地包括项目建设用地和项目建设用地范围外的道路、绿地等代征用地下空间与形式、建筑色彩、建筑间距、日照时数和建筑退界要求停车泊位和广场等电力、广电、通信、消防、再生水利用设施等卫生、体育、物业管理、社区服务设施、防灾应急避难场所与设施等绿地设置及绿化树种配置要求地范围及代征用地范围、地块坐标及标高、道路红线坐标及标高、出入口位置、建筑界线以及周围地区的环境与基础设施条件
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第三章 用地规划条件,,第十五条 在建设用地使用权划拨或者出让、转让过程中自治州、县市住房和城乡建设行政主管部门及其在开发区园区设立的派出机构出具的规划条件应当符合经依法审批的控制性详细规划。未编制控制性详细规划的地块城乡规划建设主管部门不得出具规划条件。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第三章 用地规划条件,,第十六条 国有土地使用权出让应当严格执行规划条件未确定规划条件的地块国土资源主管部门不得组织出让国有土地使用权。国有土地使用权转让合同应当附有原出让合同中的各项规划要求及附图。国有土地使用权转让时不得改变原出让合同中的各项规划条件。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第三章 用地规划条件,,第十七条 建设工程设计单位应当按照规划条件进行设计建设单位应当按照规划条件进行建设。规划条件不得擅自变更确需变更规划条件的应当向住房和城乡建设行政主管部门提出申请由住房和城乡建设行政主管部门按照下列规定办理计方案、建设工程设计方案的总平面图的城乡规划主管部门在审批前应当组织专家论证采取听证会等形式听取利害关系人意见管部门并公示涉及其他部门已作出许可审批的应当抄告相关许可审批部门。
云南省西双版纳傣族自治州城乡规划建设管理条例,,,第三章 用地规划条件,,第十八条 以拍卖、招标等方式依法处置不动产的负责处置的机构应当事先向住房和城乡建设行政主管部门核实标的物所附着地块的相关规划要求。
