文件名,编,分编,章,节,内容
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第一条 为了预防、控制艾滋病的传播和蔓延保障人体健康和公共卫生根据国务院《艾滋病防治条例》、《新疆维吾尔族自治区艾滋病防治条例》以及有关法律、法规结合自治州实际制定本若干规定。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第二条 本若干规定适用于自治州直属县市行政区域内的艾滋病防治及其监督管理工作。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第三条 艾滋病防治工作实行各级人民政府行政首长负责制纳入各级人民政府目标责任制和绩效考核。建立州、县市、乡镇街道办事处、村居委会四级艾滋病防治工作机制在艾滋病流行严重区域应当设立艾滋病防治工作机构配备专人负责辖区艾滋病防治工作。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第四条 州、县市人民政府应当将艾滋病防治工作经费列入同级财政预算并逐年增加艾滋病防治工作的财政投入保障宣传教育、预防控制、监测检测、关怀救治、监督管理所需的各项经费。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第五条 实行婚前艾滋病免费咨询、检测制度。要求结婚的男女双方应当到卫生行政部门许可的医疗卫生机构进行艾滋病免费咨询、检测。提供艾滋病免费咨询、检测服务的医疗卫生机构的地址及联系方式应当向社会公布。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第六条 实行孕产妇艾滋病免费咨询、检测制度。医疗卫生机构、计划生育技术服务机构和妇幼保健机构应当对孕产妇提供艾滋病免费筛查检测为感染艾滋病病毒的孕产妇免费提供母婴传播的咨询、产前指导、阻断、产后访视、婴儿随访和检测等服务。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第七条 人力资源和社会保障部门和卫生行政主管部门应当将艾滋病检测费用列入城镇职工和城镇居民医疗保险、新型农村合作医疗诊疗的目录范围。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第八条 在宾馆、旅店和洗浴、美容美发、娱乐服务等经营性公共场所中易感染艾滋病危险行为的人员应当每半年进行一次艾滋病检测经营者不得安排未经艾滋病检测合格的人员上岗。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第九条 州、县市人民政府应建立艾滋病防治工作与禁毒工作的协调机制公安、卫生、民政、药品食品监督行政部门应当积极协同、配合在吸毒人员较为集中区域建立社区药物维持治疗机构和清洁针具交换工作点。司法行政机关应当与乡镇人民政府、街道办事处共同做好辖区内吸毒人员的艾滋病防治健康教育每个目标人群至少接受一次以上健康教育。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第十条 卫生行政主管部门应当向艾滋病病毒感染者和艾滋病病人以及需要采取措施的人群推广预防艾滋病传播的措施。州、县两级医疗机构应当设立抗病毒治疗中心并对艾滋病病人进行免费抗病毒治疗。司法机关应当配合卫生部门做好看守所、拘留所、强制隔离戒毒所和监狱、劳动教养所等监管场所内被监管人员的防治艾滋病行为干预工作。人口和计划生育主管部门应当结合计划生育技术服务工作向育龄人群免费发放安全套。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第十一条 艾滋病病毒感染者和艾滋病病人应当在得知本人感染 10 日内将感染的事实告知配偶和与其有性关系者并采取必要的防护措施防止感染他人。逾期不告知的疾病预防控制机构代为告知。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第十二条 本若干规定未涉及的内容均按国家和自治区相关规定执行。
伊犁哈萨克自治州艾滋病防治若干规定,,,,,第十三条 本规定自 2012 年 7 月 1 日起施行。
