文件名,编,分编,章,节,内容
公安机关组织管理条例,,,第一章 总则,,第一条 为了规范公安机关组织管理保障公安机关及其人民警察依法履行职责根据《中华人民共和国公务员法》、《中华人民共和国人民警察法》制定本条例。
公安机关组织管理条例,,,第一章 总则,,第二条 公安机关是人民民主专政的重要工具人民警察是武装性质的国家治安行政力量和刑事司法力量承担依法预防、制止和惩治违法犯罪活动保护人民服务经济社会发展维护国家安全维护社会治安秩序的职责。
公安机关组织管理条例,,,第一章 总则,,第三条 公安部在国务院领导下主管全国的公安工作是全国公安工作的领导、指挥机关。县级以上地方人民政府公安机关在本级人民政府领导下负责本行政区域的公安工作是本行政区域公安工作的领导、指挥机关。
公安机关组织管理条例,,,第一章 总则,,第四条 公安机关实行行政首长负责制。
公安机关组织管理条例,,,第二章 公安机关的设置,,第五条 县级以上人民政府公安机关依照法律、行政法规规定的权限和程序设置。
公安机关组织管理条例,,,第二章 公安机关的设置,,第六条 设区的市公安局根据工作需要设置公安分局。市、县、自治县公安局根据工作需要设置公安派出所。公安分局和公安派出所的设立、撤销按照规定的权限和程序审批。
公安机关组织管理条例,,,第二章 公安机关的设置,,第七条 县级以上地方人民政府公安机关和公安分局内设机构分为综合管理机构和执法勤务机构。执法勤务机构实行队建制称为总队、支队、大队、中队。
公安机关组织管理条例,,,第二章 公安机关的设置,,第八条 县级以上地方人民政府公安机关和公安分局内设机构的设立、撤销按照国家规定的权限和程序审批。
公安机关组织管理条例,,,第二章 公安机关的设置,,第九条 看守所、拘留所、戒毒所、收容教育所依照法律、行政法规的规定设置。
公安机关组织管理条例,,,第三章 公安机关人民警察职务,,第十条 公安机关人民警察职务分为警官职务、警员职务和警务技术职务。
公安机关组织管理条例,,,第三章 公安机关人民警察职务,,第十一条 公安机关履行警务指挥职责的人民警察实行警官职务序列。公安机关领导成员和内设综合管理机构警官职务由高至低为省部级正职、省部级副职、厅局级正职、厅局级副职、县处级正职、县处级副职、乡科级正职、乡科级副职。公安机关内设执法勤务机构警官职务由高至低为总队长、副总队长、支队长、副支队长、大队长、副大队长、中队长、副中队长。县级以上地方人民政府公安机关派出机构、内设执法勤务机构和不设区的市、县、自治县公安局根据工作需要可以设置主管政治工作的政治委员、教导员、指导员等警官职务。
公安机关组织管理条例,,,第三章 公安机关人民警察职务,,第十二条 公安机关履行警务执行职责的人民警察实行警员职务序列。公安机关及其内设综合管理机构警员职务由高至低为巡视员、副巡视员、调研员、副调研员、主任科员、副主任科员、科员、办事员。公安机关内设执法勤务机构警员职务由高至低为一级警长、二级警长、三级警长、四级警长、一级警员、二级警员、三级警员。
