文件名,编,分编,章,节,内容
六盘水市六枝河保护条例,,,,,第一条 为了加强六枝河保护防治水污染改善水环境根据《中华人民共和国水法》《中华人民共和国水污染防治法》《贵州省河道条例》等法律法规的规定结合本市实际制定本条例。
六盘水市六枝河保护条例,,,,,第二条 六枝河水资源保护、水污染防治和河道管理等活动适用本条例。本条例所称六枝河包括六枝河干流及支流。六枝河干流是指发源于六枝特区新窑镇三丈水至落别可布出境的河段支流包括东风水库支流、四角田支流、雾布冲支流、万家小河支流、左家寨支流、桃花湖支流、云盘支流、纳骂河及落别河六枝特区境内段等河流。
六盘水市六枝河保护条例,,,,,第三条 六枝河保护应当坚持生态优先、绿色发展、科学规划、综合治理、政府主导、社会参与的原则。
六盘水市六枝河保护条例,,,,,第四条 六枝河保护实行统一管理与属地分级分段管理相结合的管理体制。市人民政府和六枝特区人民政府应当加强对六枝河保护工作的领导将其纳入国民经济和社会发展规划采取措施加强生态建设和环境保护促进生态环境改善。市人民政府有关部门与六枝特区人民政府有关部门、乡镇人民政府和街道办事处按照各自职责做好六枝河保护的相关工作。
六盘水市六枝河保护条例,,,,,第五条 六枝特区人民政府应当将六枝河的保护和治理经费纳入本级财政预算。
六盘水市六枝河保护条例,,,,,第六条 六枝特区人民政府应当将六枝河保护情况作为年度环境状况和环境保护目标完成情况的重要内容向六枝特区人民代表大会常务委员会报告。六枝河流域乡镇人民政府应当定期向乡镇人民代表大会报告六枝河保护工作情况。六枝特区人民代表大会常务委员会应当对六枝河保护情况开展执法检查、视察、专题调研等监督工作。
六盘水市六枝河保护条例,,,,,第七条 六枝特区人民政府及其有关部门应当加强对六枝河保护的宣传教育增强公众生态环境保护意识营造六枝河保护的良好社会氛围。
六盘水市六枝河保护条例,,,,,第八条 任何单位和个人都有保护六枝河的义务有权依法劝阻、举报损坏设施、非法取水、污染水体、破坏绿地、侵占河道等危害六枝河的行为。
六盘水市六枝河保护条例,,,,,第九条 六枝特区人民政府应当在六枝河水源地、两岸及两岸山体采取植树造林、封山育林等措施治理水土流失提高森林覆盖率和水土保持率增强水源涵养能力。
六盘水市六枝河保护条例,,,,,第十条 六枝河实施综合调水保障基本生态用水提升水体自净能力促进水质改善维护水体的生态功能。
六盘水市六枝河保护条例,,,,,第十一条 纳入六枝河保护范围的河道已完成河道划界的按照划定的范围进行保护及管理。未完成河道划界有堤防的河道管理范围为两岸堤防之间的水域、滩地含可耕地、行洪区和堤防及护堤地无堤防的有防洪规划的按照设计洪水位确定无防洪规划的按照国家防洪标准规定确定。
六盘水市六枝河保护条例,,,,,第十二条 六枝河河道治理和基础设施建设应当符合国土空间、六枝河岸线保护与利用等相关规划符合城市防洪标准维护堤防安全保持河势稳定、行洪畅通。
六盘水市六枝河保护条例,,,,,第十三条 城市公共供水管网覆盖范围内能够满足用水需要的单位和个人不得新建、扩建、改建地下水取水设施。城市公共供水管网覆盖范围内已建自备水取水设施的应当限期关闭。
六盘水市六枝河保护条例,,,,,第十四条 城镇排水设施维护运营单位应当加强对窨井盖、管网等城镇排水设施的日常巡查、维修和养护保障设施正常运行。
六盘水市六枝河保护条例,,,,,第十五条 城镇排水设施覆盖范围内的排水单位和个人应当按照国家规定将污水排入城镇排水设施不得向六枝河水体直接排放污水。
六盘水市六枝河保护条例,,,,,第十六条 六枝特区人民政府应当加强污水处理设施与配套管网建设形成与污水实际产生量相匹配的污水处理能力。有条件的可以通过建设人工湿地等措施进一步提高污水处理水质。鼓励和支持村民委员会根据当地实际建设污水处理设施改善农村水环境。
六盘水市六枝河保护条例,,,,,第十七条 城镇污水集中处理设施的运营单位应当按照国家和省的有关规定运行污水处理设施、检测进出水水质并对出水水质负责不得擅自停运、闲置和拆除污水处理设施。
六盘水市六枝河保护条例,,,,,第十八条 六枝特区人民政府应当依法划定六枝河流域畜禽养殖禁养区并向社会公布。禁养区内禁止从事规模化畜禽养殖。从事畜禽养殖活动和畜禽养殖废弃物处理活动应当及时对畜禽粪便、畜禽尸体、污水等进行收集、贮存、清运。
六盘水市六枝河保护条例,,,,,第十九条 任何单位和个人不得擅自移动、损毁、掩盖河道界桩、界牌和公告牌。
六盘水市六枝河保护条例,,,,,第二十条 在六枝河河道管理范围内禁止下列行为器
六盘水市六枝河保护条例,,,,,第二十一条 违反本条例第十五条规定未按照国家有关规定将污水排入城镇排水设施的由县级以上人民政府城镇排水主管部门责令改正给予警告逾期不改正或者造成严重后果的对单位处以 10 万元以上 20 万元以下罚款对个人处以 2 万元以上 10 万元以下罚款造成损失的依法承担赔偿责任。
六盘水市六枝河保护条例,,,,,第二十二条 违反本条例第十九条规定的由县级以上人民政府水行政主管部门责令停止违法行为恢复原状可处以 100元以上 1000 元以下罚款。
六盘水市六枝河保护条例,,,,,第二十三条 违反本条例第二十条规定的按照下列规定予以处罚管部门责令停止违法行为限期恢复原状处以 5 万元以上 10万元以下罚款部门责令停止违法行为排除障碍或者采取其他补救措施可处以 5000 元以上 5 万元以下罚款主管部门责令改正没收违法所得对单位并处以 5 万元以上 50万元以下罚款对个人并处以 100 元以上 500 元以下罚款。
六盘水市六枝河保护条例,,,,,第二十四条 国家机关及其工作人员在六枝河水资源保护、水污染防治和河道管理等工作中有玩忽职守、滥用职权、徇私舞弊等行为尚不构成犯罪的对直接负责的主管人员和其他直接责任人员依法给予处分。
六盘水市六枝河保护条例,,,,,第二十五条 违反本条例规定的其他行为法律、法规有处罚规定的从其规定。
六盘水市六枝河保护条例,,,,,第二十六条 本条例自 2024 年 1 月 1 日起施行。
