文件名,编,分编,章,节,内容
内江市生活垃圾管理条例,,,第一章 总 则,,第一条 为了加强生活垃圾管理实行生活垃圾分类制度改善人居环境促进生态文明建设和经济社会可持续发展根据《中华人民共和国固体废物污染环境防治法》、《城市市容和环境卫生管理条例》、《四川省固体废物污染环境防治条例》等法律法规结合内江市实际制定本条例。
内江市生活垃圾管理条例,,,第一章 总 则,,第二条 本市行政区域内生活垃圾的设施规划建设、源头减量、分类投放、收集、运输、处理及其监督管理等活动适用本条例。本条例所称生活垃圾是指日常生活中或者为日常生活提供服务的活动中产生的固体废物以及法律、行政法规规定视为生活垃圾的固体废物。本市生活垃圾按照国家标准分为可回收物、有害垃圾、厨余垃圾和其他垃圾四类。工业固体废物、危险废物、建筑垃圾、农业固体废物、园林绿化垃圾、动物尸骸、粪便、市政污泥等按照其他有关法律、法规、规章的规定进行管理。
内江市生活垃圾管理条例,,,第一章 总 则,,第三条 生活垃圾管理工作遵循政府推动、全民参与、因地制宜、科学管理的原则逐步提高生活垃圾减量化、资源化、无害化水平。
内江市生活垃圾管理条例,,,第一章 总 则,,第四条 市、县市、区人民政府应当将生活垃圾管理工作纳入国民经济和社会发展规划加强能力建设健全管理系统完善考评制度所需经费列入同级预算。镇人民政府、街道办事处负责本辖区内生活垃圾日常管理工作。内江经济技术开发区管理委员会、内江高新技术产业开发区管理委员会等市政府派出机构做好本区域内生活垃圾管理工作。
内江市生活垃圾管理条例,,,第一章 总 则,,第五条 市、县市、区城市管理行政主管部门负责生活垃圾管理工作的组织、协调、指导和检查并实施统一监督管理。政府相关部门在各自职责范围内做好生活垃圾管理工作。
内江市生活垃圾管理条例,,,第一章 总 则,,第六条 农村地区的生活垃圾实行户投放、村收集、镇转运、县处理的方式纳入城镇生活垃圾管理系统。农村家庭产生的厨余垃圾因地制宜采用生物处理等方式就地或者集中处理。
内江市生活垃圾管理条例,,,第一章 总 则,,第七条 市、县市、区城市管理行政主管部门应当加强生活垃圾管理信息化建设实现生活垃圾管理信息归集、共享。
内江市生活垃圾管理条例,,,第一章 总 则,,第八条 国家机关、企事业单位、群团组织、社会团体应当向社会公众普及生活垃圾分类知识增强公众分类意识。各级各类学校、托幼机构应当组织开展生活垃圾分类知识普及教育。新闻媒体应当开展生活垃圾分类管理公益宣传和舆论引导。
内江市生活垃圾管理条例,,,第一章 总 则,,第九条 鼓励社会资本参与生活垃圾收集、运输、处理设施的建设和运营。
内江市生活垃圾管理条例,,,第一章 总 则,,第十条 市城市管理行政主管部门应当会同相关部门制定生活垃圾管理工作应急预案。生活垃圾清扫、收集、运输和处理单位应当制定突发事件生活垃圾污染防范的应急方案并报县市、区人民政府城市管理行政主管部门备案。
