文件名,编,分编,章,节,内容
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第一条 为了保护和改善生态环境防治污染和其他公害保障公众健康推进生态文明建设促进经济社会高质量发展建设我国北方重要生态安全屏障根据《中华人民共和国环境保护法》和国家有关法律、法规结合自治区实际制定本条例。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第二条 本条例适用于自治区行政区域内生态环境保护及其监督管理活动。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第三条 生态环境保护应当坚持中国共产党的领导完整准确全面贯彻新发展理念以铸牢中华民族共同体意识为工作主线牢固树立和践行绿水青山就是金山银山的理念统筹山水林田湖草沙一体化保护和系统治理坚持保护优先、预防为主、综合治理、公众参与、损害担责的原则。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第四条 各级人民政府对本行政区域的生态环境质量负责建立健全生态环境保护机制加大生态环境保护的财政投入持续改善生态环境质量。旗县级以上人民政府应当加强对本行政区域生态环境保护工作的领导将生态环境保护工作纳入本级国民经济和社会发展规划所需经费列入本级财政预算。苏木乡镇人民政府、街道办事处应当加强本辖区生态环境保护工作明确承担生态环境保护职责的机构和人员落实生态环境保护相关要求。嘎查村民委员会、居民委员会协助做好生态环境保护工作。鼓励将生态环境保护的相关内容纳入村规民约、居民公约。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第五条 旗县级以上人民政府生态环境主管部门对本行政区域生态环境保护工作实施统一监督管理。旗县级以上人民政府自然资源、水行政、林业和草原、农牧、发展改革、教育、工业和信息化、公安机关、财政、住房和城乡建设、交通运输、文化和旅游、卫生健康、市场监督管理等有关部门按照各自职责做好生态环境保护相关工作。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第六条 企业事业单位和其他生产经营者应当防止、减少环境污染和生态破坏对所造成的损害依法承担责任。自然人应当增强生态环境保护意识自觉履行生态环境保护义务。鼓励和支持社会资本参与生态环境保护修复鼓励和引导社会组织、志愿者依法从事生态环境保护公益活动。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第七条 旗县级以上人民政府及有关部门应当支持生态环境保护科学技术研究、开发和应用鼓励生态环境保护产业发展促进生态环境保护信息化建设提高生态环境保护科学技术水平。鼓励高等院校、科研院所以及企业、行业协会等开展生态环境保护科学研究、技术开发和科学普及推广应用减污降碳新技术、新工艺、新产品推动绿色低碳发展。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第八条 各级人民政府及有关部门应当加强生态环境保护宣传教育普及生态环境保护知识和法律法规倡导简约适度、绿色低碳的生活方式营造保护生态环境人人有责的社会氛围。新闻媒体应当开展生态环境保护公益宣传对生态环境违法行为依法进行舆论监督。鼓励企业事业单位和其他生产经营者向公众开放大气监测、污水处理等生态环境保护设施开展生态环境宣传教育。
内蒙古自治区生态环境保护条例,,,第一章 总 则,,第九条 旗县级以上人民政府对在生态环境保护工作中做出显著成绩的单位和个人应当按照国家和自治区有关规定给予表彰和奖励。
内蒙古自治区生态环境保护条例,,,第二章 保护和改善生态环境,,第十条 盟行政公署、设区的市以上人民政府生态环境主管部门会同有关部门依法编制本行政区域生态环境保护规划报本级人民政府批准后公布实施。生态环境保护规划不得擅自变更或者调整。确需变更或者调整的应当按照法定程序报批。
内蒙古自治区生态环境保护条例,,,第二章 保护和改善生态环境,,第十一条 旗县级以上人民政府应当按照国家和自治区确定的生态保护红线、环境质量底线、资源利用上线制定生态环境准入清单落实生态环境分区管控要求并按照国家和自治区有关规定定期评估、动态更新。旗县级以上人民政府及有关部门应当将生态保护红线、环境质量底线、资源利用上线和生态环境准入清单作为政策制定、规划编制、区域开发建设和监督管理的重要依据。
内蒙古自治区生态环境保护条例,,,第二章 保护和改善生态环境,,第十二条 旗县级以上人民政府应当按照国土空间规划要求和生态环境功能定位优化区域、流域产业布局、产业规模和产业结构科学规划基础设施和基础产业合理建设工业集聚区鼓励培育发展生态产业和绿色服务业。
