文件名,编,分编,章,节,内容
凉山彝族自治州水资源管理条例,,,第一章 总 则,,第一条 为加强水资源的保护和管理实现水资源可持续利用促进经济和社会发展根据《中华人民共和国民族区域自治法》《中华人民共和国水法》《中华人民共和国水污染防治法》《国务院实施〈中华人民共和国民族区域自治法〉若干规定》《四川省实施〈中华人民共和国民族区域自治法〉若干规定》《四川省〈中华人民共和国水法〉实施办法》的规定结合凉山彝族自治州的实际制定本条例。
凉山彝族自治州水资源管理条例,,,第一章 总 则,,第二条 在凉山彝族自治州以下简称自治州行政区域内开发、利用、节约、保护、管理水资源防治水害适用本条例。本条例所称水资源包括地表水和地下水。
凉山彝族自治州水资源管理条例,,,第一章 总 则,,第三条 水资源属于国家所有。自治州人民政府依照法律规定管理和保护本行政区域内的水资源按照统一规划原则实行取水许可制度和水资源有偿使用制度。自治州、县市水行政主管部门按照分级管理权限负责本行政区域内水资源的统一管理和监督负责职权范围内的取水许可制度和水资源有偿使用制度的组织实施。自治州、县市人民政府有关部门按照职责分工负责本行政区域内水资源的开发、利用、节约和保护的有关工作。
凉山彝族自治州水资源管理条例,,,第一章 总 则,,第四条 自治州、县市人民政府应当将水资源保护、管理、节约和开发利用纳入本级国民经济和社会发展规划增加财政投入加强水利基础设施建设。
凉山彝族自治州水资源管理条例,,,第一章 总 则,,第五条 自治州鼓励自然人、法人或者其他组织依法开发、利用水资源并保护其合法权益。开发、利用水资源的自然人、法人或者其他组织有保护水资源和节约水资源的义务。对保护、管理、节约、利用水资源和防治水害做出显著成绩的自然人、法人或者其他组织自治州、县市人民政府应当给予表彰或者奖励。
凉山彝族自治州水资源管理条例,,,第二章 水资源规划,,第六条 自治州水资源综合规划由自治州水行政主管部门会同州级有关部门编制经自治州人民政府批准报上级水行政主管部门备案。州管的河流、湖泊的流域水资源综合规划由自治州水行政主管部门会同州级有关部门和有关县市人民政府编制报自治州人民政府批准。县级综合规划由县市水行政主管部门会同同级有关部门编制经县市人民政府批准报自治州水行政主管部门备案。水资源综合规划应当与国民经济和社会发展规划以及土地利用总体规划、城市总体规划和环境保护规划相协调兼顾各地区、各行业的需要。经批准的规划是保护、管理、开发、利用、节约水资源和防治水害的基本依据必须严格执行。规划的修改应当经原批准机关批准。编制规划所需经费列入部门预算由本级财政予以保障。
凉山彝族自治州水资源管理条例,,,第二章 水资源规划,,第七条 自治州、县市人民政府应当加强水文、水资源信息系统建设。自治州、县市水行政主管部门应当加强水资源的动态监测。
凉山彝族自治州水资源管理条例,,,第二章 水资源规划,,第八条 建设水工程必须符合流域综合规划。在工程可行性研究报告报请批准或者核准前有管辖权的水行政主管部门应当对水工程的建设是否符合流域综合规划进行审查并签署意见。未经有管辖权的水行政主管部门审查同意的水工程不得批准或核准其可行性研究报告不得批准动工建设。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第九条 自治州、县市人民政府应当结合本地区水资源的实际按照优先开发地表水、严格控制开发地下水、鼓励污水处理再利用坚持兴利与除害相结合兼顾上下游、左右岸和有关地区之间的利益优先满足城乡居民生活用水和农牧渔业用水统筹兼顾工业、生态环境用水等原则合理组织开发、综合利用水资源。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第十条 建设水工程应当保护生态环境防治水土流失兼顾防洪、供水、灌溉、渔业和生态等方面的需要。建设项目业主应当完备规划同意书、水资源论证、取水许可、水土保持方案和建设项目环境影响评价、涉水工程建设方案、渔业资源环境影响评价审查及补救措施审批报告和防洪影响评价报告事项并经有管辖权的水行政主管部门和生态环境行政主管部门审查同意。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第十一条 自治州实行流域梯级电站间水库调节效益偿付制度鼓励兴建调节水库进行多目标梯级开发。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第十二条 自治机关加强对国家在自治州辖区内开发建设大中型水电站的协调服务。在自治州辖区内开发建设水电项目项目业主应当向自治州人民政府提供已经审查通过的水土保持方案、水资源论证报告书、行洪论证报告书、环境影响评价报告书、渔业资源影响评价及补救措施审批报告以便协调各方面的利益。国家在自治州辖区内金沙江段、雅砻江段、大渡河段开发建设的水电站征收的水资源费、水土保持设施补偿费、渔业资源补救费、河道堤防工程维护管理费在安排使用时应当重点照顾工程所在地的利益加大对工程所在地的补偿和投入。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第十三条 在自治州辖区内开发建设水电站的业主应当大力支持、带动和促进工程所在地的经济建设和社会发展。水电站工程建成后形成的水面和水库消落区土地在服从水库统一调度和保证工程安全、符合水土保持和水质保护要求的前提下应当通过当地县级人民政府优先安排给当地农村移民使用。
凉山彝族自治州水资源管理条例,,,第三章 水资源开发利用,,第十四条 水电站建设和生产应当按照经批准的建设项目水资源论证报告确定的水量分配方案和取水许可规定的条件取用水资源不得挤占供水、灌溉、渔业和生态等用水。
凉山彝族自治州水资源管理条例,,,第四章 水资源、水域和水工程保护,,第十五条 自治州鼓励、扶持自然人、法人或者其他组织在符合水资源综合利用的前提下投资兴建山平塘、石河堰、微水池、引水渠等小型水利工程设施按照谁投资建设谁管理和谁受益的原则对水利工程设施及其蓄水进行管理和合理使用。自然人、法人或者其他组织兴建的小型水利工程可在所有权、功能和效益不变的前提下对工程的经营权采取拍卖、租赁、承包、股份合作等方式经营也可以对工程的所有权进行拍卖。工程经营者应当维护小型水利工程的安全运行并保障农田灌溉用水。
