文件名,编,分编,章,节,内容
北京市乡村振兴促进条例,,,第一章 总 则,,第一条 为了全面实施乡村振兴战略促进乡村产业、人才、文化、生态、组织振兴加快实现农业农村现代化根据《中华人民共和国乡村振兴促进法》等法律、行政法规结合本市实际制定本条例。
北京市乡村振兴促进条例,,,第一章 总 则,,第二条 本市乡村振兴促进工作坚持党委统一领导健全市负总责、区和乡镇抓落实的工作机制实行乡村振兴责任制。
北京市乡村振兴促进条例,,,第一章 总 则,,第三条 本市乡村振兴促进工作应当贯彻新发展理念坚持农业农村优先发展坚持农民主体地位坚持人与自然和谐共生坚持改革创新坚持因地制宜、规划先行、循序渐进。
北京市乡村振兴促进条例,,,第一章 总 则,,第四条 本市乡村振兴促进工作应当立足首都城市战略定位坚持大城市带动大京郊、大京郊服务大城市促进城乡融合发展发挥乡村在保护利用农业资源、供给重要农产品、构建首都生态屏障、传承京韵农味乡村文化等方面的特有功能实现农业高质高效、乡村宜居宜业、农民富裕富足。
北京市乡村振兴促进条例,,,第一章 总 则,,第五条 市、涉农区、乡镇人民政府应当将乡村振兴促进工作纳入国民经济和社会发展规划明确乡村振兴的目标任务和政策措施建立乡村振兴考核评价、工作年度报告和监督检查制度。市、区农业农村部门负责本行政区域内乡村振兴促进工作的统筹协调、指导和监督检查。发展改革、经济和信息化、财政、规划和自然资源、生态环境、水务、文化和旅游、园林绿化等部门应当按照乡村振兴责任制要求在各自职责范围内负责乡村振兴促进工作。村民委员会、农村集体经济组织应当在乡镇人民政府的指导下组织动员村民积极参与乡村振兴。
北京市乡村振兴促进条例,,,第一章 总 则,,第六条 各级人民政府和有关部门应当开展乡村振兴促进相关法律法规、政策措施和典型经验的宣传营造良好社会氛围。支持单位和个人通过投资、返乡入乡创业、帮扶农村集体经济组织、领办农民专业合作社、兴办社会公益事业、捐款捐物、志愿服务等方式参与乡村振兴促进工作。对在乡村振兴促进工作中做出显著成绩的单位和个人按照国家和本市有关规定给予表彰和奖励。
北京市乡村振兴促进条例,,,第一章 总 则,,第七条 本市推动完善京津冀乡村振兴促进协同工作机制在农业科技创新、农产品供销、产业发展、人才培养、文化传承、生态环境保护、行政执法等方面加强交流合作。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第八条 编制分区规划、乡镇域规划、详细规划和专项规划应当整体筹划城镇和乡村发展统筹安排生态、农业、城镇等功能空间优化城乡产业发展、公共基础设施、公共服务设施、公共安全设施等布局。编制村庄规划应当坚持尊重农民意愿、方便群众生产生活、保持乡村功能和特色的原则统筹农村生产生活服务设施、公益事业等各项建设用地布局合理安排乡村产业发展、村民住宅建设用地。村庄规划应当明确村庄发展目标、村庄建设边界、生态环境保护、耕地和永久基本农田保护、村民住宅建设要求等重要内容并与乡镇域规划相衔接。涉农区人民政府可以组织乡镇人民政府开展闲置集体建设用地、村庄空闲地等整理优化村庄建设用地布局满足乡村振兴用地合理需求。支持创建乡村振兴示范村。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第九条 市、涉农区人民政府应当统筹规划、建设、管护城乡道路以及供水供电供气、垃圾处理、排水与污水处理、物流、客运、信息通信、广播电视、消防、防灾减灾等公共基础设施和新型基础设施推动城乡基础设施标准协调、互联互通保障农民生产生活和乡村发展需求。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十条 市、涉农区人民政府及其有关部门应当统筹区域教育资源科学合理布局乡村学校提升乡村学校办学条件加大乡村教师培养力度保障和改善乡村教师待遇提高乡村教育质量推动城乡义务教育优质均衡发展。教育部门应当推动城区优质教育资源向乡村延伸完善集团化办学、点对点帮扶、教师跨区跨校教研和培训、优质数字教育资源共享等政策措施。在生源较少、基础薄弱的乡村地区涉农区人民政府及其有关部门可以在完善住宿、通学保障的前提下整合教育资源开展中小学校集中办学。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十一条 市、涉农区人民政府及其有关部门应当加强乡镇医疗卫生机构建设按照便利可及原则统筹设置村级医疗卫生机构推进村级医疗卫生服务全覆盖健全乡镇、村两级医疗卫生机构一体化管理机制按照国家和本市有关规定配备村级医疗卫生机构的医疗卫生人员、设备和药品对在乡村工作的医疗卫生人员加强岗位培训、实行优惠待遇。卫生健康部门应当推动城区优质医疗资源向乡村下沉完善医疗联合体建设、定期巡诊、互联网诊疗等政策措施提高乡村医疗卫生服务水平。医疗保障部门应当将符合条件的村级医疗卫生机构纳入医疗保障定点医疗机构管理。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十二条 市、涉农区人民政府及其有关部门应当推进城乡基本养老服务均等化统筹建设乡村养老服务设施完善优先保障、精准帮扶政策为农村纳入最低生活保障等老年人提供基本养老服务。鼓励村民委员会、志愿服务组织和村民互助组织开办老年餐桌、开展居家养老服务。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十三条 本市完善城乡统筹的基本养老保险、基本医疗保险和最低生活保障等制度稳步提升农村社会保障水平。人力资源和社会保障部门探索通过给予缴费补贴的方式支持符合条件的农村劳动力参加城镇职工社会保险。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十四条 市、涉农区人民政府应当健全城乡一体的公共就业创业服务体系完善促进农民就业创业的扶持政策统筹推进农村劳动力就业通过城乡结对、对口协作等方式支持生态涵养区农村劳动力转移就业。涉农区人民政府有关部门、乡镇人民政府应当加强农村劳动力就业培训、职业指导开展辖区就业和用工需求调查搭建农村劳动力与用人单位的沟通平台拓宽农村劳动力就地就近就业渠道。市人力资源和社会保障部门、相关区人民政府可以通过完善岗位补贴、社会保险补贴等政策措施支持企事业单位、社会组织、农村集体经济组织、农民专业合作社等用人单位吸纳农村劳动力就业。
北京市乡村振兴促进条例,,,第二章 城乡融合,,第十五条 市、相关区人民政府应当按照绿化隔离地区建设发展相关规划要求统筹非建设空间与建设空间严格控制开发建设活动优先实现绿色空间规划提升区域生态服务能力促进生产、生活、生态空间有机结合。
