文件名,编,分编,章,节,内容
北京市生活饮用水卫生监督管理条例,,,第一章 总 则,,第一条 为了保证生活饮用水以下简称饮用水卫生防止饮用水污染和有害因素对人体的危害保障人民身体健康制定本条例。
北京市生活饮用水卫生监督管理条例,,,第一章 总 则,,第二条 本条例适用于集中式供水包括城镇公共供水、自备水源供水和农村简易自来水供水、二次供水的饮用水供水的设备及用品也适用于供水的场所、设施和环境。本市行政区域内的任何单位和个人都必须遵守本条例。
北京市生活饮用水卫生监督管理条例,,,第一章 总 则,,第三条 饮用水卫生工作应当贯彻预防为主的方针实行防治结合、分类管理的原则。积极开展饮用水卫生的宣传教育普及饮用水卫生知识提高公民的自我保护意识。
北京市生活饮用水卫生监督管理条例,,,第一章 总 则,,第四条 市、区人民政府应当将饮用水卫生工作纳入本地区国民经济和社会发展规划并组织实施。市卫生计生行政部门主管全市饮用水的卫生监督工作。市城市管理、住房城乡建设、规划国土、环境保护等有关部门在各自的职责范围内负责饮用水的卫生管理工作。
北京市生活饮用水卫生监督管理条例,,,第一章 总 则,,第五条 本市鼓励对饮用水卫生的社会监督。对违反本条例的行为任何单位和个人都有权检举和控告。
北京市生活饮用水卫生监督管理条例,,,第二章 饮用水的卫生,,第六条 饮用水必须符合国家卫生标准。有下列情况之一的禁止供给饮用可能对人体健康有害的直接接触的水的。
北京市生活饮用水卫生监督管理条例,,,第二章 饮用水的卫生,,第七条 饮用水的供水过程必须符合下列卫生要求污染源保持规定的防护距离接消毒必须严格清洗、消毒害不得污染水质维护工作的人员上岗时应当保持个人卫生。有碍水质卫生疾病的患者和病原携带者不得直接从事供水、管水或者供水设施清洗、消毒等卫生维护工作
北京市生活饮用水卫生监督管理条例,,,第三章 卫生管理,,第八条 供水设施的规划、设计和安装应当符合卫生要求。新建、扩建、改建供水设施工程的选址、设计审查和竣工验收必须有卫生计生行政部门参加。
北京市生活饮用水卫生监督管理条例,,,第三章 卫生管理,,第九条 供水设施的产权单位或其委托的单位是供水设施管理责任单位负责供水设施的日常卫生管理。
北京市生活饮用水卫生监督管理条例,,,第三章 卫生管理,,第十条 集中式供水、二次供水设施的管理责任单位必须取得卫生计生行政部门的卫生许可证后方可供水或者从事清洗、消毒等卫生维护工作。卫生许可证由卫生计生行政部门定期复验。
