文件名,编,分编,章,节,内容
南京市妇女权益保障条例,,,第一章 总 则,,第一条 为了保障妇女合法权益促进男女平等和妇女全面发展根据《中华人民共和国妇女权益保障法》、《江苏省妇女权益保障条例》等法律、法规结合本市实际制定本条例。
南京市妇女权益保障条例,,,第一章 总 则,,第二条 本市落实男女平等基本国策采取必要措施促进男女平等依法保障妇女在政治、经济、文化、社会和家庭生活等方面的权益消除对妇女一切形式的歧视禁止排斥、限制妇女依法享有和行使各项权益。保障妇女依法享有的特殊权益。采取有效措施逐步完善各项制度为妇女依法行使权利提供必要条件保障男女享有同等机会、获得同等资源、得到同等发展。
南京市妇女权益保障条例,,,第一章 总 则,,第三条 坚持中国共产党对妇女权益保障工作的领导建立政府主导、各方协同、社会参与的保障妇女权益工作机制。市、区人民政府和江北新区管理机构应当重视和加强妇女权益保障工作制定妇女发展规划并纳入国民经济和社会发展规划将妇女事业发展所需经费列入本级财政预算定期召开妇女工作会议协调解决妇女权益保障工作中的重大事项为妇女权益保障工作提供必要条件。发展和改革、教育、公安、民政、司法行政、人力资源和社会保障、农业农村、卫生健康等部门应当在各自职责范围内做好妇女权益保障工作。镇人民政府、街道办事处应当加强辖区内的妇女权益保障工作并明确专门人员负责。
南京市妇女权益保障条例,,,第一章 总 则,,第四条 妇女联合会应当依照法律、法规和中华全国妇女联合会章程代表和维护妇女利益做好维护妇女权益、促进男女平等和妇女全面发展的工作。工会、共产主义青年团、残疾人联合会、科学技术协会、红十字会等群团组织应当在各自工作范围内做好维护妇女权益的工作。
南京市妇女权益保障条例,,,第一章 总 则,,第五条 村居民委员会依法协助做好妇女权益保障工作。农村集体经济组织成员大会制定农村集体经济组织章程村法维护妇女权益。
南京市妇女权益保障条例,,,第一章 总 则,,第六条 统计部门应当建立健全妇女发展状况统计制度完善分性别统计监测指标体系。市、区人民政府和江北新区管理机构的有关部门和单位应当在各自职责范围内做好妇女发展规划的实施、监测、评估等工作并依托市公共数据平台推动妇女权益保障相关数据互联互通、信息共享加强妇女工作的数字化场景应用。
南京市妇女权益保障条例,,,第一章 总 则,,第七条 本市建立法规政策男女平等评估机制开展法规政策男女平等评估工作。有关机关制定或者修改地方性法规、规章和其他规范性文件应当听取同级妇女联合会意见按照规定开展男女平等评估。
南京市妇女权益保障条例,,,第一章 总 则,,第八条 国家机关、群团组织以及基层群众性自治组织等应当开展男女平等与保障妇女合法权益的宣传教育和公益活动将男女平等基本国策纳入相关培训。学校应当开展男女平等基本国策宣传教育。广播、电视、报刊、网络等媒体应当开展男女平等和保障妇女合法权益的公益宣传和舆论监督。
南京市妇女权益保障条例,,,第一章 总 则,,第九条 国家机关、社会团体、企业事业单位应当支持本单位妇女组织开展妇女活动和维护妇女权益工作并给予经费、场地等支持。鼓励自然人、法人和非法人组织依法开展捐资助学、扶贫救助等公益慈善和教育培训、就业创业支持、法律援助等保障妇女权益的活动。鼓励和支持社会组织为妇女提供专业化、个性化服务。
南京市妇女权益保障条例,,,第二章 政治参与,,第十条 本市各级人民代表大会代表候选人中妇女所占比例应当高于省规定标准。市、区人民代表大会常务委员会组成人员以及镇人民代表大会主席团组成人员中应当有适当数量的女性。在提名推荐、协商确定政协委员建议名单时保障有一定比例的女性。
南京市妇女权益保障条例,,,第二章 政治参与,,第十一条 市、区人民政府和镇人民政府、街道办事处应当有一名以上女性领导成员。市、区人民政府和江北新区管理机构的工作部门或者机构应当按照有关规定配备女性领导班子成员并有一定数量的女性正职领导。各区应当至少有一名女性担任镇、街道正职领导。村居民委员会应当有适当数量的女性成员。村民代表会议中女性代表的比例不得低于三分之一。
南京市妇女权益保障条例,,,第二章 政治参与,,第十二条 工会会员代表大会、职工代表大会中女职工代表所占比例应当与女职工占职工总数的比例相适应。女职工比例较高的企业事业单位应当有一定数量的女性管理人员。企业事业单位应当建立女职工参与集体协商机制依法保障女职工参与制定或者修改有关职工权益的规章制度、讨论涉及女职工保护事项、签订女职工权益保护专项集体合同。
南京市妇女权益保障条例,,,第二章 政治参与,,第十三条 国家机关、社会团体、企业事业单位应当重视培养、选拔女性领导人员和管理人员。妇女联合会以及工会女职工委员会等妇女组织可以向国家机关、社会团体、企业事业单位推荐女性领导人员和管理人员有关部门和单位应当重视其推荐意见。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十四条 禁止侵犯妇女的人身自由和人格尊严妇女的生命权、身体权、健康权、姓名权、肖像权、名誉权、荣誉权、隐私权和个人信息等人格权益受法律保护。医疗机构进行妇科检查时应当保护妇女隐私尊重妇女人格尊严。施行生育手术、特殊检查或者特殊治疗时应当征得妇女本人同意在妇女与其家属或者关系人意见不一致时应当尊重妇女本人意愿。媒体报道涉及妇女事件应当客观、适度不得违背公序良俗不得通过夸大事实、过度渲染等方式侵害妇女的人格权益。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十五条 禁止以恋爱、交友为由或者在终止恋爱关系、离婚之后纠缠、骚扰妇女泄露、传播妇女隐私或者个人信息。妇女遭受上述侵害或者面临上述侵害现实危险的可以向人民法院申请人身安全保护令、人格权侵害禁令。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十六条 禁止违背妇女本人意愿以言语、文字、图像、音频、视频、肢体行为等方式对其实施性骚扰。受害妇女可以向有关单位和国家机关投诉。接到投诉的有关单位和国家机关应当及时处理并书面告知处理结果。受害妇女可以向公安机关报案也可以向人民法院提起民事诉讼依法请求行为人承担民事责任。行为人构成违反治安管理行为的由公安机关依法给予处罚构成犯罪的依法追究刑事责任。鼓励妇女运用法律维护自身合法权益在权益受到侵害时注意收集和保存证据加强自我保护。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十七条 幼儿园、中小学校、高等学校应当根据女学生的年龄阶段开展生理卫生、心理健康、自我保护等教育提高其自我保护意识和能力。幼儿园、学校、校外培训机构、残疾儿童康复机构、托育机构等密切接触女性未成年人的单位应当建立有效预防和科学处置性骚扰、性侵害的工作制度相关工作人员应当接受专业培训。密切接触女性未成年人的单位及其从业人员应当履行强制报告义务发现有性骚扰、性侵害等违法犯罪行为的应当及时通知受害人父母或者其他监护人向公安机关和有关行政主管部门报告。有关单位和人员应当保护受害人隐私和个人信息并提供必要的保护措施。密切接触女性未成年人的单位招聘工作人员时应当依照入职查询制度、从业禁止制度依法查询应聘者是否有性侵害等违法犯罪记录有记录的不得录用。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十八条 用人单位坚持男女平等、保护隐私原则明确负责机构或者人员把预防和制止性骚扰纳入教育培训加强安全保卫和管理工作畅通投诉渠道建立和完善调查处置程序预防和制止对妇女的性骚扰。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第十九条 地铁、公交、车站、机场、轮渡、地下停车场等人员聚集和流动的公共场所应当建立对性骚扰的防范和干预机制运用技术防范、信息化管理等科技手段配合有关单位的投诉处理和案件调查。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第二十条 文化娱乐场所的经营者、住宿经营者在经营活动中发现可能侵害妇女权益的违法犯罪行为应当及时向公安机关报告。住宿经营者应当及时准确登记住宿人员信息随行人员包括女性未成年人的应当查验入住未成年人身份询问其父母或者其他监护人的联系方式、与住宿人员的身份关系等有关情况并如实登记相关信息加强安全巡查和访客管理发现有违法犯罪嫌疑的应当立即向公安机关报告并及时联系未成年人的父母或者其他监护人同时采取相应安全保护措施。
南京市妇女权益保障条例,,,第三章 人身和人格保护,,第二十一条 新建、改建、扩建机场、火车站、轨道交通换乘站、汽车客运站、高速公路服务区、港口、大型商场、医疗卫生机构和文化、旅游、体育等公共服务场所应当按照规定配建母婴室、家庭卫生间提高女性厕位配建比例。在人流集中的场所女厕位与男厕位的比例不小于二比一。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十二条 本市为入校就学困难的女性未成年人创造条件帮助其完成义务教育。父母或者其他监护人应当保障适龄女性未成年人按时接受并完成义务教育。市、区人民政府和江北新区管理机构应当在入学、升学等方面采取措施保障女性平等享有接受中高等教育的权利和机会。市、区人民政府和江北新区管理机构以及有关部门、学校通过发放助学金、给予生活补助、减免相关费用、安排勤工助学等方式对家庭经济困难女性接受教育给予帮助。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十三条 健全全民终身学习体系为妇女终身学习创造条件。鼓励相关部门、机构和社会组织开发适合女性发展的文化艺术、技能技术等课程体系创新在线教育、远程教育等教育模式为有需要的妇女提供学习资源和时间便利。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十四条 人力资源和社会保障、教育、农业农村等行政主管部门应当开发适合灵活就业的培训课程开展适合妇女的职业教育和实用技术培训。政府组织或者补贴的创业培训和实用技能培训应当保证妇女占有适当比例优先安排符合条件的失岗、失业、残疾妇女参加培训。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十五条 鼓励女性人才的培养、成长发展发挥女性在人才强市建设中的作用。保障妇女从事科学、技术、文学、艺术和其他专业活动的权利并提供必要的条件。根据有关规定在高层次人才发展计划、有关评奖、项目申报中对符合条件的妇女可以适当放宽年龄限制保证妇女占有适当比例。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十六条 本市健全妇女全生命周期健康管理服务体系保障妇女享有基本医疗卫生服务开展妇女常见病、多发病的预防、筛查和诊疗提高妇女健康水平。有关部门应当开展青春期、育龄期、更年期、老年期以及经期、孕期、产期、哺乳期的健康知识普及、卫生保健和疾病防治保障妇女特殊生理时期的健康需求。加强妇女生理健康用品质量监管定期开展综合执法检查保障妇女健康安全。加强生殖健康服务将分娩镇痛和常用必要的医疗辅助生殖技术项目纳入医保基金支付范围。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十七条 市、区人民政府和江北新区管理机构应当按照规定定期组织适龄妇女进行常见病普查和乳腺癌、宫颈癌筛查。提高孕早期疾病检测和干预水平将艾滋病、梅毒、乙肝母婴传播阻断纳入妇幼保健日常工作。鼓励医疗机构探索建立  疫苗接种、筛查、诊治和救助相衔接的宫颈癌综合防治模式推进适龄女学生科学接种 疫苗。鼓励社会团体、企业事业单位、基层群众性自治组织以及其他组织为生活困难的妇女进行妇科疾病、乳腺疾病的筛查提供帮助。用人单位应当按照规定组织女职工参加妇女常见病普查和乳腺癌、宫颈癌筛查为职工安排健康检查的应当包括女职工妇科健康检查并承担检查所需费用检查时间视为劳动时间。
南京市妇女权益保障条例,,,第四章 文化教育和卫生,,第二十八条 本市促进妇女心理健康普及心理健康卫生知识。鼓励和支持有关单位、社会组织开展心理咨询和辅导、情感调适、危机干预等为有需要的困境妇女提供情感支持、心理辅导等公益服务为涉案未成年女性提供创伤性疗愈、康复治疗等社会心理援助。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第二十九条 市、区人民政府和江北新区管理机构应当完善支持妇女就业创业的政策措施防止和纠正就业性别歧视为妇女创造公平的就业创业环境为就业困难的妇女提供必要的扶持和援助。零就业家庭有登记因生育中断就业的女性劳动者的应当采取公益性岗位安置等措施优先确保其就业。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十条 除国家规定不适合妇女的工种或者岗位外用人单位不得以性别、婚育状况等为由拒绝或者变相拒绝录聘用妇女或者提高对妇女的录聘用标准。用人单位制定规章制度、签订集体合同涉及女职工劳动保护、福利待遇、社会保险等事项的不得含有歧视妇女的内容。广播、电视、报刊、网络等媒体不得违反国家规定发布、传播限制或者歧视妇女的招工、招聘信息。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十一条 本市为妇女晋职、晋级、评聘专业技术职称创造公平的竞争环境鼓励和支持妇女在岗提升专业技术技能。人力资源和社会保障行政主管部门应当将招聘、录取、晋职、晋级、评聘专业技术职称和职务、培训、辞退等过程中的性别歧视行为纳入劳动保障监察范围按照规定开展打击侵害女职工合法权益专项执法检查。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十二条 工会、妇女联合会应当引导和支持灵活就业和新就业形态女性劳动者参加相应的社会保险。企业、行业协会、工会可以对灵活就业和新就业形态女性劳动者的特殊权益和相关待遇开展集体协商依法合理确定假期时间和工资、社会保险、健康体检等待遇标准。互联网平台企业在制定平台进入退出、订单分配、订单完成时长、抽成报酬、工作时间、奖惩等直接涉及劳动者权益的制度规则和平台算法时应当充分听取妇女组织和女性劳动者意见建议考虑女性劳动者的生理特点保障女性劳动者的特殊权益。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十三条 市、区人民政府和江北新区管理机构应当在规划、财政、教育、住房保障等方面采取积极措施完善落实生育支持政策减轻妇女和家庭生育养育教育负担。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十四条 增加多种形式的普惠托育服务供给探索建立社区嵌入式等公办、公建民营托育服务机构推进托幼一体化发展。鼓励有条件的幼儿园延伸托育服务。鼓励和支持有条件的单位通过单独托育、联合托育或者购买服务等方式为本单位职工提供福利性三周岁以下婴幼儿托育服务。用人单位应当根据女职工的需要建立母婴室等妇幼保健设施满足女职工在生理卫生、哺乳、照料婴幼儿等方面的需要。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十五条 符合法律、法规规定生育子女的夫妻女方在享受国家规定产假的基础上延长产假六十天剖宫产、助娩产等难产的另行延长产假十五天一次生育多胞胎的每多生育一个婴儿可以增加产假十五天。男方享受护理假十五天子女三周岁前夫妻双方每年分别享受育儿假十天。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十六条 妇女在经期、孕期、产期、哺乳期受特殊保护并按照国家和省、市规定享受相应的假期、待遇。用人单位不得采取不合理的调岗、降薪等方式逼迫或者变相逼迫孕期女职工离职。女职工采取人工辅助生殖技术怀孕的经本人申请用人单位应当依据三级医疗机构证明批准其合理病假。女职工有习惯性流产史、严重的妊娠并发症、妊娠合并症等可能影响正常生育的经本人申请用人单位应当依据二级及以上医疗保健机构证明批准其合理病假。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十七条 女职工在孕期、更年期不能适应原工作岗位的可以向用人单位申请调整工作岗位或者改善工作条件用人单位应当根据医疗机构的诊断证明减轻工作量或者安排其他能够适应的工作岗位。女职工怀孕后经本人申请用人单位同意安排休息的休息期间的工资由双方协商确定劳动合同或者集体合同另有约定的从其约定。女职工怀孕不满三个月需要保胎休息或者怀孕七个月以上且上班确有困难的用人单位应当根据医疗机构的诊断证明安排休息休息期间的工资按照劳动合同或者集体合同约定计发没有约定的由双方协商确定。休息期间的工资不得低于当地最低工资标准的百分之八十。鼓励有条件的用人单位采取居家远程办公、弹性工作时间等方式合理安排孕期、哺乳期女职工工作。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十八条 市、区人民政府和江北新区管理机构应当采取措施促进女性生育后的职业发展为女职工生育后回归岗位或者再就业提供技能培训和社会适应服务。对生育二孩以上的女性劳动者优先给予就业帮扶。鼓励用人单位创造灵活就业岗位为有需要的女职工提供便利。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第三十九条 完善生育假期用工成本分担机制。对企业在女职工产假期间为其缴纳的社会保险费用按照规定给予企业补贴。
南京市妇女权益保障条例,,,第五章 劳动和社会保障,,第四十条 本市健全生育支持政策体系按照国家规定实施生育保险制度完善与生育相关的保障制度。用人单位应当依法缴纳生育保险费。女职工按照国家和省、市规定享受生育保险待遇。未就业妇女、领取失业保险金的妇女等按照国家和省、市规定参加基本医疗保险享受相应的生育待遇。鼓励、引导劳动年龄段的新就业形态妇女以灵活就业人员身份参加职工基本医疗保险享受相应的生育待遇。市、区人民政府和江北新区管理机构以及有关部门应当按照规定为符合条件的困难妇女提供必要的生育救助。鼓励社会团体、企业事业单位为生活困难妇女的生育提供帮助。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十一条 妇女在婚姻、家庭、继承关系中依法享有的财产权益不受其收入状况的影响。婚姻关系存续期间男女双方对夫妻共同财产享有知情权一方有权了解财产状况另一方不得隐瞒。一方持身份证、户口本和结婚证等证明夫妻关系的有效证件可以依法向有关登记机构、部门申请查询配偶的不动产、车辆等财产状况有关单位应当受理并且依法提供相关信息。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十二条 农村妇女享有与男子平等的农村集体经济组织成员身份。农村妇女不因就学、服役、务工、经商、离婚、丧偶、服刑等原因丧失农村集体经济组织成员身份。农村妇女结婚未取得其他农村集体经济组织成员身份的原农村集体经济组织不得取消其成员身份。农村集体经济组织章程、村民自治章程、村规民约村民会议、村民代表会议的决定以及其他涉及村民利益事项的决定不得以妇女未婚、结婚、离婚、丧偶、户无男性等为由侵害妇女在农村集体经济组织中的各项权益。镇人民政府、街道办事处应当对前款决定进行指导对其中违反法律法规和国家政策侵害妇女合法权益的内容责令改正。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十三条 市、区人民政府和江北新区管理机构及有关部门应当将男女平等、妇女权益保障作为家庭文明建设的重要内容引导建立平等、和睦、文明的婚姻家庭关系。夫妻应当共同承担养育、教育未成年子女等家庭责任。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十四条 妇女的婚姻自主权不受侵犯。禁止任何组织和个人干涉妇女结婚、离婚自由。在夫妻分居、离婚冷静期、离婚诉讼期间任何人不得限制妇女的人身自由不得侵害妇女的人身权益和其他合法权益。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十五条 鼓励男女双方在结婚登记前共同进行医学检查或者相关健康体检。民政、卫生健康等行政主管部门应当提供结婚登记前的免费医学检查或者健康体检服务。婚姻登记机关通过适当方式提供婚前辅导、婚姻家庭关系调适为离婚冷静期的当事人提供情感沟通、心理疏导、关系修复等专业辅导服务。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十六条 本市建立预防和制止家庭暴力联动工作机制完善家庭暴力警情联动服务平台建设加强反家庭暴力工作业务培训实现数据共通和信息共享。将协助排查、上报和处置家庭暴力线索纳入城乡网格服务管理事项清单。
南京市妇女权益保障条例,,,第六章 财产和婚姻家庭,,第四十七条 公安机关接到家庭暴力报案后应当及时出警、制止家庭暴力对当事人反映的情况进行客观记录协助受害人就医、鉴定伤情视情形向加害人出具告诫书。因离婚诉讼、人身安全保护令、人格权侵害禁令申请的需要当事人本人或者其委托律师可以依照相关程序调取接警记录、处警记录、报警回执受案登记表等信息。
