文件名,编,分编,章,节,内容
南京市森林消防条例,,,,,第一条 为了预防和扑救森林火灾保护森林资源维护公共安全根据《中华人民共和国森林法》、国务院《森林防火条例》等法律、法规的规定结合本市实际制定本条例。
南京市森林消防条例,,,,,第二条 本条例适用于本市行政区域内森林火灾的预防和扑救工作。
南京市森林消防条例,,,,,第三条 森林消防工作实行各级人民政府领导负责制。各级人民政府应当根据实际需要设立森林消防指挥部负责统一组织和综合协调辖区内森林消防工作。林业行政主管部门、园林行政主管部门和中山陵园、雨花台烈士陵园管理机构以下统称森林消防管理部门按照政府确定的管理权限负责森林消防的日常监督和管理工作。公安、交通、卫生、民政、财政、气象等部门按照各自职责做好森林消防工作。
南京市森林消防条例,,,,,第四条 各级人民政府应当将森林消防工作纳入国民经济和社会发展计划并按照规定将森林消防经费列入财政年度预算实行专款专用。
南京市森林消防条例,,,,,第五条 各级人民政府应当组织有关单位进行有林地区的森林消防设施建设
南京市森林消防条例,,,,,第六条 各级森林消防指挥部应当组织有关部门制定森林消防突发事件应急组织工作预案和先期应急处置方案报同级政府批准后实施。
南京市森林消防条例,,,,,第七条 森林消防管理部门应当履行下列职责林区单位建立、落实森林消防安全责任制行检查和指导训森林消防队伍开展森林消防演练防法律法规的行为
南京市森林消防条例,,,,,第八条 有林地区的县区人民政府、省级以上森林公园和风景名胜区应当建立专业森林消防队伍有林地区的镇人民政府街道办事处应当建立兼职森林消防队伍。林场、自然保护区、市级风景名胜区、经营森林面积七十公顷以上的单位应当建立季节性森林消防队伍。
南京市森林消防条例,,,,,第九条 国有林场、省级以上森林公园、风景名胜区以及市人民政府划定的生态区位重要、火灾多发的有林地和距该林地边缘一公里以内的区域为市级防范森林火灾的重点林区。县区人民政府应当按照当地森林资源分布情况划分本区域防范森林火灾的重点林区。市、县区人民政府应当在重点林区设置标志牌明确重点林区的范围和森林消防责任人。
南京市森林消防条例,,,,,第十条 林区单位应当履行下列森林消防义务火行为
南京市森林消防条例,,,,,第十一条 林区单位应当根据消防工作需要配备专职或者兼职护林员。重点林区每三十公顷应当配备一名专职护林员其他林区每七十公顷应当配备一名专职护林员。护林员执行工作任务时应当佩戴护林员标志。
南京市森林消防条例,,,,,第十二条 各级森林消防指挥部应当确定重点林区首席消防员。首席消防员应当熟悉本地区森林植被、地形地貌精通森林防火业务并具有丰富实践经验。首席消防员应当履行下列职责火灾现场领导应当尊重和听取首席消防员的意见。
