文件名,编,分编,章,节,内容
南京市科学技术进步条例,,,第一章 总 则,,第一条 为了充分发挥科学技术第一生产力、人才第一资源、创新第一动力的作用持续深入实施科教兴国战略、人才强国战略、创新驱动发展战略服务高水平科技自立自强加快构建现代化产业体系打造具有全球影响力的产业科技创新中心主承载区建设东部产业创新中心和区域性科技创新高地推动以科技创新支撑和引领经济社会高质量发展根据《中华人民共和国科学技术进步法》《江苏省科学技术进步条例》等法律、法规结合本市实际制定本条例。
南京市科学技术进步条例,,,第一章 总 则,,第二条 在本市行政区域内开展科学技术进步以及有关服务和管理等活动适用本条例。
南京市科学技术进步条例,,,第一章 总 则,,第三条 坚持中国共产党对科学技术事业的全面领导。本市建立科学技术进步的领导和工作机制坚持教育发展、科技创新、人才培养一体推进统筹区域创新体系建设、科技体制改革和科学技术资源配置研究全市科技发展重大战略、重大规划、重大政策协调市级重大科技创新平台、科学技术计划等重大事项。
南京市科学技术进步条例,,,第一章 总 则,,第四条 本市科学技术进步工作坚持面向世界科技前沿、面向经济主战场、面向国家重大需求、面向人民生命健康贯彻新发展理念构建新发展格局推动高质量发展。鼓励科学技术研究开发推动科学技术应用和科技成果转化对接国家战略科技力量构建区域科技创新体系。
南京市科学技术进步条例,,,第一章 总 则,,第五条 市人民政府应当健全科技安全工作机制强化重要创新链、产业链安全管理和保障防范化解科技领域重大风险提高科技安全治理水平。
南京市科学技术进步条例,,,第一章 总 则,,第六条 市、区人民政府和江北新区管理机构应当加强对本区域科学技术进步工作的组织和管理将科学技术进步工作纳入国民经济和社会发展规划制定科技创新规划保障科学技术进步与经济建设和社会发展相协调。建立健全科技战略决策咨询制度推进重大科技决策科学化、专业化和规范化。
南京市科学技术进步条例,,,第一章 总 则,,第七条 市科技行政主管部门负责本市科学技术进步工作的统筹协调、组织推进、服务保障和管理监督其他有关部门和单位按照各自职责范围负责有关科学技术进步工作。
南京市科学技术进步条例,,,第一章 总 则,,第八条 市、区人民政府和江北新区管理机构应当按照国家和省、市有关规定确保财政用于科学技术经费的增长幅度高于财政经常性收入的增长幅度确保财政对科技投入的力度只增不减加大财政科技资金对基础研究的支持力度改进财政科技投入方式引导推动全社会科学技术研究开发经费持续稳定增长。
南京市科学技术进步条例,,,第一章 总 则,,第九条 充分发挥科学技术研究开发机构、高等学校、医疗卫生机构、企业、社会组织和科技人员等各类创新主体的作用依法保障各类主体平等获取创新资源、自主开展创新活动、公平参与市场竞争促进协同创新。支持、服务和保障国家实验室、国家科学技术研究开发机构、高水平研究型大学、科技领军企业等国家战略科技力量在关键领域和重点方向上发挥战略支撑引领作用和重大原始创新效能服务国家重大战略需要。
南京市科学技术进步条例,,,第一章 总 则,,第十条 加强科学文化建设倡导追求真理、崇尚创新、实事求是的科学精神大力宣传科技人才、创新企业家、高技能人才以及科技创新成果弘扬科学家精神、企业家精神和工匠精神建设宣传教育示范基地在全社会形成崇尚科学、勇于创造、追求卓越、宽容失败的创新氛围。市、区人民政府和江北新区管理机构应当加强对科普工作的领导。鼓励发展科普事业创新科普模式健全科普服务体系加强科普基础设施和能力建设支持科普作品创作和产品研发推进科普信息化发展。政府财政投资建设的科普场馆应当免费向公众开放支持多元主体参与科普基础设施建设社会力量兴办科普事业可以按照市场机制运行。市、区人民政府和江北新区管理机构应当建立健全学校教育和社会教育中的科学教育体系促进课外科普活动与学校科学课程、课后服务相衔接注重培养青少年的科学兴趣、创新意识。
南京市科学技术进步条例,,,第一章 总 则,,第十一条 按照国家和省有关规定对在本市科技创新活动中做出重要贡献的组织和个人给予表彰、奖励。鼓励社会力量按照有关规定设立科学技术奖项对在科学技术进步活动中做出贡献的组织和个人给予奖励。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十二条 本市根据重点产业领域发展需要建立和完善基础研究、应用研究和成果转化融通发展体系。鼓励科学技术研究开发机构、高等学校以及科技人员联合企业围绕服务国家战略和本市产业需要集聚力量进行原创性、引领性科技攻关开展基础研究和应用基础研究、前沿技术研究和社会公益性技术研究。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十三条 本市设立市级自然科学基金引导面向本市经济社会发展需要开展基础研究和原始创新。建立科学技术预测和评估制度预测科学技术发展趋势评估基础研究和关键核心技术水平。鼓励科学技术研究开发机构、高等学校、企业等发挥自身优势加强基础研究加大基础研究人才培养力度强化基础研究基地建设探索赋予科学技术研究开发机构、高等学校、企业事业单位等在基础研究的方向选择、课题设置、项目实施、经费使用等方面更大自主权。完善基础研究多元投入机制引导企业和其他社会力量加大基础研究投入鼓励社会力量通过设立科学基金、科学捐赠等方式支持基础研究。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十四条 围绕本市产业发展需要健全需求导向和问题导向的科技计划项目形成机制注重从企业和产业实践中提出应用研究任务聚焦战略性新兴产业培育、高新技术产业发展和传统产业转型升级引导龙头企业、领军型企业等开展关键核心技术攻关和产业共性技术研发。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十五条 市、区人民政府和江北新区管理机构应当发挥科技成果评价的导向作用结合产业布局需要推动产学研深度合作促进校地融合发展提高科技成果转化水平。支持新型研究开发机构、科技型企业开展科技成果转化与产业化。市、区人民政府和江北新区管理机构应当建立科技成果与技术需求对接机制引导和促进技术市场发展强化科学技术服务机构和技术经纪人员队伍建设保障技术交易当事人的合法权益。市、区人民政府和江北新区管理机构应当合理安排财政资金投入引导社会资金投入推动科技成果转化资金投入的多元化。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十六条 鼓励科学技术研究开发机构、高等学校以及其他组织建立技术转移机构培育专业化的技术经纪人员队伍推动科技成果转化与产业化。鼓励科学技术研究开发机构、高等学校探索通过先使用后付费方式将科技成果许可给企业使用。科学技术研究开发机构、高等学校利用财政性资金形成的科技成果在一定时期内没有转化的可以按照有关规定免费向企业开放。鼓励企业与科学技术研究开发机构、高等学校以及其他组织加强协同创新联合组建研究开发平台、技术创新联盟、创新联合体等加强科研力量优化配置和资源共享共同开展研究开发、成果应用与推广、标准研究与制定等活动。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十七条 利用财政性资金设立的科学技术研究开发机构、高等学校接受企业、其他组织委托项目形成的职务科技成果合同双方可以自主约定成果归属和使用、收益分配等事项。职务科技成果归科学技术研究开发机构、高等学校所有的可以按照国家有关规定赋予成果完成人团队所有权或者长期使用权。但可能危害国家安全、损害国家利益或者重大社会公共利益的除外。支持科学技术研究开发机构、高等学校、医疗卫生机构等按照国家有关规定推进赋予科技人员职务科技成果所有权或者长期使用权改革。
南京市科学技术进步条例,,,第二章 基础研究、应用研究与成果转化,,第十八条 市、区人民政府和江北新区管理机构应当完善科技成果转化激励政策鼓励企业事业单位建立并完善科技成果转化的考核机制和奖励机制。利用财政性资金设立的科学技术研究开发机构、高等学校等按照有关规定转化职务科技成果获得的收益用于奖励研发团队和为科技成果转化做出重要贡献的人员的比例不低于百分之八十。科技成果完成单位对完成、转化该项科技成果做出重要贡献人员给予的现金奖励计入所在单位绩效工资总量不受核定的绩效工资总量限制不计入人力资源和社会保障、财政行政主管部门核定单位绩效工资总量的基数不计入社会保险缴费基数并按照规定享受税收优惠政策。
