文件名,编,分编,章,节,内容
南京市预防职务犯罪条例,,,第一章 总则,,第一条 为规范和加强预防职务犯罪工作有效防范职务犯罪保证职务行为的廉洁性根据宪法和有关法律、法规结合本市实际制定本条例。
南京市预防职务犯罪条例,,,第一章 总则,,第二条 本条例所称的职务犯罪是指我国刑法规定的国家工作人员贪污贿赂犯罪国家机关工作人员渎职侵权犯罪以及其他利用职务实施的犯罪。
南京市预防职务犯罪条例,,,第一章 总则,,第三条 预防职务犯罪应当贯彻标本兼治、综合治理的方针实行教育、法制、监督相结合特殊预防与一般预防相结合专门工作与群众路线相结合的原则。
南京市预防职务犯罪条例,,,第一章 总则,,第四条 开展预防职务犯罪工作应当遵守法律、法规维护国家机关、人民团体、企业事业单位的正常工作、生产、经营秩序。
南京市预防职务犯罪条例,,,第一章 总则,,第五条 预防职务犯罪应当以有效防范国家工作人员特别是担任领导职务人员的职务犯罪为重点同时积极引导、支持、帮助非国有公司、非国有控股公司、非国有企业事业单位、社会团体防止非国家工作人员贿赂、职务侵占及挪用资金等犯罪的发生。
南京市预防职务犯罪条例,,,第一章 总则,,第六条 预防职务犯罪实行统一领导单位依法各负其责专门机构指导、督促有关职能部门配合社会各界共同参与的工作机制。
南京市预防职务犯罪条例,,,第二章 预防组织,,第七条 市、区、县预防职务犯罪工作指导委员会以下简称指导委员会负责组织、指导、协调预防职务犯罪工作。指导委员会办公室负责预防职务犯罪的日常工作。
南京市预防职务犯罪条例,,,第二章 预防组织,,第八条 指导委员会应当开展下列工作防对策和措施监督实施有关规定给予奖励建议对违反本条例规定的单位和个人给予处分和追究责任业事业单位、社会团体开展预防贿赂、职务侵占及挪用资金等犯罪的工作
南京市预防职务犯罪条例,,,第二章 预防组织,,第九条 指导委员会办公室开展工作可以采取下列方式关的资料和信息但是涉及国家秘密、商业秘密或者公民隐私的应当按照有关法律的规定办理股公司、国有企业事业单位制定实施预防职务犯罪工作计划和具体措施犯罪工作社会公布预防职务犯罪工作情况。
南京市预防职务犯罪条例,,,第二章 预防组织,,第十条 国家机关、人民团体、国有公司、国有控股公司、国有企业事业单位应当成立预防职务犯罪工作领导小组或者确定有关机构负责预防职务犯罪工作结合本单位实际制定并组织实施本单位预防职务犯罪的计划、制度和措施。前款规定单位的主要负责人对本单位预防职务犯罪工作负总责其他负责人根据分工负直接领导责任。
南京市预防职务犯罪条例,,,第二章 预防组织,,第十一条 非国有公司、非国有控股公司、非国有企业事业单位、社会团体根据需要可以成立相应的预防组织结合本单位实际开展预防贿赂、职务侵占及挪用资金等犯罪的工作。
南京市预防职务犯罪条例,,,第二章 预防组织,,第十二条 市、区县可以成立单位自愿参加的预防职务犯罪协会在指导委员会及其办公室的指导下自主开展预防职务犯罪工作。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十三条 指导委员会及其办公室应当采取建立预防职务犯罪警示教育基地等多种形式开展预防职务犯罪的宣传教育活动。单位应当结合工作特点加强对工作人员的职业道德、纪律和法制教育。培训机构对国家工作人员进行培训时应当将预防职务犯罪教育列入培训内容。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十四条 国家机关、人民团体、国有公司、国有控股公司、国有企业事业单位应当将预防职务犯罪工作列入本单位的目标管理完善、实行下列制度督制度国家机关及人民团体应当执行重点岗位和重点部门人员定期轮岗制度。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十五条 人民政府及其职能部门应当依法行政完善、实行下列制度事依据、程序、时限、结果公开办事纪律、服务承诺以及违纪违诺的投诉途径和处理办法约制度资产管理处置的专项监察、审计制度即对有财政性资金投入的重大建设项目的预算决算、招标投标、发包承包和政府采购活动国有资产处置、土地使用权出让转让活动国债资金、预算外资金、公共基金的收支管理活动实行专项监察、审计并在一定范围内公布结果舆论监督的信息反馈等制度人民政府及其职能部门作出有关经济、社会等重大事项决策时应当同时制定预防职务犯罪措施。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十六条 人民检察院、人民法院应当依法办事实行检务、审务公开制度公开其职责、权限、办理各类案件的程序、期限、结果、办案纪律、诉讼参与人的权利义务以及对人民检察院、人民法院及其工作人员违法违纪行为的举报、控告的途径。公安机关、人民检察院、人民法院、司法行政机关应当规范执法行为实行执法责任制、错案责任追究制确保公正执法。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十七条 国家机关工作人员应当遵守国家公务员纪律。担任领导职务的国家工作人员还应当遵守和执行下列规定单位主要负责人应当将履行预防职务犯罪工作职责的情况作为年度述职的一项重要内容接受考核和评议。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十八条 社区居民委员会、村民委员会应当实行社务公开、村务公开制度落实预防职务犯罪措施在管理、使用国有资金活动时应当接受检查、监督。
南京市预防职务犯罪条例,,,第三章 预防措施,,第十九条 建筑工程、医药卫生行业和政府采购等招标投标活动中对有贿赂犯罪和其他严重不正当竞争行为的单位和个人由有关职能部门依照国家法律法规的规定限制或者取消其在本市从事投标活动的资格具体实施办法由市人民政府制定。
南京市预防职务犯罪条例,,,第三章 预防措施,,第二十条 开展预防职务犯罪工作应当运用先进的科学技术和管理方式。
南京市预防职务犯罪条例,,,第四章 监督保障,,第二十一条 指导委员会根据需要检查重点单位、行业履行预防职务犯罪职责的情况。
南京市预防职务犯罪条例,,,第四章 监督保障,,第二十二条 人民检察院、人民法院和公安、监察、审计机关在依法行使职权过程中发现有关单位存在制度不健全、管理混乱等问题的应当及时提出检察、司法、监察、审计等建议并制发建议书送达有关单位及其上级机关或者主管部门。有关单位自收到建议书之日起三十日内应当书面反馈建议的采纳情况。
南京市预防职务犯罪条例,,,第四章 监督保障,,第二十三条 新闻单位应当宣传预防和惩治职务犯罪的情况对国家工作人员履行职务的行为进行舆论监督。
南京市预防职务犯罪条例,,,第四章 监督保障,,第二十四条 任何单位和个人发现职务犯罪行为可以向有关部门控告或者举报。有关部门应当按照规定受理、查处并为控告人、举报人保密对举报有功者予以奖励。公民、法人和其他组织可以对预防职务犯罪工作提出建议和意见对制度不健全、管理混乱的单位提出意见对政府及其职能部门政务活动和人民法院、人民检察院司法活动提出建议或者意见。任何单位和个人不得对建议、控告、举报人打击报复。
南京市预防职务犯罪条例,,,第四章 监督保障,,第二十五条 指导委员会及其办公室的工作经费列入本级财政预算。国家机关、人民团体、国有公司、国有控股公司、国有企业事业单位预防职务犯罪工作经费列入本单位预算实行专款专用和专项管理。市、区县人民政府应当划拨专项资金用于奖励在预防职务犯罪工作中有突出贡献的单位和个人。
南京市预防职务犯罪条例,,,第五章 法律责任,,第二十六条 国家机关、人民团体、国有公司、国有控股公司、国有企业事业单位违反本条例规定拒绝或者拖延提供与预防工作有关的资料的或者拒绝、阻碍检查的由指导委员会办公室或者其主管部门责令改正拒不改正的由其主管部门予以通报批评。
