文件名,编,分编,章,节,内容
南昌市城乡规划管理规定,,,第一章 总则,,第一条 为了加强城乡规划管理协调城乡空间布局改善人居环境促进城乡经济社会全面协调可持续发展根据《中华人民共和国城乡规划法》《江西省城乡规划条例》等法律、法规结合本市实际制定本规定。
南昌市城乡规划管理规定,,,第一章 总则,,第二条 本市行政区域内城乡规划的制定、修改、实施和监督检查以及规划区内的建设活动应当遵守《中华人民共和国城乡规划法》《江西省城乡规划条例》和本规定。本规定所称规划区是指城市、镇和村庄的建成区以及因城乡建设和发展需要必须实行规划控制的区域。规划区的具体范围由市、县、镇乡人民政府在组织编制的城市总体规划、镇总体规划、乡规划和村庄规划中根据城乡经济社会发展水平和统筹城乡发展的需要划定。
南昌市城乡规划管理规定,,,第一章 总则,,第三条 制定和实施城乡规划应当遵循城乡统筹、合理布局、节约土地、集约发展和先规划后建设的原则坚持以人为本、关注民生注重提高城乡服务功能改善城乡人居环境注重近期建设与长远发展相结合局部利益与整体利益相结合建设发展与环境保护、历史文化遗产保护、自然资源保护相结合现代化建设与保持传统风貌相结合并符合区域人口发展、国防建设、防灾减灾和公共卫生、公共安全的需要。
南昌市城乡规划管理规定,,,第一章 总则,,第四条 市、县人民政府应当加强对城乡规划工作的领导统筹城乡建设和发展。市、县人民政府设立的城乡规划委员会负责对涉及城乡规划编制和实施的重大事项进行审议。城乡规划委员会审议通过的事项报本级人民政府按照规定程序审批。城乡规划委员会的日常工作由城乡规划主管部门负责。乡、镇人民政府负责本行政区域内的相关城乡规划工作。各级人民政府应当将城乡规划的编制和管理经费纳入本级财政预算并予以保障。
南昌市城乡规划管理规定,,,第一章 总则,,第五条 市城乡规划主管部门负责全市的城乡规划管理工作并可以在各区、开发区新区设立派出机构。县城乡规划主管部门负责本行政区域内的城乡规划管理工作。乡、镇人民政府应当确定相关机构或者专人负责本行政区域内的城乡规划管理工作市、县城乡规划主管部门在乡、镇设立派出机构的乡、镇人民政府应当会同其做好城乡规划的管理工作。发展改革、工业信息产业、国土资源、财政、环境保护、城市管理行政执法、公安消防、公安交通管理、人民防空等有关部门应当按照各自职责做好城乡规划管理的相关工作。
南昌市城乡规划管理规定,,,第一章 总则,,第六条 城乡规划主管部门应当开展城乡规划研究加强城乡规划信息、档案及数据库的建设和管理创新管理方式提高城乡规划的制定、实施和监督管理水平。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第七条 市城乡规划主管部门应当根据有关法律、法规和国家、省有关技术标准和规定结合实际拟定本市城乡规划技术管理规定经市人民政府批准后报市人民代表大会常务委员会备案。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第八条 各项建设用地和建设工程应当符合城乡规划依法取得城乡规划主管部门核发的规划许可证件。规划许可证件包括选址意见书、建设用地规划许可证、建设工程规划许可证、乡村建设规划许可证。跨县、区的建设项目由市城乡规划主管部门核发规划许可证件或者在征求有关县、区人民政府意见后委托相关县城乡规划主管部门核发规划许可证件。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第九条 建设单位或者个人应当按照规划许可证件的内容进行建设。任何单位和个人不得擅自变更规划许可证件的内容。确需变更的应当向原许可机关申请办理变更手续。禁止买卖、涂改、租借或者转让规划许可证件。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十条 建设单位或者个人申请办理规划许可证件提交的图纸材料应当附电子文本。电子文本应当符合有关技术规范的要求。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十一条 按照国家规定需要有关部门批准或者核准的建设项目以划拨方式提供国有土地使用权的建设单位在报送有关部门批准或者核准前应当向城乡规划主管部门申请核发选址意见书。城乡规划主管部门应当自受理之日起十个工作日内作出决定符合条件的核发选址意见书不符合条件的不予核发选址意见书并书面告知理由。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十二条 在城市、镇规划区内以划拨方式提供国有土地使用权的建设项目在申请办理划拨土地手续前建设单位应当向城乡规划主管部门申请办理建设用地规划许可证。城乡规划主管部门应当自受理之日起三个工作日内作出决定符合条件的核发建设用地规划许可证不符合条件的不予核发建设用地规划许可证并书面告知理由。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十三条 在城市、镇规划区内以出让方式提供国有土地使用权的在国有土地使用权出让前城乡规划主管部门应当依据控制性详细规划提出规划条件。规划条件应当作为国有土地使用权出让合同的组成部分。未确定规划条件的地块不得出让国有土地使用权规划条件未纳入国有土地使用权出让合同的该国有土地使用权出让合同无效给当事人造成损失的应当依法给予赔偿。城乡规划主管部门提出的规划条件期满一年仍未进行国有土地使用权出让的规划条件应当重新确定。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十四条 在城市、镇规划区内以出让方式取得国有土地使用权的建设项目建设单位应当持建设项目的批准、核准或者备案文件和国有土地使用权出让合同向城乡规划主管部门领取建设用地规划许可证。城乡规划主管部门应当自受理之日起三个工作日内核发建设用地规划许可证。
南昌市城乡规划管理规定,,,第二章 城乡规划的实施,,第十五条 国有土地使用权依法转让的不得改变规划条件。确需变更规划条件或者分割土地转让的应当重新申请确定规划条件并将规划条件作为国有土地使用权转让合同的组成部分。国有土地使用权依法转让后受让方应当持转让合同等材料向城乡规划主管部门申请变更建设用地规划许可证。以拍卖、招标、挂牌等方式依法处置房屋、土地权益的处置机构应当事先向城乡规划主管部门核实被处置房屋、土地的相关规划要求。
