文件名,编,分编,章,节,内容
南昌市禁止燃放烟花爆竹规定,,,,,第一条 为了加强烟花爆竹燃放安全管理减少环境污染保障公共安全和人身、财产安全根据国务院《烟花爆竹安全管理条例》和有关法律、法规结合本市实际制定本规定。
南昌市禁止燃放烟花爆竹规定,,,,,第二条 禁止在下列区域燃放烟花爆竹西至枫生高速北至一环线、英雄大桥、富大有路合围的区域扬子洲镇除外确需对前款禁止燃放烟花爆竹的区域进行调整的由市人民政府决定并向社会公布。第一款规定的区域之外各县区人民政府可以根据本辖区的实际情况确定禁止燃放烟花爆竹的区域并公布经济技术开发区管理委员会、高新技术开发区管理委员会、红谷滩新区管理委员会可以根据本辖区的实际情况拟定禁止燃放烟花爆竹的区域报市人民政府同意并公布。
南昌市禁止燃放烟花爆竹规定,,,,,第三条 在本规定第二条规定的区域之外禁止在下列地点燃放烟花爆竹全保护区内燃易爆物品生产、销售、储存、使用场所他地点。禁止燃放烟花爆竹的地点及周边具体范围由产权单位或者管理部门设置明显的禁止燃放烟花爆竹警示标志并负责管护。
南昌市禁止燃放烟花爆竹规定,,,,,第四条 本规定第二条规定的禁止燃放烟花爆竹的区域禁止销售烟花爆竹。由此给已经取得许可销售烟花爆竹的经营者造成财产损失的应当依法给予补偿具体补偿办法由市人民政府制定。在禁止燃放烟花爆竹区域之外烟花爆竹经营单位的布点应当遵循合理布局、总量控制、逐步减少的原则。本市销售的烟花爆竹应当符合有关技术标准和本市关于准予经营的烟花爆竹规格、品种的规定。本市准予经营的烟花爆竹种类、规格应当通过媒体向社会公布。烟花爆竹零售点的设置应当符合国家和本市有关规定实行专店或者专柜销售并配备必要的安全防护措施。
南昌市禁止燃放烟花爆竹规定,,,,,第五条 市、县区人民政府组织本规定的实施。市、县区人民政府应当加强对本行政区域内禁止燃放、销售烟花爆竹工作的领导建立工作协调机制督促有关部门依法履行监督管理职责。
南昌市禁止燃放烟花爆竹规定,,,,,第六条 市、县区公安机关是禁止燃放烟花爆竹工作的主管部门负责本规定在本辖区的实施。安全生产监督、环境保护、城市管理、市场和质量监督、交通运输、教育等部门按照各自职责做好禁止燃放、销售烟花爆竹相关工作。乡镇人民政府、街道办事处、居村民委员会以及其他机关、团体、企业事业单位应当配合有关部门做好禁止燃放、销售烟花爆竹相关工作。
南昌市禁止燃放烟花爆竹规定,,,,,第七条 本市各级人民政府及其有关部门和街道办事处、居广播、电视、报刊、网络等新闻媒体应当做好禁止燃放烟花爆竹的宣传工作。学校和未成年人的监护人应当对未成年人开展禁止燃放烟花爆竹的教育。
南昌市禁止燃放烟花爆竹规定,,,,,第八条 任何单位和个人都有权对违反本规定的行为进行劝阻和举报。公安机关和其他有关部门应当公布举报、投诉电话和其他联系方式接到举报、投诉后应当及时处理并将处理结果反馈举报、投诉人。公安机关、安全生产监督等部门对举报的违法燃放、销售烟花爆竹行为核查属实的对举报人予以奖励。
南昌市禁止燃放烟花爆竹规定,,,,,第九条 逢重大庆典和节日确需举办焰火晚会或者其他大型焰火燃放活动的主办单位应当依法向公安机关提出申请取得《焰火燃放许可证》并按照焰火燃放安全规程和经许可的燃放作业方案进行燃放作业。作出许可的公安机关应当将许可燃放的时间、地点、种类、规格、数量向社会公告。
南昌市禁止燃放烟花爆竹规定,,,,,第十条 公安机关应当严格审查焰火晚会或者其他大型焰火燃放活动燃放作业单位资质、作业人员资格监督、检查、指导主办单位做好安全保卫、消防救援和警戒工作。
南昌市禁止燃放烟花爆竹规定,,,,,第十一条 居村民委员会、业主委员会、物业服务企业可以组织属地管理或者责任范围内的居民、单位以及宾馆、酒店等服务企业制定禁止燃放烟花爆竹公约并监督实施对在属地管理或者责任范围内燃放烟花爆竹的居村民委员会、业主委员会、物业服务企业以及宾馆、酒店等服务企业应当及时予以劝阻对拒不听从劝阻的应当及时向所在地公安机关报告。
南昌市禁止燃放烟花爆竹规定,,,,,第十二条 违反本规定在禁止燃放烟花爆竹的区域、地点燃放烟花爆竹的由公安机关责令停止燃放处一百元以上二百元以下罚款情节严重的处二百元以上五百元以下罚款妨害公共安全的依法予以处罚。
南昌市禁止燃放烟花爆竹规定,,,,,第十三条 违反本规定在禁止燃放烟花爆竹的区域非法销售烟花爆竹的依据国务院《烟花爆竹安全管理条例》予以处罚。
南昌市禁止燃放烟花爆竹规定,,,,,第十四条 违反本规定未经许可举办焰火晚会以及其他大型焰火燃放活动或者违反焰火燃放安全规程、燃放作业方案进行燃放作业的由公安机关责令停止燃放对责任单位处一万元以上五万元以下罚款。
南昌市禁止燃放烟花爆竹规定,,,,,第十五条 违反本规定企业被处罚的处罚记录录入企业信用信息公示系统。
南昌市禁止燃放烟花爆竹规定,,,,,第十六条 违反本规定构成违反治安管理行为的依据《中华人民共和国治安管理处罚法》予以处罚构成犯罪的依法追究刑事责任造成财产损失或者人身伤害的依法承担民事责任。
南昌市禁止燃放烟花爆竹规定,,,,,第十七条 公安、安全生产监督和其他有关部门及其工作人员在禁止燃放、销售烟花爆竹监督管理工作中玩忽职守、滥用职权、徇私舞弊的对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任。
南昌市禁止燃放烟花爆竹规定,,,,,第十八条 本规定自 2017 年 1 月 1 日起施行。
