文件名,编,分编,章,节,内容
吉林省市政公用设施管理条例,,,第一章 总则,,第一条 为加强市政公用设施的保护和管理充分发挥其使用功能促进城市经济和社会的发展根据法律、法规有关规定结合本省实际制定本条例。
吉林省市政公用设施管理条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内的市、县、建制镇、独立工矿区和开发区规划区内的市政公用设施建设和管理。
吉林省市政公用设施管理条例,,,第一章 总则,,第三条 本条例所称市政公用设施包括行道、公共停车场、广场、管线走廊和安全通道、路肩、护栏、街路标牌、道路建设及道路绿化控制的用地及道路的其它附属设施。过街人行桥、地下通道及其它附属设施。合流管道、排水河道及沟渠、泵站、污水处理厂及其它附属设施。泵站、排洪道及其它附属设施。场、公共绿地、景点等处的照明设施。石油液化气、集中供热的管网、城市公共交通的供电线路及其它附属设施。
吉林省市政公用设施管理条例,,,第一章 总则,,第四条 县级以上人民政府应加强对市政公用设施的管理实行专业队伍管理与群众监督相结合的原则。
吉林省市政公用设施管理条例,,,第一章 总则,,第五条 县级以上人民政府城市建设行政管理部门是市政公用设施行政主管部门负责本行政区域内的市政公用设施管理和监察工作。各市政公用设施管理部门依据政府授予的职权和管理范围实施市政公用设施管理和维护的具体工作。公安、交通、工商、水利、环保等行政管理部门应按照各自的职责配合市政公用设施行政主管部门共同做好市政公用设施管理工作。
吉林省市政公用设施管理条例,,,第一章 总则,,第六条 市政公用设施管理工作应当坚持统一规划、配套建设、建设养护与管理并重的原则。各市政公用设施管理部门应按照统一管理、加强养护、积极完善、逐步提高的方针加强设施的维护和管理保证所管理的设施处于完好状态。
吉林省市政公用设施管理条例,,,第一章 总则,,第七条 任何单位和个人都有爱护市政公用设施的义务有制止、检举、控告损坏市政公用设施行为的权利。对保护和管理市政公用设施做出显著成绩的单位和个人应当给予表彰和奖励。
吉林省市政公用设施管理条例,,,第二章 市政公用设施的建设管理,,第八条 各级人民政府应当将市政公用设施的建设纳入城市规划、国民经济和社会发展计划。市政公用设施行政主管部门应当根据城市经济、社会发展的需要和城市规划的要求会同有关部门编制市政公用设施建设的专业规划和年度实施计划经批准后组织实施。
吉林省市政公用设施管理条例,,,第二章 市政公用设施的建设管理,,第九条 任何单位和个人进行市政公用设施建设和对市政公用设施的安全及使用有影响的工程施工必须向市政公用设施行政主管部门提出申请并提交项目的批准文件、安全保障措施和应急补救措施方案。市政公用设施行政主管部门应当自接到申请之日起 15 日内对项目批准文件、安全保障措施和应急补救措施方案进行审查。对不影响市政公用设施安全使用的予以批准否则不予批准并说明理由。经批准并按有关规定办理手续后方可进行。城市新区开发和旧区改造必须把城市规划确定的市政公用设施建设项目纳入综合开发计划配套建设。
吉林省市政公用设施管理条例,,,第二章 市政公用设施的建设管理,,第十条 市政公用设施的维护和建设资金采取国家和地方投资、贷款、依法征收税费、市政公用设施有偿使用以及受益单位自筹和依法集资等多种渠道筹集。各级人民政府依法征收、筹集的市政公用设施维护和建设资金应当专款专用任何单位和个人不得挪作他用。
吉林省市政公用设施管理条例,,,第二章 市政公用设施的建设管理,,第十一条 市政公用设施建设工程的设计和施工必须严格执行国家的技术标准规范和操作规程由取得相应资质证书的单位进行设计和施工接受市政公用设施行政主管部门的监督检查。
吉林省市政公用设施管理条例,,,第二章 市政公用设施的建设管理,,第十二条 市政公用设施建设工程竣工时建设单位应当在整理工程竣工资料和设施档案后申请市政公用设施主管部门验收并按城市建设档案的有关规定建立完整的竣工资料和设施档案。自筹资金建设的市政公用设施建设单位应按规定上报设施档案。市政公用设施管理部门应当自接到申请之日起 15 日内对竣工资料进行审查。对符合国家规定的建设标准和技术标准的予以验收对不符合国家规定建设标准和技术标准的不予验收并说明理由。
