文件名,编,分编,章,节,内容
吉林省边境管理条例,,,第一章 总则,,第一条 为加强边境管理维护国家主权和领土完整保持边境地区的安宁与稳定妥善处理边境事务促进边境地区的改革开放和经济发展增进与邻国的睦邻友好关系根据国家有关法律、法规的规定结合我省实际情况制定本条例。
吉林省边境管理条例,,,第一章 总则,,第二条 凡在本省边境地区居住、通行、生产或从事其他活动的组织和中国公民、外国人、无国籍人均须遵守本条例。本条例所称边境地区系指沿国界的市州行政区域。
吉林省边境管理条例,,,第一章 总则,,第三条 中国的组织和公民都有保卫国界、保护国界标志和设施、维护边境地区社会秩序和安全的义务。
吉林省边境管理条例,,,第一章 总则,,第四条 各级人民政府应加强对边境管理工作的领导由各级边防委员会负责协调边境管理工作。外事部门、公安机关、边防部队为边境管理部门按各自职责分工组织本条例的实施。
吉林省边境管理条例,,,第二章 国界管理,,第五条 任何组织和个人不得损坏和擅自移动、拆除国界标志。发现国界标志有异常情况应及时报告边境管理部门不得擅自处理。国界标志的恢复、修理或重建按我国与邻国达成的协议或国家有关规定执行。
吉林省边境管理条例,,,第二章 国界管理,,第六条 国界通视道的清理必须按照我国与邻国达成的协议及时进行。
吉林省边境管理条例,,,第二章 国界管理,,第七条 任何组织和个人不得擅自从事改变或可能改变国界走向、影响或可能影响界江稳定的活动。
吉林省边境管理条例,,,第二章 国界管理,,第八条 建设跨越国界的交通、通信、水利、电力、测绘、环保及其他工程设施须经省人民政府同意报国家主管部门批准并按我国与邻国签订的协议进行建设、管理和维护。
吉林省边境管理条例,,,第三章 出入国界管理,,第九条 对外开设、关闭口岸和边境通道按国家规定经批准后执行。
吉林省边境管理条例,,,第三章 出入国界管理,,第十条 出入国境的人员、行李物品、货物及交通运输工具须具备合法有效的有关证件和手续经国家规定的口岸或与邻国商定的边境通道通行按国家规定接受口岸联检单位的出入境检查检验。
吉林省边境管理条例,,,第三章 出入国界管理,,第十一条 边防会谈、会晤人员和其他因公务需临时出入国界的人员及交通工具出入国界的地点和办法依照与邻国达成的协议执行。
吉林省边境管理条例,,,第三章 出入国界管理,,第十二条 任何单位和个人发现外国飞行器、空飘物、漂浮物及交通工具和人员非法进入我省境内时均应及时报告当地边境管理部门。
吉林省边境管理条例,,,第三章 出入国界管理,,第十三条 邻国人员及其乘用的交通工具因不可抗力的因素进入我国境内避险时应立即向当地边境管理部门报告并在指定的范围内活动。避险结束后立即出境。
吉林省边境管理条例,,,第三章 出入国界管理,,第十四条 我国边境地区居民去邻国边境地区探亲按双方协议和国家有关规定办理。
吉林省边境管理条例,,,第四章 边境管理,,第十五条 省人民政府根据国家有关规定可在边境地区划定边境管理区和边境禁区。在边境管理区和边境禁区内根据国家和省的有关规定实行特殊的管理制度。
吉林省边境管理条例,,,第四章 边境管理,,第十六条 在边境地区开办跨界旅游和设立边民互市贸易区须按国家和省有关规定经批准并与邻国达成协议后进行。
吉林省边境管理条例,,,第四章 边境管理,,第十七条 进入我国边境地区从事旅游、边民互市贸易以及经过批准从事其他活动的毗邻国家人员只准在批准的范围内活动并严格遵守有关规定。
吉林省边境管理条例,,,第四章 边境管理,,第十八条 在国家确定的边境前沿地带范围内进行测绘、勘探、采矿和地面拍摄电影、录像等须报经省人民政府批准。
吉林省边境管理条例,,,第四章 边境管理,,第十九条 未经批准不得在国界我侧 1 公里内、电站大坝4 公里内进行爆破作业不得在国境桥梁、拦江大坝上游览和在其水域上下游各 100 米范围内进行捕鱼、游泳、滑冰、炸石等活动。非执行公务不得在国界我侧 1 公里以内鸣枪。因特殊情况需要在本条第一款规定的地区进行爆破作业时须报经市州边境管理部门批准规模较大的须报经省边境管理部门批准爆破作业可能危及邻国时应事先通报对方。有组织进行的实弹射击训练除在两国已有协议的规定的靶场进行外应在隐蔽地区进行。射击方向不准朝向境外。
吉林省边境管理条例,,,第四章 边境管理,,第二十条 未经批准不得在界江江岸国家确定的范围内和界江中的岛屿、沙洲上砍伐树木、挖取沙石和开渠引水。因特殊情况需要从事上述活动的须按国家和省的规定报经有关部门批准并按批准的规模、范围和期限作业。
吉林省边境管理条例,,,第四章 边境管理,,第二十一条 在界江中从事疏浚河道、航运、流筏、水文测量、江岸保护、开发利用水资源、环境保护等活动除两国政府有协议外报省人民政府或国家主管部门批准并与邻国达成协议后进行。
吉林省边境管理条例,,,第四章 边境管理,,第二十二条 经批准在界江中从事流筏作业、水文测量活动的人员须持流筏作业证或水文作业证。
吉林省边境管理条例,,,第四章 边境管理,,第二十三条 在界江上行驶的一切船舶必须遵守国家有关规定和国家与邻国签订的有关协定、协议。民用船只在界江航行必须按国家和省的有关规定配备必要的设备和船舶牌照标明标志和编号并具备县级业务主管部门发放的《安全合格证》和《作业许可证》船员须持有《船员证》并接受有关主管部门的管理。
吉林省边境管理条例,,,第四章 边境管理,,第二十四条 我方与邻国车辆、船舶在边境发生交通事故须立即报告公安边防机关不得擅自处理。
吉林省边境管理条例,,,第四章 边境管理,,第二十五条 禁止任何组织和个人从事下列活动邮电通信、水利、电力、测绘、边防、护林防火、国土保护等设施及标志业
吉林省边境管理条例,,,第四章 边境管理,,第二十六条 有关组织和个人应采取措施严防牲畜越界。我方牲畜越入邻国境内不得自行越境追赶或索要应立即报告公安边防机关或边防部队按有关规定处理。邻国交回的我方牲畜由公安边防机关或边防部队接收交畜牧防疫部门检疫后按有关规定处理。邻国牲畜越入我国境内应就地赶回。已进入纵深地区的捕捉到牲畜的组织或个人应将其隔离交公安边防机关或边防部队按有关规定处理不得藏匿、使役、买卖或宰杀。
吉林省边境管理条例,,,第四章 边境管理,,第二十七条 各级人民政府要加强边境森林防火工作定期组织有关单位对防火道进行清理。任何单位和个人不准擅自在防火道和通视道上从事生产及其他活动。
吉林省边境管理条例,,,第四章 边境管理,,第二十八条 任何组织和个人不得以任何理由妨碍边境管理部门工作人员执行公务。边境管理部门的人员、车辆、船舶进入边境的旅游、生产作业、自然保护等区域执行公务通行时应免收费用任何组织和个人不得拦阻。
吉林省边境管理条例,,,第四章 边境管理,,第二十九条 边境地区各级人民政府应组织有关部门经常对干部群众进行爱国主义、国际主义、边境政策和保密法规教育充分发挥民兵和治安保卫委员会的作用搞好军民、警民联防和群众联防做好防范工作。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十条 对于认真执行本条例做出显著成绩的单位和个人由各级人民政府给予表彰或奖励。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十一条 有下列行为之一的予以警告、责令改正并处以 200 元至 2000 元罚款的全合格证》、《作业许可证》船员无《船员证》的游各 100 米内从事禁止活动的。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十二条 有下列行为之一的责令改正没收违法所得和非法财物并处以 300 元至 3000 元罚款探、采矿和地面拍摄电影、录像等活动的沙洲上砍伐树木、挖取沙石和开渠引水的的的的。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十三条 有下列行为之一的责令改正并处以 500 元至 5000 元罚款
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十四条 有下列行为之一的责令改正没收违法所得和非法财物并处以 1000 元至 10000 元罚款
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十五条 边境管理部门的工作人员滥用职权或徇私舞弊的由所在单位、上级机关或有关部门给予行政处分构成犯罪的依法追究刑事责任。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十六条 违反本条例的行为构成犯罪的由司法机关依法追究刑事责任。对违反本条例规定的单位除予以处罚外视情节追究单位领导人的行政责任。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十七条 依据本条例规定收取的各项罚没款和收缴的非法财物除按有关协议需移交邻国的以外一律上缴国库。
吉林省边境管理条例,,,第五章 奖励与处罚,,第三十八条 本条例规定的行政处罚除法律、法规另有规定者外由公安机关执行。当事人对行政处罚决定不服的可以依法申请行政复议或者提起行政诉讼。
吉林省边境管理条例,,,第六章 附则,,第三十九条 本条例自公布之日起施行。
