文件名,编,分编,章,节,内容
吉林省陆生野生动物保护条例,,,,,第一条 为了保护陆生野生动物维护生物多样性和生态平衡推进生态文明建设促进人与自然和谐共生根据《中华人民共和国野生动物保护法》《中华人民共和国陆生野生动物保护实施条例》等有关法律、行政法规结合本省实际制定本条例。
吉林省陆生野生动物保护条例,,,,,第二条 本省行政区域内陆生野生动物保护、管理及相关活动适用本条例。本条例规定保护的陆生野生动物是指国家重点保护的陆生野生动物和有重要生态、科学、社会价值的陆生野生动物以及省重点保护的陆生野生动物。本条例规定的陆生野生动物及其制品是指陆生野生动物的整体含卵、蛋、部分及衍生物。本条例规定的陆生野生动物栖息地是指陆生野生动物野外种群生息繁衍的重要区域。
吉林省陆生野生动物保护条例,,,,,第三条 陆生野生动物保护坚持保护优先、规范利用、严格监管的原则鼓励和支持开展陆生野生动物科学研究与应用秉持生态文明理念推动绿色发展。
吉林省陆生野生动物保护条例,,,,,第四条 县级以上人民政府对本行政区域内陆生野生动物保护工作负责。乡镇人民政府、街道办事处依法协助做好本行政区域内陆生野生动物保护相关工作。
吉林省陆生野生动物保护条例,,,,,第五条 县级以上人民政府应当制定陆生野生动物及其栖息地相关保护规划和措施并将陆生野生动物保护经费纳入预算。
吉林省陆生野生动物保护条例,,,,,第六条 县级以上人民政府陆生野生动物保护主管部门主管本行政区域内陆生野生动物保护工作。县级以上人民政府有关部门按照职责分工负责陆生野生动物保护相关工作。
吉林省陆生野生动物保护条例,,,,,第七条 省人民政府应当加强陆生野生动物保护基础性工作按照国家要求开展陆生野生动物保护工程建设防范重大公共卫生风险杜绝灭绝性利用维护生物多样性和生态平衡。省人民政府陆生野生动物保护主管部门应当构建智慧管护监测系统开展陆生野生动物资源普查和动态监测建设珍稀濒危陆生野生动物基因保存库、救护繁育场所等加强与其他省、市和有关科研教学机构的合作联合开展陆生野生动物及其栖息地调查、收容救护、疫源疫病监测、监管执法等陆生野生动物保护工作组织并鼓励支持有关科研教学机构开展陆生野生动物的种群数量、栖息地质量等基础性科学研究提升陆生野生动物保护科技支撑能力。
吉林省陆生野生动物保护条例,,,,,第八条 加强野生动物保护的宣传教育和科学知识普及工作。每年 4 月为吉林省陆生野生动物保护宣传月4 月 22 日至 28日为吉林省爱鸟周。
吉林省陆生野生动物保护条例,,,,,第九条 省重点保护陆生野生动物名录由省人民政府组织科学论证评估征求国务院陆生野生动物保护主管部门意见后制定、公布。每五年组织科学论证评估根据论证评估情况进行调整也可以根据实际需要及时调整。
吉林省陆生野生动物保护条例,,,,,第十条 对陆生野生动物栖息地负有保护管理职责的单位应当制定并实施陆生野生动物保护管理工作制度并采取下列措施保护陆生野生动物和级别境国有林业企业应当在职责范围内配合陆生野生动物保护主管部门做好陆生野生动物保护相关工作。
吉林省陆生野生动物保护条例,,,,,第十一条 任何组织和个人不得以追逐、惊扰、随意投食、引诱拍摄、制造高分贝噪声、闪烁射灯等方式干扰和破坏陆生野生动物生息繁衍。
吉林省陆生野生动物保护条例,,,,,第十二条 省人民政府陆生野生动物保护主管部门应当会同有关部门按照国家规定采取栖息地保护修复、迁徙通道建设、监测巡护、人工繁育、野化放归等措施加强对东北虎、东北豹、丹顶鹤、梅花鹿、中华秋沙鸭、大鸨等珍贵、濒危的陆生野生动物实施抢救性保护。
吉林省陆生野生动物保护条例,,,,,第十三条 县级以上人民政府陆生野生动物保护主管部门应当按照国家有关规定组织开展陆生野生动物的收容救护工作加强对社会组织开展陆生野生动物收容救护工作的规范和指导。明确承担收容救护工作的机构并公布陆生野生动物收容救护机构的名称地址和联系方式等相关信息。收容救护机构应当根据陆生野生动物收容救护的实际需要建立收容救护场所设立收容救护档案配备相应的专业技术人员、药品、防护装备、救护车辆及其他救护工具和设备等。禁止以陆生野生动物收容救护为名买卖陆生野生动物及其制品。
吉林省陆生野生动物保护条例,,,,,第十四条 县级以上人民政府陆生野生动物保护主管部门应当会同有关部门加强对放生活动的规范、引导。在放生活动频繁的地区县级人民政府陆生野生动物主管部门应当公布热线电话或者其他咨询渠道。任何组织和个人将陆生野生动物放生至野外环境应当选择适合放生地野外生存的当地物种不得干扰当地居民的正常生活、生产不得破坏当地生态平衡避免对生态系统造成危害。
吉林省陆生野生动物保护条例,,,,,第十五条 有关人民政府应当根据实际情况和需要制定陆生野生动物与人冲突应急预案提升陆生野生动物危害防控能力。根据全省禁止猎捕陆生野生动物的规定对省人民政府确定禁猎范围内的陆生野生动物造成人员伤亡、农作物或者其他财产损失的由当地人民政府根据省人民政府有关规定给予补偿补偿资金列入县级以上人民政府财政预算。县级以上人民政府可以推动保险机构开展陆生野生动物致害赔偿保险业务。
吉林省陆生野生动物保护条例,,,,,第十六条 人工繁育陆生野生动物的单位和个人应当遵守以下规定法律法规规定其伤人和逃逸造成他人损害、危害公共安全或者破坏生态
吉林省陆生野生动物保护条例,,,,,第十七条 商品交易市场开办者应当加强市场监管发现市场内违法出售陆生野生动物及其制品或者禁止使用的猎捕工具的应当劝阻、制止其违法经营行为并及时向陆生野生动物保护主管部门和市场监督管理部门报告。
吉林省陆生野生动物保护条例,,,,,第十八条 网络交易平台经营者应当加强对线上交易行为的检查监控发现平台内违法出售陆生野生动物及其制品或者禁止使用的猎捕工具的应当依法采取删除、屏蔽、断开连接、终止交易和服务等必要措施并及时向陆生野生动物保护主管部门和市场监督管理部门报告。
吉林省陆生野生动物保护条例,,,,,第十九条 餐饮场所应当加强食品原料控制建立进货查验记录制度并保存相关凭证不得购买、储存、加工、出售禁止食用的陆生野生动物及其制品或者提供来料加工服务不得用陆生野生动物及其制品的名称或别称招揽顾客。
吉林省陆生野生动物保护条例,,,,,第二十条 县级以上人民政府陆生野生动物保护主管部门应当加强队伍建设合理配备专业人员满足本行政区域内陆生野生动物保护工作需要。县级以上人民政府应当健全陆生野生动物保护执法管理体制建立由陆生野生动物保护主管部门牵头、各相关部门配合的陆生野生动物保护联合执法工作协调机制明确执法责任主体依法查处违法行为。
吉林省陆生野生动物保护条例,,,,,第二十一条 对陆生野生动物及其栖息地保护监督管理工作不力、问题突出、公众反映强烈的地区由省人民政府陆生野生动物保护主管部门约谈该地区县级以上人民政府及其主管部门主要负责人要求其及时采取措施限期整改。约谈整改情况应当向社会公开。
吉林省陆生野生动物保护条例,,,,,第二十二条 从境外引进的陆生野生动物物种应当采取安全可靠的防范措施防止其进入野外环境避免对生态系统造成危害不得违法放生、丢弃确需将其放生至野外环境的应当遵守有关法律法规的规定。
吉林省陆生野生动物保护条例,,,,,第二十三条 支持人民检察院和符合法定条件的社会组织依法提起陆生野生动物保护方面的公益诉讼。
吉林省陆生野生动物保护条例,,,,,第二十四条 各级人民政府、陆生野生动物保护主管部门和其他负有陆生野生动物保护监督管理职责的部门及其工作人员滥用职权玩忽职守、徇私舞弊、弄虚作假的由有权机关依法给予处分。
吉林省陆生野生动物保护条例,,,,,第二十五条 违反本条例的行为法律、行政法规已经规定行政处罚的从其规定构成犯罪的依法追究刑事责任。
吉林省陆生野生动物保护条例,,,,,第二十六条 违反本条例第十一条规定干扰和破坏陆生野生动物生息繁衍的由县级以上陆生野生动物保护主管部门责令停止违法行为并予以警告在陆生野生动物重要栖息地干扰和破坏陆生野生动物生息繁衍且拒不改正的处二千元以上一万元以下罚款。
吉林省陆生野生动物保护条例,,,,,第二十七条 违反本条例第十六条第一项规定未建立陆生野生动物人工繁育档案和统计制度的由县级以上陆生野生动物保护主管部门责令限期改正逾期不改正的处二千元以上五千元以下罚款。
吉林省陆生野生动物保护条例,,,,,第二十八条 本条例自 2024 年 3 月 1 日起施行。
