文件名,编,分编,章,节,内容
吕梁市人民代表大会及其常务委员会立法程序规定,,,第一章 总 则,,第一条 为了规范市人民代表大会及其常务委员会的立法活动提高立法质量发挥立法的引领和推动作用根据《中华人民共和国立法法》和《山西省地方立法条例》等有关法律、法规的规定结合本市实际制定本规定。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第一章 总 则,,第二条 本规定适用于市人民代表大会及其常务委员会制定、修改、废止和解释城乡建设与管理、生态文明建设、历史文化保护、基层治理等方面事项相关地方性法规的活动。根据区域协调发展的需要市人民代表大会及其常务委员会可以适时开展协同立法。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第一章 总 则,,第三条 市人民代表大会及其常务委员会应当加强对立法工作的组织协调发挥在立法工作中的主导作用。市人民代表大会法制委员会应当加强对法规草案的统一审议工作并提出审议结果的报告和草案修改稿其他具体工作由常务委员会相关机构负责。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第一章 总 则,,第四条 规定本市特别重大事项、规范人民代表大会自身活动、规定代表履行职务等的地方性法规应当由市人民代表大会通过。在市人民代表大会闭会期间常务委员会可以对市人民代表大会制定的法规进行部分修改或者补充但不得同该法规的基本原则相抵触。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第二章 编制立法规划、计划,,第五条 常务委员会应当根据本市经济社会发展和民主法治建设的需要编制本届立法规划和年度立法计划。征集立法项目建议由常务委员会负责法制工作委员会具体组织实施。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第二章 编制立法规划、计划,,第六条 国家机关、人民团体、社会组织和公民提出立法项目建议应当提交《立法项目建议书》主要内容包括法规名称、立法依据、立法宗旨和目的、需要解决的主要问题和采取的对策等。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第二章 编制立法规划、计划,,第七条 法制工作委员会应当在市人民代表大会每届任期第一年编制立法规划草案在每年第四季度拟订下一年度立法计划草案经主任会议通过后向社会公布并报省人民代表大会常务委员会。立法规划、立法计划实施过程中因情况变化需要调整的由主任会议决定。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第三章 法规草案的起草,,第八条 列入年度立法计划的法规项目一般由提案人负责起草。综合性、基础性、全局性的重要法规草案可以由市人民代表大会有关专门委员会或者常务委员会有关工作机构组织起草。主任会议可以根据涉及范围和内容需要成立起草小组。必要时也可以委托有关院校、科研单位和专家、学者起草。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第三章 法规草案的起草,,第九条 由政府法制工作机构或者政府有关部门牵头起草法规的市人民代表大会有关专门委员会和常务委员会有关工作机构应当提前参与有关问题的调研、讨论、论证提出意见和建议。
吕梁市人民代表大会及其常务委员会立法程序规定,,,第三章 法规草案的起草,,第十条 法规起草组织应当制定起草工作方案并报送有关的专门委员会和法制工作委员会。承担法规起草任务的有关组织应当按照年度立法计划规定的时间完成起草任务不能按时完成的应当书面向主任会议说明理由。起草法规应当进行调查研究广泛征求意见。
