文件名,编,分编,章,节,内容
吴忠市停车场条例,,,第一章 总 则,,第一条 为了加强停车场规划、建设、使用和管理规范停车秩序改善和优化停车环境提升城市宜居质量根据有关法律、法规结合本市实际制定本条例。
吴忠市停车场条例,,,第一章 总 则,,第二条 本市行政区域内城市规划区以及市、县市、区人民政府确定实行城市化管理区域内停车场的规划、建设、使用和管理等活动适用本条例。公共交通、大型客货运输、危险品运输、工程运输等车辆停放站场的规划、建设和管理不适用本条例。
吴忠市停车场条例,,,第一章 总 则,,第三条 本条例所称停车场包括公共停车场、专用停车场、道路内停车泊位。公共停车场是指在城市道路外为公众提供停车服务的场所包括根据规划独立建设、建筑物配套建设以及临时设置的停车场所。专用停车场是指在城市道路外为特定对象提供停车服务的场所包括机关、企事业单位、社会团体、居民住宅区的停车场所。道路内停车泊位是指在城市道路内设置供机动车临时停放的区域。
吴忠市停车场条例,,,第一章 总 则,,第四条 停车场的规划、建设、使用和管理等活动应当遵循政府主导、社会共治、科学规划、便利高效的原则推动建立以建筑配建停车为主、道路外公共停车为辅、道路内停车为补充的停车保障体系。
吴忠市停车场条例,,,第一章 总 则,,第五条 市人民政府应当加强对本市停车场规划、建设、使用和管理工作的组织领导将停车场纳入城市综合交通体系保障市区规划区停车场资金投入建立停车场管理协调机制协调解决停车场规划、建设与管理中的重大问题。利通区人民政府负责本行政区域内市区规划区以外停车场的规划、建设、使用和管理工作配合做好市区停车场建设和管理工作。红寺堡区、青铜峡市、盐池县和同心县人民政府负责本行政区域内停车场规划、建设、使用和管理工作。乡镇人民政府、街道办事处协助做好辖区内停车场管理工作指导村民委员会、居民委员会社区、业主委员会以及其他有关单位开展停车场管理和服务工作。
吴忠市停车场条例,,,第一章 总 则,,第六条 市、县市、区人民政府城市管理主管部门具体统筹协调停车场规划、建设、使用和管理工作。市城市管理主管部门同时负责市区道路外临时停车场、泊位及非机动车停放点的设置和日常监管。自然资源部门负责停车场项目建设的规划审批、用地保障等工作。住房和城乡建设部门负责停车场建设的监督管理工作监督、指导物业服务企业做好居民住宅区内业主共有区域停车场所管理等工作。公安机关交通管理部门以下简称公安交管部门负责道路内停车泊位设置、施划以及监督管理等工作依法对违规停放车辆进行处理。发改、工业和信息化、财政、交通运输、文化旅游、应急管理、消防救援、市场监管、国有资产管理、国防动员等部门按照各自职责做好停车场管理相关工作。
吴忠市停车场条例,,,第一章 总 则,,第七条 市、县市、区人民政府应当根据停车场的建设需求加大对停车场建设的资金投入并制定鼓励社会投资的政策措施建立多元化投资机制。
吴忠市停车场条例,,,第一章 总 则,,第八条 倡导绿色出行、合理用车鼓励步行、骑行、乘坐公共交通缓解机动车停放压力。倡导本地车辆在节假日、双休日不占或者少占用餐饮集聚街区停车位便利外来消费者停车。
吴忠市停车场条例,,,第二章 规划与建设,,第九条 市、县市、区人民政府城市管理主管部门应当会同发改、自然资源、住房和城乡建设、公安交管、交通运输、国防动员等部门根据国土空间总体规划和城市建设发展需要组织编制停车场专项规划报本级人民政府批准后实施。停车场专项规划应当按照差别化供给和需求调控的基本原则综合考虑土地开发状况、地上地下空间、车辆保有量状况、停车供需矛盾、道路交通承载能力和公共交通服务水平等因素科学确定公共停车场、专用停车场和城市道路内停车泊位的区域布局、设置规模、中长期建设计划、建设时序等内容。停车场专项规划经批准后不得擅自修改。确需修改的按照原审批程序报批。
吴忠市停车场条例,,,第二章 规划与建设,,第十条 自然资源部门根据公共停车场专项规划和公共停车场年度建设项目将土地供应纳入建设用地供应计划予以保障。公共停车场建设应当依法取得土地使用权。市区建成区五千平方米以下的地块以及建筑退线区、边角空地等优先用于设置公共停车场。政府储备土地中应当根据控制性详细规划确保公共停车场建设用地。在符合国土空间规划的前提下可以依法在集体建设用地上建设公共停车场。
吴忠市停车场条例,,,第二章 规划与建设,,第十一条 停车场建设应当遵循基本建设程序。公共停车场建设按照相关规定简化审批手续对小型停车设施项目和利用自有土地建设的停车设施项目实行备案制。
吴忠市停车场条例,,,第二章 规划与建设,,第十二条 新建、改建、扩建的公共建筑、餐饮商业街区、居民住宅区等建设项目以及实施旧城改造和城市更新项目应当按照有关建设项目规划条件和审批的规划建设方案建设停车场。
吴忠市停车场条例,,,第二章 规划与建设,,第十三条 建设公共停车场应当符合国家及自治区规定的设计要求配套建设供电、照明、消防、排水防涝、视频监控、安全防护以及停车引导等设施设置无障碍专用停车泊位。公共停车场、专用停车场应当配建新能源汽车充电设施。新建公共停车场充电设施配建比例不得低于总停车位的 10并根据新能源汽车推广使用情况进行动态调整。鼓励改造既有公共停车场增设新能源汽车充电设施。
吴忠市停车场条例,,,第二章 规划与建设,,第十四条 鼓励在停车需求矛盾突出的区域、居民住宅区和有条件的单位安装或者建设立体停车设施。鼓励利用公交场站、城市广场、公园、绿地等场所的地下空间采用市场化方式投资建设公共停车场但不得影响地上设施的使用功能和安全。
吴忠市停车场条例,,,第二章 规划与建设,,第十五条 市、县市、区人民政府应当组织公安交管、城市管理等部门根据区域停车供需状况、车辆通行条件和道路承载能力制定城市道路内停车泊位设置规则定期组织评估、调整并向社会公布实施。
吴忠市停车场条例,,,第二章 规划与建设,,第十六条 公安交管部门设置、施划道路内停车泊位应当符合下列要求
吴忠市停车场条例,,,第二章 规划与建设,,第十七条 居民住宅区、商业街区、餐饮集聚区等停车供需矛盾突出区域的周边道路具备节假日、夜间等时段停车条件的公安交管部门可以会同城市管理主管部门设置限定时段道路内停车泊位并在现场公示停放路段、停放时段等内容。
吴忠市停车场条例,,,第二章 规划与建设,,第十八条 居民住宅区门口、公共交通换乘站点、学校、幼儿园、医院、公共厕所以及其他临街公共服务单位等停车需求集中的地段公安交管部门应当根据道路交通状况设置机动车临停快走泊位。新建交通客运换乘场站、学校、医院及其他客流集中的公共场所应当在项目用地内设置落客区便于机动车临时停靠上下乘客。
吴忠市停车场条例,,,第二章 规划与建设,,第十九条 居民住宅区现有停车场不能满足业主停车需要的在不影响消防安全、道路通行的前提下经业主依法共同决定可以在共有部分的场地、道路划定业主共有的停车位。在居民住宅区施划停车泊位不得减损公共绿化面积不得妨碍通行、影响居民正常生活。
