文件名,编,分编,章,节,内容
呼和浩特市大气污染防治条例,,,第一章 总 则,,第一条 为了保护和改善环境防治大气污染保障公众健康推进生态文明建设促进经济社会高质量发展根据《中华人民共和国环境保护法》《中华人民共和国大气污染防治法》《内蒙古自治区大气污染防治条例》等有关法律、法规结合本市实际制定本条例。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内的大气污染防治及其监督管理活动。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第三条 防治大气污染应当坚持中国共产党的领导以铸牢中华民族共同体意识为工作主线以改善大气环境质量为目标坚持政府主导、区域联动规划先行、预防为主源头治理、综合施治社会参与、损害担责的原则。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第四条 各级人民政府对本行政区域内的大气环境质量负责。市和旗县区人民政府应当将大气污染防治工作纳入本级国民经济和社会发展规划加大对大气污染防治的财政投入转变经济发展方式和社会生活方式加强大气污染综合防治开展区域协同治理。开发区管理机构根据市人民政府规定负责其区域内大气污染防治监督管理工作。乡镇人民政府和街道办事处根据市人民政府的规定督促辖区内企业事业单位和其他生产经营者落实大气污染防治措施。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第五条 市人民政府对本行政区域内大气环境质量改善目标和大气污染防治重点任务完成情况实施考核考核结果应当向社会公开。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第六条 市人民政府生态环境主管部门对本行政区域内的大气污染防治实施统一监督管理。发展改革、工业和信息化、公安、住房和城乡建设、自然资源、城市管理、交通运输、农牧、市场监督管理、林业和草原、园林等有关部门在各自职责范围内对大气污染防治实施监督管理。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第七条 任何单位和个人都有保护大气环境的义务并有权对污染和破坏大气环境的单位和个人进行检举和控告。
呼和浩特市大气污染防治条例,,,第一章 总 则,,第八条 市和旗县区人民政府对在防治大气污染、保护和改善大气环境工作中做出显著成绩的单位和个人按照国家和自治区有关规定给予表彰和奖励。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第九条 市和旗县区人民政府应当支持企业加快技术改造进度采用能源利用效率高、污染物排放少的清洁生产工艺和先进设备淘汰落后的生产工艺和严重污染大气环境的落后设备加快重点行业超低排放改造减少大气污染物的产生。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十条 依照法律规定实行排污许可管理的企业事业单位和其他生产经营者应当依法取得排污许可证并按照排污许可证的规定排放污染物。按照国家或者自治区大气污染防治要求需要执行更严格排放要求的企业事业单位和其他生产经营者应当及时变更排污许可证。企业事业单位和其他生产经营者在大气污染物排放符合法定要求的基础上进一步减少大气污染物排放的市和旗县区人民政府应当依法予以鼓励和支持。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十一条 企业事业单位和其他生产经营者向大气排放污染物的应当按照国家和自治区规定设置大气污染物排放口及其标志并确保大气污染防治设施正常运行。禁止通过偷排、篡改或者伪造监测数据、以逃避现场检查为目的的临时停产、非紧急情况下开启应急排放通道、不正常运行大气污染防治设施等逃避监管的方式排放大气污染物。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十二条 城市、村镇建设规划应当按照保护大气环境的要求统筹规划合理布局划区内的建设项目布局应当满足生态环境分区管控方案中保护大气环境的要求围和建设控制地带以及饮用水水源保护区等其他需要特殊保护的区域内禁止建设污染大气环境的工业生产设施建设其他设施的应当使用煤气、液化气或者电能等清洁能源。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十三条 市人民政府生态环境主管部门依法对管辖范围内的排污单位进行现场检查被检查单位应当如实反映情况提供必要的资料。检查部门应当为被检查单位保守商业秘密。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十四条 市人民政府生态环境主管部门负责组织建设与管理大气环境质量和大气污染源监测网开展大气环境质量和大气污染源监测发布环境空气质量状况公报、环境空气质量日报等大气环境质量状况信息。
呼和浩特市大气污染防治条例,,,第二章 大气污染防治监督管理,,第十五条 市人民政府生态环境主管部门和其他负有大气污染防治监督管理职责的部门应当加强工业源、移动源和扬尘源等大气污染防治的信息化建设统一接入大气环境质量和大气污染源监测网实现信息数据共享。市人民政府生态环境主管部门应当建立重污染天气应对机制提出空气质量改善目标建立智慧监管平台。其他负有大气污染防治监督管理职责的部门应当利用智慧监管平台强化违法监督将污染大气环境以及不执行季节性大气环境质量保障管控措施、重污染天气应急措施、国家组织重大活动的应急措施等环境违法行为纳入社会诚信档案并及时向社会公布。
