文件名,编,分编,章,节,内容
唐山市农村集体资产管理条例,,,第一章 总 则,,第一条 为加强农村集体资产管理保护农村集体资产所有者、经营者的合法权益促进农村经济的健康发展根据《中华人民共和国农业法》、《河北省农村集体资产管理条例》和有关法律、法规的规定结合本市实际制定本条例。
唐山市农村集体资产管理条例,,,第一章 总 则,,第二条 本条例所称农村集体资产是指属于乡镇、村集体经济组织全体成员集体所有的资产。本条例所称农村集体经济组织是指乡镇、村农民以生产资料及其他资产为基础按照集体所有制形式建立的独立核算的经济组织。
唐山市农村集体资产管理条例,,,第一章 总 则,,第三条 本条例适用于本市行政区域内乡镇、村集体经济组织的集体资产管理。
唐山市农村集体资产管理条例,,,第一章 总 则,,第四条 农村集体经济组织是农村集体资产管理的主体依法享有对其所有的集体资产的经营管理权。各乡镇、村应当依法建立集体经济组织健全和完善集体资产管理制度。
唐山市农村集体资产管理条例,,,第一章 总 则,,第五条 农村集体资产属于该集体经济组织的全体成员集体所有。农村集体经济组织成员对本组织的资产有经营、监督、管理的权利和保护的义务。
唐山市农村集体资产管理条例,,,第一章 总 则,,第六条 市、县市区人民政府农牧农经行政主管部门以下统称农经管理部门是本行政区域内农村集体资产管理工作的主管部门。各级农经管理部门和乡镇人民政府负责对本行政区域内的农村集体资产管理工作进行统一指导和监督其主要职责是资产管理制度督和检查作并对农村集体资产的经营活动进行监督检查计和监督本省的有关规定进行资产增量投向监测考核和任职资格审查各级人民政府国土资源、水务、林业和其他有关部门按照各自的职责依法对农村集体资产管理的有关工作进行指导和监督。
唐山市农村集体资产管理条例,,,第二章 农村集体资产所有权,,第七条 农村集体经济组织所有的资产包括水面和滩涂等自然资源矿设施、乡村道路和教育、科技、文化、卫生、体育设施等通工具、通讯工具、办公用具等果树等制企业、中外合资合作企业以及联合兴办的其他产业或者集资建设的项目中的投资份额及相应的增值资产经济组织资助、补贴减免的税、费和捐赠的财物等所形成的资产权、债务等无形资产
唐山市农村集体资产管理条例,,,第二章 农村集体资产所有权,,第八条 禁止任何单位和个人侵占、哄抢、挪用、私分、损坏、平调农村集体资产。
唐山市农村集体资产管理条例,,,第二章 农村集体资产所有权,,第九条 农村集体资产所有权的权属纠纷由当事人协商解决。协商不成的由当地人民政府协调处理也可以直接向人民法院提起诉讼但法律、法规另有规定的除外。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十条 乡村两级农村集体经济组织应当建立健全集体资产经营管理制度按照有关法律、法规规范经营行为确保集体资产安全运营保值增值。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十一条 农村集体资产由农村集体经济组织自主经营。农村集体资产经营采取所有权与经营权分离方式的应当依法签订书面合同。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十二条 农村集体资产实行租赁、非统一承包经营或者出售的应当采取招标、投标、拍卖的方式。禁止利用职权压价发包、出租、出售集体资产。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十三条 集体资产经营者开发、利用土地、山林、水面、滩涂等自然资源的应当遵守有关法律、法规的规定和合同的约定。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十四条 农村集体经济组织以参股、联营、股份合作、中外合资、中外合作方式经营集体资产的应当进行清产核资清理债权、债务并依法签订书面合同。
唐山市农村集体资产管理条例,,,第三章 农村集体资产经营,,第十五条 农村土地承包经营权可以在依法、自愿、有偿的原则下进行流转。
唐山市农村集体资产管理条例,,,第四章 农村集体资产管理,,第十六条 农村集体经济组织实行民主管理其权力机构是成员会议或者成员代表会议其执行机关是由权力机构选举产生的管理委员会其监督机构是农村集体资产民主监督小组。农村集体经济组织按照《河北省农村集体资产管理条例》第十一条的规定履行对集体资产的管理职责。农村集体资产民主监督小组按照《河北省农村集体资产管理条例》第二十三条的规定履行职责。农村集体资产民主监督小组在审核重大开支项目中与管理委员会发生矛盾无法解决时应当由其中一方提请召开集体经济组织成员会议或者成员代表会议讨论表决。各级农经管理部门和乡镇人民政府可以派代表列席集体经济组织成员会议或者成员代表会议。
唐山市农村集体资产管理条例,,,第四章 农村集体资产管理,,第十七条 农村集体经济组织的下列事项必须经其成员会议或者成员代表会议表决半数以上通过前款事项涉及集体资产所有权取得、变更、丧失的应当在农村集体经济组织成员会议或者成员代表会议通过之日起三十日内向乡镇人民政府备案。
唐山市农村集体资产管理条例,,,第四章 农村集体资产管理,,第十八条 农村集体经济组织应当建立健全固定资产登记、保管和使用制度。对资产存量及变动情况的登记应当及时、准确做到帐物相符。
唐山市农村集体资产管理条例,,,第四章 农村集体资产管理,,第十九条 农村集体经济组织应当严格执行固定资产折旧制度对集体生产经营性固定资产要按照国家的有关规定定期提取折旧费。
