文件名,编,分编,章,节,内容
唐山市社会信用建设促进条例,,,第一章 总 则,,第一条 为了促进社会信用建设创新社会治理机制优化营商环境提高全市社会诚信意识和信用水平弘扬社会主义核心价值观根据有关法律、法规结合本市实际制定本条例。
唐山市社会信用建设促进条例,,,第一章 总 则,,第二条 本市行政区域内促进社会信用环境建设、信用信息应用、信用监管与服务、信用主体权益保护等相关活动适用本条例。本条例所称社会信用是指信用主体在社会和经济活动中履行法定义务或者约定义务的状态。
唐山市社会信用建设促进条例,,,第一章 总 则,,第三条 社会信用建设应当遵循党的领导、政府推动、共建共享、依法依规、权益保障的原则。
唐山市社会信用建设促进条例,,,第一章 总 则,,第四条 市、县级人民政府应当加强对社会信用建设工作的领导纳入国民经济和社会发展规划和年度计划建立健全协调机制研究决定社会信用建设中的重大事项所需经费列入同级财政预算。
唐山市社会信用建设促进条例,,,第一章 总 则,,第五条 市、县级人民政府行政审批部门是社会信用主管部门负责本行政区域内社会信用建设工作的综合协调和监管服务。发展改革、财政、公安、教育、生态环境、住房和城乡建设、交通运输、市场监管、地方金融监管、应急管理、工业和信息化、卫生健康、商务、司法行政、民政、税务等部门和人民法院、人民检察院、中国人民银行唐山市中心支行应当在各自职责范围内做好社会信用建设工作。
唐山市社会信用建设促进条例,,,第一章 总 则,,第六条 本市配合国家和省有关部门做好信用信息互联互通和信息共享工作逐步建立区域信用合作机制促进与周边区域的信用信息共享和信用评价结果互认加强跨区域联合激励和惩戒。
唐山市社会信用建设促进条例,,,第一章 总 则,,第七条 鼓励、引导社会力量参与社会信用建设增强守法履约意识弘扬诚信文化共同提升全社会诚信意识和信用水平。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第八条 健全社会信用体系统筹推进政务诚信、商务诚信、社会诚信和司法公信建设倡导和褒扬诚实守信依法对失信行为进行惩戒。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第九条 各级人民政府及其有关部门应当依法履行职责建立健全守信践诺、诚信评价、失信问责等机制加强招商引资、政府采购、政府债务、与社会资本合作、招标投标、拖欠治理等重点领域政务诚信建设。对依法作出的政策承诺和签订的各类合同应当认真履约和兑现不得以机构调整、人员变动等理由违约毁约。因国家利益、公共利益或者其他法定事由需要改变政策承诺、合同约定的应当依照法定权限和程序进行并依法对相关市场主体的财产损失予以补偿。公务人员应当提高诚信履职意识不得在履职过程中违反政务诚信建设要求。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十条 各类市场主体应当在社会和经济活动中恪守诚实信用原则依法诚信经营尊重契约精神履行合同义务遵守信用承诺。安全生产、环境保护、诚信纳税、工程建设、产品质量、电子商务、流通服务和社会中介等重点领域的行业主管部门应加强信用建设健全行业信用记录和从业人员信用档案完善重点领域从业人员信用约束机制。支持行业协会、商会按照法律、法规和章程视情节轻重对失信会员实行业内警告、通报批评、降低会员级别、取消会员资格等惩戒措施。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十一条 司法机关应当加强司法公信建设加大司法公开力度提高司法公信力维护法律权威和社会公平正义。审判机关应当依法公正审理案件、惩治虚假诉讼推进案件信息公开依法披露失信被执行人信息定期发布重大失信典型案例建立健全失信被执行人名单退出机制完善执行联动机制提高生效法律文书执行兑现率。检察机关应当创新检务公开的手段和途径充分发挥法律监督职能作用依法通过公益诉讼等方式加强对食品药品安全、生态环境和资源保护、国有资产保护、国有土地使用权出让、英雄烈士权益保护等重点领域违法失信行为的法律监督促进诚信建设。公安机关应当全面推行阳光执法依法及时公开执法办案的制度规范、程序时限等信息加强社会治安、道路交通安全、移民出入境、网络安全管理。司法行政机关应当加强戒毒场所、社区矫正机构的规范化、制度化管理加强司法服务机构、司法服务人员诚信建设推进司法行政信息公开。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十二条 加强诚信文化建设推动形成崇尚诚信、践行诚信的良好风尚营造公平诚信的社会环境。引导行业协会、商会加强诚信自律支持新闻媒体开展诚信宣传和舆论监督鼓励社会公众积极参与诚信建设活动。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十三条 国家机关、企事业单位应当采取公益性培训、信用知识解读等方式宣传普及社会信用知识并把诚信教育纳入本系统、本单位在职人员、重点人群的日常教育、管理活动增强诚信意识提高信用主体的信用风险意识和信用管理能力。教育行政部门应当坚持立德树人将诚信教育作为学校德育的重要内容普及社会信用知识。支持有条件的高等学校、中等职业院校设置相关专业或者开设相关课程开展信用建设理论、技术、标准等方面研究。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十四条 市、县级人民政府应当建立健全公共信用信息平台依法汇集社会信用信息促进社会信用信息跨部门、跨领域、跨区域互联互通、共享共用树立诚信典范开展信用建设示范城市、示范县、诚信企业等创建活动推广信用建设、信用管理和信用惠民等方面的创新经验。社会信用信息是指可用于识别信用主体信用状况的客观数据和资料包括公共信用信息和非公共信用信息。
唐山市社会信用建设促进条例,,,第二章 信用环境建设,,第十五条 社会信用主管部门应当建立健全个人诚信积分管理制度。依据省个人诚信积分基础指标体系形成本辖区内个人诚信积分指标体系和计算标准建立个人诚信积分模型定期生成个人诚信积分计算结果并动态更新拓展个人守信激励场景。社会信用主管部门根据法律、法规或者国家有关规定对市场主体开展公共信用综合评价。国家机关、法律法规授权的具有管理公共事务职能的组织可以建立本行业、本领域信用评价机制对监管对象开展行业信用评价。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第十六条 公共信用信息是指国家机关、法律法规授权的具有管理公共事务职能的组织、人民团体统称公共信用信息提供主体在依法履行职责和提供公共服务过程中产生、获取的信用信息。公共信用信息实行目录管理制度。市社会信用主管部门会同有关部门根据法律、法规和国家、省公共信用信息目录在广泛征求相关市场主体、行业协会、专家学者以及社会公众意见后编制、更新公共信用信息补充目录报本级人民政府批准后向社会公布。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第十七条 公共信用信息提供主体应当按照公共信用信息目录及时、准确地向公共信用信息平台报送信息并对所提供信用信息的合法性、真实性、准确性和完整性负责。公共信用信息提供主体发现其提供的信息存在错误、遗漏的应当及时更正并将更正后的信息及时报送市社会信用主管部门。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第十八条 公共信用信息分类包括基础信息、良好信息、失信信息和其他信息。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第十九条 自然人的基础信息包括身份识别信息和记载信用基本情况的信息。法人和非法人组织的基础信息包括统一社会信用代码和记载信用基本情况的信息。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十条 自然人、法人和非法人组织的良好信息包括下列内容织等授予的表彰奖励等信息
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十一条 失信信息是指全国公共信用信息基础目录和地方公共信用信息补充目录中所列的对信用主体信用状况具有负面影响的信息包括严重失信主体名单信息、行政处罚信息和其他失信信息。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十二条 自然人、法人和非法人组织的其他信息包括下列内容的其他信息。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十三条 公共信用信息提供主体在履行法定职责、提供公共服务过程中依据有关法律、法规对照公共信用信息目录对信用主体行为是否属于失信行为进行认定。失信行为经认定后应当将失信信息记入信用档案。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十四条 认定失信行为应当以下列具有法律效力的文书为依据依据的其他文书。对不可抗力导致的违法违约行为以及非主观故意、轻微违法违约行为是否属于失信行为应当宽容审慎进行认定、记录。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十五条 严重失信主体名单的设列应当以法律、法规为直接依据不得擅自增加或者扩展并限制在下列范围内信力的对被征用的民用资源进行改造危害国防利益和破坏国防设施等拒不履行国防义务的
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十六条 公共信用信息提供主体按照本条例第二十五条的规定认定严重失信主体名单应当以具有法律效力的文书作为认定依据并遵守下列程序预警告知拟作出决定的事由、依据和当事人依法享有的权利三个工作日内予以标注、核实并依据相关规定反馈结果。信用主体要求听证的公共信用信息提供主体应当依法安排听证失信惩戒措施提示、移出条件和程序以及救济措施等内容信用档案。法人和非法人组织被列入严重失信主体名单的公共信用信息提供主体应当在负有责任的法定代表人、主要负责人和其他直接负责人的个人信用档案中同步标注。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十七条 市、县级人民政府应当按照国家、省和市有关规定在行政许可、财政资金和项目支持、公共资源交易、公共服务等方面根据信用信息和信用评价结果信息对诚实守信的信用主体采取激励措施编制守信激励措施清单并公布。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十八条 国家机关和法律、法规授权的具有管理公共事务职能的组织对具有良好信用记录的信用主体采取下列激励措施等便利等条件下列为优先选择对象降低保证金比例考虑、给予信用加分等措施便利
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第二十九条 鼓励行政机关、企事业单位、人民团体、社会组织在提供公共服务过程中加强与相关企业和信用服务机构的合作对社会信用状况良好的信用主体给予优惠便利。信用服务机构是指依法设立从事信用评级、咨询、风险控制等相关经营性活动向社会提供信用产品的专业服务机构。鼓励行业协会、商会依据章程对信用状况良好的会员采取重点推荐、表扬奖励、提升会员级别等激励措施。鼓励金融机构在提供金融产品和服务中本着有利于节约资源、保护生态环境、促进绿色金融发展的理念对信用状况良好的信用主体给予优惠便利。鼓励市场主体对信用状况良好的信用主体采取给予优惠便利、增加交易机会等降低交易成本措施对失信主体采取取消优惠便利、提高保证金等增加交易成本措施。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第三十条 失信惩戒措施实行清单管理。失信惩戒措施清单包括全国失信惩戒措施基础清单和省、市失信惩戒措施补充清单。市社会信用主管部门会同其他有关部门依法编制、更新本市失信惩戒措施补充清单经依法审定后向社会公布。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第三十一条 本市失信惩戒措施补充清单确定的惩戒措施应当限制在下列范围施中予以限制或者取消。目或者予以提高保证金比例相应减分等措施象提高抽查比例、增加检查频次加强现场检查得的表彰奖励或者荣誉依法予以撤销
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第三十二条 实施失信惩戒应当以法律、法规和失信惩戒措施清单为依据与失信情形相关联与失信行为的性质、领域、情节和社会危害程度相当。禁止在法律、法规外擅自扩大清单内惩戒对象范围、增设失信惩戒措施或者在法定惩戒标准上加重惩戒。
唐山市社会信用建设促进条例,,,第三章 信用信息应用,,第三十三条 非公共信用信息是指信用服务机构、行业协会、商会及其他企事业单位和社会组织统称非公共信用信息提供主体在提供服务、生产经营活动或者行业自律管理等活动中产生或者获取的社会信用信息以及信用主体以声明、自愿注册、自主申报、社会承诺等形式提供的自身社会信用信息。非公共信用信息由非公共信用信息提供主体依法记录并根据信用主体的意愿推送至公共信用信息平台。非公共信用信息的分类、评价、归集、更正等由非公共信用信息提供主体依法依规自主制定。信用主体可以通过声明、自愿注册、自主申报等形式向公共信用信息平台、信用服务机构、行业协会、商会和其他企事业单位提供自身的非公共信用信息。
