文件名,编,分编,章,节,内容
嘉兴市餐饮业油烟管理办法,,,,,第一条 为了加强餐饮业油烟污染防治保护和改善环境保障公众健康促进经济社会可持续发展根据有关法律、法规结合本市实际制定本办法。
嘉兴市餐饮业油烟管理办法,,,,,第二条 本市城市建成区和实行城市化管理的区域餐饮业油烟污染防治及其相关监督管理适用本办法。
嘉兴市餐饮业油烟管理办法,,,,,第三条 生态环境部门负责餐饮业油烟污染防治的统一监督管理。综合行政执法部门负责餐饮业油烟污染的行政处罚以及执法检查等工作。财政、自然资源和规划、住房和城乡建设、商务、市场监督管理等部门应当按照各自职责做好餐饮业油烟管理相关工作。镇人民政府、街道办事处应当会同有关部门做好餐饮业油烟管理相关工作。1
嘉兴市餐饮业油烟管理办法,,,,,第四条 餐饮业行业协会应当加强行业自律规范行业行为发挥引导、服务作用积极推广使用餐饮业油烟污染防治的先进技术。
嘉兴市餐饮业油烟管理办法,,,,,第五条 禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟的餐饮服务项目。出售、出租、出借前款规定的物业应当明确告知禁止用于开设产生油烟的餐饮服务项目。
嘉兴市餐饮业油烟管理办法,,,,,第六条 市场监督管理部门在核准登记涉及第五条第一款规定的餐饮服务项目营业执照时应当在营业执照经营范围后标注对集中行政审批权的部门标注。
嘉兴市餐饮业油烟管理办法,,,,,第七条 新建、改建、扩建餐饮服务项目应当符合国家餐饮业环境保护技术规范。餐饮业经营者应当依法填报建设项目环境影响登记表并向生态环境部门备案。生态环境部门应当加强对备案的监督检查。
嘉兴市餐饮业油烟管理办法,,,,,第八条 产生油烟的餐饮服务项目应当按照国家餐饮业油烟污染物排放标准经过油烟净化设施处理排放油烟。餐饮业经营者应当及时清洗维护油烟净化设施、烟道保持正常使用如实记录清洗维护信息信息保存期限不少于两年。
嘉兴市餐饮业油烟管理办法,,,,,第九条 生态环境部门应当建立餐饮业油烟在线监控系统平台加强对餐饮业油烟净化设施运行情况的监督管理。生态环境部门应当实时将油烟在线监控设施运行情况共享给有关部门。
嘉兴市餐饮业油烟管理办法,,,,,第十条 违反本办法规定的行为法律、法规已有法律责任规定的从其规定。
嘉兴市餐饮业油烟管理办法,,,,,第十一条 违反本办法第五条第一款规定新建、改建、扩建产生油烟的餐饮服务项目的由综合行政执法部门责令改正拒不改正的予以关闭并处一万元以上十万元以下罚款。
嘉兴市餐饮业油烟管理办法,,,,,第十二条 违反本办法第五条第二款规定未履行告知义务的由综合行政执法部门给予警告可以并处一万元以下罚款。
嘉兴市餐饮业油烟管理办法,,,,,第十三条 违反本办法第七条第二款规定未依法向生态环境部门备案的由生态环境部门责令改正处五万元以下罚款。
嘉兴市餐饮业油烟管理办法,,,,,第十四条 违反本办法第八条第一款规定未经过油烟净化设施处理排放油烟的由综合行政执法部门责令改正处五千元以上五万元以下罚款拒不改正的责令停业整治。
嘉兴市餐饮业油烟管理办法,,,,,第十五条 有关部门及其工作人员违反本办法规定在餐饮业油烟管理工作中玩忽职守、滥用职权、徇私舞弊的由有权机关依法给予处分。
嘉兴市餐饮业油烟管理办法,,,,,第十六条 餐饮业异味、废气污染防治及其相关监督管理按照本办法执行。3
嘉兴市餐饮业油烟管理办法,,,,,第十七条 本办法自 2020 年 7 月 1 日起施行。
