文件名,编,分编,章,节,内容
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第一条 为了贯彻男女平等基本国策保障妇女的合法权益根据《中华人民共和国妇女权益保障法》和有关法律、法规的规定结合四川实际制定本办法。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第二条 妇女在政治权利、文化教育权益、劳动和社会保障权益、人身权利、婚姻家庭财产权益等方面与男子一律平等。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第三条 县级以上地方各级人民政府应当根据《中国妇女发展纲要》和《四川省妇女发展纲要》制定本行政区域的妇女发展规划并将其纳入国民经济和社会发展计划。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第四条 保障妇女合法权益是全社会的共同责任。国家机关、社会团体、企业事业单位和城乡基层群众性自治组织应当按照《中华人民共和国妇女权益保障法》和本办法的规定保障妇女合法权益。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第五条 地方各级人民政府应当重视和加强妇女权益的保障工作。县级以上地方各级人民政府妇女儿童工作机构负责组织、协调、指导、督促有关部门做好妇女权益的保障工作其工作经费由同级人民政府予以保障。县级以上地方各级人民政府有关部门在各自的职责范围内做好妇女权益的保障工作。乡镇人民政府和城市街道办事处应当有专人负责妇女权益保障工作。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第六条 地方各级妇女联合会代表和维护妇女的利益协助地方各级人民政府做好妇女权益保障工作。工会、共产主义青年团以及其它社会团体应当在各自的职责范围内做好妇女权益的保障工作。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第七条 居民委员会和村民委员会应当协助城市街道办事处或者乡镇人民政府做好妇女权益保障工作。居民委员会和村民委员会在制定居民公约、村规民约等规章制度中不得有歧视妇女和损害妇女合法权益的内容。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第一章 总 则,,第八条 地方各级人民政府鼓励和教育妇女自尊、自信、自立、自强运用法律维护自身的合法权益。地方各级人民政府文化行政主管部门及新闻媒体应当积极做好妇女权益保障的宣传工作。妇女应当遵守国家法律维护社会公德履行法律所规定的义务。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第二章 政治权利,,第九条 地方各级人民代表大会换届时省、市州人民代表大会代表候选人中妇女比例一般不低于 25 县市、区、乡镇人民代表大会代表候选人中妇女比例一般不低于 22并逐步提高妇女代表比例。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第二章 政治权利,,第十条 国家机关、社会团体、企业、事业单位应当积极培养和选拔妇女干部。在选拔任用干部时应当坚持男女平等的原则。县级以上地方各级人民代表大会常务委员会和各级人民政府领导成员中应当有一名以上女性。民族自治地方的自治机关应当根据有关法律、法规结合本地实际重视培养和选拔少数民族妇女干部。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第二章 政治权利,,第十一条 职工代表大会和工会委员会中女代表、女委员候选人的比例应当与本单位的女职工比例相适应。女职工满二十五人的基层工会委员会设女职工委员会女职工不足二十五人的设女职工委员依法保护女职工的合法权益。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第二章 政治权利,,第十二条 村民委员会和城镇居民委员会成员中妇女应当有适当的名额。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第二章 政治权利,,第十三条 各级妇女联合会及其团体会员应当有计划地推荐妇女干部。国家机关、社会团体、企业、事业单位要尊重妇女组织的推荐意见。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十四条 地方各级人民政府应当重视发展妇女的文化、教育和体育事业开展文化、教育、体育活动提高妇女自身素质。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十五条 国家机关、社会团体、企业事业单位应当为妇女接受文化教育提供机会、创造条件。在入学、升学、出国留学、授予学位等方面不得对妇女作歧视性的规定。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十六条 地方各级人民政府应当依法保障适龄女童平等地接受义务教育。各类学校在招收新生时除国家规定的特殊专业外不得对女生附加条件不得提高女生的录取分数线或者限制女生录取比例。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十七条 父母或其他监护人必须保证适龄女童入学接受义务教育。适龄女童因患疾病或者其他特殊情况需要免予入学、延缓入学的应当由其父母或者其他监护人提出申请经县级以上教育主管部门或者乡镇人民政府批准患疾病的还应当出具县级以上教育主管部门指定的医疗卫生机构的证明。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十八条 各类学校应当根据女性青少年的特点进行青春期生理、心理和自我保护等方面的常识教育。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第十九条 国家机关、社会团体、企业事业单位女职工参加进修、接受成人教育和职业技能培训享有与男职工同等的权利。女职工获得劳动模范、先进生产工作者、三八红旗手等荣誉称号在同等条件下可优先参加进修、接受成人教育和职业技能培训。
四川省《中华人民共和国妇女权益保障法》实施办法,,,第三章 文化教育权益,,第二十条 地方各级人民政府应当督促有关部门将扫除妇女文盲、半文盲的工作纳入成人教育总体规划并制定年度实施计划。为女性文盲、半文盲在规定的脱盲期限内参加扫盲学习达到脱盲标准创造条件。地方各级人民政府和有关部门应当根据城乡妇女提高职业素质的需要采取有效措施组织妇女接受职业教育和技能培训。
