文件名,编,分编,章,节,内容
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第一条 为实施《中华人民共和国母婴保健法》和《中华人民共和国母婴保健法实施办法》保障母亲和儿童健康提高出生人口素质结合本省实际制定本实施办法。
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第二条 在四川省行政区域内从事母婴保健服务活动的机构及其人员应当遵守本实施办法。
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第三条 母婴保健工作坚持以保健为中心以保障生殖健康为目的实行保健与临床相结合面向群体、面向基层和预防为主的方针。母婴保健实行国家指导与自我保健相结合的原则。公民享有母婴保健的知情选择权。国家保障公民获得适宜的母婴保健服务的权利。母婴保健事业的投入以国家为主集体、个人共同参与。
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第四条 母婴保健技术服务主要包括下列事项
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第五条 县级以上地方人民政府领导本行政区域内的母婴保健工作将母婴保健事业纳入本行政区域国民经济和社会发展计划逐步增加对母婴保健事业的投入并设立母婴保健专项资金对少数民族地区、边远、贫困地区的母婴保健事业给予扶持在本省行政区域内推行母婴保健保偿制度。鼓励、支持母婴保健领域的教育和科学研究推广先进、实用的母婴保健技术普及母婴保健科学知识。
四川省《中华人民共和国母婴保健法》实施办法,,,第一章 总 则,,第六条 县级以上地方人民政府卫生行政部门主管本行政区域内的母婴保健工作制定母婴保健工作发展规划和计划组织推广母婴保健及其他生殖健康的适宜技术对母婴保健工作实行分级分类指导并实施监督管理。县级以上地方人民政府的财政、民政、公安、教育、劳动保障、计划生育等部门在各自职责范围内配合卫生行政部门共同做好母婴保健工作。工会、共青团、妇联等组织应协助卫生行政部门做好母婴保健工作。
四川省《中华人民共和国母婴保健法》实施办法,,,第二章 技术服务的许可和发证,,第七条 依照国务院《医疗机构管理条例》和《四川省医疗机构管理条例》取得县级以上卫生行政部门医疗机构执业许可的各级妇幼保健院及其他医疗机构方可承担规定范围内的母婴保健服务任务。
四川省《中华人民共和国母婴保健法》实施办法,,,第二章 技术服务的许可和发证,,第八条 医疗保健机构按本实施办法规定开展婚前医学检查的由市包括州下同级卫生行政部门许可省卫生行政部门直属机构开展婚前医学检查的由省卫生行政部门许可或者由其委托市级卫生行政部门许可。
四川省《中华人民共和国母婴保健法》实施办法,,,第二章 技术服务的许可和发证,,第九条 医疗保健机构按本实施办法规定施行结扎、终止妊娠手术、助产技术及其他生殖保健服务的由同级卫生行政部门许可。
四川省《中华人民共和国母婴保健法》实施办法,,,第二章 技术服务的许可和发证,,第十条 医疗保健机构按本实施办法规定开展遗传病诊断和产前诊断的由省卫生行政部门许可。
四川省《中华人民共和国母婴保健法》实施办法,,,第二章 技术服务的许可和发证,,第十一条 经许可的医疗保健机构由卫生行政部门颁发专项技术服务许可证其专业技术人员经考核具备相应资质的由卫生行政部门颁发专项技术服务合格证。许可和发证的具体办法由省卫生行政部门制定。
四川省《中华人民共和国母婴保健法》实施办法,,,第三章 婚前保健,,第十二条 医疗保健机构应当提供婚前卫生指导、卫生咨询和医学检查服务。医疗保健机构应当在边远山区、少数民族地区开展巡回婚前保健服务。
四川省《中华人民共和国母婴保健法》实施办法,,,第三章 婚前保健,,第十三条 婚前医学检查的具体办法由省人民政府按国家有关规定制定并组织实施。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十四条 医疗保健机构应当为孕产妇提供孕产期医疗保健服务。其主要内容是识教育产前检查记录检查结果和咨询健服务
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十五条 医疗保健机构发现孕妇患有下列严重疾病或者接触物理、化学、生物等有毒、有害因素可能危及孕妇生命安全或者可能严重影响孕妇健康和胎儿正常发育的应当对孕妇进行医学指导和医学检查病。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十六条 孕妇有下列情形之一的应当接受产前诊断儿的
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十七条 生育过严重遗传性疾病或者严重缺陷患儿的妇女或者夫妻一方属遗传疾病可疑者妊娠前应当到省卫生行政部门审批的医疗保健机构进行医学检查和咨询。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十八条 医疗保健机构依据本实施办法的规定进行的医学检查应当向当事人说明情况并出具医学检查意见。当事人应当依据检查意见采取避孕、节育、不孕等相应的医学措施。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第十九条 依照《中华人民共和国母婴保健法》第十八条、第十九条的规定接受终止妊娠手术或者结扎手术的应按国家规定享受休假休假视为出勤手术费用按国家有关规定执行。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第二十条 推行住院分娩。高危孕妇应当在有条件的医疗保健机构住院分娩。不能住院分娩的孕妇应当由经过培训、具备相应接生能力的接生人员实行消毒接生。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第二十一条 医疗保健机构依据接生人员签署的出生医学记录出具国家统一制发的出生医学证明并加盖接生单位的出生医学证明专用章。家庭接生的由接生员签署出生医学记录乡镇卫生院出具出生医学证明。在途中出生的由其户籍所在地医疗保健机构审核后出具出生医学证明。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第二十二条 新生儿申报户口须持有出生医学证明。户口登记机关凭出生医学证明办理出生登记手续。
四川省《中华人民共和国母婴保健法》实施办法,,,第四章 孕产期保健,,第二十三条 严禁采用技术手段对胎儿进行性别鉴定。医疗保健机构认为医学上确需进行胎儿性别鉴定的必须由县级以上医学技术鉴定委员会出具意见由同级卫生行政部门批准到省级卫生行政部门指定的医疗保健机构进行鉴定。
四川省《中华人民共和国母婴保健法》实施办法,,,第五章 儿童保健,,第二十四条 推行母乳喂养。医疗保健机构应当为母乳喂养提供技术指导和必要条件提高婴儿母乳喂养率。实行纯母乳喂养的女职工增加一个月产假产假视为出勤。各单位不得安排哺乳期女职工从事国家规定的三级体力劳动强度的劳动和哺乳期禁忌从事的劳动并为女职工哺乳提供条件。
四川省《中华人民共和国母婴保健法》实施办法,,,第五章 儿童保健,,第二十五条 医疗保健机构应当为七周岁以下儿童提供医疗保健服务。其主要内容是康生长发育等科学知识预防接种
四川省《中华人民共和国母婴保健法》实施办法,,,第五章 儿童保健,,第二十六条 医疗保健机构应当按照国家有关规定逐步开展新生儿先天性、遗传性代谢病筛查、诊断、治疗和监测。
四川省《中华人民共和国母婴保健法》实施办法,,,第五章 儿童保健,,第二十七条 医疗保健机构应当对托幼园、所卫生保健工作进行业务技术指导对从事婴幼儿看护、保教的人员进行业务培训。从事婴幼儿看护、保教的人员从业前和从业期间应当按照国家有关规定进行健康检查。患有国家法定传染病、滴虫性及霉菌性阴道炎、化脓性皮肤病、精神病等疾病的人员不得从事儿童看护、保教工作。
四川省《中华人民共和国母婴保健法》实施办法,,,第六章 医学技术鉴定,,第二十八条 县级以上人民政府设立母婴保健医学技术鉴定委员会其成员由卫生行政部门提名同级人民政府聘任。
四川省《中华人民共和国母婴保健法》实施办法,,,第六章 医学技术鉴定,,第二十九条 母婴保健医学技术鉴定委员会成员必须是具有临床经验和医学遗传学知识、具备主治医师以上技术职务的专业技术人员。
四川省《中华人民共和国母婴保健法》实施办法,,,第六章 医学技术鉴定,,第三十条 母婴保健医学技术鉴定委员会负责本行政区域内有异议的婚前医学检查、遗传病诊断、产前诊断和有异议的下一级医学技术鉴定委员会的鉴定结论等方面的医学技术鉴定。
四川省《中华人民共和国母婴保健法》实施办法,,,第六章 医学技术鉴定,,第三十一条 母婴保健医学技术鉴定委员会进行医学技术鉴定时必须有五名以上相关专业鉴定委员会成员参加。鉴定委员会成员应当在鉴定结论上署名不同意见应当如实记录。鉴定委员会根据鉴定结论向当事人出具鉴定意见书。鉴定委员会成员中与当事人有利害关系的应当回避。
四川省《中华人民共和国母婴保健法》实施办法,,,第六章 医学技术鉴定,,第三十二条 母婴保健医学技术鉴定分为省、市、县三级鉴定。省级的鉴定结论为最终鉴定结论。医学技术鉴定的具体程序、办法和管理按国家有关规定执行。
四川省《中华人民共和国母婴保健法》实施办法,,,第七章 监督管理,,第三十三条 县级以上地方人民政府卫生行政部门负责本行政区域的母婴保健监督管理工作行使下列监督管理职权法行许可并核发相应的许可证书
四川省《中华人民共和国母婴保健法》实施办法,,,第七章 监督管理,,第三十四条 卫生监督人员在执行职务时应当出示证件。卫生监督人员可以向医疗保健机构及有关部门了解情况索取必要的资料对母婴保健工作进行监督、检查医疗保健机构及有关部门不得拒绝和隐瞒。卫生监督人员对医疗保健机构及有关部门提供的技术资料负有保密的义务。
四川省《中华人民共和国母婴保健法》实施办法,,,第七章 监督管理,,第三十五条 卫生行政部门可以委托县级以上卫生监督执法机构或者妇幼保健院承担本行政区域内母婴保健业务工作的质量监督、监测、技术指导与信息管理。
