文件名,编,分编,章,节,内容
四平市辽河流域协同保护条例,,,,,第一条 为了贯彻习近平生态文明思想加强辽河流域跨区域协同保护改善辽河流域水环境质量根据有关法律法规结合实际制定本条例。
四平市辽河流域协同保护条例,,,,,第二条 本条例适用于本市行政区域内辽河流域水环境协同保护及其他有关活动。本条例所称辽河流域包括本行政区域内东辽河、西辽河干流及其支流招苏台河、叶赫河及其支流的集水区域以及被确定为属于本流域的闭流区。
四平市辽河流域协同保护条例,,,,,第三条 辽河流域协同保护应当上下游统筹、左右岸联动和干支流互补水资源保护、水污染治理和水生态修复共治政策协同、工作协同和省内协同、省际协同并举水域保护与岸线保护共同推进构建全面、系统、协同、高效工作格局。
四平市辽河流域协同保护条例,,,,,第四条 市、县市区人民政府及其有关部门应当遵循对等原则按照下列规定与长春市、辽源市、铁岭市、通辽市以下简称毗邻市开展辽河流域保护联动和协商况协调重大事项解决全流域、跨区域重大涉水问题演练发生或者可能发生跨界突发水污染事件时及时通报情况、联动处置预防和控制污染展监督检查及时发现、清理整治非法排污、设障、捕捞、养殖、采砂、围垦、侵占水域岸线等行为点水污染物排放总量控制指标、行政执法等信息互通共享。
四平市辽河流域协同保护条例,,,,,第五条 市、县市区人民政府及其有关部门应当遵循对等原则按照下列规定与毗邻市协同实施辽河流域保护措施的应当与毗邻市沟通协商在制度设计、机制建立及其实施等方面加强协调构建规范、统一、有效的协同保护制度体系处理设施建设、农业农村污染控制、水资源保护与水生态修复等专项计划影响或可能影响毗邻市的应当与毗邻市沟通联系实现相关规划、专项计划目标协调统一和措施相互衔接影响或可能影响毗邻市的应当向毗邻市通报情况科学合理规划布局减少废水排放量共同推进经济社会发展的全面绿色转型跨区域的违法违规问题共同承担管理保护责任调控二龙山水库、山门水库、下三台水库、转山湖水库等水库水量统筹开展防洪、灌溉、供水、生态等多目标联合调度充分发挥水资源综合效益保护、水污染治理、水生态修复知识增强生态环境意识和法治意识营造协同保护的良好社会氛围。
四平市辽河流域协同保护条例,,,,,第六条 市、县市区人民代表大会常务委员会、乡镇人民代表大会主席团可以与毗邻市同级人大工作机构协同开展执法检查、视察、专题调研等活动加强对涉及辽河流域保护法律法规、政策措施实施情况的监督。
四平市辽河流域协同保护条例,,,,,第七条 市、县市区人民法院、人民检察院可以与毗邻市同级人民法院、人民检察院建立跨行政区域协作机制加大司法保护力度共同预防和惩治破坏辽河流域水环境的违法犯罪活动。
四平市辽河流域协同保护条例,,,,,第八条 辽河流域涉及的有关乡镇人民政府、街道办事处应当按照下列规定履行辽河流域保护职责民政府生态环境、农业农村畜牧部门建立垃圾、畜禽粪污收集点及时收集、转运、处置垃圾、畜禽粪污垃圾等废弃物辽河流域涉及的有关村居民委员会应当配合各级人民政府及其有关部门做好辽河流域保护工作。
四平市辽河流域协同保护条例,,,,,第九条 市、县市区人民政府应当根据辽河流域环境承载能力和水污染防治的要求按照有关法律法规的规定划定畜禽养殖禁养区并向社会公告。禁养区内不得新建、扩建畜禽养殖场、养殖小区。已建成的畜禽养殖场、养殖小区应当结合实际依法关闭或者搬迁。
四平市辽河流域协同保护条例,,,,,第十条 辽河流域涉及村屯内非规模化畜禽养殖总数量达到规模化养殖标准的畜禽散养密集区其所在地县、乡级人民政府应当组织对畜禽粪污进行分户收集、集中处理利用并鼓励实行集约化养殖管理。规模化畜禽养殖经营者应当依据有关法律法规的规定处理畜禽粪污非规模化畜禽养殖经营者应当通过综合利用、委托处置、生产有机肥、堆沤还田等方式处理畜禽粪污或者将畜禽粪污送至村屯指定的粪污集中收储点。任何单位和个人不得随意倾倒、堆放畜禽粪污。
四平市辽河流域协同保护条例,,,,,第十一条 县级以上地方人民政府农业农村主管部门应当合理布设县、乡、村农药包装废弃物回收站点明确管理责任。农药销售者应当在其经营场所设立农药包装废弃物回收装置及时回收其销售的农药包装废弃物并交由专门的机构或者组织进行无害化处理。农药使用者应当及时将农药包装废弃物交回农药销售者或农药包装废弃物回收站点不得随意丢弃。农药销售者和农药包装废弃物回收站点应当建立农药包装废弃物回收台账记录农药包装废弃物的数量和去向信息。回收台账应当保存两年以上。
四平市辽河流域协同保护条例,,,,,第十二条 在辽河流域河道管理范围内从事水利工程和其他工程建设的应当严格落实环保措施不得影响生态流量保障目标禁止造成水质恶化和下降。
四平市辽河流域协同保护条例,,,,,第十三条 违反本条例第九条第二款规定在禁养区内新建、扩建畜禽养殖场、养殖小区的由市人民政府生态环境主管部门责令停止违法行为拒不停止违法行为的处三万元以上十万元以下罚款并报市人民政府责令拆除或者关闭。在饮用水水源保护区新建、扩建畜禽养殖场、养殖小区的由市人民政府生态环境主管部门责令停止违法行为处十万元以上五十万元以下罚款并报经有批准权的人民政府批准责令拆除或者关闭。
四平市辽河流域协同保护条例,,,,,第十四条 违反本条例第十条第三款规定按下列规定处罚堆放畜禽粪污的由乡级人民政府责令改正对单位可以处五百元以上三千元以下罚款对个人可以处一百元以上五百元以下罚款造成损失的并应当赔偿上人民政府水行政主管部门责令其纠正违法行为恢复原状并视情节和危害程度可以处一万元以上五万元以下罚款。违反前款规定造成水环境污染的由市人民政府生态环境主管部门依据水污染防治的法律法规进行处罚。
四平市辽河流域协同保护条例,,,,,第十五条 违反本条例第十一条规定按下列规定处罚药包装废弃物交由专门的机构或者组织进行无害化处理的由县级以上人民政府农业农村主管部门责令改正处一万元以上十万元以下罚款物交回农药销售者或农药包装废弃物回收站点的由县级以上人民政府农业农村主管部门责令改正对单位处一万元以上十万元以下罚款对个人可以处二百元以上二千元以下罚款站点未按规定建立农药包装废弃物回收台账的由县级以上人民政府农业农村主管部门责令改正拒不改正或者情节严重的可以处二千元以上二万元以下罚款。
四平市辽河流域协同保护条例,,,,,第十六条 市、县市区人民政府有关部门、乡镇人民政府、街道办事处在辽河流域协同保护工作中不履行或者不正确履行职责的依照法律法规和国家有关规定追究责任对直接负责的主管人员和其他直接责任人员依法给予处分。
四平市辽河流域协同保护条例,,,,,第十七条 本条例的统一实施及有关政府层级协同保护的规定由市人民政府生态环境主管部门牵头负责市、县市区人民政府水利、农业农村、林业、住建、自然资源等有关部门应当在各自职责范围内予以支持配合。
四平市辽河流域协同保护条例,,,,,第十八条 本条例未规定的辽河流域保护制度、保护措施、保护责任、禁止情形和法律责任等适用有关法律法规的规定。
四平市辽河流域协同保护条例,,,,,第十九条 本条例自 2024 年 1 月 1 日起施行。
