文件名,编,分编,章,节,内容
地图管理条例,,,第一章 总则,,第一条 为了加强地图管理维护国家主权、安全和利益促进地理信息产业健康发展为经济建设、社会发展和人民生活服务根据《中华人民共和国测绘法》制定本条例。
地图管理条例,,,第一章 总则,,第二条 在中华人民共和国境内从事向社会公开的地图的编制、审核、出版和互联网地图服务以及监督检查活动应当遵守本条例。
地图管理条例,,,第一章 总则,,第三条 地图工作应当遵循维护国家主权、保障地理信息安全、方便群众生活的原则。地图的编制、审核、出版和互联网地图服务应当遵守有关保密法律、法规的规定。
地图管理条例,,,第一章 总则,,第四条 国务院测绘地理信息行政主管部门负责全国地图工作的统一监督管理。国务院其他有关部门按照国务院规定的职责分工负责有关的地图工作。县级以上地方人民政府负责管理测绘地理信息工作的行政部门以下称测绘地理信息行政主管部门负责本行政区域地图工作的统一监督管理。县级以上地方人民政府其他有关部门按照本级人民政府规定的职责分工负责有关的地图工作。
地图管理条例,,,第一章 总则,,第五条 各级人民政府及其有关部门、新闻媒体应当加强国家版图宣传教育增强公民的国家版图意识。国家版图意识教育应当纳入中小学教学内容。公民、法人和其他组织应当使用正确表示国家版图的地图。
地图管理条例,,,第一章 总则,,第六条 国家鼓励编制和出版符合标准和规定的各类地图产品支持地理信息科学技术创新和产业发展加快地理信息产业结构调整和优化升级促进地理信息深层次应用。县级以上人民政府应当建立健全政府部门间地理信息资源共建共享机制。县级以上人民政府测绘地理信息行政主管部门应当采取有效措施及时获取、处理、更新基础地理信息数据通过地理信息公共服务平台向社会提供地理信息公共服务实现地理信息数据开放共享。
地图管理条例,,,第二章 地图编制,,第七条 从事地图编制活动的单位应当依法取得相应的测绘资质证书并在资质等级许可的范围内开展地图编制工作。
地图管理条例,,,第二章 地图编制,,第八条 编制地图应当执行国家有关地图编制标准遵守国家有关地图内容表示的规定。地图上不得表示下列内容
地图管理条例,,,第二章 地图编制,,第九条 编制地图应当选用最新的地图资料并及时补充或者更新正确反映各要素的地理位置、形态、名称及相互关系且内容符合地图使用目的。编制涉及中华人民共和国国界的世界地图、全国地图应当完整表示中华人民共和国疆域。
地图管理条例,,,第二章 地图编制,,第十条 在地图上绘制中华人民共和国国界、中国历史疆界、世界各国间边界、世界各国间历史疆界应当遵守下列规定绘制制史疆界绘制。中国国界线画法标准样图、世界各国国界线画法参考样图由外交部和国务院测绘地理信息行政主管部门拟订报国务院批准后公布。
地图管理条例,,,第二章 地图编制,,第十一条 在地图上绘制我国县级以上行政区域界线或者范围应当符合行政区域界线标准画法图、国务院批准公布的特别行政区行政区域图和国家其他有关规定。行政区域界线标准画法图由国务院民政部门和国务院测绘地理信息行政主管部门拟订报国务院批准后公布。
地图管理条例,,,第二章 地图编制,,第十二条 在地图上表示重要地理信息数据应当使用依法公布的重要地理信息数据。
地图管理条例,,,第二章 地图编制,,第十三条 利用涉及国家秘密的测绘成果编制地图的应当依法使用经国务院测绘地理信息行政主管部门或者省、自治区、直辖市人民政府测绘地理信息行政主管部门进行保密技术处理的测绘成果。
地图管理条例,,,第二章 地图编制,,第十四条 县级以上人民政府测绘地理信息行政主管部门应当向社会公布公益性地图供无偿使用。县级以上人民政府测绘地理信息行政主管部门应当及时组织收集与地图内容相关的行政区划、地名、交通、水系、植被、公共设施、居民点等的变更情况用于定期更新公益性地图。有关部门和单位应当及时提供相关更新资料。
地图管理条例,,,第三章 地图审核,,第十五条 国家实行地图审核制度。向社会公开的地图应当报送有审核权的测绘地理信息行政主管部门审核。但是景区图、街区图、地铁线路图等内容简单的地图除外。地图审核不得收取费用。
地图管理条例,,,第三章 地图审核,,第十六条 出版地图的由出版单位送审展示或者登载不属于出版物的地图的由展示者或者登载者送审进口不属于出版物的地图或者附着地图图形的产品的由进口者送审进口属于出版物的地图依照《出版管理条例》的有关规定执行出口不属于出版物的地图或者附着地图图形的产品的由出口者送审生产附着地图图形的产品的由生产者送审。送审应当提交以下材料进口不属于出版物的地图和附着地图图形的产品的仅需提交前款第一项、第二项规定的材料。利用涉及国家秘密的测绘成果编制地图的还应当提交保密技术处理证明。
地图管理条例,,,第三章 地图审核,,第十七条 国务院测绘地理信息行政主管部门负责下列地图的审核市行政区域的地图区地图
地图管理条例,,,第三章 地图审核,,第十八条 省、自治区、直辖市人民政府测绘地理信息行政主管部门负责审核主要表现地在本行政区域范围内的地图。其中主要表现地在设区的市行政区域范围内不涉及国界线的地图由设区的市级人民政府测绘地理信息行政主管部门负责审核。
地图管理条例,,,第三章 地图审核,,第十九条 有审核权的测绘地理信息行政主管部门应当自受理地图审核申请之日起 20 个工作日内作出审核决定。时事宣传地图、时效性要求较高的图书和报刊等插附地图的应当自受理地图审核申请之日起 7 个工作日内作出审核决定。应急保障等特殊情况需要使用地图的应当即送即审。
